date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-14,1,2013,1650.0,32618.0,,6554,2562,-6849,5722,-13314,,,,-265,4348,18348,-14088,,-3240.0,-16260,-45,43.0,,,-165067,68441,-1174,71679,10712,-6290.0,-34295,37748,2403.0,-388,-11184,366,-4516,265,,,2013年01月01日至2013年03月31日,208975,211575,2600,1384,,-31496,-27246,1200000.0,-1150000.0,50043,1384,,78442,-139690,-61248,,,0.0,,,,,-28630,224,211575,1,,,-36463,-707.0,
2013-08-09,2,2013,4240.0,50469.0,,29047,4240,-3885,-3212,-24280,,,16566.0,-596,9751,28642,-34661,,,-16260,-1801,,-1923.0,,-46967,148944,-2041,-74084,-2328,-10642.0,-31443,74879,3533.0,18,-29050,702,-10136,596,57130.0,,2013年01月01日至2013年06月30日,208975,315763,106788,8837,,109589,61983,0.0,,0,8837,,170317,-167640,2677,,,6306.0,-9990.0,2726.0,,-392.0,53146,448,315763,16,0.0,,-16114,-1471.0,
2013-11-11,3,2013,,74805.0,-20000.0,18847,-117,-11677,-619,-16096,,,16400.0,-862,13235,18501,-48383,0.0,0.0,-16260,-1642,,-1901.0,,-75331,-9712,-3831,-21448,6365,-12815.0,-48723,111016,550.0,81,-36303,1041,-13433,862,61081.0,,2013年01月01日至2013年09月30日,208975,175763,-33212,40792,,17010,-31516,,0.0,-20000,40792,-3951.0,-7025,-140088,-147113,0.0,,2023.0,-10044.0,2726.0,,-411.0,-72308,672,175763,16,0.0,,-21982,-602.0,
2014-03-21,4,2013,,123187.0,-20000.0,43851,-236,-4351,-8448,-24160,,,16678.0,-1227,17142,27136,-217759,0.0,0.0,-16260,-5747,,-1935.0,,16362,105991,-1679,-87873,8575,-19255.0,-214831,147447,-1333.0,-138,-38847,1377,-17527,1227,61081.0,,2013年01月01日至2013年12月31日,208975,321053,112078,40011,,219773,174982,-100000.0,,80000,40011,-3951.0,118490,-106706,11784,200000.0,,4096.0,-10060.0,9461.0,,-411.0,134971,-401,321053,10,8003.0,0.0,-15121,0.0,349.0
2014-05-12,1,2014,,28101.0,-20000.0,-56202,-166,-15321,5485,987,,,,-270,5992,-2131,-226534,,0.0,0,555,0.0,-16.0,,-132558,-123018,1200,174753,-2133,-13824.0,-220965,36886,0.0,-593,-15396,345,-5549,270,,,2014年01月01日至2014年03月31日,321053,189203,-131850,1446,,-138754,-133476,250000.0,,230000,1446,,-186308,23285,-163023,,,6585.0,,,,-11.0,-134922,217,189203,1,,,-1850,-1000.0,
2014-08-12,2,2014,0.0,57584.0,-40000.0,-39680,1677,-12872,10473,6767,,,0.0,-602,9108,-12948,-407158,,-6409.0,0,-33,,0.0,214.0,-130108,138321,9066,-10486,-10464,-17001.0,-418546,72953,0.0,-502,-26832,679,-8452,602,0.0,,2014年01月01日至2014年06月30日,321053,233829,-87224,-26302,,-25730,-17890,100000.0,,370000,-26302,,103291,-152463,-49172,310000.0,-2322.0,0.0,0.0,2322.0,,-11.0,8412,435,233829,10,0.0,,5202,-2871.0,
2014-11-11,3,2014,,117787.0,-40000.0,-27464,1161,-19082,16351,-5135,,,0.0,-846,13426,1294,-595211,,-6768.0,0,-31,,0.0,170.0,-228784,-3228,-155,116968,4568,-33563.0,-605255,109255,0.0,-387,-27101,1016,-12570,846,41873.0,,2014年01月01日至2014年09月30日,321053,186176,-134877,-91082,,-130916,-161075,330000.0,,600000,-91082,-7189.0,-46246,-141534,-187780,310000.0,-2322.0,,0.0,2322.0,,-11.0,-69993,652,186176,10,26946.0,,-9682,-1124.0,
2015-03-19,4,2014,3551.0,157220.0,-40000.0,-25476,113,-6110,10138,-20572,,,0.0,-1143,17981,15786,-910728,,-1792.0,0,-582,,-19746.0,,-106970,-159972,89166,250326,2189,-52484.0,-932338,147747,0.0,-663,-30617,1364,-17181,1143,41887.0,,2014年度,321053,262191,-58862,-144782,,17690,-8163,0.0,-80000.0,840000,-144782,-7203.0,-138478,117877,-20601,960000.0,928.0,0.0,0.0,-813.0,0.0,-11.0,136619,37,262191,4,26946.0,,-323,-1000.0,0.0
2015-04-30,1,2015,,,0.0,-33403,850,2878,6566,3813,,,,-269,3943,-5526,-303196,,0.0,0,247,,55.0,,136432,70382,-17535,-159566,15421,,-250998,36468,0.0,-1498,-2906,350,-3827,269,,10531.0,2015年01月01日至2015年03月31日,262191,346981,84790,4224,-8369.0,10988,14544,30326.0,,330326,4224,,18701,-18912,-211,300000.0,-238.0,54767.0,,252.0,,-27554.0,10320,210,346981,2,,,-16392,-2386.0,
2015-08-07,2,2015,0.0,,0.0,-30839,851,23203,-3845,-24525,,-31811.0,0.0,-655,8180,-15792,-708926,,-83763.0,0,-26,,-30.0,0.0,78004,87704,-63449,-90644,5957,,-695415,73296,0.0,-956,-6829,694,-8166,655,0.0,47359.0,2015年01月01日至2015年06月30日,262191,285065,22874,27606,-20704.0,11934,19478,101931.0,,722147,27606,,-29861,-25626,-55487,620216.0,-238.0,134573.0,0.0,253.0,,-27554.0,-8128,421,285065,-33,0.0,,-16665,-5220.0,
