date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-04-25,1,2013,10721.0,-17373,1491,2997,-27,,,,,-1207.0,,2935.0,-6897,321,-23063,,-100000,-116409.0,,-50000.0,,-1272.0,0.0,-3267.0,-67.0,0.0,9372,9205,6773,2923,-3219,250.0,-247888,28681,,,573,6989,,2013年01月01日至2013年03月31日,1241345,1031910,-7450.0,-209435,50663,,640.0,,41399,42993,,,-3267,50663,2082,-20473,-18391,0,9780.0,25449,1030,,-4860.0,,-7670,230.0,1031910,-1594,-2019,0.0,-31013.0,
2013-07-26,2,2013,53353.0,30053,795,-2919,3591,,,,,-3118.0,,,-14429,400,-49180,,-140000,-146803.0,,-50000.0,,-2456.0,0.0,-3302.0,-208.0,,-29990,9698,-1126,-49363,-4072,-61.0,-198528,57498,,,7097,15022,,2013年01月01日至2013年06月30日,1241345,1111223,9436.0,-130122,62702,,66640.0,,71308,73169,,,-3302,62702,36105,-78991,-42886,36,20855.0,88228,2400,,-10400.0,0.0,10467,460.0,1111223,-1861,4207,0.0,48.0,
2013-10-25,3,2013,82644.0,12587,1700,-8028,3809,,,,,1421.0,,,-21322,313,-74239,,-190000,-146803.0,,-95000.0,,-3871.0,21956.0,-21202.0,-236.0,,28208,9234,14453,-113149,-1864,333.0,-143596,87355,,,10693,24053,,2013年01月01日至2013年09月30日,1241345,1111824,13758.0,-129521,90885,,161640.0,,85313,92170,,-72305.0,-71551,90885,29269,-110628,-81359,36,32530.0,143002,3031,,-16437.0,0.0,1285,690.0,1111824,-6857,2095,7342.0,-29332.0,
2014-02-27,4,2013,85164.0,31108,-19524,-6364,1578,,,,,875.0,,,-27910,464,-93529,,-240000,-146803.0,,-95000.0,,-4851.0,40749.0,-36093.0,-959.0,947.0,1371,2227,11604,-36964,-2997,0.0,92155,117990,,,14135,28087,,2013年01月01日至2013年12月31日,1241345,688572,17006.0,-552773,143537,,306640.0,,203212,210254,-780955.0,-72305.0,-848604,143537,38587,-57034,-18447,36,79695.0,252166,3960,557.0,-41780.0,0.0,66717,12.0,688572,-7042,-1285,7342.0,-498.0,
2014-04-29,1,2014,720.0,-53495,20835,3729,-26322,,,,,0.0,,,-6021,28,-16948,-38684.0,-69111,0.0,-956.0,-393500.0,,-252.0,,-4283.0,,300.0,-16332,15481,-12601,12667,1946,320.0,-223721,30856,,,3364,5035,,2014年01月01日至2014年03月31日,688572,505732,1132.0,-182840,87031,,1500.0,,45136,45156,,,-4283,87031,-46325,3730,-42595,38069,0.0,204348,-25932,,0.0,46226.0,-41875,241.0,505732,-20,-2427,,,10936.0
2014-07-25,2,2014,32569.0,-14197,28749,16270,-29871,,,,,-1671.0,,,-14761,-779,-56813,-69759.0,-138501,-30740.0,-956.0,-482600.0,,0.0,,-3429.0,,568.0,33249,20356,-6452,-8767,999,649.0,-338158,61955,,,6753,11437,,2014年01月01日至2014年06月30日,688572,501625,5794.0,-186947,119925,,1900.0,,155419,162716,,,-3429,119925,17107,-6885,10222,38069,0.0,344615,-24357,,0.0,46293.0,42791,481.0,501625,-7297,-2815,,,-31244.0
2014-10-24,3,2014,53477.0,-6042,28312,6788,-30829,,,,,,233.0,,-19983,175,-88760,-74499.0,-266901,-190867.0,-3949.0,-494900.0,,0.0,,-3123.0,,428.0,-19044,26949,10846,-20032,401,974.0,-346530,93511,,,9575,14383,,2014年01月01日至2014年09月30日,688572,469375,58.0,-219197,184277,,1900.0,,230281,246203,,-100000.0,-103123,184277,40236,-31787,8449,38069,0.0,475178,-23898,,0.0,243155.0,61926,721.0,469375,-15922,-5786,,,9405.0
2015-03-20,4,2014,90401.0,3518,27780,2283,-3630,,,,,-1440.0,0.0,,-26756,1450,-146605,-83985.0,-326900,-220885.0,-2203.0,-510700.0,,0.0,3986.0,,,335.0,-4290,18590,19541,-8588,-2414,,-245221,125873,,,12965,18787,,2014年度,688572,719848,11825.0,31276,245758,,1900.0,,371061,388688,0.0,-100000.0,-96014,245758,44894,7635,52529,38069,0.0,708341,-23593,,0.0,280065.0,142930,962.0,719848,-17627,-9913,,,-1223.0
2015-05-08,1,2015,,-27960,1984,10421,11719,,0.0,-2886.0,,,,,-7932,-1315,-15912,-4899.0,-100414,,-67.0,,0.0,0.0,,23447.0,,2992.0,-31980,23562,-739,10293,2602,,103337,35467,,,3786,15074,39987.0,2015年01月01日至2015年03月31日,719848,886839,9239.0,166991,60075,755.0,,206560.0,44408,45583,,,20561,60075,6039,-60518,-54479,3,,0,100,,,0.0,-14492,0.0,886839,-1175,-673,,,-55136.0
2015-07-24,2,2015,,-3119,-1488,34195,16672,,,,-6061.0,,-196.0,,-12641,-976,-50492,-7838.0,-290372,0.0,-108.0,,0.0,,25843.0,0.0,,2890.0,-15910,24390,-10184,-27626,1898,,-31442,71274,,,7741,20177,58975.0,2015年01月01日至2015年06月30日,719848,845869,-6601.0,126021,139717,1237.0,,210820.0,138657,159185,,,19782,139717,46519,-86026,-39507,3,,40000,677,,,43674.0,19468,0.0,845869,-20528,-1475,,,-59572.0
