date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他借款增加,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融資產（增加）減少,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-14,1,2013,33031.0,-57936.0,-4999,,-15930,-2753.0,11713,-15775,-1635,,,,,-1548.0,,2875.0,,,-873,4638,26615,-40601,,909.0,,,,,2746,35224,27,,0,-45926,139,,-41124,23025,,,3400,-2941,873,,2013年01月01日至2013年03月31日,627356,671809,44453,-54776,,-24276,-21805,,,145237,,83238,-54776,0.0,29372,-29432,-60,,221,1360,32971,671809,-403,1481,,,30932,-866.0,
2013-08-14,2,2013,58388.0,-178377.0,-10000,,-2867,,16280,-1788,456,,,,,22569.0,,6498.0,,-2775.0,-1777,9381,44620,-102829,,1458.0,,,,,20182,13245,-19970,,20,5684,125,,-95839,46218,,,6799,-6061,1777,,2013年01月01日至2013年06月30日,627356,732172,104816,-112871,,5836,10523,,,513210,-256122.0,150199,-112871,0.0,27134,37872,65006,100000.0,2527,806,123394,732172,-403,-3039,,,-8900,,740.0
2013-11-13,3,2013,87147.0,-178377.0,-15000,,11285,,28179,780,-2731,-173.0,,,,23715.0,,10802.0,,,-2744,15169,31800,-203263,,1998.0,,,,,-10740,97319,-49923,,302,4265,136,,-355833,68843,,,10197,-10739,2744,,2013年01月01日至2013年09月30日,627356,774632,147276,-106026,,147939,158389,446880.0,0.0,17792,,323370,-106026,0.0,134354,42914,177268,100000.0,3473,948,264415,774632,-2455,-5266,,0.0,24931,-166845.0,
2014-03-25,4,2013,136821.0,-178379.0,-20416,,98225,,-22242,25159,1038,22769.0,,,8533.0,,-4053.0,,-420.0,0.0,-4827,19774,41366,-333016,,2755.0,586.0,,0.0,1398.0,51180,-42263,0,-49923.0,588,43885,132,532.0,-498414,93380,,,30579,-14383,4827,,2013年01月01日至2013年12月31日,627356,858933,231577,-109475,,217094,233553,446880.0,0.0,-115138,0.0,471531,-109475,0.0,35878,170329,206207,385166.0,42978,-1376,343028,858933,-6903,-709,,0.0,27204,-213834.0,
2014-05-13,1,2014,41774.0,0.0,-11250,,2598,,-47,27839,15,,,,440.0,,,-480.0,-2133.0,,-651,5706,16843,-98440,,222.0,,-713.0,-17.0,,-129414,100440,49874,,-252,-62106,-110,0.0,-98766,29141,-3193.0,-8841.0,7411,-4982,651,,2014年01月01日至2014年03月31日,858933,1006153,147220,29886,,-65442,-58878,,,245619,,294585,29886,0.0,99561,-230099,-130538,10833.0,412,0,-88764,1006153,-2233,167,,,-57467,,1452.0
2014-08-08,2,2014,80960.0,0.0,-95000,,-18795,,-1746,32022,-8,,-3363.0,,-440.0,-7581.0,,-2457.0,,1238.0,-3225,10800,-3121,-131588,,944.0,-924.0,,-44.0,,-172366,99471,49874,,-588,-84615,-64,,-149578,59635,,,12510,-10006,3225,,2014年01月01日至2014年06月30日,858933,859630,697,44055,,-50290,-39835,,,269874,,203686,44055,,74971,-239821,-164850,7500.0,4476,2036,-83890,859630,-3674,-796,,-28582.0,-7217,,-20763.0
2014-08-08,3,2014,127082.0,0.0,-262250,,14678,,-1055,30498,3236,,,-440.0,,,,-20132.0,-388.0,,-4696,16010,-87297,-179262,,944.0,125.0,,,-1348.0,-155557,25523,29951,,-588,-103517,-59,,-174565,94208,-3017.0,-9798.0,17503,-15145,4696,,2014年01月01日至2014年09月30日,858933,785824,-73109,79267,,4492,21117,0.0,,445296,,184261,79267,,38777,-224009,-185232,0.0,1661,2393,-58150,785824,-6176,1664,,-29805.0,14424,,25344.0
2015-03-27,4,2014,167182.0,0.0,-322500,,-2439,,-11753,42727,-1056,,,,-474.0,,-5178.0,,-4862.0,,-12208,20711,-16464,-231627,,944.0,534.0,,,-1463.0,-101278,17540,29951,,-588,-98348,-390,-66.0,-241694,129214,-4911.0,820.0,22560,-19774,12208,,2014年度,858933,913964,55031,106123,,136294,151080,0.0,,467771,,176895,106123,,-3273,-118952,-122225,30000.0,1964,4375,44957,913964,-7220,2530,,-29805.0,37517,-54.0,
2015-05-13,1,2015,,0.0,-12500,,-3275,,278,6690,-3196,,,,0.0,,,-1008.0,2276.0,,-1709,4147,-7370,-15899,469.0,0.0,,-687.0,18.0,,64000,-30517,-29951,,1365,-20420,-107,,-30174,34757,0.0,0.0,5087,-4075,1709,43511.0,2015年01月01日至2015年03月31日,913964,690931,-223033,1231,0.0,52410,55442,,,-197261,,-237899,1231,0.0,-35345,46045,10700,2500.0,912,761,54211,690931,-666,-1,,,-4118,,-16473.0
2015-08-06,2,2015,,0.0,-74000,,-7359,,42,16775,70,,0.0,,0.0,0.0,,-9836.0,,4913.0,-3340,7633,-18178,-49616,462.0,0.0,-273.0,,2661.0,,89198,-25116,-29951,,0,10488,-1246,,-146485,70012,,,10493,-7489,3340,86012.0,2015年01月01日至2015年06月30日,913964,673749,-240215,6968,,170347,183438,,,-141675,,-245899,6968,,-32363,122821,90458,0.0,908,753,176470,673749,-8942,-1,,0.0,7606,,-95515.0
