date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他非流動負債增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）
2013-05-09,1,2013,158382.0,,,180853,1173,-34211.0,18322,25944,,0.0,3888.0,0.0,7732,-592,11234,26454,-207853,-179.0,2224,,4093.0,,-3936.0,,-118232,-95393,208.0,,26857,54940,247.0,-246179,112846,17384,-10650,595,,2013年01月01日至2013年03月31日,1405766,1362654,-43112,223146,,451607,481143,,,-279295.0,-274994,223146,4107.0,105045,-5430,99615,0.0,,20,,,257997,1016,1362654,-19481,3427
2013-08-09,2,2013,318562.0,,,78581,938,-59037.0,14588,-9630,,,,,25523,-1489,21753,43308,-400484,-2876.0,3242,0.0,6270.0,,-7401.0,,-205045,-195120,,-119706.0,16909,32130,487.0,-467113,227269,37718,-21584,1499,,2013年01月01日至2013年06月30日,1405766,1504815,99049,505339,,455887,558497,,,-49097.0,66967,505339,,-100706,-164698,-265404,229500.0,2685.0,124,,,53158,758,1504815,-82525,4422
2013-11-08,3,2013,453333.0,,0.0,133209,943,-93900.0,14801,-1622,,8667.0,,,12269,-2172,34592,27819,-661270,-2880.0,2424,,0.0,-11700.0,-7666.0,,-336339,67432,29920.0,,-220266,-107166,735.0,-762166,342944,59342,-35011,2181,,2013年01月01日至2013年09月30日,1405766,1244553,-161213,828057,,662862,835838,-558141.0,12026.0,,-89728,828057,,218898,-664450,-445552,429500.0,3550.0,-608,,,7781,2721,1244553,-140146,4542
2014-03-24,4,2013,532669.0,,0.0,24581,-2473,,6417,16813,-58005.0,24346.0,,,15018,-2950,49862,50267,-794436,-3011.0,3741,,-8879.0,,-5317.0,,141044,-386280,29929.0,,234965,-79081,-3352.0,-798778,460225,2650,-49717,2960,,2013年01月01日至2013年12月31日,1405766,1836472,430706,1032667,,1246843,1462895,-558141.0,,15619.0,-67626,1032667,,-355704,253263,-102441,429500.0,3986.0,0,-515.0,,430228,2930,1836472,-169295,4638
2014-05-09,1,2014,143398.0,,,10432,721,,-1489,-50156,9412.0,3236.0,,,487,-738,13461,-3419,-182754,516.0,-2100,,5355.0,,-15255.0,,-50597,530444,9.0,,10962,-49202,340.0,-197493,132223,706,-15167,762,,2014年01月01日至2014年03月31日,1836472,1750863,-85609,293250,,811819,856774,,,-705116.0,-696516,293250,2210.0,548986,-128860,420126,,,0,,,563524,9259,1750863,-30550,-2851
2014-08-11,2,2014,291682.0,,-131250.0,-33346,412,,-826,-45926,9485.0,8240.0,,,964,-1776,23880,-21197,-286971,,6324,,0.0,-649.0,-1861.0,,-169421,623762,49953.0,,-519032,82026,508.0,-288072,261873,1475,-25915,1799,,2014年01月01日至2014年06月30日,1836472,1540382,-296090,664878,,788290,917001,,,-701405.0,-775111,664878,3236.0,602897,-642456,-39559,0.0,760.0,65,,,252123,12799,1540382,-104595,-4359
2014-11-10,3,2014,448188.0,,-131250.0,185381,-5923,,10509,-61413,-64061.0,,,,1440,-2736,34452,7777,-389044,-269.0,20811,18743.0,1032.0,0.0,0.0,48.0,-380169,1486190,50042.0,,-1106851,46393,748.0,-388269,393254,2219,-36666,2760,,2014年01月01日至2014年09月30日,1836472,2078180,241708,1202357,,1558407,1770519,-562897.0,0.0,-561877.0,-936207,1202357,3766.0,1691998,-1572024,119974,250000.0,996.0,750,,,568162,9170,2078180,-178206,-5768
2015-03-09,4,2014,607810.0,,-593750.0,209773,-35896,,134,-6310,-87444.0,40289.0,,,-1693,-4267,46326,50104,-486535,-269.0,36351,,-4474.0,,-2756.0,,-190874,1350129,49991.0,,-1508687,101737,-5316.0,-487073,528291,2635,-48512,4248,,2014年度,1836472,2168919,332447,1838251,,1975778,2286823,-562897.0,0.0,-716771.0,-1206362,1838251,,1568236,-1727474,-159238,581250.0,2487.0,1461,0.0,,448572,13516,2168919,-266781,-1294
2015-05-06,1,2015,,,,42457,-57272,,16768,9538,9150.0,,,,1133,-1583,10113,-17488,-92813,0.0,-1743,4833.0,0.0,-25.0,,-41.0,-59490,-431366,0.0,-199628.0,565787,-121761,,-92793,136666,392,-10332,1537,140096.0,2015年01月01日至2015年03月31日,2168919,2207068,38149,735407,-9.0,722964,841140,-878.0,,-378836.0,-574534,735407,,-380315,345952,-34363,,251.0,2585,,-190.0,105733,-8165,2207068,-109381,-7467
2015-07-30,2,2015,,,-1237500.0,-42549,-13282,-1741.0,14594,35855,20031.0,-6700.0,,,-1141,-3199,20922,-39106,-177817,,-1150,8506.0,2566.0,0.0,-2644.0,,-12619,-739450,0.0,-199626.0,693144,-15810,,-181454,271832,839,-21425,2987,277652.0,2015年01月01日至2015年06月30日,2168919,2583322,414403,1465359,-3.0,1469337,1672249,-878.0,,-635623.0,-834374,1465359,1614.0,-778081,707319,-70762,1234881.0,748.0,2244,,,206890,-10673,2583322,-184474,-14309
