date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,預付款項（增加）減少
2013-05-14,1,2013,237.0,,-30042,-41.0,-52732,,,-8006,3804,850.0,9.0,,,-1401,,0.0,,,,,,-12134,-3062,-1575.0,13717,-107,5580,-190.0,19,572,0.0,1199,2112,,,2013年01月01日至2013年03月31日,307142,247057,,-60085,28992,,-60104,-62003,,,28992,,,-54010,-37222,-91232,19.0,,-19.0,,,-90995,,247057,-213,-114,,,-7303
2013-08-12,2,2013,-256.0,,-20874,-41.0,-43588,,,-10452,5293,1565.0,23.0,,,-2911,,0.0,,,,,,-16162,-1063,107.0,-11239,-212,4158,,4848,1100,0.0,2294,3296,4829.0,,2013年01月01日至2013年06月30日,307142,252871,,-54271,40298,,-59119,-54775,,,40298,,,-46920,-47897,-94817,19.0,,-19.0,,,-95073,,252871,-7640,-720,,,-2332
2013-11-11,3,2013,-849.0,1530.0,-22117,-41.0,526,0.0,,-341,2913,2438.0,23.0,-49419.0,,-4287,,-327.0,,,,,,-7553,-1720,-1575.0,17632,0,7573,,-42109,1633,0.0,2458,4688,6088.0,,2013年01月01日至2013年09月30日,307142,201505,,-105637,31848,,7353,16637,-70881.0,-70881.0,31848,,,-30909,16547,-14362,19.0,,-21.0,,,-15211,,201505,-13972,-632,,,-12120
2014-03-26,4,2013,-3705.0,1530.0,-11460,-41.0,1892,0.0,,7572,411,3308.0,,-58626.0,,-6467,,-667.0,,,,53.0,,-8003,82,-1575.0,28067,-27,7998,0.0,-50851,2167,0.0,2057,6316,6840.0,,2013年01月01日至2013年12月31日,307142,270324,,-36818,63605,,84914,93178,-70881.0,-70881.0,63605,,-752.0,-10117,43395,33278,19.0,,-15.0,,,29573,,270324,-14580,-695,,,5054
2014-05-12,1,2014,-14126.0,,-24714,0.0,-6616,,10933.0,-5595,8355,870.0,,-3490.0,1465.0,-1732,275.0,,,-2380.0,,0.0,,1458,1344,0.0,14952,-773,-7556,0.0,8908,541,,718,2251,,,2014年01月01日至2014年03月31日,270324,257522,-275.0,-12802,13834,,-21985,-23375,,,13834,,,-26637,3554,-23083,0.0,,0.0,,,-37209,,257522,-861,-65,-10933.0,,-4808
2014-08-13,2,2014,-9512.0,0.0,-18787,0.0,-1141,0.0,10933.0,8213,4530,1767.0,,-56695.0,41464.0,-3171,-2955.0,0.0,,-2092.0,,-10.0,,-1278,-582,0.0,-9142,-78,136,0.0,-3179,1037,0.0,2842,3499,1129.0,,2014年01月01日至2014年06月30日,270324,234792,2955.0,-35532,7785,,-29398,-25228,,,7785,,0.0,-10667,-12834,-23501,0.0,,0.0,,,-33013,,234792,-7669,-150,-10933.0,,-7139
2014-11-13,3,2014,-14296.0,867.0,-7726,283.0,-248,0.0,10933.0,8150,4253,2657.0,,-69074.0,57464.0,-4973,2648.0,-38.0,,-2092.0,,-13.0,,-1787,-1395,0.0,3792,-714,125,0.0,2956,1506,0.0,5645,4959,2817.0,,2014年01月01日至2014年09月30日,270324,213501,-2648.0,-56823,8644,,-15173,-7876,-47254.0,-47254.0,8644,,-807.0,182,-2406,-2224,0.0,,0.0,,,-16520,,213501,-12256,6,-10933.0,,-9614
2015-03-26,4,2014,-14394.0,867.0,9502,0.0,1407,-210.0,10933.0,677,-13,3546.0,,-79298.0,249320.0,-7257,6825.0,-38.0,,-1976.0,-15.0,0.0,,6435,-1725,0.0,-15193,-600,-3702,0.0,184586,1912,20880.0,11186,6404,2817.0,,2014年度,270324,483993,-6825.0,213669,71231,,69512,75421,-47254.0,-47254.0,71231,,-807.0,18435,149,18584,0.0,,0.0,,,4190,,483993,-12313,306,-10933.0,,-2420
2015-05-13,1,2015,,,-23565,,612,,0.0,7497,10324,,,-196793.0,170033.0,-1966,0.0,-243.0,,206.0,,83.0,,-10859,-1304,,13345,627,59,,-26920,359,,235,2277,,-1174.0,2015年01月01日至2015年03月31日,483993,440333,0.0,-43660,-10528,951.0,-16740,-17293,,,-10528,,,-27280,21689,-5591,,,,,,-6765,,440333,-1724,-8,0.0,,-3278
2015-08-12,2,2015,,,-21708,,-5171,,0,9621,13015,,,-263302,236148,-3933,0,-3298,,-47,,99,,-18170,1730,,19793,144,1848,,-29027,823,,544,4689,1326,-2476,2015年01月01日至2015年06月30日,483993,441033,0,-42960,-1861,1904,-13933,-12947,,,-1861,,,-26623,18013,-8610,,,,,,-11086,,441033,-5675,137,0,,-11616
2015-11-11,3,2015,,1171.0,-12676,0.0,1486,210.0,0.0,7750,11634,,,-192497.0,99334.0,-6100,0.0,-3398.0,,-905.0,,-142.0,-3987.0,-15048,-1170,,18721,606,2838,,-92422,1264,,679,6230,3110.0,-5488.0,2015年01月01日至2015年09月30日,483993,333857,0.0,-150136,11432,2384.0,2977,7359,-56704.0,-60691.0,11432,,-777.0,-18760,20175,1415,,,,,,-4073,,333857,-10612,351,0.0,,-15320
2016-03-25,4,2015,,1171.0,-5872,0.0,-515,210.0,0.0,13173,-398,3499.0,,0.0,71289.0,-7454,0.0,-3749.0,-7816.0,-1039.0,,61.0,-25895.0,-7754,1870,0.0,-21704,477,1359,0.0,64066,1715,0.0,571,7964,3110.0,-7120.0,2015年度,483993,476564,0.0,-7429,41936,,11104,12560,-56704.0,-82599.0,41936,,-777.0,7094,-29350,-22256,0.0,,0.0,,,-29376,2178.0,476564,-9420,-136,0.0,,-8779
2016-05-12,1,2016,,,-18295,,-527,,,1454,3715,-20923.0,,-214824.0,159472.0,-1513,,-320.0,,196.0,,39.0,,-14044,-2278,,27662,127,1600,,-54543,453,,-2820,1989,,-3645.0,2016年01月01日至2016年03月31日,476564,423292,,-53272,14163,,1271,-383,,,14163,,,-54042,43141,-10901,,,,1090.0,,-14546,44.0,423292,-335,39,,,10564
2016-08-10,2,2016,,,-16673,,-5362,,0,4416,3888,,,-111332,22114,-3237,,-1685,,5078,,39,,-24329,3264,,55256,-1738,1082,,-87174,955,,-4616,4175,0,-2534,2016年01月01日至2016年06月30日,476564,400778,,-75786,5562,-20058,11388,11971,,,5562,2615,0,-52521,61464,8943,,2600,76,1090,-2521,6409,859,400778,-4758,-884,,,8338
2016-11-10,3,2016,,0.0,-8238,,-8792,0.0,31.0,-3050,912,,,-231703.0,131207.0,-4695,,-1685.0,,4653.0,,37.0,0.0,-21894,1526,175.0,52498,-2938,1616,,-82284,1464,,-3882,5202,3229.0,-21117.0,2016年01月01日至2016年09月30日,476564,345960,,-130604,29532,-19187.0,-2156,2370,-47254.0,-46164.0,29532,2615.0,-1093.0,-49130,43085,-6045,,16600.0,76.0,,-18706.0,-27162,1538.0,345960,-9728,-1518,-31.0,1090.0,-211
