date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付建造合約款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,48654.0,-17543,9736,15521,,6077,-22235,,,-2182,,-83,67544.0,,,,-35136,,0,-1059.0,,566982,-161882,,100000.0,,-143754,-34467,50000,-54483,5583,-32500,,-35407,981,164938,12105,-132942,1911,,,2013年01月01日至2013年03月31日,2063281,2652354,589073,582926,,1262649,1266149,,725200,-1326522,-638169,582926,,-37189,671758,634569,14697.0,,0.0,683223,-643.0,2652354,-3500,-31976,,12502,253277
2013-08-09,2,2013,128801.0,-5693,135582,15322,,9181,-37561,,,-3883,,-372456,131513.0,0.0,,,-4470,,0,0.0,-4928.0,674093,-1367378,,-100000.0,,-47328,36226,50603,-61020,-1986,-155065,,-1531,2029,180952,24211,-267708,6822,,,2013年01月01日至2013年06月30日,2063281,2263305,200024,1611437,,909946,1085090,,275200,-2645262,-708391,1611437,,-863407,208259,-655148,2040000.0,,0.0,-526347,-643.0,2263305,-175144,-28952,,-120849,407179
2013-11-07,3,2013,211811.0,-8538,203974,24809,,3800,111825,0.0,,-24187,,-1111526,193601.0,0.0,,,-8121,,0,0.0,-6318.0,735716,-1478432,,,-200000.0,-52841,34117,96844,-167412,59219,-64236,-988.0,-10692,4316,-1946,36317,-415460,14185,7431.0,,2013年01月01日至2013年09月30日,2063281,1923948,-139333,1964711,,895831,1114452,-2458011.0,2285200,-2645262,-1024472,1964711,-7431.0,-570723,-491347,-1062070,2440000.0,0.0,4.0,-850259,-643.0,1923948,-218621,-14996,-16083.0,-208757,754407
2014-02-20,4,2013,279648.0,-11384,-3493,25807,-157122.0,-5658,115424,,,-9561,,-1346442,252608.0,-1194000.0,,,-33928,,-2276,0.0,-2323.0,268430,-162727,,,-200000.0,-24259,42303,-61837,5060,65299,-138692,-878.0,-1368538,7601,158629,48482,-405410,20757,7592.0,,2013年01月01日至2013年12月31日,2063281,2186606,123325,1898802,,1819965,2039758,-2458011.0,3543860,-3217320,-328102,1898802,-7592.0,1020506,-1159198,-138692,2440000.0,0.0,52.0,140956,-643.0,2186606,-219793,-21503,-17514.0,-293179,1218164
2014-05-08,1,2014,91977.0,-5846,11219,-1410,-46112.0,216957,-5363,,,-17868,,399225,61780.0,,,,-502,-8970.0,-148,,-866.0,-524448,-152231,,300000.0,,1387,-720,58593,9384,5201,-125934,,-69602,2866,-76364,12517,-108786,3998,,,2014年01月01日至2014年03月31日,2186606,2335170,148564,-167632,,222362,222936,,787200,-975898,-4196,-167632,,607959,-309368,298591,,,,390568,-456.0,2335170,-574,14814,,-47532,531083
2014-08-07,2,2014,154824.0,-17693,52721,-3756,-92125.0,218143,-23801,,,-22926,,516941,,,,102596.0,-844,-24263.0,-148,1636.0,0.0,-1240676,-5478,,450000.0,0.0,116097,-20,58593,8655,6928,-60934,,-116166,5784,-84153,24781,-215997,24140,,,2014年01月01日至2014年06月30日,2186606,2291380,104774,640654,,590692,803044,,1351200,-1938898,-369752,640654,,873082,-865516,7566,0.0,,3.0,162390,-456.0,2291380,-212352,21660,,-43293,492055
2014-11-12,3,2014,222044.0,-29539,94881,349,-138784.0,671,-25111,,,-29233,,566222,,,-28891.0,193151.0,-1176,-61047.0,-148,2456.0,0.0,-1924495,-89332,,520000.0,0.0,236367,-1551,99952,-462,-8838,-46719,0.0,-191746,8718,-219697,37042,-329391,28891,9751.0,,2014年01月01日至2014年09月30日,2186606,2404307,217701,1135143,,613775,860983,-1310939.0,3409820,-2466735,-204328,1135143,-9751.0,1119015,-1615219,-496204,0.0,,3.0,-274160,-456.0,2404307,-247208,21772,0.0,-54869,876884
2015-03-19,4,2014,279736.0,-44774,14960,252,-186597.0,21826,-14521,,,-27300,,678282,,0.0,-50697.0,262387.0,-1768,-57164.0,-148,2010.0,0.0,-2813912,210079,,570000.0,0.0,536084,-408689,99952,-28514,4182,19484,124.0,-212431,11638,-98878,49298,-451716,50697,9849.0,,2014年度,2186606,2223286,36680,1915456,,1063115,1320664,-1310939.0,4245720,-3824305,-814004,1915456,-9849.0,1755527,-2630055,-874528,0.0,0.0,11.0,-594792,-456.0,2223286,-257549,16948,0.0,-67693,972910
2015-04-29,1,2015,,-12411,6579,100,-47927.0,-15664,4714,,0.0,-3772,,26691,,,-4983.0,62286.0,-15,-10094.0,0,,589.0,-709691,-196510,,0.0,,-136881,392888,0,5569,-5626,40000,,-56825,2928,-94952,296,-116869,4983,,50270.0,2015年01月01日至2015年03月31日,2223286,1811862,-411424,25193,,-447605,-446388,,874000,-652303,93006,25193,,-137126,-384725,-521851,,,41.0,-471581,0.0,1811862,-1217,-10298,,-44418,205350
2015-08-10,2,2015,,-24844,7611,101,-95382.0,-3513,1177,,0.0,-6108,,-15228,,,-10082.0,122061.0,-1617,-29771.0,-285,345.0,,-1545566,-96152,,23000.0,,20532,349596,25649,7670,21116,42118,,-123081,5910,81170,565,-238180,10082,,107038.0,2015年01月01日至2015年06月30日,2223286,1552627,-670659,-66372,0.0,-944750,-923118,,1816000,-1179149,397172,-66372,,148664,-1112448,-963784,,,41.0,-856746,,1552627,-21632,-11457,,-80251,220186
