date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,存入保證金增加,存入保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,81492.0,,0,-19343.0,,36884,,-46809,-23510,-2811,18125,,22551.0,45501,43673,,,274,-167457,,-6099,,-4745.0,-879699,,-359899,,-57058.0,1208000,-1227000,-91643,,57041,70296,4082,,-150400,52425,42140,-2097,2245,-25763,,605,,,2013年01月01日至2013年03月31日,2271189,2009312,-261877,364285,,,-632243,-631001,,,3770000,-3250000,520492,364285,,-450453,-626325,-1076778,50000.0,0.0,0.0,,,,-995286,,,2009312,-1242,-14754,,0.0,,2815,,,127110
2013-08-12,2,2013,176548.0,0.0,-127500,183489.0,,-7725,,-44604,-43463,-4199,17691,,-1128.0,226350,789,-6153.0,81467.0,1021,-468037,,-11551,,-4683.0,-1918884,,-213037,,-143178.0,2408000,-2557000,-170462,,456601,-1288,-29363,,-475234,109141,22442,-2343,4848,-216940,,5482,,,2013年01月01日至2013年06月30日,2271189,1970741,-300448,347198,,,-616258,-528347,,1000000.0,7688967,-7566750,790023,347198,,262595,-1314688,-1052093,247875.0,0.0,0.0,,,,-875545,,0.0,1970741,-87911,-11201,,-81946.0,,-37049,,,654586
2013-11-12,3,2013,278820.0,0.0,-150700,-91107.0,,-25281,,-28816,-95968,-11943,17694,-1576.0,0.0,300908,1183,-8094.0,129919.0,812,-303783,,-11917,285.0,,-2910480,,-401752,,-160974.0,3213000,-3612000,-93743,,564727,161344,-76,1076.0,-320444,164826,22442,-3502,7459,-323677,-490385.0,7190,,,2013年01月01日至2013年09月30日,2271189,1889911,-381278,338446,,,-1633022,-1025180,,2000000.0,10003167,-9716750,1571376,338446,,374107,-2016553,-1642446,240000.0,272.0,-15.0,,,,-1363626,5153.0,0.0,1889911,-117457,-12956,,-81949.0,,-51863,-10630.0,,1156213
2014-03-26,4,2013,364621.0,-3200.0,-150700,4131.0,,28986,0.0,-51466,-57388,-2924,17698,0.0,18289.0,54507,161904,,,945,-394172,,-11266,0.0,-4043.0,-2060524,-26149.0,-81903,,-151659.0,4393000,-4737000,-25262,,130565,411370,-320670,-16.0,-379048,216573,32316,-591,10110,-441013,,11639,2551.0,,2013年01月01日至2013年12月31日,2271189,2217199,-53990,1378152,,,-103978,19901,-490386.0,2000000.0,13447167,-13718384,428091,1378152,-2551.0,63695,-1786567,-1722872,240000.0,240.0,-15.0,,,,-1358251,12522.0,0.0,2217199,-123879,-20809,,-81201.0,,-23427,-6329.0,,360272
2014-05-13,1,2014,120932.0,,-7500,-100355.0,,27434,,-8581,10276,-7287,-129,-79378.0,0.0,-133093,64864,,,-4110,-7068,,-1320,1013.0,0.0,824288,-12077.0,88667,11908.0,,840000,-885000,-2256,,-1787462,-168212,160023,63.0,-98543,51753,28862,-1113,2735,-103126,,1199,,,2014年01月01日至2014年03月31日,2217199,2261922,44723,1407999,,,-471549,-371809,,,2313480,-1527865,618925,1407999,,-843195,-1057545,-1900740,,,,,,,-1779808,3496.0,,2261922,-99740,2693,,,,-19532,-11976.0,0.0,-828850
2014-08-12,2,2014,216582.0,,-7500,7014.0,,-11327,,-13147,19778,-5112,-123,-83053.0,,-174245,789,-5407.0,109854.0,-7607,-146870,,-1620,1526.0,0.0,-476869,-43168.0,-4402,16757.0,,1170000,-1395000,699081,,-56897,-85300,94300,,-242295,103175,56597,-1019,5615,-244219,,5047,2420.0,,2014年01月01日至2014年06月30日,2217199,2398978,181779,1798486,,,1265781,1512709,,0.0,3828475,-4174550,-834100,1798486,-2420.0,171162,-673521,-502359,100000.0,,,,,,-285777,,,2398978,-246928,1717,4278.0,-69664.0,,-39435,-18219.0,,-529029
2014-11-12,3,2014,319654.0,,-95700,-33553.0,,-4397,,13561,17779,-17808,-120,-80564.0,,-153737,1183,-6765.0,159321.0,-2679,-239088,,-9466,2434.0,,-2862736,-15722.0,-145395,13038.0,,2740000,-2365000,-55917,,229435,-46585,72183,188.0,-339679,159494,63811,-2203,9390,-380839,-493265.0,6623,3025.0,,2014年01月01日至2014年09月30日,2217199,2470846,253647,1777497,,,-1689964,-882038,,1000000.0,9086695,-7685950,2285969,1777497,-3025.0,-234058,-2745131,-2979189,100000.0,0.0,129.0,,,,-2659535,3937.0,,2470846,-314661,-2148,4278.0,-99949.0,,-60764,-20209.0,,-12109
2015-03-26,4,2014,376550.0,0.0,-95700,6798.0,,-219304,,-8970,36505,-12967,-3090,-38772.0,0.0,73643,199859,,,2234,-324192,,-9775,2863.0,0.0,-1321002,-46005.0,289147,-32906.0,,4010000,-4235000,-11385,,-85500,-126142,94425,788.0,-298907,220904,73583,-792,13423,-514318,,11232,3552.0,,2014年度,2217199,3035933,818734,3337943,,,937103,1310140,-493265.0,1000000.0,10284975,-9765580,178304,3337943,-3552.0,-899839,-1504514,-2404353,100000.0,0.0,129.0,80362.0,-49089.0,,-2027803,4397.0,,3035933,-373037,-8610,4278.0,-69666.0,,-27632,-21314.0,,-1134741
2015-05-12,1,2015,,,-7500,-56941.0,,246431,963.0,-677,-32920,-8169,-2161,,,-98679,394,,64245.0,-1771,-37523,,-3516,2466.0,,-342830,0.0,-139135,179269.0,,600000,-490000,-101841,,167989,-142369,3374,,-44053,63119,-7429,-2844,4048,-109720,,2119,,121386.0,2015年01月01日至2015年03月31日,3035933,3141448,105515,158034,329.0,,-150407,-143531,,,1557500,-1251000,301746,158034,,-238620,-184331,-422951,,333.0,-51.0,,,,-301565,-1361.0,,3141448,-6876,-7525,,,,24263,-6429.0,,-110094
2015-08-11,2,2015,,,-22500,87108.0,,212337,,26553,-4318,-12241,-2149,0.0,2892.0,499973,789,-8031.0,118956.0,-3975,-59953,,-6578,4226.0,,-1071770,0.0,-42198,301356.0,,1100000,-980000,-112532,,215702,-223792,88238,,-62449,126124,10440,-2084,8436,-261492,,8028,660.0,226956.0,2015年01月01日至2015年06月30日,3035933,3304503,268570,215543,329.0,,418069,535583,,,2554887,-2373500,-83075,215543,-660.0,382162,-289078,93084,0.0,1377.0,-1094.0,,,,320040,-1065.0,,3304503,-117514,-15480,0.0,-104696.0,,-13739,-8875.0,,134852
2015-11-11,3,2015,,-250000.0,-137600,,-48802.0,211127,,21698,13655,-16337,-2141,-20287.0,,315977,1183,-10893.0,181333.0,1409,-70154,,-33316,3306.0,,-1387241,0.0,-51031,312678.0,,1900000,-1780000,-52998,,-71240,-176442,195452,,-117683,190630,11151,-504,12997,-414918,,10876,4795.0,369714.0,2015年01月01日至2015年09月30日,3035933,2991155,-44778,271097,329.0,48820.0,48820,194253,-986331.0,0.0,4960287,-3167488,22676,271097,-4795.0,467703,-914261,-446558,0.0,1930.0,732.0,,,,-76844,-5273.0,,2991155,-145433,-969,0.0,-104580.0,,-24559,-11527.0,,307439
2016-03-24,4,2015,,-1000000.0,-137600,21307.0,,198794,,38163,10885,-16868,-2951,,1969.0,384128,2197,-14135.0,237901.0,-5265,-225176,,-33579,3773.0,,514908,0.0,374579,300655.0,,2800000,-2830000,-72724,,-281897,18221,206441,,-245914,257847,11151,-110,17876,-549893,,14086,4795.0,570042.0,2015年度,3035933,3382544,346611,1049800,44.0,2611624.0,2611624,2812122,-986331.0,0.0,5598987,-4808188,-2013834,1049800,-4795.0,105264,1087016,1192280,0.0,3179.0,733.0,0.0,0.0,,1762322,1181.0,,3382544,-200498,7306,222.0,-104582.0,65000.0,27336,-11188.0,,-541073
2016-05-10,1,2016,,,-10000,-80903.0,,-12684,,17604,-10400,-8169,53,-3062.0,0.0,-22354,394,-3197.0,60883.0,-5353,-34914,,-3310,0.0,-706.0,-297563,,-244383,107327.0,,500000,-350000,36981,391.0,-110264,-3490,29633,,-48225,67734,0,-412,4752,-106101,,868,,144112.0,2016年01月01日至2016年03月31日,3382544,2862566,-519978,234909,226.0,,-209594,-156371,,,455900,-746300,-256806,234909,,-48490,-486902,-535392,10.0,0.0,9133.0,,,,-391280,7348.0,,2862566,-53223,4825,,,,-59833,-7807.0,,115479
2016-08-09,2,2016,,-1000000.0,-45000,41457.0,,13018,,-12047,-28696,-8168,48,-1446.0,0.0,79165,51302,-5314.0,119536.0,-12527,-179137,-11000.0,-3703,0.0,-1600.0,399001,,169453,-151563.0,,1050000,-1100000,56600,235.0,5955,-80539,24519,,-202173,131933,0,-375,9895,-248892,,3137,360.0,612449.0,2016年01月01日至2016年06月30日,3382544,3172700,-209844,557083,202.0,,936290,1219991,,1500000.0,2835900,-3852300,-931434,557083,-360.0,-243732,294191,50459,10.0,0.0,9133.0,,,,662908,6299.0,,3172700,-283701,9442,,-69787.0,287257.0,-118280,-10384.0,,-345965
2016-11-09,3,2016,,-1250000.0,-212600,75936.0,,12434,,-48361,-28627,-16336,53,0.0,4933.0,5548,1183,-7550.0,178511.0,-13429,-468341,-11000.0,-6188,2001.0,,173367,,135575,-28788.0,,1910000,-1660000,28969,64.0,-203135,-210763,-55811,,-485096,191544,0,-966,14328,-385397,,4349,3136.0,640133.0,2016年01月01日至2016年09月30日,3382544,2852396,-530148,879794,226.0,,519312,845597,-493165.0,1500000.0,4434900,-4509574,-550935,879794,-3136.0,-248320,-426010,-674330,182626.0,3766.0,9122.0,,,272.0,-34197,4445.0,,2852396,-326285,-2814,,-69790.0,259911.0,-119076,-16023.0,,-399986
