date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付設備款增加,預收款項增加－處分資產
2013-05-14,1,2013,288055.0,,-451373.0,-937736,6503,,,,,0.0,3140,-217754,,,372086.0,,,-1642,59346,3591,-26913,,104.0,,0.0,2500.0,8979,-240000.0,-32852,99833.0,,,-77738,-515.0,-445363,355358,1505.0,25025,452,-57935,1714,,,2013年01月01日至2013年03月31日,965332,1020282,-79123,54950,105285,,,425443,481719,721500.0,,,,0.0,71279,105285,1461.0,,-22219,110598,88379,638951,,0.0,,,,-876,,376434,5087.0,1020282,-55,-52008,,-180950,0.0
2013-08-09,2,2013,694843.0,,-463274.0,-2045799,41836,,,,,0.0,17766,-171491,,,552452.0,,,-3306,117427,21043,-49469,,61.0,,4750.0,,-20504,-240000.0,-23220,199359.0,,,-9726,-1045.0,-697705,721086,-111.0,131959,904,-114847,3432,,,2013年01月01日至2013年06月30日,965332,1056244,-70477,90912,170953,,,1234214,1383712,721500.0,,,,200000.0,-466640,170953,1461.0,,35226,482690,517916,921513,0.0,0.0,,,,-6223,0.0,1212759,5112.0,1056244,-38083,-71141,,-412986,0.0
2013-11-07,3,2013,1182014.0,,-463274.0,-2795971,53362,,,,,0.0,92462,-30732,,554226.0,,,,-4516,176686,6702,-106497,,-256.0,,4250.0,,8697,-240000.0,-17265,198723.0,,,527,-1248.0,-900350,1098234,5430.0,137475,1294,-175028,4726,,,2013年01月01日至2013年09月30日,965332,1058816,-45915,93484,256573,,,1435830,1687295,721500.0,0.0,,,200000.0,-448698,256573,1461.0,,132741,115967,248708,1690580,0.0,0.0,,,,-6883,0.0,1430722,5112.0,1058816,-81163,-43459,,-1112329,0.0
2014-03-25,4,2013,1678917.0,,-463274.0,-4246929,18051,,,,,0.0,57102,21335,,122861.0,,,0.0,-5949,234887,17558,-489206,,-255.0,,5250.0,,28655,-240000.0,-7037,200000.0,,,4744,-1455.0,-1635737,1470768,6192.0,142037,1656,-234872,6217,,,2013年01月01日至2013年12月31日,965332,883238,1236,-82094,424221,,,2062879,2372762,721500.0,-403350.0,,,426221.0,-526794,424221,1461.0,,72853,196771,269624,3074293,76004.0,-22964.0,,,,-6883,0.0,1948541,5112.0,883238,-81228,-407,165000.0,-1110646,0.0
2014-04-30,1,2014,234277.0,,0.0,-1849967,-15850,,,,,,73895,21975,,204388.0,,,,-1334,61479,21263,-244862,-95.0,-37.0,,,0.0,3890,0.0,-20169,0.0,,,-15463,-109.0,799029,363971,346.0,-94428,366,-59991,1330,,,2014年01月01日至2014年03月31日,883238,944688,-1461,61450,106080,,,235741,294444,0.0,,,16648.0,,-994583,106080,0.0,,38113,-84026,-45913,838773,,,,1091234.0,-188209.0,-41,,188364,0.0,944688,-42,-494,,-251636,
2014-08-11,2,2014,649905.0,,0.0,-3852081,-9196,,,,,,147374,-21516,,330303.0,,,,-2936,133087,953,-501460,-95.0,4492.0,,,6.0,-38847,0.0,24287,0.0,,,-13476,-275.0,147064,714140,0.0,-1853,762,-128802,2614,,,2014年01月01日至2014年06月30日,883238,819221,4016,-64017,112865,,,675512,849268,0.0,,,72449.0,,-887546,112865,0.0,,162190,-75692,86498,2887594,,,,1441429.0,-198253.0,-146,,736403,0.0,819221,-47568,-765,,-1123119,
2014-11-06,3,2014,1032886.0,,0.0,-4564909,8344,,,,,,48638,574,,567552.0,,,,-3782,193325,13316,-770643,-95.0,,-36.0,,6.0,-14364,0.0,42185,100000.0,,,-1333,-442.0,-976293,1076460,43.0,11513,1049,-203748,3732,,,2014年01月01日至2014年09月30日,883238,833663,-3658,-49575,185233,,,1065653,1313277,0.0,,,0.0,,-152251,185233,0.0,,98768,-3610,95158,4312694,19124.0,-31175.0,,1438612.0,-197866.0,579,,1128044,0.0,833663,-47608,-2046,,-2877697,646848.0
2015-03-26,4,2014,1456239.0,,0.0,-1724098,22099,,,,,,69211,-28042,,560736.0,,1948.0,,-4924,253135,39280,-982413,-290.0,,-37.0,-5025.0,,40,0.0,21694,100000.0,,,-25492,-611.0,-1691065,1461981,-874.0,12981,1329,-269954,4963,,,2014年度,883238,1060030,4455,176792,291848,,,1461062,1819093,0.0,-403350.0,,220000.0,,367515,291848,0.0,,111519,-40513,71006,2010000,788101.0,-56862.0,,1447112.0,-199035.0,566,,1527245,0.0,1060030,-93040,-4406,165000.0,-3501234,
2015-05-14,1,2015,,,,-648345,3654,,,,,,-52610,21861,,-78091.0,,,,-540,67508,-10043,-216099,-234.0,,0.0,,3355.0,-18690,,-56258,,,,-8946,,-1538808,395978,201.0,2125,273,-69687,500,,445231.0,2015年01月01日至2015年03月31日,1060030,1112073,19,52043,20519,-219.0,,287657,356868,,,645000.0,-120000.0,,1313237,20519,,,-105232,-3650,-108882,1436582,,,,59578.0,-17409.0,-156,,336349,,1112073,-24,-442,,-1307317,
2015-08-11,2,2015,,,,-1306376,-8217,,,,,,-79062,-306,,-75648.0,,,,-1910,138081,-24070,-450339,-233.0,0.0,,,3279.0,-22155,,6614,,,,-6747,,-2362214,808077,,-2824,544,-144392,1864,,908383.0,2015年01月01日至2015年06月30日,1060030,976513,-152,-83517,39839,-438.0,,671980,835087,,,645000.0,-20000.0,,1630787,39839,,,-81103,-32032,-113135,2192063,40532.0,-18508.0,,58928.0,-17219.0,-257,,795248,,976513,-20579,-273,120100.0,-1938733,
