date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付公司債匯率影響數,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收款項增加,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,概括承受他公司之賠付款,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,遞延借項（增加）減少,避險之衍生金融資產（增加）減少,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,長期應收租賃款增加,長期應收租賃款減少,除列按攤銷後成本衡量金融資產淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少
2013-05-09,1,2013,,1300.0,,-1563,,,110,,,,,14,-22.0,,0.0,,,,,,,,,,,,,,,,,,,,-2900.0,,0.0,,,,-50.0,,,6,,,-435,-157,85,,,,,-40,,,40031,1405,,,6667.0,,81,,,,,2013年01月01日至2013年03月31日,255849,292830,,,36981,-1219,,,-3000.0,-3000,-2956,,-50,-1219,,,-2141,-896,-3037,,,,,,,,,,,,,32200.0,4064,-1737,,292830,-44.0,,-186,,,,,,,,,,,,,-1035,,,
2013-08-09,2,2013,,2442.0,,-1184,,,98,,,,,13,19.0,,,,,,,,0.0,,,-991.0,65.0,0.0,,,,,,,,0.0,,,-6503.0,0.0,,,-50.0,,,38,,,-375,-687,-196,,,,,278,,,1428,2810,,-5800.0,9667.0,,141,-65.0,991.0,,,2013年01月01日至2013年06月30日,255849,253603,,,-2246,-2933,,,,-3624,-4474,,-50,-2933,,,-2233,-1750,-3983,,,,,,,,,,,,,,4064,-1541,,253603,-76.0,,417,,,,,,,,,,,,,-1987,,,
2013-11-07,3,2013,,3392.0,,-1493,,,231,,,,,-34,19.0,,,,,,,,0.0,,,-1595.0,98.0,0.0,,,,,,0.0,,0.0,,,-7760.0,0.0,,,-1516.0,,,69,,,-459,-878,640,,,,,272,,,5736,4207,,-2900.0,12332.0,,202,-98.0,1595.0,,,2013年01月01日至2013年09月30日,255849,256749,,,900,-2471,,,,-3320,-4771,,-1516,-2471,,,-2864,-2828,-5692,,,,,,,,,,,,,,4064,-2300,,256749,-46.0,,480,,,,,,,,,,,,,-4059,,,
2014-03-20,4,2013,,3567.0,,-172,,,195,,,,,-132,0.0,,,,,,,,0.0,,,-2280.0,131.0,,,,,,,-2554.0,,0.0,,,-10201.0,0.0,,,-1233.0,,19.0,-1352,,,-445,-891,701,,,,,128,,,18293,5643,,,15665.0,,263,-131.0,2280.0,3715.0,,2013年01月01日至2013年12月31日,255849,243132,,,-12717,-11247,,,,-29777,-35533,,-1233,-11247,,-3715.0,-1640,-26213,-27853,,,,,,,,,,,,,11300.0,4064,-24286,,243132,-108.0,,-437,,,,3962.0,,,,,,,,,-25885,,,
2014-05-06,1,2014,,948.0,,-592,,,279,,,,,442,1944.0,,,,,,,,,,,-478.0,19.0,,-3133.0,,,,,,,,0.0,,,,,,0.0,,,-148,,,-2,-46,340,,,,,-128,,,-3133,1545,,,0.0,,60,-19.0,478.0,73.0,,2014年01月01日至2014年03月31日,243132,243518,,,386,3,,,,3519,3040,,0,3,,-73.0,-198,2287,2089,,,,,,,,,,,,,0.0,0,3037,,243518,-53.0,,-125,,,,,,0.0,,,,,,,0,,,
2014-08-14,2,2014,,1188.0,,-1102,,,279,,,,,440,0.0,,,,,,,,,,,-1085.0,38.0,,-3133.0,,,,,,,,,,-11459.0,,,,105.0,,,-142,,,-14,-94,305,,,,,160,,,724,3091,,0.0,3663.0,,121,-38.0,1085.0,139.0,,2014年01月01日至2014年06月30日,243132,246680,,,3548,12,,,,2719,1477,,105,12,,-139.0,-770,1047,277,,,,,,,,,,,,,,11653,1465,,246680,56.0,,-838,,,,,,,,,,,,,445,,,
2014-10-30,3,2014,,1736.0,,-971,,,269,,,,,327,0.0,,,,,,,,,,,-1651.0,57.0,,-3503.0,-1897.0,,,,,,,0.0,,-21569.0,,,,105.0,19.0,,-88,,,26,-80,190,,,,,160,,,-8429,4623,,,10858.0,,182,-57.0,1651.0,910.0,,2014年01月01日至2014年09月30日,243132,239618,,,-3514,985,,,,4810,2306,,105,985,,-910.0,-698,283,-415,,,,,,,,,,,,,,11663,1321,,239618,0.0,,-565,,,,,,,,,,,,-4000.0,-248,,,
2015-03-10,4,2014,,1485.0,,-96,,,234,,,,,63,,,,,,,,,,,,-2693.0,77.0,0.0,-7919.0,-1898.0,,,,,,,-5495.0,,-29692.0,,,,366.0,,19.0,-76,,,-9,-103,243,,,,,160,,,-13576,6267,,,10859.0,,242,-77.0,2693.0,696.0,,2014年度,243132,233566,,,-9566,-1655,,,,3644,400,,366,-1655,,-696.0,-145,715,570,639.0,,,-639.0,,,,,,,,,,19911,2055,,233566,-68.0,,-1189,,,,116.0,,,,,,,,,154,,,
2015-05-07,1,2015,,,,1358,,,85,,,,,676,0.0,,,,,,,,,,,-664.0,19.0,,0.0,,,,,,,,,,-11723.0,,,200.0,,,45.0,22,,,-31,114,-299,,,,,-714,,,-1629,1735,,,,,61,-19.0,664.0,0.0,2179.0,2015年01月01日至2015年03月31日,233566,235777,366.0,,2211,723,,,,3640,3063,,200,723,,0.0,2117,-1956,161,,,,,,,,,,,,,,10049,2340,,235777,-68.0,,-1068,,,,1730.0,,,,,,,,,-1050,,,
2015-08-14,2,2015,,,,-1615,,,-3712,,,,,5,,,,,,,,,,,,-1337.0,40.0,,0.0,,,,,,,,,-11705.0,-81959.0,,,,248.0,,45.0,52,,,-31,597,-169,,,,,-57,,,-25728,3487,,,0.0,,122,-40.0,1337.0,323.0,4081.0,2015年01月01日至2015年06月30日,233566,208508,,,-25058,38,,,,422,-1297,,248,38,,-323.0,-1044,-4372,-5416,,,,,,,,,,,,,,67891,-1335,,208508,99.0,,-476,,,,2568.0,,,,,,,,,-486,,,
