date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-14,1,2013,-931864.0,-7196010,-259117,,-97218,91512,-183931,-607809.0,,,20579.0,,-520962,,,,,-5654,351635,313305,-13918,,-899415,-4231,0,189874.0,,-277308.0,,-207047,,397193,11173,-9285,-261033,21911,,948250,286777,,-2056,-56775,74561,-298262,2985,,,2013年01月01日至2013年03月31日,3055647,3145322,89675,1840046,-624002,-187962,,,,20050471,-20198983,-547878,1840046,,,-141957,-954187,-1096144,6606770,3710,,,194,2639795,-1567258.0,,,-2028008,-772,3145322,-140763,-15344,,10335
2013-08-12,2,2013,-840297.0,-11978229,56710,,24391,-28495,-179562,-64441.0,,-190852.0,,,-1390638,,,,,-12585,370133,-197262,-17621,-25713.0,-777375,-4418,3209,,-33050.0,-237962.0,,65897,,577200,-38725,-14418,89715,28414,,123367,447227,,-145133,-102409,181671,-639321,12831,,,2013年01月01日至2013年06月30日,3055647,3012510,-43137,2577521,946471,2013740,,,,29821994,-31059074,-915713,2577521,,-95879.0,426414,-149898,276516,12332646,920,126922.0,,339,2640104,-1567258.0,-60679.0,,-563781,818,3012510,-440779,-4066,,-95855
2013-11-13,3,2013,-460492.0,-16150160,-61906,,-17776,153741,-177584,-21183.0,,-187462.0,,,-1604414,,,,,-24819,556190,196507,-26982,-25713.0,-2009417,-5701,5041,42830.0,,,55289.0,-157513,,602928,16863,-14607,-187995,-25156,,-893345,685151,2035.0,-263245,-172269,276199,-498448,21867,95879.0,,2013年01月01日至2013年09月30日,3055647,3386942,331295,3152070,1781725,2572384,,-1366326.0,,38854296,-37664001,-753592,3152070,,-95879.0,350573,-469767,-119194,15529769,1719,267651.0,,1157,2641685,-1567258.0,-121495.0,0.0,-579686,620,3386942,-409957,-2510,,31584
2014-03-25,4,2013,-274886,-9653920,349202,,81272,92700,-218300,-43318,,27328,,,-2005874,209751,11006,,,-41238,724707,-237860,-102739,-25713,-2462873,-5803,-2122,,-31047,,150429,-540037,,612637,82474,-1351,-156780,-23796,,-1284494,869781,481,-451661,-252997,218290,-712562,40350,95983,,2013年01月01日至2013年12月31日,3055647,3655487,599840,3811683,2156376,3403292,0,-1366326,,17821433,-17576987,-34182,3811683,0,-95983,907004,-1040509,-133505,10772665,1542,280030,,18497,2649428,-1567258,-152866,0,-408391,589,3655487,-670687,-4703,,82383
2014-05-12,1,2014,190261.0,-3361611,-309260,,-142751,217980,-84232,0.0,,,,,-1055652,,-6918.0,,,-17097,189253,29049,-24262,0.0,-625786,-1751,1077,,7240.0,-91537.0,,-40080,,762418,849,-8428,-583552,28100,,-1796502,38504,6508.0,-111005,-59231,1390,-171694,10931,,,2014年01月01日至2014年03月31日,3655487,3133969,-521518,529484,-30088,353015,,,,8623158,-6074048,1276023,529484,,,229110,-595840,-366730,2081284,2486,0.0,,-167,0,0.0,-863.0,,-176469,4006,3133969,-222340,44313,,-107283
2014-08-13,2,2014,91802,-8172426,-405531,,-174869,-215076,19081,0,,0,,,-2477220,,,,,-27386,361831,-248987,-44182,0,-1748998,-6616,-10,,104490,,22131,258029,,318290,-28827,-12443,-225671,43432,,-4063410,73131,,130327,-126107,3229,-389914,21220,26393,,2014年01月01日至2014年06月30日,3655487,4409919,754432,1552324,459532,1261731,,,,24138559,-21635679,4607297,1552324,,-73076,-276813,-105582,-382395,10172353,3697,187778,,63,0,0,-164221,,-290593,7486,4409919,-459898,44348,,-96623
2014-11-13,3,2014,-85647.0,-11240561,-172922,,-110775,-293745,3347,0.0,,-1906213.0,,,-622861,,,,,-44469,563955,-369718,-57397,-850340.0,-2734771,-6835,20,,124399.0,22166.0,,-526,,46314,-81250,-3809,56377,40739,-137962.0,-4665543,101143,4764.0,-107484,-204483,5123,-592577,39416,74006.0,,2014年01月01日至2014年09月30日,3655487,4066816,411329,2310468,809879,1573703,,-2151963.0,,34761313,-30524739,4636711,2310468,,-74006.0,-306303,-344815,-651118,13668262,3191,1487517.0,,991,0,0.0,-304028.0,,-736765,8028,4066816,-284669,8069,,-40176
2015-03-27,4,2014,-500848,-15377083,233679,,310350,-279591,-84027,117381,,-1872154,,,-3784840,,,,,-71787,840666,-433994,-69986,-954813,-6893644,-36334,312,137977,,,112781,104401,,-36258,-40009,-1090,-457756,41667,-540319,-11571690,130068,5187,-4568,-292187,15503,-861903,70859,74626,,2014年度,3655487,2660118,-995369,3386143,1295884,2550513,,-2151963,,50759502,-48221793,9714431,3386143,,-74626,395406,-730188,-334782,24554815,6505,1700966,,5500,219829,,-419017,,-835630,7574,2660118,-538211,-94961,12976,-251722
2015-05-05,1,2015,,-5850036,29393,,416743,-277755,-130864,,,0.0,,,-127061,,0.0,169430.0,,-17789,264155,198307,-55102,,-450423,-2250,251,,-58786.0,38.0,,-222015,,-158693,22553,-6423,150048,4982,-47231.0,-428244,26119,-5187.0,119273,-102551,3939,-274471,16271,,41398.0,2015年01月01日至2015年03月31日,2660118,3331934,671816,743243,63789,603022,,,,10841486,-8555376,837964,743243,,,170368,-351987,-181619,4460778,4031,4375.0,,-9,28718,0.0,-58370.0,,-140221,2846,3331934,-281033,-27116,-102.0,-126520
2015-08-12,2,2015,,-12030101,-634584,,529927,57176,-136477,0.0,,0.0,,389655.0,-50974,168903.0,,,,-38005,499616,141523,-334126,-13153.0,-1366578,-6013,19163,,430.0,-58677.0,,131228,,-483360,-54403,-10493,505209,6064,74190.0,-1578623,56237,,-189873,-189039,8151,-504614,36640,0.0,227372.0,2015年01月01日至2015年06月30日,2660118,2943636,283518,1232127,203496,1265086,,,,23575511,-24190837,1517122,1232127,,-56242.0,-786539,592126,-194413,13772743,2703,40339.0,,43,38953,0.0,-115541.0,,32959,2851,2943636,-593616,-31201,-279.0,82322
