date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,-69169.0,-48833,,-8107,195,-13529,,1978,26637,110,-21513,0.0,,,102,744.0,,3207.0,,-357930,,98579,,,68985,,-7458,,-181687,-9082,18736,-41489,,-4237,356,-24787,,,2013年01月01日至2013年03月31日,425553,499983,77056,74430,165330,-398563,-398563,,,4583423,-4028582,481965,165330,1980,159457,-654181,-494724,,941,21812.0,-205,,3103.0,,-563893,499983,,-89333,,,,-105342,,-65812,
2013-08-06,2,2013,-19728.0,-50523,,-10368,-299,-13530,,3451,53848,157,-73112,0.0,,,-6161,744.0,,3452.0,,74119,,-34253,90000.0,,24335,,-70977,,26463,-29468,37634,165104,,-8223,715,-50975,398.0,,2013年01月01日至2013年06月30日,425553,503760,62909,78207,209171,377084,377084,,,8107553,-8668731,-269566,209171,3958,-20286,207927,187641,305000.0,1150,52174.0,-130,,9034.0,,167913,503760,,-73156,,-2634.0,,-103607,,13517,
2013-11-05,3,2013,-60933.0,-99369,,12799,-2784,-14777,,4562,79742,10,-89914,0.0,,,2442,2757.0,,3454.0,,455310,,-3228,90000.0,,-104903,,-221556,,151487,-47515,56800,46658,,-11921,1062,-78439,398.0,,2013年01月01日至2013年09月30日,425553,512662,20576,87109,271318,545251,545251,-138378.0,,12399463,-12889036,-410637,271318,5666,-95332,430198,334866,305000.0,1150,52174.0,-130,,9034.0,,273933,512662,,-122873,,-2635.0,,-105893,,1083,
2014-03-18,4,2013,-76984.0,-101071,,50235,-1981,-14714,,6151,105567,75,-110919,-10574.0,,,2462,2982.0,,3160.0,,837957,0.0,21335,90000.0,,85041,,-330049,-84425.0,200365,-77182,76090,110908,,-15289,1218,-104106,398.0,,2013年01月01日至2013年12月31日,425553,867867,34892,442314,351802,1173222,1173002,-138378.0,500000.0,15931144,-17136737,-653801,351802,7374,156611,741573,898184,305000.0,3293,52174.0,-1092,,9034.0,,821200,867867,220.0,-197018,0.0,-2635.0,,-106373,,8798,
2014-05-06,1,2014,46430.0,-283859,,-23131,267,-71,,1299,25530,146,-23804,,,,143,0.0,,1580.0,,-117481,,241817,-80000.0,,-129649,,-161094,8446.0,-20586,-22295,19170,65382,,-3044,260,-22275,,,2014年01月01日至2014年03月31日,867867,619107,28439,-248760,72258,-41931,-41900,,,3128476,-3077022,-184680,72258,1708,89037,-249625,-160588,150000.0,0,0.0,441,,0.0,,-114158,619107,-31.0,-33625,,,,6109,,-24559,
2014-08-06,2,2014,49768.0,-312687,,17189,742,-5322,,1167,53669,-159,-133465,-30000.0,,,7646,0.0,104.0,6790.0,,-555679,,103,-30000.0,,56322,-229563.0,-512148,7399.0,-253323,-661077,38471,280649,,-9958,519,-43082,0.0,,2014年01月01日至2014年06月30日,867867,578770,-27452,-289097,192522,-759528,-758677,,,7490162,-5891141,1131667,192522,3416,73614,-1074581,-1000967,150000.0,67,0.0,535,,0.0,,-951199,578770,-851.0,-10600,,-2126.0,,-7645,,-42221,-499147.0
2014-11-04,3,2014,190349.0,-889827,,-16630,-14419,-99,,1038,88842,-87,-189072,-30000.0,,,6505,11071.0,104.0,6540.0,,-791961,,57319,0.0,,71428,-229563.0,-401744,51711.0,-164990,-759012,60805,202614,,-16945,784,-74932,827.0,,2014年01月01日至2014年09月30日,867867,534966,31636,-332901,263358,-610179,-609044,-276993.0,,11281838,-10433195,1036377,263358,5125,112117,-1174868,-1062751,1650000.0,333,0.0,3794,,0.0,,-872402,534966,-1135.0,15985,,-2126.0,,-7220,,-56079,-547541.0
2015-03-20,4,2014,193342.0,-889827,,-25921,2394,-3335,,1366,120669,118,-251309,-30000.0,,,5138,11178.0,,,6543.0,-825892,,-14208,0.0,,-28757,-229563.0,212608,44995.0,-95369,-812684,84581,340806,,-19395,1051,-106684,3724.0,,2014年度,867867,398927,120653,-468940,267493,32520,31997,-276993.0,0.0,14371866,-14216741,311106,267493,6833,-68886,-359952,-428838,1650000.0,7967,15522.0,-785,,-3087.0,,-235496,398927,523.0,-121638,,-2130.0,,-2044,-14456.0,-39494,-547340.0
2015-05-08,1,2015,,-520,,28466,-22211,4757,,-152,25481,-638,-16151,,,,-430,,242.0,,389.0,86968,,44131,0.0,,-34022,,-58484,1927.0,256637,389549,21984,-21878,,-30,261,-29672,,-64793.0,2015年01月01日至2015年03月31日,398927,576784,119894,177857,284483,532464,534294,,,3035540,-3749108,-743518,284483,1708,38575,276029,314604,0.0,1462,,-385541,459935.0,,,249811,576784,-1830.0,129327,,,,22705,-53650.0,33070,-7193.0
2015-08-05,2,2015,,-1040,,9772,-2837,4715,,-281,52626,-1508,-36042,0.0,,,-1061,,242.0,,1324.0,310267,,-10530,,100000.0,-214156,0.0,22634,-712.0,168786,384184,43914,-66313,,-580,523,-54448,1042.0,115557.0,2015年01月01日至2015年06月30日,398927,618854,158757,219927,150795,506975,518437,,,6045481,-6758378,-669724,150795,3417,-214914,466999,252085,0.0,1732,,-385556,459935.0,,,367642,618854,-11462.0,194881,,-1581.0,,48917,-41092.0,35174,-7430.0
