date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-04-30,1,2013,637733.0,,,0.0,201347,26126,-296896,475,,47522,-75855,-6644,-197379.0,,-54.0,,15686.0,-732.0,,12545.0,-1548,44744,-28332,-3759667,,-19776,-111,,-28304,-3346.0,,,,,-135677,,,,,-179585,-112124,310116.0,0.0,-255284,786,112065,-574.0,155910,0.0,-77753.0,-3648967,701125,,-13584.0,18257,-44744,,1548,,,2013年01月01日至2013年03月31日,3083622,2853342,-230280,-6387,,-229208,-171147,,,611190,3676227,-6387,,,-388533,-413960,-802493,2758771,71,,133935,136,,,0.0,,-117465,,,,,,-164760,,2853342,-14865.0,,6800.0,,,-3796,0.0,,23971.0,,,,-32924
2013-08-12,2,2013,1392982.0,7474.0,,0.0,268683,60,-207928,-4440,-167234.0,124504,-145217,-25118,-118411.0,,,,,1780.0,,,-48268,152452,545012,-4725227,,-10012,-111,,-375345,-356277.0,,,,,-181431,,,,,-56194,-138114,309920.0,,-78032,1040,-23108,5643.0,102764,0.0,-20814.0,-5372826,1422503,,-22672.0,39491,-152452,,48268,,,2013年01月01日至2013年06月30日,3083622,2825823,-257799,68166,,854987,1104515,,,1301152,3715028,68166,,51776.0,126782,-483415,-356633,2370006,4737,,249169,3986,,,,0.0,-214866,0.0,,,,,1036349,-40.0,2825823,-145344.0,,6800.0,,,-266050,0.0,,88713.0,,,,50807
2013-11-07,3,2013,1950081.0,7473.0,,-21902.0,467140,31,-259071,-2063,,152332,-142317,-54440,-284048.0,,,-134702.0,0.0,,,,-69289,166897,621825,-6028654,,-14996,-283404,,-380826,-36485.0,,,,,-64017,0.0,,,,-254883,-151932,394780.0,,-529435,-1800,288375,5463.0,247258,-178.0,-36527.0,-5807396,2118982,,-33815.0,63459,-166897,,69289,147771.0,,2013年01月01日至2013年09月30日,3083622,3735585,651963,352119,,1378199,1658356,-303860.0,,1529526,4459335,352119,,-70321.0,-285829,-358015,-643844,3078562,4603,,379831,6620,,,,0.0,-238710,0.0,,,0.0,,1306237,7068.0,3735585,-182549.0,51.0,6800.0,,-593.0,-217771,0.0,0.0,-147417.0,0.0,531993.0,,116617
2014-03-25,4,2013,2794448.0,7474.0,,,52130,200,-244674,-2771,,163964,464618,-36003,,-333409.0,,,101896.0,-59.0,,,-75455,297414,66696,-3505545,,-14984,-283961,,-31713,,,,,,131145,0.0,,,,213407,-151417,684489.0,,65407,-2470,-775497,6075.0,-199472,-124.0,-38388.0,-5717133,2799025,27000.0,-53339.0,74583,-245100,,74876,,,2013年01月01日至2013年12月31日,3083622,6016738,2933116,1245820,,2688769,3099632,-303860.0,2206683.0,1389757,5894784,1245820,,-81262.0,433057,-1373693,-940636,2129028,107722,0.0,860522,-35614,,,3423.0,-3039.0,-364323,0.0,,,13074.0,,1853812,7232.0,6016738,-240639.0,3577.0,26121.0,,,-211313,233689.0,-26870.0,-419584.0,-3181174.0,,,158995
2014-05-13,1,2014,501946.0,2582.0,,-958620.0,123977,-154,47925,-2160,,-94620,-71563,-73,-189504.0,,,,-83183.0,-77381.0,,4738.0,-16745,72715,53227,-267497,-55880.0,-67002,-551,,-12247,-39441.0,,,,,25728,,,,,-358981,16305,129471.0,0.0,-293124,10371,629472,-465.0,-204435,53.0,-27235.0,-2291776,456829,,-11811.0,18902,-70237,,16659,,,2014年01月01日至2014年03月31日,6016738,5436891,-579847,174163,,76167,134513,,,907618,1582535,174163,,,-591621,50025,-541596,1368115,120264,,116509,-72973,,,0.0,,-69487,,,,,,-39650,13.0,5436891,-4768.0,,0.0,-17641.0,,135951,219538.0,,-185026.0,-2010068.0,,,31900
2014-08-12,2,2014,1056085.0,2729.0,,-912720.0,332519,4155,13512,-3843,,-5353,-123698,-8058,,-199620.0,,-197733.0,,-147068.0,,23975.0,-35730,183775,-3305,-1002080,-55880.0,-692559,-551,,-15079,-34823.0,,,,,-15793,,,,,-443668,46974,0.0,-169671.0,29665,1106,296556,-17438.0,-164004,106.0,-27313.0,-2499199,961146,108696.0,-28009.0,38060,-181581,,36097,80443.0,,2014年01月01日至2014年06月30日,6016738,6708420,691682,474209,,968661,1261789,,,977276,2225525,474209,,-4280.0,219952,-488457,-268505,2178725,140952,,469714,-60428,,1943807.0,,,-111463,,,,,,787580,17.0,6708420,-147644.0,,0.0,,,151915,289140.0,-29058.0,-274235.0,-3270810.0,,,289908
2014-11-11,3,2014,1585357.0,2729.0,6133.0,,314030,119,-30796,-29378,,167967,-163489,-1121,,-261742.0,,-233756.0,,-91341.0,,7193.0,-58197,283191,67900,-1934847,-56013.0,-692767,-21691,,-18482,-296225.0,,,,,-45699,,,,,150081,48502,129401.0,,-56912,6470,267377,-6035.0,-123370,124.0,-38354.0,-5110194,1461639,108696.0,-44253.0,57846,-278677,,58433,179637.0,,2014年01月01日至2014年09月30日,6016738,6364023,347285,833648,,2064996,2511709,0.0,,1112851,3324583,833648,,-82219.0,986281,-893577,92704,1930416,164655,,770096,25600,,1943807.0,,439.0,-111845,,,,,,1678061,280071.0,6364023,-226469.0,-115585.0,0.0,,,151915,289140.0,-29058.0,-500569.0,-5039359.0,0.0,,115428
2015-03-23,4,2014,1829725.0,2729.0,6133.0,,313397,-22,-8094,-4135,,-26371,-91141,4537,-476412.0,,,0.0,-114457.0,-146487.0,161873.0,0.0,-74978,358370,-98408,-8469664,-56013.0,-692767,-39680,,-59259,-258057.0,,,,,106517,,,,,72592,55801,129655.0,,237022,966,-449209,-14634.0,-439761,124.0,-13282.0,-6518652,1988220,108696.0,-49422.0,77575,-360283,,74926,202047.0,,2014年度,6016738,8104545,2087807,1290375,,1853351,2343671,0.0,2913196.0,493335,6851516,1290375,,-88678.0,1182963,-1959392,-776429,3163232,188935,,770096,45726,590697.0,1943807.0,13990.0,-12868.0,-111845,0.0,-326075.0,,0.0,,1053296,213190.0,8104545,-204963.0,-89895.0,277723.0,0.0,,152098,11417.0,-29058.0,,-817758.0,,-582647.0,325133
2015-05-13,1,2015,,0.0,,320512.0,-128154,106416,601779,3146,,59773,-183472,-103528,-94820.0,,,,39473.0,-55146.0,,12635.0,-25581,91114,-96709,-946099,0.0,-51414,0,,-3196,,-4463.0,,,,-396302,,,,,-551343,1370,0.0,-349511.0,-362622,3628,390140,-7040.0,372226,-34951.0,,-1119681,478046,34783.0,-995.0,14812,-84367,,25725,,860886.0,2015年01月01日至2015年03月31日,8104545,7857180,-247365,81371,-62889.0,590451,661944,,,518693,378574,81371,,-4.0,-685894,405581,-280313,23506,217077,,23733,384889,,,,,437,16600.0,,,,,580573,253505.0,7857180,-12851.0,-26686.0,0.0,0.0,,-134626,,,-245125.0,-458810.0,,,97950
2015-08-10,2,2015,,3300.0,,0.0,197051,7722,868028,572,,176337,-115536,-90021,141901.0,,,-11968.0,,-106109.0,,18980.0,-50383,181491,-190251,-2191826,-294189.0,-241143,0,,-34232,,-24342.0,,,,-69300,,,,,-646656,-27843,,-169249.0,-647017,876,610312,-12779.0,354816,0.0,,-2415539,925498,78261.0,-5146.0,32054,-167583,-110840.0,51068,46640.0,1087023.0,2015年01月01日至2015年06月30日,8104545,8159494,54949,32923,-102430.0,1491884,1719239,,,1019191,1168855,32923,,-411.0,-781753,1381046,599293,373539,1052344,,151214,135151,,0.0,,,356,16600.0,,,,,1686316,32229.0,8159494,,-25793.0,315.0,,,-54626,0.0,0.0,-396968.0,-985178.0,,,317999
