date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,413257.0,,-14100000,-527925,,,-147874,3139,438,1353,,,-80541.0,-17599.0,,-3584,,-41519,155671,17219,-1501130,,,-90000.0,-8799,255040.0,,-383,206516,,-4678117,-80473,3495559,-4208996,55513,9786,5734,16750,-2960.0,,-658500,721020,,-16543,5281,-122686,34374,,,2013年01月01日至2013年03月31日,16794103,8737755,-8056348,1132450,,-3289739,-3055282,-5,,10423437,-13551116,-4125328,1132450,,-4701640,100651,-4600989,14093796,2134,,701854.0,4214,,,-379826.0,,,,-4187732,8737755,-146145,-25349,,-197462,,-5725.0,,7948,529183
2013-08-13,2,2013,1234631.0,,-21595952,-441549,-1254324.0,,192764,55108,-14146,2706,,,59992.0,-131626.0,,77987,,-71419,300949,-51400,-2085309,-50000.0,0.0,-90000.0,-19612,736298.0,,-2735,569736,,-5209555,-88821,11914066,-12871349,-150420,284428,14887,17421,-6870.0,,-2189307,1429787,0.0,-129792,11677,-235615,58267,1.0,,2013年01月01日至2013年06月30日,16794103,8184635,-8609468,1558224,,-2337233,-1388900,-5,,25901114,-27191932,-4031528,1558224,-6733.0,-5494881,1313126,-4181755,19950000,3411,,701854.0,19603,,,-379826.0,,,,-2947124,8184635,-770985,-14867,,-197462,,,,245330,347226
2013-11-11,3,2013,1962277.0,,-41550000,-1528462,-1237779.0,,147744,64679,7461,4059,,84834.0,,-117821.0,,156308,,-97217,390476,-4812,-2676942,-50000.0,0.0,-147899.0,-22954,944658.0,,-5696,50067,,-6524046,-113727,19771211,-19890431,-138191,661421,22876,10597,-9387.0,,-2380333,2215480,0.0,-159477,18150,-313902,93064,,,2013年01月01日至2013年09月30日,16794103,6672860,-10121243,2384636,,-3157468,-2018540,-129,,39767771,-41768786,-4578630,2384636,-234250.0,-7450847,1085394,-6365453,39204362,3581,0.0,701854.0,35539,,,-379826.0,,2480.0,,-4403176,6672860,-1017207,-18431,513.0,-197462,38228.0,,0.0,181169,798287
2014-03-28,4,2013,2776559.0,-1200000.0,-52270000,-2032521,-1250053.0,,-6519,84261,-13293,5412,,131672.0,,-21593.0,,199505,,-120037,508253,23852,-3388947,-50000.0,0.0,-147899.0,-30186,681466.0,,8518,165533,,-993958,-19053,25070441,-26671997,-39328,698025,-6325,3076,-11748.0,,-3414959,2980758,1169262.0,-228035,24630,-515434,87411,335570.0,,2013年01月01日至2013年12月31日,16794103,13221405,-3572698,4019767,,5278177,6514885,-1095903,990692.0,52458782,-54640379,-5459768,4019767,-236453.0,-2369875,2088434,-281441,51964386,5023,0.0,709014.0,41902,,,-386986.0,,3256.0,,2495118,13221405,-1144255,-33996,1027.0,-197462,14217.0,,78216.0,73263,642472
2014-05-14,1,2014,735328.0,-2500000.0,-11595159,-1120315,,271966.0,129574,-39042,15935,1323,,-91914.0,,-22185.0,,-61295,,-25653,112046,14879,-494580,,,0.0,-4303,-52442.0,,14,77330,,-5666587,-95165,6808014,-6248526,-99010,89915,-6994,16052,-2021.0,,-301543,729416,5803.0,-27884,6365,-122095,41684,,,2014年01月01日至2014年03月31日,13221405,8331154,-4890251,769834,,-4144987,-4140953,0,,17190302,-15404276,-458600,769834,,-5756279,110164,-5646115,11505346,1,,0.0,3737,,,0.0,,,,-4910787,8331154,76377,2594,514.0,-122387,,-4526.0,,-218774,1265861
2014-08-12,2,2014,1587666.0,-2500000.0,-22524000,-1079969,296016.0,,173312,-25970,15500,-68722,,-8823.0,,-7714.0,,50494,,-49408,223063,-1479,-1038575,0.0,,-360000.0,-9036,-320340.0,,-2658,342780,,-5401173,-84994,11297924,-10291092,-110120,185042,-27684,23280,-3913.0,,-1438933,1455085,6757.0,-111031,12763,-223453,63511,1.0,,2014年01月01日至2014年06月30日,13221405,8560045,-4661360,1354431,,-3118964,-2636133,-21,,35871617,-35484841,-101984,1354431,-21702.0,-6128288,550058,-5578230,23659639,133,,0.0,11778,582.0,-316.0,0.0,,,,-3990564,8560045,-322889,2451,1027.0,-122387,16120.0,,,-100207,577851
2014-11-10,3,2014,2281467.0,-2500000.0,-35174000,-1161382,278286.0,,305507,5934,21054,-72936,,14816.0,,-4489.0,,123431,,-70728,341346,63580,-1573147,0.0,,-360000.0,-28950,-681693.0,,-1770,-130085,,-5294900,-85034,17444137,-16722551,-125175,332206,-78129,8725,-5724.0,,-2290480,2195953,-30050.0,-104535,20502,-354519,85452,265317.0,,2014年01月01日至2014年09月30日,13221405,4990052,-8231353,1845897,,-2084116,-1462852,-1622590,,56079462,-52879060,-3920337,1845897,-264620.0,-5693360,103144,-5590216,32159768,475,,0.0,14613,582.0,-316.0,0.0,,0.0,,-3308749,4990052,-617514,-6816,1541.0,-720319,32866.0,,78456.0,-253148,972921
2015-03-25,4,2014,3671067.0,-2500000.0,-48592000,-448737,212388.0,,173061,12266,-18273,5294,,26571.0,,-52667.0,,223165,-372940.0,-101762,465191,-62799,-1984796,0.0,,-360000.0,-34958,-369923.0,,-3321,104093,,-92347,1329,23851586,-23907209,-95891,276947,-134629,25709,26519.0,21931.0,-2859668,2951638,-4270.0,-133261,28907,-481901,116462,268821.0,,2014年度,13221405,10952918,-2268487,3089800,,6450707,7156377,-1622612,0.0,68280489,-69231410,-5796727,3089800,-268122.0,-147686,543196,395510,48618177,24190,,0.0,18330,582.0,-316.0,0.0,,0.0,,4066577,10952918,-609052,-46651,2055.0,-720319,513283.0,,78456.0,115264,449175
2015-05-12,1,2015,,0.0,-13825000,-709461,,0.0,43369,10862,7446,2086,,,-31951.0,1963.0,,12016,,-25971,114447,-15502,-397823,,,,-3177,,205540.0,-923,-144341,,-4252700,-79025,6280817,-6863141,-15419,140681,2393,-34506,,,-193490,762427,-38904.0,42534,7889,-197690,27956,,913597.0,2015年01月01日至2015年03月31日,10952918,5856819,-5096099,487335,-1220.0,-3365466,-3140775,-15,,11728446,-10929670,-1521641,487335,,-4385317,-156390,-4541707,12200265,7,,,2358,,,,,,,-3628110,5856819,-54957,-2854,514.0,-81392,,1160.0,,-134614,661646
2015-08-12,2,2015,,0.0,-25525000,-899856,,0.0,116352,60308,36955,4174,,,-23149.0,-3399.0,,95975,0.0,-47640,232064,-31949,-974083,,-769.0,-106000.0,-9208,,502269.0,-712,274286,,-5452699,-85015,11024656,-11543074,-18957,145707,55173,-14285,,2459.0,-512370,1520215,-17608.0,51090,15935,-202774,40395,1.0,2025345.0,2015年01月01日至2015年06月30日,10952918,8027809,-2925109,916927,-2262.0,-3048174,-2393447,-15,,21089308,-20574263,667384,916927,-1.0,-6000611,664892,-5335719,26300313,457,,,17363,16.0,97.0,,,,,-3310374,8027809,-492348,-27726,168253.0,-81392,-2027.0,,78346.0,64138,397870
