date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產減少,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得無形資產,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付設備款增加
2013-04-29,1,2013,,37197.0,-304368.0,-80461,-3247,-17829,,95810.0,-19634,-862,2748,12238,-8005,,,,-1587,,1193.0,32377,,48998,,-52570,99.0,88102,14557,,,11629,-1512,691,,2013年01月01日至2013年03月31日,469429,540345,180,70916,73116,,97271,101592,0,,146279,-74420,-126695,73116,1707,48935,-57656,-8721,187787.0,0.0,,24,,,28476,3085,540345,-4321,7214.0,,,,
2013-08-07,2,2013,423.0,80782.0,-304368.0,-1189,28013,-2447,,96576.0,-4985,-2629,5538,-2504,-23561,,0.0,,-2637,,-15.0,70383,,73621,,-82432,195.0,72819,29522,,,22888,-3283,2313,,2013年01月01日至2013年06月30日,469429,656179,18470,186750,180058,,339853,366330,0,,360447,-380725,-223418,180058,-824,124971,-19481,105490,105700.0,143.0,,899,,,186272,23142,656179,-26477,6495.0,,,,
2013-11-12,3,2013,1346.0,114953.0,-304368.0,-1788,57488,-10070,,96416.0,-30393,-3995,7514,-7021,-32185,,0.0,-11284.0,-3443,-125.0,0.0,13412,,115028,,-48459,290.0,64518,45710,,,33718,-4817,3712,,2013年01月01日至2013年09月30日,469429,732745,17546,263316,266113,,468367,498764,640,-57371.0,506739,-495999,-262548,266113,3758,193208,-75510,117698,105700.0,143.0,0.0,915,0.0,,232651,20402,732745,-30397,8441.0,,,,
2014-03-10,4,2013,1344.0,159944.0,-304368.0,-2390,94362,-11331,,112637.0,-84060,-5822,10259,-4934,-49326,,-80000.0,-11284.0,-7208,-900.0,0.0,74730,,86998,,-125605,303.0,20831,63319,,,44541,-6885,5484,,2013年01月01日至2013年12月31日,469429,740991,27899,271562,378034,,554616,608212,20456,-57371.0,568267,-611076,-298951,378034,8075,216500,-146266,70234,105700.0,143.0,40001.0,1131,-24.0,,230178,34837,740991,-53596,9222.0,,,,
2014-04-28,1,2014,,35056.0,-1400.0,-84060,-66632,-11423,,69704.0,92280,-1386,1480,3275,-25289,,-30494.0,,-313,-1976.0,0.0,-38359,,52269,,92913,128.0,83294,15938,,,10834,-1476,1583,,2014年01月01日至2014年03月31日,740991,935776,5500,194785,93429,,222484,242584,3399,,126534,-157265,-114268,93429,4209,-21312,135411,114099,0.0,,70079.0,34,-56.0,,149155,-7077,935776,-20100,-1497.0,,,,
2014-08-08,2,2014,0.0,61743.0,-1400.0,-97272,-32464,-679,,69704.0,113470,-3514,2232,-2504,-46376,,-119493.0,,-2536,,-215.0,-22463,,33542,,55166,253.0,-24658,35003,,,21763,-2240,3603,,2014年01月01日至2014年06月30日,740991,940188,-3773,199197,221089,,354237,416166,3765,,141534,-172265,-127878,221089,12567,-12160,145494,133334,0.0,576.0,70079.0,162,-56.0,83.0,195077,-13491,940188,-61929,-2724.0,,,,
2014-11-04,3,2014,0.0,104202.0,-1400.0,-110485,3093,-20147,,69704.0,42122,-4826,2915,2603,-63377,,-358493.0,0.0,-3694,-589.0,,-22,,18793,,112812,228.0,-102551,55919,,,32435,-2914,5099,,2014年01月01日至2014年09月30日,740991,872974,-1090,131983,342934,,512947,603128,7164,-254895.0,312107,-230593,-281016,342934,21566,21227,134765,155992,0.0,595.0,248204.0,189,-181.0,83.0,260194,-887,872974,-90181,-2808.0,,,,
2015-03-05,4,2014,374.0,160461.0,-1400.0,-123697,35973,-2421,,95693.0,-73229,-6550,3648,21126,-78048,,-358495.0,0.0,-3810,-640.0,,29944,-35770.0,22269,,41993,128.0,50196,81182,,,42929,-3634,6924,,2014年度,740991,1082773,11385,341782,499477,,597077,724636,21727,-254895.0,480913,-409861,-326617,499477,30202,68411,-3713,64698,0.0,313.0,388259.0,303,-287.0,,225159,10041,1082773,-127559,-2808.0,83.0,,,
2015-05-05,1,2015,,,0.0,-13213,-96207,-15143,,0.0,81808,-2216,823,-1773,-20983,,-25175.0,,-1023,-1101.0,,-28215,20.0,21504,,25286,,-36247,22201,,,10609,-783,1965,6942.0,2015年01月01日至2015年03月31日,1082773,1152525,-31905,69752,76288,-134.0,10979,28917,9158,,323386,-221775,96793,76288,7390,-118049,63736,-54313,,,10070.0,59,-19.0,,-47371,-43212,1152525,-17938,0.0,,,,
2015-08-07,2,2015,,,0.0,-26425,-84842,-17520,,0.0,170733,-4426,1818,-10420,-24671,,-238063.0,,-5297,,-29005.0,-50947,20.0,-42117,,82845,,-242784,46781,,,21027,-1750,4182,50329.0,2015年01月01日至2015年06月30日,1082773,1010988,-29272,-71785,93226,-262.0,129126,153341,24738,,563255,-507545,52293,93226,13752,-175325,185111,9786,,0.0,50070.0,690,-41.0,0.0,60115,-48104,1010988,-24215,0.0,,,,
