date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,員工執行認股權,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-08,1,2013,535408.0,,-2077410,-86177,,-218383,-760,1263,32478,8365.0,,-322,35137,50121,-10854,-3102.0,0,-164.0,,-1403,5779.0,,60934,,95402,0,,544042,174.0,0.0,-201111,466942,52129,3058,-33898,357,,,2013年01月01日至2013年03月31日,2646413,2674087,-19180,,27674,-576950,171516,205088,,,140891.0,0,7148,-576950,4306,,15634,230996,246630,1945070,,,782038,,2674087,-31,-6662,-187489,-192770,-3219
2013-08-05,2,2013,1165952.0,,-3046705,-46962,,-174528,70,1292,38007,73.0,,-1447,71702,-55264,-142785,-3102.0,-33000,-6064.0,,-45951,56642.0,,303304,,704060,0,0.0,-332639,-29029.0,0.0,-280783,941916,96122,6041,-68316,1388,,,2013年01月01日至2013年06月30日,2646413,2612265,51629,0.0,-34148,-436768,1375548,1446462,,,,-433519,-1073649,-436768,8613,,691416,25862,717278,2452526,,,1883230,,2612265,-3986,-8624,220677,-152474,32953
2013-11-11,3,2013,2293119.0,,-3710620,-22348,,-142470,70,1020,38557,1673.0,545414.0,-1837,107827,-74154,-301523,-3102.0,-45500,-6761.0,,-46010,134609.0,,-69834,-2462.0,553281,198329,-125.0,-728561,165.0,0.0,-256396,1424157,139447,9494,-102400,1752,8512.0,,2013年01月01日至2013年09月30日,2646413,2538167,68161,0.0,-108246,-831309,1708447,1813117,1152598.0,497200.0,,-918303,-1486143,-831309,12918,-8512.0,733146,-381839,351307,1538992,0.0,0.0,2644426,,2538167,-4022,-1488,520234,-42631,1316
2014-03-21,4,2013,2862616.0,,-4359805,46770,,30652,-158351,530,42369,-167.0,545414.0,-4053,139595,-78522,-325993,-3102.0,-45500,-6761.0,,-45773,332491.0,,106312,-2462.0,719885,173479,-125.0,-969942,174.0,0.0,-143683,1912500,184330,12853,-129478,3685,8512.0,,2013年01月01日至2013年12月31日,2646413,2881447,73735,0.0,235034,-536137,2355560,2485649,1152598.0,497200.0,,-1362818,-1898321,-536137,18424,-8512.0,938439,-779269,159170,2220277,0.0,0.0,3021786,,2881447,-4296,-9208,169517,-103330,-1933
2015-08-12,2,2015,,,-1746450,-7851,,-7787,49723,903,-677,0,,-4533,57612,-76262,-119831,0,-94500,0,,-297,,228238,276405,,448385,79030,-1,-48340,1420,,-130659,914053,98618,3381,-48393,4065,,1168153,2015年01月01日至2015年06月30日,2384333,3042815,83489,,658482,-627783,1319604,1364250,,,,361346,-454201,-627783,9105,,511602,312278,823880,931200,,,1992033,,3042815,-318,6428,41534,-144566,-8864
2015-11-09,3,2015,,-89387,-2147700,78505,,-156423,-89918,12336,-9265,0,,-13264,84301,-64050,-186827,0,-94500,0,,9099,,324971,244123,,840618,54144,228,-1055608,7441,,-220343,1362008,108143,4694,-71997,13471,6767,1653722,2015年01月01日至2015年09月30日,2384333,3561178,50744,,1176845,-485250,1390384,1449327,712407,,,603935,70854,-485250,13658,-6767,1178983,-898128,280855,982500,0,0,1934577,41921,3561178,-417,8284,161522,-270754,193152
2016-03-24,4,2015,,-672040.0,-2548950,130610,2897.0,-5036,47981,2236,-70588,,,-19598,106979,-75438,-401348,0.0,-94500,-1244.0,,9399,,448194.0,-249255,-1877.0,749573,36439,,776284,7441.0,,-364226,1786106,71105,5972,-97508,20120,9241.0,2076501.0,2015年度,2384333,4612593,75916,,2228260,-91040,3471294,3549317,712407.0,,,-276738,-803370,-91040,15907,-6767.0,903390,660466,1563856,1972552,0.0,0.0,3640357,41921.0,4612593,-635,837,153639,-324569,-18365
2016-05-03,1,2016,,-200.0,-2300792,-172837,-11726.0,-320453,-11581,4310,275027,,,-4473,20120,-82829,-84174,,0,,3241.0,-310,,63189.0,-79060,,-476191,7765,,-581320,0.0,,-244396,414548,-50459,1331,-18585,4405,,416125.0,2016年01月01日至2016年03月31日,4612593,3295203,25694,,-1317390,564245,-385858,-371642,,,,469912,-604307,564245,1234,,-647167,-704845,-1352012,1223842,,,-935887,-13.0,3295203,-36,8143,12542,-223411,1512
2016-08-10,2,2016,,-200.0,-3460442,-24571,-2723.0,-1426,610,1474,276141,,,-8386,39308,-82960,-188894,,0,-3357.0,3241.0,-552,,67590.0,-249339,,-463558,89318,,-624943,0.0,,-482150,833742,-77053,2677,-38249,8234,,866077.0,2016年01月01日至2016年06月30日,4612593,3543183,72958,,-1069410,682664,684710,716637,,,,175566,-1189010,682664,2468,,-364264,-467840,-832104,2093377,,,33973,-13.0,3543183,-1912,376,131117,-357489,35796
2016-11-14,3,2016,,-200.0,-3686792,-142287,11926.0,-53416,1704,671,280482,,1199589.0,-10368,58248,-139012,-312848,,0,-3419.0,3241.0,-1101,,63926.0,491293,,-1185945,-44597,,968948,,,-798251,1256342,-4124,3715,-55967,10185,7261.0,2721066.0,2016年01月01日至2016年09月30日,4612593,4630207,81120,,17614,-1930360,1423960,1471726,0.0,,,462107,-469083,-1930360,3702,-7261.0,-1318588,1999608,681020,2753662,11018.0,139269.0,3402086,-13.0,4630207,-1984,847,310597,-564189,41644
