date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-10,1,2013,,2065267.0,-3677970,-63616,,,0.0,0.0,397256,-15183,,-593101,,0.0,2381690.0,,-159635,48,42898,-964837,-48382,,-127150,,,575816.0,0.0,-6863.0,0.0,8216.0,-14494140,0.0,0.0,1635429,12313606,1899855,694689,-221752,,-43681,494060,-48,132677,655619,,2013年01月01日至2013年03月31日,50966143,47452141,-3514002,102745,-5449892,-4961019,,,-6863,102745,,-10005,-2877034,-4251997,-7129031,126199,,56738.0,1558,,,-29735.0,,,,,-5063764,-1231749,47452141,-621502,204519.0,,0.0,542152,-1382330,-188238.0,
2013-07-30,2,2013,0.0,3984153.0,4407900,-367888,,6600093.0,0.0,0.0,-154602,5550,,-1443183,0.0,0.0,2420878.0,,-347759,1873,166259,-1696188,-120244,,-193761,,,1009364.0,123015.0,,0.0,14419.0,-4999538,0.0,0.0,-7857396,-7958792,7764827,1408280,-41552,,-171722,1002080,-642,393969,658846,,2013年01月01日至2013年06月30日,50966143,48115859,-2850284,1627587,-20841015,-17986809,,9936630.0,10059645,1627587,,-13232,-6884123,-16714426,-23598549,0,,56738.0,1563,,,-29735.0,,,,,-19614396,-3280025,48115859,-3247533,204519.0,,0.0,1123441,-2113542,0.0,24046.0
2013-11-05,3,2013,0.0,5327553.0,3886917,-683523,0.0,6600093.0,0.0,,154919,-105440,,-1880323,,,3755517.0,-175436.0,-409458,8393,-49551,-2116148,-153789,,-199017,,,1009364.0,201321.0,,0.0,11607.0,-3109103,0.0,-409024.0,-19213479,9283985,8724447,2163076,26821,,-146795,1497393,-8393,452839,661896,,2013年01月01日至2013年09月30日,50966143,43119840,-7846303,-1346734,-14651041,-11792776,-1662455.0,,-1870158,-1346734,,-16282,-17603945,1830350,-15773595,856,,56738.0,2555,144266.0,,-29735.0,,,,,-10446042,-2432302,43119840,-3302711,204519.0,0.0,0.0,1424478,-1906586,-37572.0,
2014-02-28,4,2013,2995.0,3506966.0,-427233,-607949,0.0,6554025.0,0.0,,-822489,-96724,,-1869090,,,3790421.0,-164969.0,-554355,8405,697378,-2855698,-197684,,-223008,,,1010405.0,196416.0,,-166428.0,,-207347,0.0,-1033846.0,-27311669,16845574,20366766,2916699,-155347,100000.0,-197069,1968492,-8405,599071,661896,,2013年01月01日至2013年12月31日,50966143,53298941,2332798,-195644,-16231461,-13373775,-1662455.0,,-2499885,-195644,26742.0,-16282,-29234020,12548923,-16685097,2609,,56738.0,58,4643189.0,,-29735.0,7883326.0,-2637673.0,117380.0,-108265.0,-13178131,-672629,53298941,-3448352,,0.0,0.0,1281518,-1360194,,
2014-05-06,1,2014,,1321703.0,-2840701,26583,,,-7.0,,-3304,-1268,,-764343,,,169345.0,,-62173,4863,371648,-477451,-383349,,-132557,,,0.0,8079.0,0.0,,77324.0,-1603502,,,-3064070,434839,-740497,785083,64911,,2859,464673,-3378,65319,3680,,2014年01月01日至2014年03月31日,53298941,43930278,-9368663,-1881263,-11526161,-11177663,,2518268.0,2526347,-1881263,48670.0,-3680,-7805919,-2812184,-10618103,2511,,0.0,751,,,0.0,,,,,-9296400,-1897844,43930278,-410439,0.0,,,80657,-969397,,
2014-07-31,2,2014,,2621240.0,2265897,-109219,,0.0,,,225263,46946,,657150,,,242609.0,,-195577,13498,61483,-743795,-426937,,-217381,,,0.0,7696.0,,,84258.0,-2561791,,,3755963,-12942402,1245949,1560013,140427,,5830,925882,-13498,140831,6982,,2014年01月01日至2014年06月30日,53298941,48437642,-4861299,876208,-6176427,-5432146,,0.0,7696,876208,97340.0,-6982,6688604,-15618198,-8929594,10482,2289731.0,0.0,747,,,-103525.0,,,,,-6308354,441481,48437642,-871614,0.0,66905.0,,257109,-849309,,
2014-10-31,3,2014,,3706868.0,-2914319,1363691,,0.0,,,569366,73826,,1525210,,,2770357.0,-218.0,-283912,16263,-282161,-920733,-432463,,-227947,,,0.0,0.0,-216324.0,,88171.0,221274,,0.0,-2853919,-1863189,3667619,2312234,-100138,,8184,1394663,-16263,210319,22765,,2014年01月01日至2014年09月30日,53298941,54672202,1373261,1516891,-1795873,-998690,0.0,,-216324,1516891,146544.0,-22765,-6857696,635247,-6222449,10103,2357366.0,0.0,57217,0.0,,-157226.0,,,,,-2515581,-1658824,54672202,-991239,0.0,66905.0,,168979,-585427,,
2015-02-06,4,2014,0.0,5755423.0,-5279307,1552870,,0.0,,,187007,25539,,1779567,,,2436069.0,0.0,-403155,16983,144644,-1372934,-432463,-15836.0,-244588,-7918.0,,3875.0,0.0,-213185.0,0.0,90154.0,5864806,,0.0,-2472508,-5772987,2853017,2952892,-77823,0.0,8679,1868817,-16983,311262,26381,,2014年度,53298941,55743558,2444617,1983426,-339859,355945,0.0,,-213185,1983426,269013.0,-26381,-9932514,2549610,-7382904,16017,2358135.0,0.0,153493,0.0,,-157995.0,0.0,0.0,0.0,0.0,-1627481,-2367706,55743558,-990083,,373257.0,,695945,-822362,,
2015-04-28,1,2015,,,-4055364,175911,,,,,602968,9324,,1049644,,-250523.0,0.0,-88.0,-96174,1489,-1006168,-277892,-60233,,-59358,,,,0.0,-5925.0,-5600.0,0.0,-4487118,,,4253062,-3756327,-646902,713244,214513,,2568,482011,-1489,86989,0,1263089.0,2015年01月01日至2015年03月31日,55743558,51715168,-4028390,514255,-2369395,-2363895,,0.0,-5925,514255,157936.0,0,2378557,-6519796,-4141239,6704,,,2103,,,,,,,,-2878150,1577891,51715168,-91000,,,,0,274257,,
2015-07-24,2,2015,,,-2892265,313538,,,,,1760010,1587,776600.0,1156186,,,99070.0,-163.0,-205667,4342,-931846,-568735,-60233,,-77804,,,,0.0,-13175.0,-1243953.0,0.0,-6702312,,,-2622596,664157,-1540104,1380776,185554,,6049,964739,-4342,176552,0,5742268.0,2015年01月01日至2015年06月30日,55743558,47232931,-8510627,-7403733,-6025502,-6053106,,,-13175,-7403733,317628.0,0,-1140155,-3251486,-4391641,311551,0.0,,-17138,,,0.0,,,,,1350627,1838096,47232931,-144606,,0.0,,3291702,1129804,,
