date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加
2013-05-13,1,2013,27900.0,,-70094.0,38825,-51328,-1113,,,-471.0,0.0,,-538,965,20446,-4558,,,,-103.0,,0.0,,392.0,-22496,-33784.0,-38049,,-315.0,-24,-41756,13702,295.0,70896,18583,3188,-675,383,,,2013年01月01日至2013年03月31日,223742,317766,94024,36390,,-37741,-37945,,145000.0,,40423,36390,,-50572,-51663,-102235,,214.0,2695.0,72727,-171,2340.0,0.0,-74335,317766,-179,3533,,,
2013-08-08,2,2013,48297.0,-68615.0,-2679.0,49608,-50661,1900,,12498.0,,458.0,,-1621,2026,28165,-10464,,,0.0,-297.0,,0.0,-107.0,0.0,38027,-33784.0,-71921,,-315.0,-47,-118460,29960,653.0,118760,37039,6081,-1731,1224,,,2013年01月01日至2013年06月30日,172141,391793,219652,101102,,19583,28190,,160000.0,0.0,53144,101102,,-72636,-48573,-121209,,2228.0,31968.0,82476,2133,1174.0,,-72912,391793,-9831,1465,0.0,,
2013-10-29,3,2013,66423.0,-68615.0,-4288.0,51189,-52709,6955,,3271.0,-1852.0,0.0,,-2272,3309,19961,-16002,,,0.0,-756.0,,0.0,-98.0,,64802,-33784.0,-60233,0.0,-315.0,-72,-92782,13778,1011.0,73584,54329,8661,-3125,2338,44.0,,2013年01月01日至2013年09月30日,172141,372700,200559,160917,,142389,159036,-35491.0,110000.0,0.0,-35375,160917,,-61057,-7247,-68304,,2861.0,31968.0,54192,2103,1174.0,,-1881,372700,-19029,-881,0.0,,
2014-03-21,4,2013,94225.0,-68900.0,-5216.0,18879,-9903,5720,,2412.0,-5945.0,,0.0,-3332,4135,37339,-28724,,,-882230.0,-757.0,,0.0,,,56110,-33784.0,-43436,,-315.0,-97,-65617,-10409,1369.0,-30925,72531,10965,-4001,2599,43.0,,2013年01月01日至2013年12月31日,172140,335758,163618,181556,,207410,228179,-35491.0,97000.0,,-50206,181556,-43.0,-33406,-14196,-47602,,3535.0,31968.0,848816,7583,1175.0,,46623,335758,-23411,1211,0.0,283.0,
2014-05-12,1,2014,20385.0,,-1218.0,-15159,3481,4487,-48811.0,0.0,-37.0,0.0,,-1381,52,-2063,-4962,,,-227836.0,-100.0,,,-8.0,0.0,-47306,0.0,18143,,0.0,-26,30463,4569,338.0,-25244,18351,2543,-799,1200,,,2014年01月01日至2014年03月31日,335758,331832,-3926,20697,,32445,40098,,0.0,-7000.0,-9064,20697,,6803,-7787,-984,,30.0,4093.0,252387,254,917.0,,19401,331832,-8853,-351,,-21.0,
2014-08-13,2,2014,35066.0,0.0,-2442.0,16717,5144,-2796,-16297.0,0.0,-1324.0,0.0,,-2632,815,-10665,-13237,,,-673952.0,-110.0,,,0.0,5.0,-46764,0.0,19598,,0.0,-54,-62868,11094,-984.0,-45556,36417,5023,-1573,2487,,,2014年01月01日至2014年06月30日,335758,331219,-4539,84102,,30870,58309,,25000.0,,20812,84102,,40475,-101334,-60859,,15496.0,10777.0,633086,-8072,4233.0,,-25793,331219,-29926,-718,,-119.0,
2014-11-10,3,2014,61583.0,0.0,-3672.0,52619,-39885,793,-17282.0,0.0,-3305.0,,,-3907,1985,2710,-18557,,,-1112637.0,-510.0,,,-1.0,,-40085,0.0,19698,,107.0,-83,-73672,-18858,-1019.0,-142660,55137,7583,-2582,2898,36.0,,2014年01月01日至2014年09月30日,335758,366950,31192,132059,,51067,93340,-118303.0,233000.0,,120075,132059,,31520,-131822,-100302,,16288.0,10777.0,982567,-5714,6407.0,,-38719,366950,-45207,92,,11715.0,
2015-03-18,4,2014,82582.0,0.0,-4908.0,-1953,-4771,-1627,-13453.0,0.0,-2679.0,,,-5491,3399,28700,-42542,,-45000.0,-1491335.0,-510.0,,,,,-31654,0.0,31046,,0.0,-112,-63663,6667,-1402.0,-126451,74328,8312,-4102,4772,36.0,,2014年度,335758,418970,83212,175244,,145673,190469,-118303.0,151000.0,,35290,175244,-36.0,22920,-90277,-67357,,18479.0,68414.0,1382175,-5272,6833.0,,15225,418970,-49604,509,,11715.0,
2015-05-13,1,2015,,,-1240.0,-17719,2483,4956,-5931.0,,0.0,3348.0,,-1675,1184,-7419,-32693,,,-343613.0,0.0,,,-17.0,,869,,6792,,,-31,46193,-44767,,10610,18912,2021,-1170,751,,19996.0,2015年01月01日至2015年03月31日,418970,450624,31654,17072,65.0,33904,35940,,,-3000.0,-5441,17072,,-8379,7251,-1128,,0.0,0.0,390746,755,0.0,,18868,450624,-2787,-1201,,0.0,-1230.0
2015-08-06,2,2015,,0.0,-2487.0,2889,6830,7410,0.0,24832.0,-914.0,0.0,,-3281,2444,-19869,-45094,-1230.0,-10000.0,-870113.0,0.0,,,-77.0,0.0,15920,0.0,-8638,,0.0,-64,-19076,-2788,,-11170,37652,3973,-2405,3042,,40162.0,2015年01月01日至2015年06月30日,418970,457473,38503,51462,209.0,87498,94380,,0.0,-13000.0,-17956,51462,,1290,1466,2756,,16.0,10226.0,881184,986,-226.0,,42918,457473,-9924,-1386,,0.0,
2015-11-12,3,2015,,,0.0,9623,8355,11713,0.0,28586.0,0.0,3390.0,,-4180,3970,17037,-76906,-1230.0,-100000.0,-1527691.0,-380.0,,,-121.0,,63984,,-52813,,61.0,-97,41298,-37156,,-122868,57455,5772,-3871,4245,67.0,71448.0,2015年01月01日至2015年09月30日,418970,474743,55773,65209,-197.0,166944,181525,-100558.0,32000.0,,-5340,65209,,-34971,79839,44868,66260.0,20.0,40718.0,1510746,8211,-718.0,,116316,474743,-18893,938,,926.0,
2016-03-17,4,2015,,,0.0,-545,7829,17878,0.0,24677.0,0.0,7935.0,,-4790,5552,285,-109744,-1230.0,-100000.0,-2227378.0,-538.0,1136.0,,,,98924,,-42677,,0.0,-97,49466,16510,,-177945,75406,6656,-5448,5041,67.0,89411.0,2015年度,418970,417538,-1432,77591,-1860.0,298408,312527,-100558.0,0.0,-83000.0,-122180,77591,-67.0,-37253,182778,145525,64997.0,21.0,100344.0,2127968,8147,-344.0,,234936,417538,-19227,-1149,,790.0,
2016-05-12,1,2016,,,-1273.0,-27506,-5809,726,-33152.0,,,1049.0,,-1078,1627,-13626,-26213,,-140000.0,-758073.0,,,-1136.0,0.0,102.0,21137,,19730,,,0,66595,-49595,,-253537,22520,663,-1610,39,,25636.0,2016年01月01日至2016年03月31日,417538,365813,-51725,22549,-5453.0,67081,68010,,152000.0,0.0,148357,22549,,-19038,38863,19825,,,,702750,1537,,,45461,365813,-968,367,,376.0,0.0
2016-08-10,2,2016,,,0.0,7998,-4515,-6311,-2339.0,0.0,0.0,796.0,,-1730,3311,-20998,-36733,0.0,-200000.0,-1252562.0,,,-1136.0,-126.0,,65934,-75026.0,15544,,,0,50126,15893,,-94511,50891,1312,-3383,1421,,-55057.0,2016年01月01日至2016年06月30日,417538,423278,5740,135798,-5606.0,197497,219804,,,-35000.0,-76248,135798,,13421,125642,139063,47445.0,139458.0,159897.0,1097098,-109144,103.0,,84006,423278,-23728,200,,-9148.0,
2016-11-10,3,2016,,,,8672,-6237,-20143,-71567.0,0.0,,3692.0,,-2403,4535,-38629,-54496,0.0,-240000.0,-1741620.0,-816.0,,-1136.0,-263.0,,93863,-95841.0,-20650,,69.0,0,106847,27888,,-148401,72479,1926,-4627,1894,0.0,-30142.0,2016年01月01日至2016年09月30日,417538,366434,-51104,148092,-10157.0,264677,298102,-59152.0,0.0,-5000.0,-128751,148092,,-28303,208455,180152,46153.0,139457.0,206843.0,1610369,-105918,-498.0,,150010,366434,-35319,-263,,-9148.0,
