date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-30,1,2013,88793.0,-8077.0,-21614,-18560,4.0,-1778,-8049,,-5711,3809,104027,-42998.0,,3902,,,,-41977,,-71527,55284,-49559,65501,,7026.0,-3342,5711,,2013年01月01日至2013年03月31日,3147792,3218894,71102,58911,49822,47532,,-25115.0,,-33188,58911,-93141,-7031,-100172,,1488.0,550,,-11379,3218894,-79,,13716,
2013-08-12,2,2013,148717.0,,-21258,-12078,,6014,-10219,,-20321,8197,154328,-100620.0,,704,6.0,0.0,,-19078,-56633.0,-213688,53510,-107351,132429,,13381.0,-7574,20321,,2013年01月01日至2013年06月30日,3147792,3265196,117404,122990,-19197,65129,,65760.0,,89624,122990,-234946,28368,-206578,80491.0,3488.0,235,,-57861,3265196,-97073,,14092,
2013-11-07,3,2013,258563.0,-456324.0,-41,-13152,,7005,-13574,0.0,-34527,13114,119714,-129947.0,,553,,-140.0,1467.0,-58426,-56633.0,-77698,-11250,-136858,200017,,19957.0,-13175,34527,,2013年01月01日至2013年09月30日,3147792,3279699,131907,258563,255210,363564,-243492.0,430.0,,-106159,258563,-77739,-75823,-153562,650000.0,5196.0,170,,105001,3279699,-129706,,59279,
2014-03-10,4,2013,321109.0,,4687,-6103,,6148,-16189,,-50778,17977,177586,-198253.0,,-776,,-140.0,,21397,-95166.0,-84571,65232,-210538,264383,,25958.0,-18069,50778,,2013年01月01日至2013年12月31日,3147792,3505397,357605,374619,599550,702518,-243492.0,0.0,-25410.0,-208993,374619,-79884,86674,6790,155215.0,3904.0,756,,327899,3505397,-135677,,63589,
2014-05-13,1,2014,72490.0,-136907.0,-66555,2063,,-3996,-382,,-5683,4449,3020,-63827.0,,198,,0.0,,-4535,,-200372,470784,-49874,69304,,,-3705,5683,,2014年01月01日至2014年03月31日,3505397,3752749,247352,84721,350948,354600,,80165.0,0.0,-56742,84721,-266927,464316,197389,,14335.0,-7320,,269879,3752749,-5630,,11542,
2014-08-04,2,2014,111460.0,-149302.0,-24365,-10215,,-3232,-3609,,-24151,8583,-66082,-102500.0,,126,0.0,,,18568,0.0,-190685,317236,-85215,124377,,12267.0,-7942,24151,,2014年01月01日至2014年06月30日,3505397,3572725,67328,162782,352634,381549,,15293.0,,-134009,162782,-215050,322357,107307,,20894.0,-9803,,218767,3572725,-45124,,61,
2014-11-10,3,2014,166895.0,-111696.0,-6886,-2723,,-2663,-7943,,-35731,12500,25769,,-117408.0,1063,592.0,0.0,,-35271,0.0,-13578,134892,-101898,185037,,17517.0,-11628,35731,,2014年01月01日至2014年09月30日,3505397,3637253,131856,291621,488099,532287,-237910.0,68900.0,,-280114,291621,-20464,94235,73771,0.0,,-10369,23453.0,240666,3637253,-68291,,0,-3122.0
2015-03-17,4,2014,200780.0,,1636,-6630,,-3960,-9439,,-65211,16693,161796,-161193.0,,-66,612.0,0.0,,-10102,0.0,-60956,90069,-141952,248189,-702763.0,22771.0,-16645,65211,,2014年度,3505397,3146671,-358726,443766,-94076,-48160,-237910.0,76895.0,0.0,-284494,443766,-59320,-633386,-692706,-124091.0,28680.0,-15185,,-491926,3146671,-94482,,-6411,
2015-04-28,1,2015,,-12394,-58210,-6973,,63,-5615,,-15389,4260,-41713,-81848,,1136,,-6,,-74303,,-21630,324060,-85085,66859,-194787,,-3815,15389,81761,2015年01月01日至2015年03月31日,3146671,3043680,-102991,-4661,38482,45320,,-2275,0,-14675,-4661,-79840,48060,-31780,,2378,1667,,49981,3043680,-18412,-2071,25299,
2015-08-06,2,2015,,-24789.0,-585,-16329,,4393,-3454,,-35041,8357,-102404,-199926.0,,3330,,-15.0,,-123361,0.0,60663,31289,-198471,122695,6501.0,9828.0,-8181,35041,126414.0,2015年01月01日至2015年06月30日,3146671,3048298,-98373,41860,139861,130845,,87445.0,,62641,41860,60078,-97507,-37429,,4909.0,2198,,88985,3048298,-17844,-4393.0,19440,
