date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-08,1,2013,,40899.0,,,,-121099,,-20823,-1757136.0,2574,-12341,8512.0,,,,-14181,7697,66140,-18870,-46594.0,-175,6031,6121,57797,,-17799,-378313,,,920785.0,,0.0,6950,38221,-12652,-540844,88038,-246.0,-1173906,19751,,26595,2238,20062,-9261,15588,,,2013年01月01日至2013年03月31日,5367839,5157241,-210598,99304,,55896,59441,,,820216,0.0,841272,99304,,484254,-565016,-80762,,15,87,,-39863,1068,5157241,-9872,-786,,14935,,-113411,582545.0,52535
2013-08-07,2,2013,939.0,58503.0,,,,-80870,,-34888,-2141236.0,13906,-23237,-353497.0,,,,-29746,16134,95197,-53202,-46594.0,-1889,14010,6795,156949,,-8263,-261542,,,-402904.0,,0.0,-3704,-313426,-13613,-469101,6353,-997.0,-1588675,40451,,26595,-1411,33460,-44598,29466,6663.0,,2013年01月01日至2013年06月30日,5367839,3655090,-1712749,268208,,-1100235,-1018936,,0.0,256509,0.0,880964,268208,-6663.0,-469387,-876260,-1345647,626288.0,191,-17,,-1287144,4082,3655090,-72830,-8654,,-8628,0.0,-46680,850603.0,262642
2013-11-08,3,2013,942.0,115394.0,,,-1326.0,-104637,,-5816,-2147941.0,5677,-11484,121551.0,,,,-41935,24888,74746,-144087,-46594.0,-2507,29247,6264,-60936,,59705,-489614,,,-620503.0,,0.0,-17913,-351948,-66685,-957064,35282,-1214.0,-1420047,64786,,26595,1186,51122,-68542,44115,7900.0,,2013年01月01日至2013年09月30日,5367839,3409373,-1958466,313620,,-1751459,-1606664,-376502.0,0.0,867702,,1138294,313620,-7900.0,-892954,-1142724,-2035678,627623.0,1057,-282,,-1920284,3612,3409373,-128268,-6660,0.0,14533,0.0,128691,859410.0,331638
2014-03-12,4,2013,946.0,217062.0,,,-3322.0,-76676,,45261,-2360309.0,3100,-2016,163348.0,,,,-56118,34517,101021,-283314,-46594.0,-6127,76190,15523,-95929,,148813,-347818,,,-839716.0,280000.0,,-22631,-690422,30881,-747580,81663,-1532.0,-1756356,94589,,27750,-1277,65975,-91960,56044,7900.0,,2013年01月01日至2013年12月31日,5367839,3444670,-1923169,627198,,-1487778,-1272978,-376502.0,0.0,638096,,1219944,627198,-7900.0,-1166848,-950390,-2117238,629438.0,1062,-283,,-1900176,498,3444670,-186784,-6933,0.0,36711,17356.0,155260,871507.0,117927
2014-05-05,1,2014,,48309.0,,,-2006.0,-56023,,-24510,-9602.0,962,1946,375545.0,,,,-10759,9602,10420,-48234,0.0,-3720,4093,3074,78231,,-25454,-183171,,130711.0,,100000.0,,1477,-213950,-6712,108744,-19136,-173.0,392224,32285,,0,3276,17498,-14135,12497,6806.0,,2014年01月01日至2014年03月31日,3444670,3653276,208606,30759,,-417520,-379043,,,90241,,223482,30759,-6806.0,-99418,-358693,-458111,0.0,4,619,,-409802,3687,3653276,-43645,-1499,,32173,,-179621,0.0,3112
2014-08-05,2,2015,,,,-700000.0,-79106.0,-80765,0.0,8920,0.0,40618,1376,567385.0,,,,-22287,41082,-48870,-57130,,-4804,-6600,2395,5993,,-90803,514875,,-335395.0,,-40000.0,,109,658336,-49,-1223098,30353,,526618,84393,,1483,-10122,44709,-51087,20092,3860.0,131457.0,2015年01月01日至2015年06月30日,3334175,3234568,-99607,74347,-1449.0,-630507,-512970,,,377759,,53152,74347,-3860.0,143154,-861928,-718774,511847.0,15174,78,,-587317,5293,3234568,-90402,4064,,-19743,,-248446,,-132
2014-08-11,2,2014,0.0,64197.0,,,-4022.0,-15542,38.0,-23734,-263637.0,14031,11387,349569.0,,,,-24637,19520,-23162,-144731,0.0,-4666,7977,18230,148791,,-77717,76250,,894820.0,,100000.0,,47901,-801542,-12143,198722,-3356,-335.0,163622,70103,,0,1282,34874,-29050,24773,6806.0,,2014年01月01日至2014年06月30日,3444670,3911692,467022,212749,,368204,455085,,,0,-199298.0,-41642,212749,-6806.0,1026169,-848030,178139,0.0,78296,-30543,,242336,8172,3911692,-89410,-7573,,43448,,-139647,0.0,834
2014-11-10,3,2014,0.0,120140.0,,,-6048.0,-33783,39.0,-19586,-267845.0,17798,11388,326573.0,,,,-36175,34827,11497,-175634,0.0,-11585,-2444,16640,197424,,-101644,242201,,1011819.0,,,,11491,-456239,15196,31798,8632,-479.0,147341,109891,,0,139,56773,-50254,38730,10612.0,,2014年01月01日至2014年09月30日,3444670,3907663,462993,250669,,459478,602836,-282376.0,,79554,,-155323,250669,-10612.0,1299122,-1067095,232027,0.0,78408,-30576,,352167,19780,3907663,-142446,-1683,,36907,,-556640,0.0,30256
2015-02-13,4,2014,0.0,199974.0,4200.0,,-52893.0,38754,40.0,-16957,-269807.0,41366,14270,137536.0,,,,-47691,57454,51355,-277819,0.0,-12794,9209,14780,172433,0.0,-296950,486002,,684121.0,,0.0,,-2985,-1195959,16245,395027,-208305,-1200.0,-167841,150522,,2201,-9716,79515,-77622,47762,10612.0,,2014年度,3444670,3334175,-110495,409616,,-215045,-43189,-282376.0,,348571,,221036,409616,-10612.0,1296075,-1948854,-652779,90000.0,78410,-30538,,-452805,34852,3334175,-152608,-6945,8776.0,102954,0.0,-658426,0.0,15125
2015-04-28,1,2015,,,,,-63680.0,-92403,,-20156,0.0,36302,146,458679.0,,,,-8207,19500,-30036,-16645,,-2678,-879,-3973,-6115,,-99326,-544798,,-274246.0,,-100000.0,,5699,991840,-53407,-359589,-188499,,448482,41401,,354,-4614,22528,-24383,11658,0.0,67837.0,2015年01月01日至2015年03月31日,3334175,3530193,196018,22686,-228.0,-344942,-301917,,,-231467,,122514,22686,0.0,-520013,127573,-392440,521634.0,15241,-22,,-324603,1458,3530193,-30300,-1870,,0,,-143790,,348203
