date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-05-13,1,2013,439185.0,,,-312983,98813,36983,-49515,141592,,,31788.0,,-226602,,-16583,47250,29689,-224067,0.0,0.0,,-67.0,-5577,-2322,39588,,-18803.0,,-5964.0,-177850,,-388784.0,-81966,-5444.0,298787.0,58780,8657.0,698.0,-464034,354530,,,-6014,4851,-46415,15626,,,2013年01月01日至2013年03月31日,4706113,4592576,-113537,-4614,,345820,407110,,-537057,-25012,-4614,,-426198,398737,-27461,842815,565,,0.0,1352,,0.0,411724,,4592576,-30501,-702,,1016.0,14913.0,
2013-08-12,2,2013,892176.0,,,-241600,-211885,18517,-110209,203112,,-801915.0,,,-281415,,-38151,93795,31610,-276684,0.0,0.0,,-67.0,-11206,-2337,43138,,-24705.0,,-22781.0,-243059,,457862.0,-129305,-9122.0,-86399.0,114931,19585.0,1351.0,-1395191,724656,,,-7153,9840,-91216,34422,,,2013年01月01日至2013年06月30日,4706113,4018088,-688025,-29215,,675455,888340,,-808615,101,-29215,,-1308,26687,25379,1074281,1214,,0.0,2451,,0.0,917555,,4018088,-156091,4115,,740.0,59485.0,
2013-11-11,3,2013,1327978.0,,,-431029,-163204,-1564,-99881,231769,-501.0,-1098608.0,,,-402840,,-61330,142313,-46803,-334733,0.0,0.0,,-67.0,-11125,-2342,43102,-9453.0,,,-3108.0,-294241,,552211.0,-107286,-8776.0,-590682.0,68921,19585.0,2250.0,-1845148,1096948,,,-7590,14785,-135072,52817,84.0,,2013年01月01日至2013年09月30日,4706113,3748486,-957627,40787,,739347,977366,0.0,-877353,194977,40787,-84.0,174813,-566212,-391399,1512458,7591,,0.0,1158,,0.0,936579,21403.0,3748486,-155764,-9919,,354.0,87192.0,
2014-03-13,4,2013,1883887.0,,-600000.0,-701539,49960,130953,-76627,178266,-204.0,-1014764.0,,,-554074,36983.0,-90226,192582,41203,-468614,0.0,0.0,,-67.0,-18286,-10688,43990,-6699.0,,,-19233.0,-141138,,944518.0,-106618,,-482516.0,41093,,93.0,-2077277,1459969,,,-21419,19785,-189091,66283,84.0,,2013年01月01日至2013年12月31日,4706113,3534784,-1171329,-235870,,1819341,2185797,0.0,-1466700,-954596,-235870,-84.0,811122,-273342,537780,1820342,8365,,0.0,7116,,0.0,2421667,21414.0,3534784,-243648,-9709,,0.0,223486.0,
2014-05-08,1,2014,349350.0,,,-49376,-170736,21162,21305,57349,,-1063063.0,,,2054,4932.0,-32506,49501,108086,-334555,,,,0.0,-10343,-845,894,,2405.0,,-35970.0,252838,,-924400.0,-21430,-172.0,460475.0,127739,-11433.0,221.0,-1410123,372027,,,-18097,457,-44813,28919,,,2014年01月01日至2014年03月31日,3534784,3273079,-261705,3038,,129557,165306,,652861,910775,3038,,-1095212,908130,-187082,304700,32599,,,-28440,,,162268,,3273079,-19855,582,,185.0,,
2014-08-11,2,2014,701431.0,,,-102823,-181218,-71411,22900,-3259,,-1126033.0,,-2.0,-181532,9802.0,-79536,104529,-11861,-394155,,,-437993.0,0.0,-10343,-869,-2031,,11153.0,,-33142.0,155672,,-701139.0,-13857,-165.0,-324245.0,125686,-13938.0,541.0,-2150347,716900,,,-22204,1754,-100427,85845,,,2014年01月01日至2014年06月30日,3534784,2885160,-649624,71026,,-287906,-231976,,790796,1800490,71026,,-872938,-131495,-1004433,1098651,33720,,,-27930,,,-303002,,2885160,-41348,147,,2715.0,,
2014-11-11,3,2014,1022610.0,,,-1923584,-144445,-34198,122882,-82,,-1908069.0,,14494.0,-353460,14674.0,-135939,155522,96445,-564871,,,,0.0,-260259,-868,-349,,6509.0,-35880.0,,154146,,-782738.0,2865,-378.0,-517838.0,162054,-5698.0,229.0,-3078359,1043127,,-396391.0,-28309,2297,-151725,128215,0.0,,2014年01月01日至2014年09月30日,3534784,2459772,-1075012,190777,,-316769,-226205,,1148506,2223671,190777,0.0,-801585,-638007,-1439592,2975031,45048,,,-25417,,,-416982,0.0,2459772,-67054,-2996,,2715.0,,
2015-02-16,4,2014,1345578.0,,0.0,-2196414,21178,-84610,72440,-66617,,-2170862.0,,15067.0,-528381,19938.0,-186019,211613,374862,-520237,,,,0.0,-568224,-873,-309,-7149.0,,,-37217.0,361171,,-1425769.0,-1488,-215.0,-357141.0,181932,645.0,-81.0,-3463618,1364445,,,-38639,2860,-207397,188129,0.0,,2014年度,3534784,2404600,-1130184,221561,,157427,268584,,797351,1801145,221561,0.0,-1333935,35380,-1298555,3189575,362176,,,-25791,,,47023,0.0,2404600,-91889,-2520,,2715.0,0.0,
2015-04-28,1,2015,,,,-585110,-261891,142018,-33490,26024,1.0,1794668.0,,,-81520,4738.0,-40586,47852,-63468,-191776,,,,,-10862,-662,5509,,-10069.0,,407.0,-360590,,,-22780,-325619.0,,963,1508373.0,,1511768,331538,-19732.0,,-2742,606,-45151,17940,,346012.0,2015年01月01日至2015年03月31日,2404600,3566646,1162046,-191281,,738346,808008,,-842581,-1024600,-191281,,-663511,1316788,653277,413160,553,960.0,,4,,,999289,,3566646,-42451,-778,-129.0,0.0,,
2015-07-28,2,2015,,,,-1047366,-415741,119987,5775,12988,,1960501.0,,0.0,-133535,9369.0,-73949,85892,-155583,-263296,,,0.0,,-10862,-654,-43438,,-16549.0,,2009.0,-124700,,-940594.0,-21807,-34.0,2264709.0,943,579.0,,2065767,645040,-76511.0,,264,1198,-87543,40937,,559605.0,2015年01月01日至2015年06月30日,2404600,3742916,1338316,-82901,2.0,1177590,1302300,,-1099684,-1749458,-82901,,-1448910,2274506,825596,414141,26334,960.0,,-63185,484310.0,,1385201,,3742916,-78104,-1457,-129.0,0.0,,
