date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,備供出售金融資產（增加）減少,償還金融債券,其他投資活動,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加（減少）,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行金融債券,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分及報廢不動產及設備損失（利益）,處分投資損失（利益）,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,附買回票券及債券負債增加,附買回票券及債券負債減少
2013-05-14,1,2013,-4707585.0,,,11458092,,-1086.0,,-158627,3343797,439393,-2563131,436999,-6578752,2470653,178059,-56757,-470.0,-3421,-474157,,856754,,126951,-4656154,-3484155,-1703573,3191606,-61731,166436,-15987289,7806,-2107732,6807679,,,2013年01月01日至2013年03月31日,83966009,79987472,482584,-3978537,2824170,-5550796,-10192012,,,41494577,,1455931,2824170,,-6649755,-1658842,-8308597,3,166.0,-48910,-13016182,2873694,38492895,-58731,-1869744,680543,-1170410,599177.0,
2013-08-28,2,2013,-9575421.0,,-2024.0,23142401,,-1098.0,0.0,174042,3005811,-265265,-12627060,-371254,-13367888,4963378,228120,-161872,-470.0,-3948,-419773,-227116.0,23476294,,-1992409,2146605,18111424,1273082,-2852194,-167385,327900,-15783072,15331,-4949162,13485120,137814.0,,2013年01月01日至2013年06月30日,83966009,93172827,307710,9206818,5659987,-19535112,-27959963,,4879000.0,51801989,0.0,28681195,5659987,-140364.0,14132824,-38177353,-24044529,3,209.0,-255818,-33619950,-24206094,41370838,-248921,-2940934,-11003750,-632828,325901.0,0.0
2013-11-12,3,2013,-14859596.0,517231.0,-7967.0,22985007,,,,248351,3420155,-256025,-18514291,-771710,-20345648,7549528,186257,-274693,-470.0,-7198,-640610,-223334.0,11617904,,-4132109,2805869,33708867,-3015752,-2226481,235375,484652,-15749341,22807,-7298267,20618150,263879.0,,2013年01月01日至2013年09月30日,83966009,103854018,-19337,19888009,8527737,4090291,-9265654,-724211.0,4879000.0,74186326,,15376086,8527737,-338060.0,21901997,-24835792,-2933795,505,-283.0,-247035,-17793391,499985,29667692,-227817,-4428001,-18056695,-545933,,-396607.0
2014-03-06,4,2013,-18865977.0,517231.0,,25948764,,,,505321,3037142,-692645,-29118885,-219232,-27321411,10240983,282193,-468344,-470.0,-20514,-637773,-309178.0,28579474,,-2280640,-1554571,56801109,-7781949,-2569384,28417,637911,-56292882,30336,-10336136,27021784,338560.0,,2013年01月01日至2013年12月31日,83966009,73199864,579861,-10766145,10747720,-42686055,-59377225,-724211.0,4879000.0,26397850,,31609300,10747720,-338560.0,39594832,-90853800,-51258968,514,,-193652,-70124945,-13068876,46802014,-333038,-6647186,-17235108,-1644440,,-1124963.0
2014-05-09,1,2014,-5310223.0,,,-3436538,,,,50011,252335,2306566,-43579695,-71981,-7570714,3054484,81838,-199937,0.0,-468810,-869272,,15109297,,-513999,-405544,27729807,-1258014,1546460,-668743,150971,46024029,23303,-2327900,7039327,,,2014年01月01日至2014年03月31日,73199864,76883803,1423329,3683939,3650902,-11095172,-15937317,,,35300458,,15366016,3650902,,25474760,-39752756,-14277996,4,,-7328,-19588219,-52535035,41583345,130718,-2839611,12381232,-1443015,256719.0,
2014-08-14,2,2014,-11077487.0,,136424.0,-6228455,,,,319521,439259,920036,-51879314,-122587,-15545690,6279887,-191662,-306972,0.0,-487381,-1646460,-9665.0,14193298,,2209771,-1824069,23649990,435510,-1869577,-792965,301296,43493473,55163,-6105044,14692161,23185.0,,2014年01月01日至2014年06月30日,73199864,83498628,343334,10298764,7118194,-12657959,-21132298,,10000000.0,42196046,,23941350,7118194,-25232.0,23709216,-40882221,-17173005,1388,,-6382,-28250492,-56368798,41302582,-135963,-3815947,33355260,-847240,0.0,-251948.0
2014-11-12,3,2014,-16466364.0,0.0,207703.0,-8043821,-5000000.0,,,459687,331501,22058,-41531389,7461,-23722823,9408381,148756,-368772,-133.0,-489544,-1750707,-25626.0,21395378,,805713,2885430,41294111,2777169,-1864300,-857017,449194,42659305,86848,-8681149,22417430,291066.0,,2014年01月01日至2014年09月30日,73199864,89165621,107160,15965757,10570750,-5304935,-19025133,-4649435.0,10000000.0,45922478,,21978953,10570750,-292404.0,40515514,-53645033,-13129519,1432,,-35083,-29595883,-81146901,43243143,-307149,-4817598,33065142,-932094,233010.0,0.0
2015-03-27,4,2014,-20476595.0,0.0,,-7310588,-5000000.0,,,706697,-98708,-47612,-39440661,167029,-31862471,12524515,700170,-567103,-133.0,-500377,-884084,-114726.0,-9615371,,7891621,-6206427,80079186,3897264,-36679,-1066164,596870,43262610,118595,-12157939,29948559,292404.0,,2014年度,73199864,82228233,549606,9028369,12424085,2802066,-14826780,-4649435.0,25835000.0,42642036,,6592297,12424085,-292404.0,85920149,-92694419,-6774270,1449,,30843,-27250865,-115464623,39586197,-454178,-6492281,32600657,-1425094,22103.0,0.0
2015-04-30,1,2015,,,,-11142670,,,,337775,-441029,-107799,32587182,-68814,-8068390,3026673,-253874,-90092,,-9435,-284626,-38325.0,6072397,,2904230,21445661,4443089,-5409742,2176937,-99496,143740,-4928089,31617,-2593577,8697794,,-5641382.0,2015年01月01日至2015年03月31日,82228233,84834695,-1704724,2606462,3399360,-4259813,-10263930,,,49838139,,7219645,3399360,,-1496961,-6524947,-8021908,31,,-30597,-13663290,-49642354,34996556,-100100,-3626189,3419415,1313739,1147248.0,
2015-08-21,2,2015,,,21540.0,-20810768,-5000000.0,,,-101048,-110331,419018,32531278,-98749,-16203301,6046108,-429956,-150378,,-49505,-817831,-98590.0,0,-7869700.0,738388,10239288,32086404,-4415006,618786,-199853,287577,-10567044,64120,-6442152,16818990,32599.0,-11502297.0,2015年01月01日至2015年06月30日,82228233,85167290,-1301084,2939057,7069266,15289724,5589816,,0.0,46305951,,-11720858,7069266,-44793.0,29887683,-19864836,10022847,30,,-52611,-1479450,-27046394,38861339,-709529,1258517,-4719651,596727,1148842.0,0.0
