date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-04-27,1,2013,30997.0,,,10968,-242,,,149903,,1930,,-11566,10180,65454,-178426,-6113.0,,-1425,-449978,,-198454,414328,,-34636,35480,,-7219,8153,,2013年01月01日至2013年03月31日,2691547,2635384,-3602.0,-56163,305730,-86981,41425,,,,,,,305730,-187486,-107816,-295302,,,,-264305,2635384,-129340,,,-71924,
2013-08-02,2,2013,155199.0,,-35523.0,30584,77,,,1073559,,3905,,-22937,20273,103742,-355733,-117071.0,0.0,1325,-758544,,78503,-128315,,600755,84959,,-15269,26884,,2013年01月01日至2013年06月30日,2691547,3634505,-16152.0,942958,833850,273984,471509,,,,0.0,,-35523.0,833850,109087,-626627,-517540,,,,-362341,3634505,-209140,,83826.0,260155,
2013-11-06,3,2013,168232.0,,-71919.0,39899,438,,,1079965,,8947,,-28802,31005,79363,-595986,-127557.0,-95375.0,2005,-743318,,177037,-261520,,261047,141967,,-22913,32765,,2013年01月01日至2013年09月30日,2691547,3202281,-36926.0,510734,1441256,740240,1089389,,-631051.0,,133054.0,,-569916.0,1441256,216936,-737035,-520099,0.0,,2150.0,-351867,3202281,-359001,17520.0,30366.0,267365,
2014-03-17,4,2013,333122.0,,-288275.0,887,-255,14532.0,,1079801,,0,,-34699,41939,153415,-986275,-127557.0,-140840.0,2482,-61185,,381975,-890535,,-174871,201149,13968.0,-31228,38902,,2013年01月01日至2013年12月31日,2691547,3455885,6485.0,764338,1905759,1452587,1959440,0.0,-631051.0,0.0,134985.0,,-666793.0,1905759,397394,-676835,-279441,117548.0,0.0,16099.0,53681,3455885,-514527,85699.0,,275140,
2014-05-10,1,2014,38746.0,,-36142.0,-5800,-333,-13414.0,,-34551,,5156,,-6438,11813,-18582,-499744,0.0,,-398,-56907,,-355415,717827,,-534295,62926,,-7625,5091,,2014年01月01日至2014年03月31日,3455885,4010984,12405.0,555099,408461,534890,708111,,,,609228.0,,573086.0,408461,-374629,635533,260904,,,,299650,4010984,-170687,-46718.0,,-25054,
2014-08-08,2,2014,71762.0,,-250949.0,-45041,-137,-10903.0,,-1248030,-25127.0,12259,,-10063,24663,15733,-763027,-1843.0,,460,3268,-24447.0,-698294,782118,,-2038027,124772,,-19050,10029,,2014年01月01日至2014年06月30日,3455885,1611312,5031.0,-1844573,858117,635720,916604,,,,99490.0,-282093.0,-457999.0,858117,-754238,740963,-13275,,,1406.0,58487,1611312,-271863,-86766.0,0.0,-44286,
2014-10-26,3,2014,142650.0,,-250436.0,-7110,-132,-11447.0,,-1249786,-25076.0,19395,,-12822,30419,27418,-962904,-1843.0,0.0,-1990,18083,-24447.0,-630360,1026098,,-2239609,188067,,-21953,12338,,2014年01月01日至2014年09月30日,3455885,1761868,4882.0,-1694017,1241692,1309162,1709459,,0.0,,66191.0,-582296.0,-790988.0,1241692,-648917,974034,325117,,,1407.0,467767,1761868,-390682,-86708.0,0.0,-70015,
2015-03-20,4,2014,184435.0,,-311967.0,-35212,-964,-10952.0,,-450574,-25230.0,26724,,-31023,35610,119241,-1210705,-1843.0,-817.0,-1043,-51271,-24447.0,-573318,1207909,,-1726514,253054,,-24251,24071,,2014年度,3455885,2366326,-19230.0,-1089559,1530465,1716889,2212327,,-199833.0,,449951.0,-1112879.0,-1199175.0,1530465,-619482,1116909,497427,0.0,,2190.0,681862,2366326,-495258,-86767.0,4920.0,-38765,-37345.0
2015-05-07,1,2015,,,0.0,-33078,874,-2394.0,,11009,,8875,,-5556,4123,-15756,-467933,,-5.0,3555,42718,,-176770,54187,,-457709,68625,,-931,1380,93519.0,2015年01月01日至2015年03月31日,2366326,1624361,7837.0,-741965,96992,-193114,-120791,,,,0.0,-75386.0,-75386.0,96992,-212242,-99060,-311302,,,,-217783,1624361,-72772,0.0,6060.0,-196839,-780.0
2015-08-11,2,2015,,,-61312.0,-23722,441,-3958.0,,461822,0.0,17610,,-11179,8629,-46764,-662482,0.0,,5614,2725,0.0,-91808,-290254,-1538.0,-213463,136874,,-2031,19285,180654.0,2015年01月01日至2015年06月30日,2366326,1756622,13587.0,-609704,162068,-314743,-227721,,,,100200.0,-73622.0,-34734.0,162068,-119488,-450955,-570443,,,0.0,-389789,1756622,-104276,0.0,9519.0,-162329,-12803.0
2015-11-06,3,2015,,,-122870.0,-12138,60,-3966.0,0.0,462744,-7631.0,26854,,-13676,14205,16491,-701089,0.0,,12634,27821,0.0,13895,-593876,-9392.0,-245976,222988,,-4298,21798,272524.0,2015年01月01日至2015年09月30日,2366326,1907954,0.0,-458372,321944,-121603,-6060,,-10992.0,,100200.0,-73622.0,-107284.0,321944,-2209,-598319,-600528,,,0.0,-328004,1907954,-133043,0.0,9519.0,-22932,0.0
2016-03-08,4,2015,,-636720.0,-122870.0,1283,835,7409.0,0.0,462744,-7631.0,36169,-1988.0,-15128,15946,-30905,-728755,0.0,0.0,16954,20749,0.0,217311,-790027,-13943.0,-275630,316887,,-5818,23267,376817.0,2015年度,2366326,1554007,0.0,-812319,576161,238220,402661,,-10992.0,,100200.0,-73622.0,-744004.0,576161,226003,-776320,-550317,,,26.0,-173500,1554007,-181890,0.0,5963.0,6066,0.0
2016-05-03,1,2016,,,,-10474,-182,11171.0,,0,,9262,,-1413,1456,-15428,-36616,,0.0,-3408,21533,,-216832,416645,8949.0,-36616,93006,35.0,-1471,1413,99637.0,2016年01月01日至2016年03月31日,1554007,1923678,0.0,369671,161961,421715,498513,,,,,0.0,0.0,161961,-216135,453050,236915,,,3729.0,336552,1923678,-76740,,-3030.0,6105,0.0
2016-08-13,2,2016,,,0.0,11715,-235,46955.0,,0,,18348,,-3173,3056,-57131,-43194,,,-4554,-35155,,-155510,193915,-7335.0,-43150,184235,137.0,-2851,3173,198987.0,2016年01月01日至2016年06月30日,1554007,1969135,0.0,415128,369749,465409,590796,,,,150000.0,-100000.0,50000.0,369749,-96840,118900,22060,,44.0,3968.0,221047,1969135,-125709,,-3030.0,-32290,0.0
2016-11-05,3,2016,,,0.0,17550,-713,3970.0,,0,0.0,27067,,-4968,4843,-128627,-142193,,,-4814,-32398,,19222,208196,-16398.0,-142149,271821,234.0,-4641,4968,292247.0,2016年01月01日至2016年09月30日,1554007,2194201,,640194,555473,860970,1047227,,0.0,,150000.0,-100000.0,50000.0,555473,40742,158765,199507,,44.0,3968.0,491754,2194201,-186584,,-5904.0,78,
