date,season,year,不影響現金流量之收益費損項目合計,交割結算基金增加,交割結算基金減少,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,備供出售金融資產（增加）減少,償還公司債,償還金融債券,償還長期借款,其他各項負債準備淨變動,其他投資活動,其他籌資活動,其他負債增加,其他負債增加（減少）,其他負債減少,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,員工購買庫藏股,央行及銀行同業存款增加（減少）,存入保證金增加,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,庫藏股票處分,庫藏股票買回成本,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業保證金減少,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行金融債券,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產及設備損失（利益）,處分子公司,處分承受擔保品,處分承受擔保品損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,附買回票券及債券負債增加,附買回票券及債券負債減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-25,1,2013,-1534174.0,,,,16239.0,-76089,-6000.0,,-400000.0,2582,,,0.0,40036,-13208.0,-29278.0,0.0,92162,218811.0,-130329,,,,-48127.0,2.0,-2246914,1023149,30465,-24407,0.0,-216058259.0,-110.0,-25102,,,223638,2572,170165,-5330385,,0.0,48692.0,1916011,-9071610,0.0,,804739.0,,-293067,1723181,4035525,28435,62213,-989124.0,,2269247.0,,,2013年01月01日至2013年03月31日,11468721,7527912,,-3940809,654958,,-9714797,-10965996,,0,150000,,200000,2612654,1707998,654958,23461,,-14511833,4425053,-10086780,,0.0,70368.0,220041011.0,,103,,12500.0,-4401.0,-35578.0,,,,-11620954,,4481357,4715258,-28924,270950,-3663442,-627103.0,,1872324.0,-1088723.0,,,
2013-08-27,2,2013,-2387743.0,,,,32401.0,-129636,-6000.0,0.0,-400000.0,52471,99000.0,,60889.0,-2283,,-45559.0,0.0,-3980,,-166239,-39199.0,,,-49063.0,-325.0,-4490216,2052783,-6835,-106260,,-430181296.0,,-29965,,,448210,-22785,170165,-5150410,,-913730.0,0.0,1944835,-7077516,17555.0,,899988.0,,-877235,721962,4789100,56347,125043,-1998821.0,,4538497.0,,,2013年01月01日至2013年06月30日,11468721,7442610,,-4026111,1891824,,-6686147,-9151584,,0,27000,,752750,1707213,-2122229,1891824,32201,,-12805608,4149943,-8655665,97250.0,84195.0,79995.0,435790220.0,,-39627,,12500.0,-4401.0,-44872.0,,,,-11043408,,7040555,4982647,-74239,490860,-5374730,-607946.0,188.0,322062296.0,-325012063.0,-110.0,0.0,
2013-10-30,3,2013,-4250830.0,,,,18873.0,-53338,-6000.0,0.0,-500000.0,59714,84000.0,,40876.0,313218,,-59708.0,0.0,-95521,385274.0,-56352,,,,-48628.0,-2902.0,-6668624,3058515,-41207,-164485,0.0,-656034369.0,-110.0,-37406,,,582296,-27052,170165,-1095267,,-221036.0,,-1150702,-17278674,17555.0,,69779.0,,-323368,-937631,7113504,83359,189532,-3087315.0,0.0,6835325.0,,,2013年01月01日至2013年09月30日,11468721,6722876,,-4745845,2518405,,-13734704,-17399808,,0,387000,,296250,2453103,1916562,2518405,41107,-51539.0,-17725560,2058177,-15667383,547250.0,81104.0,79163.0,663356191.0,,-36511,,12500.0,-4401.0,-9425.0,,,,-19918213,,9331240,3973523,-114943,741935,-4987243,-1512573.0,188.0,478766589.0,-477961816.0,,1561.0,
2014-03-27,4,2013,-5182083.0,,18046.0,,3065.0,-112595,-6000.0,0.0,-500000.0,77829,64000.0,,86955.0,87926,,-79505.0,,-244887,537330.0,79213,,,,-839580.0,-773.0,-8832701,4053714,-80499,-228292,-61.0,-890638336.0,-110.0,-48157,,,718112,-34267,170165,-1657198,10400.0,-78333.0,,-5875064,-2919003,74361.0,0.0,490208.0,,881966,-2231527,5009054,106820,256087,-4209284.0,0.0,8766883.0,,,2013年01月01日至2013年12月31日,11468721,14857618,,3388897,3101472,,-1245541,-5803924,,0,309000,,837900,2520667,-294117,3101472,49964,-51539.0,-3345923,-377390,-3723313,547250.0,97433.0,63779.0,895801820.0,3986.0,-38973,,19110.0,-9071.0,-9480.0,,,,-8905396,,13753416,11499051,-87603,215440,-4827153,-1514252.0,188.0,608369125.0,-610382801.0,,4941.0,
2014-05-15,1,2014,-1684932.0,,16202.0,,-6130.0,-79068,0.0,0.0,,5864,,,46144.0,-87498,0.0,-8826.0,,-52620,657923.0,-64126,,,,-7932197.0,-165.0,-2288873,1031912,131156,-29929,,-188909135.0,0.0,-9087,,,156130,-10682,323057,1799315,2100.0,-1211861.0,0.0,4119067,-4030415,,,515349.0,,-1280464,2545620,3337560,22296,70767,-928063.0,,2389584.0,,,2014年01月01日至2014年03月31日,14857618,13454950,,-1402668,1105205,10000.0,-13971411,-15406061,,3500000,142000,,427014,2668669,9100027,1105205,23249,,-3433866,-11392468,-14826334,,25.0,,193480171.0,80.0,79,,0.0,0.0,-20253.0,,,,-16511266,,-7600875,10359267,-26871,240004,-2392395,-679888.0,,126840814.0,-122927360.0,,,
2014-08-21,2,2014,-2902793.0,,15472.0,,-9338.0,-22469,0.0,,0.0,14687,0.0,,67356.0,-92710,,-18065.0,,-44348,2388268.0,-83397,0.0,,,-14396095.0,-71.0,-4663013,2106272,32390,-65783,,-392863367.0,,-23034,,,309494,-18382,323057,1514938,,-1439970.0,,8255539,-4407075,0.0,,10269.0,,-1337378,858348,3247454,44289,143591,-1920788.0,,4856809.0,3658.0,,2014年01月01日至2014年06月30日,14857618,8645874,,-6211744,1846404,10000.0,-19931068,-22805814,,3500000,115500,,0,2709115,10439480,1846404,30080,-3658.0,-4287832,-17461593,-21749425,0.0,23.0,1415.0,397564942.0,87.0,141,,62163.0,-51923.0,-49827.0,,,,-24652218,,-12115709,5936759,-61275,136172,3141,-763364.0,0.0,240035078.0,-235916866.0,-83182.0,-10240.0,
2014-11-13,3,2014,-3738297.0,,14276.0,10870.0,-45652.0,47913,0.0,-7500000.0,0.0,25210,-49100.0,,433166.0,514467,,-50039.0,456.0,-56818,3396052.0,-62043,,-12368063.0,,,25.0,-7087996,3118366,243301,-118588,,-590749589.0,0.0,-29289,,,435550,-28428,323056,392866,326421.0,-1226524.0,,5277989,-2903196,11312.0,,-618338.0,,-1653109,365817,-7467310,66019,214778,-2930521.0,-56127.0,7334336.0,,,2014年01月01日至2014年09月30日,14857618,6901451,,-7956167,2628745,10000.0,-17804980,-22123607,,14916100,322900,,0,2725298,17072822,2628745,36954,-57474.0,-2257198,-18756857,-21014055,0.0,35.0,1415.0,597006677.0,1612.0,177,,62163.0,-51923.0,-97677.0,,,,-24752352,127182.0,-21168711,4176153,-68547,1482245,-3223047,-414973.0,1765.0,385500832.0,-379955497.0,-83182.0,,-10240.0
2015-03-26,4,2014,-4735915.0,,13071.0,10870.0,-45098.0,48085,0.0,-7500000.0,0.0,38741,0.0,-5307.0,,666903,,-105198.0,456.0,-55858,4677243.0,-61370,,58115.0,,,2043.0,-9483766,4097623,358050,-159906,-52000.0,-781992213.0,0.0,-73469,-10058228.0,,527048,-37961,323057,-2120069,12900.0,-3602544.0,,7139420,3079603,60724.0,,-577000.0,,-632985,-1410621,-2508825,89979,290165,,,,,,2014年度,14857618,7836952,549286.0,-7020666,3272458,10000.0,-15948893,-21633662,-56127.0,15516100,270400,,1361165,1971409,11079002,3272458,43798,-57474.0,1887661,-22057866,-20170205,0.0,35.0,1415.0,793360205.0,1613.0,200,,62163.0,-51923.0,-132617.0,20.0,,,-24906120,127182.0,-24035795,4504378,-117732,993540,-3743097,-724260.0,1765.0,540353674.0,-541911738.0,-83182.0,-10240.0,
2015-05-14,1,2015,,-2636.0,,3479.0,25610.0,36836,,,,7373,73000.0,,0.0,790848,,53802.0,,-67299,451867.0,-116314,,0.0,,,0.0,-2350009,945002,-97203,-40931,-63333.0,-164888977.0,,-7969,,0.0,35681,-6188,315527,-1226734,700.0,-591054.0,,-816607,-6586764,1062.0,,713002.0,,-1367647,-2472603,5021489,23229,71099,,,,,-1598678.0,2015年01月01日至2015年03月31日,7836952,4980429,-70023.0,-2856523,813928,0.0,-1798859,-3110321,,2000000,12000,,565290,762012,-5981950,813928,15859,,-7959132,5633561,-2325571,,0.0,,165651141.0,0.0,0,66456.0,,,-25983.0,-5561.0,,4768382.0,-3924249,,7725421,3653127,20456,553667,1227813,-270955.0,,97205004.0,-106680072.0,,,
2015-08-21,2,2015,,-3003.0,0.0,7823.0,70637.0,28380,,,,14668,,,,-294392,,0.0,73472.0,57687,814884.0,-111849,,,,-16402.0,0.0,-4670635,1868208,-313161,-73779,-43333.0,-327273098.0,,-12252,,9343992.0,-9104,-25069,315524,-6998486,,0.0,982032.0,-1959716,-12138189,51215.0,,406900.0,,-1924525,-2452016,14223889,46910,140367,,,5029112.0,526.0,-3068080.0,2015年01月01日至2015年06月30日,7836952,6584894,,-1252058,1897430,0.0,-4233083,-7488503,,2000000,0,-670875.0,1243440,1084933,-10929703,1897430,21278,-526.0,-20813319,14495466,-6317853,145500.0,0.0,0.0,331147455.0,7307.0,0,66456.0,7598.0,-908.0,-53675.0,-4624.0,,,-9385933,,17831900,4256521,-31155,679191,1005633,-497983.0,,161725518.0,-175717116.0,0.0,0.0,
2015-11-12,3,2015,,,-3118.0,7823.0,93258.0,8368,,0.0,-550000.0,19965,0.0,,,-331179,,45113.0,0.0,-77476,1662516.0,-83639,,,,12257.0,0.0,-7023213,2776991,566793,-108307,-63232.0,-479914284.0,,-16001,,9282346.0,-31764,-42552,315524,1799495,,-5620368.0,,1268052,-11019278,59406.0,,0.0,-813000.0,-1382841,-1742657,7687026,70889,206925,,0.0,7339526.0,,-3215530.0,2015年01月01日至2015年09月30日,7836952,10988050,,3151098,1710962,0.0,5343330,-256485,,2000000,0,-263500.0,662540,1187626,-10446051,1710962,26181,-60716.0,-10071786,11319869,1248083,745500.0,0.0,0.0,483942284.0,8072.0,684,66456.0,7598.0,-908.0,-65070.0,-4624.0,269.0,,-1967447,0.0,17162814,9137884,1601,988208,-5311489,767531.0,0.0,165341512.0,-178942756.0,0.0,0.0,
2016-02-24,4,2015,,,-3021.0,7826.0,68006.0,57359,,0.0,-550000.0,37741,,-4857.0,,13370,,45234.0,0.0,-10479,1498639.0,-96002,,,,58474.0,0.0,-9347046,3643111,536215,-132132,-51886.0,-634076673.0,,-21297,,9336580.0,188764,-75212,315524,5638949,,-3908847.0,,1354553,-26631809,81585.0,,,-488000.0,-1256218,301336,8514602,95352,262677,,,,,-3813520.0,2015年度,7836952,5643147,,-2193805,2362789,0.0,-130121,-6126917,0.0,2000000,-324500,,760265,261083,-11114501,2362789,31079,-60716.0,-22173339,17497153,-4676186,750000.0,0.0,0.0,637184048.0,8141.0,1340,66456.0,7598.0,-908.0,65070.0,-4624.0,269.0,,-8489706,0.0,18794375,4621799,-23123,233583,-3058465,1198224.0,0.0,168141669.0,-182444953.0,-89608.0,0.0,
2016-05-12,1,2016,,6898.0,,141.0,-27714.0,-1282,,,,742428,15000.0,,,-446574,,39807.0,,-33809,765189.0,-149493,,,,6944.0,,-2239618,823189,-210528,-12823,-60217.0,-156388790.0,,-22822,,-533145.0,1356882,-16626,0,-12684499,0.0,0.0,3451886.0,-937690,4695549,40628.0,,160046.0,,749861,4767033,2772881,24123,48393,,,,212.0,1918974.0,2016年01月01日至2016年03月31日,5643147,5576057,,-67090,-897248,,-6636572,-7907091,,0,50000,,0,893343,4007129,-897248,117,-212.0,-16390845,7462028,-8928817,,,,156276666.0,-956.0,4,0.0,,,-5886.0,0.0,,,-7009843,,-7171787,4682714,-15986,-8539063,10832619,1198224.0,,14714918.0,-11723101.0,,,
