date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,180104.0,-71.0,-117997,10262,-1970,-5152,-415.0,1026,,-6587,95,34530,-239976,,,-39276,-164899.0,,,3767,-2768,-41027,8878,-18649,,-57359,71,48657,954,-448003,172089,,,6498,2836,-95,6587,,,2013年01月01日至2013年03月31日,2541543,2456137,-85406,300489,347711,397953,,,-19644,300489,,-156716,74076,-82640,,21694,6128,,16.0,10,0.0,,97464,1261,2456137,-50147,,-20572.0,-965.0,,36978,,,19693
2013-08-13,2,2013,378257.0,-216.0,44606,352,-2267,653,-426.0,-9020,,-13182,64,38783,-648103,,0.0,-41230,0.0,,,1642,-3013,-87683,47107,-75,,15752,-235,54435,91,-297588,354386,,,11038,6559,-64,11679,,,2013年01月01日至2013年06月30日,2541543,3131000,589457,520929,870692,1081365,0.0,,-22430,520929,,69967,112212,182179,,834,20049,,17.0,40,419791.0,,560436,2488,3131000,-210609,,-20843.0,,-697.0,65776,,,10049
2013-11-06,3,2013,610311.0,-301.0,170327,-48307,-4000,633,-426.0,-9560,-5874.0,-17555,48,11710,-1019422,,0.0,-57929,,,,3182,-9470,-89589,60071,-87001,,25430,-983,-61160,877,-461823,546018,,,17956,11873,-48,14522,,,2013年01月01日至2013年09月30日,2541543,2550379,8836,766954,1218222,1515787,-705600.0,,-759273,766954,,316792,-178270,138522,,2068,57567,-47726.0,63.0,278,525359.0,,748833,3048,2550379,-297517,,-47084.0,0.0,,26248,0.0,150760.0,123396
2014-03-12,4,2013,823149.0,-588.0,124279,-7515,7002,97,-426.0,-6959,-5874.0,-22845,135,1120,-1296542,,0.0,-63661,0.0,,,41486,-8251,-106398,83903,-76211,,68503,-908,-8444,1360,-808841,743713,14267.0,,16496,16857,-135,18772,,,2013年01月01日至2013年12月31日,2541543,2503716,-37827,923739,1489931,1849691,-705600.0,,-720037,923739,,261849,-159046,102803,,20007,79424,-47726.0,89.0,426,453969.0,,925952,9986,2503716,-359625,-5183.0,-47084.0,,,-75641,0.0,128746.0,53413
2014-05-14,1,2014,230274.0,0.0,-35473,6910,-9073,-439,0.0,689,,-4550,0,-2482,-385264,,,-9895,0.0,,,621,-34853,-16259,4189,-16373,,-94171,3360,26228,939,-278424,212004,,,-1400,5065,0,1124,,,2014年01月01日至2014年03月31日,2503716,2559074,55358,298539,406540,423771,,,-70276,298539,,-157693,52651,-105042,,11814,18028,,0.0,55,80875.0,,125232,1294,2559074,-17231,,-36044.0,1072.0,,34697,,34992.0,-23630
2014-08-06,2,2014,466823.0,0.0,55989,14206,-4829,1019,0.0,-50248,,-14748,0,-10736,-785494,,,-15489,,,,4495,-36604,-64923,34108,-26410,,-60922,-268,-2832,373,-598147,426505,,53239.0,8214,10479,0,17517,,,2014年01月01日至2014年06月30日,2503716,2346520,-157196,376006,519808,698382,,,-68121,376006,,-82190,-62257,-144447,,2689,35191,,47.0,110,104561.0,,322376,3637,2346520,-178574,,-36012.0,1072.0,,1635,,55598.0,-75797
2014-11-05,3,2014,703421.0,0.0,184703,537,-5387,14,0.0,-58279,0.0,-25948,0,282,-1195200,,,-18457,,,,45684,-42150,-112575,44205,-70393,,43129,-294,40064,974,-1193406,651698,,53239.0,18646,16065,0,24999,,,2014年01月01日至2014年09月30日,2503716,2364502,-139214,586618,1269844,1519592,-183456.0,,-215934,586618,,279592,-50039,229553,,3417,41376,0.0,81.0,97,61097.0,,932974,13660,2364502,-249748,,-36012.0,1487.0,,37044,,-54212.0,43781
2015-03-11,4,2014,970324.0,0.0,179968,-15172,-7810,-9,0.0,-60180,-8310.0,-35732,0,23576,-1864835,,-841.0,-21520,,,10335.0,47653,-68670,-144284,48559,-72522,-21859.0,174742,-296,-12852,823,-1689646,898613,0.0,53239.0,21622,21685,0,34407,,,2014年度,2503716,2480103,-23613,912901,1867162,2203843,-183456.0,,-224705,912901,,439463,-118845,320618,15780.0,114219,60274,0.0,94.0,149,229625.0,,1290942,19511,2480103,-336681,0.0,-36012.0,1688.0,,41067,-116450.0,0.0,73348
2015-05-06,1,2015,,,-185938,26753,133,964,,3622,,-5547,1811,-72260,-339333,,,-10836,,-191627.0,,8321,-9784,-11530,15326,47447,,65798,24,23744,75,-658951,267983,,,-3670,6096,-209,7836,,309488.0,2015年01月01日至2015年03月31日,2480103,2905734,425631,264202,514543,551671,,3005.0,642299,264202,,-199116,177097,-22019,640757.0,3972,42120,,,57,,0.0,287469,-727,2905734,-36919,,0.0,638.0,,74492,-132759.0,0.0,-78406
2015-08-11,2,2015,,-4380.0,-81390,15675,8314,-596,,-15040,,-14124,1365,-63277,-672922,-31687.0,,-12241,,-185328.0,,11992,-12208,-21825,41460,94959,,-171518,6723,35483,145,-1056883,528352,,0.0,-4394,12776,-1365,11333,,622842.0,2015年01月01日至2015年06月30日,2480103,3202264,722161,560192,892438,1099285,,,949883,560192,,-245015,161266,-83749,972102.0,29904,97292,,,149,,0.0,539093,-3462,3202264,-205482,,-17623.0,1426.0,,30640,-215577.0,0.0,-3682
