date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他借款減少,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資損失（利益）,處分持有至到期日金融資產,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）,預收款項增加－處分資產,預收款項減少－處分資產
2013-04-30,1,2013,,-263647.0,0.0,-125649,,49622,,8018,,,-119465.0,-1058,12734,0.0,-4090.0,,,,,-15942,0.0,,-1841,21023,0.0,-33452,-11000.0,,-1200,-259,-80000.0,-2188.0,,,0.0,38408.0,-17391,,-47755,-1784.0,,1567.0,7209.0,0.0,-70060,0.0,13717,-2.0,5194,-10824,-776.0,59073,19341,0,,1307,-16259,1833,,2013年01月01日至2013年03月31日,99081,136505,37424,309087,,5500,5028,,5981,,103694.0,0.0,-27149,309087,-46205,5793,-40412,0.0,657.0,0,-299367,31200.0,,421822,0,0.0,,-304059,0.0,136505,472,-1922,,3856.0,,,-7544,,,24039,0.0,-173529.0
2013-08-13,2,2013,,-353226.0,0.0,-397607,,54856,,32633,,,,336,-1954,,-4828.0,,,0.0,-335243.0,-15909,,,-1976,40461,0.0,-129620,-11000.0,,-24367,-647,-89118.0,-754.0,0.0,-219873.0,,38726.0,-24337,,-28523,-1784.0,,-3346.0,,-142775.0,-55485,,13553,1.0,4139,-9136,-1548.0,636141,38936,-3030,,2750,-30961,1964,,2013年01月01日至2013年06月30日,99081,121738,22657,480776,,90424,104463,,3847,,166695.0,0.0,-703908,480776,-8812,-14275,-23087,252000.0,676.0,0,-430605,60600.0,,804836,0,0.0,,-376313,0.0,121738,-14039,-2038,0.0,3856.0,,,-25163,,,26682,,
2013-11-07,3,2013,,-430324.0,0.0,-559077,,58899,,25613,,,,-1400,-2655,,-6663.0,,,0.0,-363547.0,-38894,,,-3475,59707,0.0,-270157,-11000.0,,-19610,-556,-80000.0,,0.0,-330256.0,,39859.0,637,,68523,-1784.0,,11296.0,90226.0,0.0,-70732,0.0,-9000,2.0,-34912,-28979,-2779.0,724381,59123,-847,,4597,-44966,3369,,2013年01月01日至2013年09月30日,99081,105935,6854,655840,,200599,220617,,-4112,0.0,64482.0,0.0,-918126,655840,83683,-88582,-4899,252000.0,675.0,0,-548082,66450.0,,1034245,-159,0.0,,-435223,0.0,105935,-20018,-2035,0.0,-26988.0,,,-27666,,,21660,,
2014-03-21,4,2013,,-728279.0,0.0,-724063,,80012,,-25009,,,0.0,-6771,25498,,,,,0.0,-451547.0,-64406,0.0,,-10337,74680,,-524201,-11000.0,,-21866,-688,-80000.0,,0.0,-370576.0,0.0,41047.0,250537,,82255,0.0,,3469.0,,-199251.0,-74527,-1784.0,46323,2.0,-27157,-75439,-3043.0,874247,75480,-1853,,4856,-58054,9578,,2013年01月01日至2013年12月31日,99081,128414,29333,968641,,507563,528039,0.0,-478,0.0,,-51198.0,-1352477,968641,4142,283535,287677,448331.0,,1882,-870773,0.0,82213.0,1523901,-156,,,-440602,0.0,128414,-20476,-2029,0.0,-28332.0,0.0,,91111,,,-75469,,
2014-05-02,1,2014,153.0,-57742.0,,-114627,-50000.0,14086,-10358.0,3816,,,,-14,-15560,,,,,97368.0,,-2144,,,-2256,9798,0.0,-41174,0.0,,-5249,-311,0.0,,,-44539.0,-1152.0,0.0,21358,,-104744,0.0,23076.0,,0.0,-43948.0,18964,,-40199,0.0,28689,-60961,-375.0,-1521,20506,-5025,,965,-9520,2808,,2014年01月01日至2014年03月31日,128414,100553,-27861,158602,,-38090,-37216,,-11018,,177016.0,,11750,158602,-64875,-73201,-138076,,0.0,44000,-85596,0.0,,141072,-1323,,,-195818,,100553,-874,11,,0.0,,,5699,,,-15868,,-129013.0
2014-08-12,2,2014,190.0,-121264.0,-1200.0,-1422584,,-25772,-1900.0,15135,,,-50000.0,-4542,-14747,,,,,277829.0,0.0,-8977,,,-3074,19447,,-63296,0.0,,-63215,-706,0.0,,23361.0,,-1108.0,0.0,41251,,-57397,0.0,80681.0,,,-193500.0,34452,,-41338,0.0,36133,-263092,-1459.0,-131927,41194,-57,,2012,-19647,3086,,2014年01月01日至2014年06月30日,128414,369121,240707,334107,,-91308,9114,,-5881,,0.0,-15569.0,463942,334107,-44263,-159466,-203729,1815252.0,14.0,44000,-179763,0.0,,287618,-1285,,,-324993,,369121,-100422,15,,0.0,,,73130,,,-70226,,-277443.0
2014-11-11,3,2014,228.0,-246919.0,-1200.0,-1672540,,-41856,-7800.0,7776,,,-50000.0,-19885,-4050,,,,,,0.0,-12000,,,-3918,29582,,-79989,0.0,,-73017,-733,0.0,,,-28412.0,-1010.0,0.0,26279,,-59111,0.0,52605.0,,0.0,-193500.0,40291,,-80090,0.0,46389,-213843,-2208.0,282685,62145,-34,,3076,-29220,4584,,2014年01月01日至2014年09月30日,128414,231545,103131,575110,,25822,133684,,-4575,-360154.0,0.0,-2769.0,-205376,575110,-22743,-171764,-194507,2095537.0,14.0,44000,-336761,0.0,,516325,-1295,,,-441426,,231545,-107862,24,,-13118.0,,,50384,-57669.0,,7421,,-20.0
2015-03-17,4,2014,265.0,-527628.0,-1200.0,-2161361,,-8225,-33651.0,3094,,,-50000.0,-21325,4235,,,,,,0.0,0,4969.0,-24972.0,-4731,39408,,-136691,0.0,,-361295,-745,0.0,,,-76329.0,-721.0,0.0,9533,,-42175,,50120.0,,,-193500.0,26447,0.0,-88656,0.0,51193,-206613,-3013.0,605364,83093,-1059,,4099,-39313,4815,,2014年度,128414,180420,52006,876597,,97722,205600,,-11793,-360154.0,,-58500.0,-651080,876597,48048,-191417,-143369,2250999.0,13.0,44000,-530263,342238.0,1395.0,803440,-94482,,,-670997,,180420,-107878,-45,,-13117.0,,,48649,,,46219,,-11008.0
2015-05-13,1,2015,0.0,,,-9470,0.0,-18796,-359.0,30472,,,,296,-2068,,,,-302387.0,0.0,,-18026,,,-435,7261,,-29239,,,-46634,-57,,,,-49818.0,-530.0,,7902,,-18783,,-5094.0,,,0.0,-21356,,61430,,-8600,-42210,,-92411,15087,3009,,381,-7218,1235,-133395.0,2015年01月01日至2015年03月31日,180420,179351,-1069,201218,-389.0,75914,76036,,-4337,,1934.0,,15428,201218,-43720,51933,8213,80000.0,,8787,-151787,,,220290,-3938,,80000.0,-125182,,179351,-122,36,,,,,6335,,3000.0,20402,,-8491.0
2015-08-12,2,2015,0.0,,0.0,-757521,,16093,-76896.0,59266,,,0.0,8901,-12027,,,,-593274.0,0.0,,-24621,,-5892.0,-992,16682,,-59097,,,-51599,-57,,,-98755.0,,-747126.0,,-270793,,-68291,,-13101.0,,,0.0,-32097,,48956,-107.0,2248,2633,,-977107,30507,-2009,,666,-16661,1794,-324655.0,2015年01月01日至2015年06月30日,180420,205004,24584,406053,-842.0,62163,118037,999983.0,-7873,,7482.0,0.0,939528,406053,194421,-157782,36639,805000.0,0.0,8787,-361849,-25115.0,,515600,-3938,,80000.0,-288016,,205004,-55874,161,,,,,21924,,3000.0,283758,,-8503.0
