date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-04-19,1,2013,7609.0,,,-7066,46157,-714,-7367,-13,-1136,666.0,460,-4502,,,-3884,256,,,-17.0,,250.0,-37370,,44884,1200,-12181,5272.0,1536.0,6495,8167,6019,,51,1081,,1014,,,2013年01月01日至2013年03月31日,162516,279977,-1170,117461,61322,110523,109181,,,-17.0,61322,,,38304,1946,40250,,8768.0,,0.0,-4808.0,47859,,279977,328,,-18,2093.0,,2427,-120,0.0,5876.0
2013-08-14,2,2013,18556.0,,,16003,26134,-983,-3718,-13,-2344,1338.0,235,-10991,,,-5158,346,,0.0,-17.0,,243.0,-45830,-6277.0,46503,1140,-7773,4661.0,1535.0,-1107,16278,-3966,,69,2718,-2.0,2227,168.0,,2013年01月01日至2013年06月30日,162516,321607,-797,159091,122354,166257,174375,,,-6294.0,122354,,,62663,-29198,33465,,8768.0,,0.0,-4808.0,52021,,321607,-10343,,-35,2093.0,0.0,3698,-241,0.0,5876.0
2013-11-11,3,2013,34760.0,,-1400.0,12980,52447,299,-3368,-13,-3561,1783.0,166,-18880,,,-4104,842,2484.0,0.0,-29.0,,35.0,-48257,-6277.0,19233,-214,-46112,6574.0,1581.0,-8150,24862,-3950,,275,4182,-2.0,3477,,,2013年01月01日至2013年09月30日,162516,232584,-2319,70068,191138,196912,216751,,-113638.0,-118860.0,191138,,-658.0,32298,-41445,-9147,,8768.0,,0.0,-4808.0,25613,0.0,232584,-23972,,-52,3129.0,4427.0,6658,-360,0.0,5876.0
2014-03-11,4,2013,45547.0,,-1400.0,34901,9104,-1885,260,-13,-4905,1783.0,-1324,-25414,,,-5204,1720,9632.0,0.0,-29.0,,35.0,-33095,-6277.0,7234,-141,-16642,-2298.0,1581.0,-15784,33593,-3936,,297,5495,-2.0,4693,,,2013年01月01日至2013年12月31日,162516,309011,-2322,146495,254045,275315,294196,,-113638.0,-111712.0,254045,,-658.0,40109,-45505,-5396,0.0,8768.0,,0.0,-4808.0,40151,0.0,309011,-24230,0.0,-65,3129.0,4427.0,7861,-479,0.0,5876.0
2014-05-13,1,2014,11526.0,,,-27816,-41772,5098,-5094,-13,-1730,0.0,-273,-5261,,,-1944,-384,,,0.0,,0.0,-31584,,9571,459,372,1119.0,-75.0,-7218,8947,24,,50,1256,,1730,,,2014年01月01日至2014年03月31日,309011,276858,168,-32153,52330,-24662,-25947,,,0.0,52330,,,-12688,-77115,-89803,,0.0,,22.0,0.0,-78277,,276858,-445,,-24,0.0,,3221,-105,,0.0
2014-08-12,2,2014,23570.0,,,-5674,-52409,2351,-2250,-13,-3131,0.0,-169,-14752,,,-2450,87,,,0.0,-699.0,0.0,-51486,0.0,15195,220,-15030,2535.0,0.0,-15014,17606,40,,-99,2310,0.0,3132,0.0,,2014年01月01日至2014年06月30日,309011,309371,3062,360,110378,15543,27231,,,0.0,110378,,,12092,-118809,-106717,,0.0,2900.0,26.0,-1293.0,-83147,,309371,-14820,,-39,0.0,,5041,-209,,0.0
2014-11-10,3,2014,31964.0,,0.0,-23073,-102061,-491,-2017,-3663,-4575,0.0,-441,-20596,,,-2450,1295,0.0,,0.0,,-439.0,-58048,0.0,3701,193,-48440,2711.0,-18.0,-24248,26378,71,,218,3276,0.0,4628,,,2014年01月01日至2014年09月30日,309011,361488,-2090,52477,197657,-22339,1840,250000.0,-150495.0,99505.0,197657,1802.0,-884.0,-19670,-208111,-227781,,0.0,2900.0,26.0,-1293.0,-195817,,361488,-29691,,-71,0.0,0.0,7882,-309,,0.0
2015-03-10,4,2014,49380.0,0.0,0.0,9080,-186577,4321,-54,-13,-6449,0.0,-358,-29229,,,-5222,841,0.0,300.0,0.0,,-2039.0,-43215,0.0,88,-52,-34274,2796.0,63.0,-33368,35010,10095,,459,4181,0.0,6343,,,2014年度,309011,433036,-5285,124025,269853,57946,81096,250000.0,-150495.0,99805.0,269853,1802.0,-884.0,13437,-251574,-238137,884.0,0.0,2900.0,26.0,-1293.0,-188757,,433036,-30377,,-93,1896.0,3750.0,15419,-408,-649.0,0.0
2015-05-12,1,2015,,,,-23947,28877,-438,-6830,-13,-2196,,-2013,-6696,,-526.0,-2335,1491,,,,,,6027,,1007,507,20248,-288.0,-369.0,-9570,8703,-13979,,241,1059,,2178,,18755.0,2015年01月01日至2015年03月31日,433036,514323,5855,81287,60830,92870,90308,,,,60830,,,-22871,33594,10723,,,,0.0,,29478,,514323,384,,-24,1218.0,,2408,-92,,
2015-08-12,2,2015,,,,-14856,-2783,-9662,1778,-13,-4285,,-2435,-13707,,-526.0,-4887,-1066,,,-196.0,0.0,450.0,1502,,1993,699,19884,-167.0,-121.0,-18683,17655,-9965,,784,1972,,4261,,33473.0,2015年01月01日至2015年06月30日,433036,530191,5160,97155,112924,118469,134514,,,-196.0,112924,,,-21826,9943,-11883,,,0.0,0.0,0.0,21590,,530191,-20306,,-36,10356.0,,2933,-185,,
