date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,14926.0,,30457,,-2374.0,-116239,2851,-659.0,-1486,85334,,,,,-3001,74,14920,-82385,,,,-1644.0,,,,-724315,321743,-141670,390291,25233,-84759,16903,1263,55,-74,4046,,,2013年01月01日至2013年03月31日,2001949,1908689,-93260,71205,-108755,-117003,,0.0,,85334,71205,,,103483,-306617,-203134,,,,,,-188208,9851,1908689,4276,1276,809,,
2013-08-14,2,2013,19375.0,,4290,60801.0,-29120.0,-4887,616,-659.0,-3573,-16449,-488800.0,,,,-8249,2199,21042,-88765,,,,3883.0,,,,-1031076,574960,-54567,-818751,-16008,-574739,36297,4944,111,-2199,11179,20767.0,,2013年01月01日至2013年06月30日,2001949,828894,-1173055,157362,-1111441,-1103515,,510731.0,,492083,157362,,-20767.0,587200,-1867452,-1280252,,,,,,-1260877,-9827,828894,-7926,957,1340,,17089.0
2013-11-13,3,2013,46275.0,,82199,56966.0,-93676.0,-9772,85956,-659.0,-5834,-5402,-483300.0,,,,-12627,3331,17066,-124316,,,0.0,745.0,,,,-519040,245401,-122276,-581505,54369,-672403,61367,12076,166,-3331,8075,20814.0,,2013年01月01日至2013年09月30日,2001949,1107240,-894709,228496,-499803,-434434,,269164.0,,260431,228496,,-20814.0,243513,-952718,-709205,,,,,,-662930,-8346,1107240,-65369,2031,13336,,
2014-03-27,4,2013,90866,,11741,-4974,-45740,-7625,13063,,-9607,-5402,-491900,,,,-20826,2033,21734,-137311,,0,,-1860,-659,,115,-958209,894561,40064,162210,52381,-625302,87916,64189,274,-2033,7969,41565,,2013年01月01日至2013年12月31日,2001949,1828972,-172977,222020,487523,526848,-48838,,0,-56932,222020,,-41565,941386,-727424,213962,0,,0,,,304828,7619,1828972,-39325,705,12738,,
2014-05-07,1,2014,49467.0,,-40752,,7570.0,-2990,33958,0.0,-4037,-2791,-1530.0,,,,-1102,0,-4338,-7125,,,,,,,665.0,-177741,361552,-189849,391385,9955,16637,29895,24595,48,0,17057,,,2014年01月01日至2014年03月31日,1828972,2289899,460927,25846,451419,488970,,0.0,0.0,-2791,25846,,,149194,264463,413657,,,,,,463124,21233,2289899,-37551,-3969,10943,,
2014-08-13,2,2014,85117.0,,39054,18571.0,49554.0,-1244,-39422,0.0,-3276,-25259,0.0,,,,-8265,0,8586,-17925,,,,-14.0,,,,314908,414661,-138735,108195,-4646,51638,52296,45397,80,0,20009,0.0,,2014年01月01日至2014年06月30日,1828972,2825693,996721,175056,961756,994500,,0.0,,-25259,175056,,0.0,364593,369734,734327,,,,,,819444,32286,2825693,-32744,-4377,-6025,,0.0
2014-11-07,3,2014,125238.0,,19578,14426.0,0.0,-8276,53640,-1.0,-5089,0,0.0,,,,-16394,5,-15970,-25750,30000.0,,0.0,-1771.0,,277.0,0.0,332263,413882,-54418,143105,12802,36326,83245,56077,80,-5,31799,0.0,,2014年01月01日至2014年09月30日,1828972,3055695,1226723,311513,1320325,1384364,-113953.0,0.0,,-113958,311513,,0.0,418718,528895,947613,,,729.0,,,1072851,33527,3055695,-64039,3267,-7826,,
2015-03-27,4,2014,177247.0,30000.0,134203,50026.0,,-15564,59225,,-8260,-1907,-466010.0,,,,-29296,5,10224,-58543,,0.0,,2090.0,509.0,,261.0,-246010,318828,7984,-182207,5180,-459319,107389,81705,80,-5,34973,0.0,,2014年度,1828972,1984076,155104,442514,719555,777228,-113953.0,,0.0,-115356,442514,5795.0,0.0,532731,-375264,157467,0.0,,729.0,,,334714,37254,1984076,-57673,8750,-3192,,
2015-05-07,1,2015,,49000.0,20729,113035.0,0.0,19520,-12180,,-1218,11612,488275.0,,-509.0,,-9086,0,-19174,-114369,,,,-4456.0,,,6.0,110861,-104965,-199978,-28595,-11959,498677,18222,-813,0,0,17992,54040.0,17299.0,2015年01月01日至2015年03月31日,1984076,2574524,590448,166219,99842,100908,,0.0,0.0,11103,166219,8091.0,-54040.0,-131230,48620,-82610,,3733.0,195.0,-3534.0,,-65311,20429,2574524,-1066,62720,-8289,,
2015-08-13,2,2015,,49000.0,59192,62850.0,0.0,10116,-21950,,-3937,-50902,248129.0,,-509.0,,-18731,0,-28178,-123042,,,,-1193.0,,,11.0,1140345,-447902,-337776,-43065,-23910,179203,40383,18833,0,0,27316,54040.0,179215.0,2015年01月01日至2015年06月30日,1984076,2897150,913074,282798,813460,880491,,0.0,,-51411,282798,17631.0,-54040.0,-622718,1041196,418478,,26754.0,1994.0,,-25542.0,597693,30802,2897150,-67031,199880,-6287,-103005.0,
2015-11-12,3,2015,,,142865,77430.0,,64867,-18211,0.0,-6583,-39614,,482103.0,-509.0,,-27891,0,-19684,-644741,49000.0,,0.0,-4412.0,,0.0,,1256450,-744008,-299430,561921,-49881,5837,68235,22884,0,0,31003,54040.0,300604.0,2015年01月01日至2015年09月30日,1984076,3360765,1376689,453413,1661366,1769573,-230707.0,,,-270830,453413,27171.0,-54040.0,-722451,1738007,1015556,,34432.0,1997.0,,-33220.0,1316160,35825,3360765,-108207,299880,-5689,,
2016-03-28,4,2015,,49000.0,225792,15772.0,,54012,1611,,10979,-9344,361142.0,,,,-37640,0,1932,-673700,,0.0,,-4388.0,3375.0,,0.0,1203878,-1188139,-266641,725006,6191,-127193,98894,16618,117,0,47574,0.0,323278.0,2015年度,1984076,3287266,1303190,663149,1665127,1809182,-230707.0,,0.0,-236676,663149,35081.0,-54040.0,-1121622,1944377,822755,54040.0,34751.0,2024.0,,-33268.0,1146033,37582,3287266,-144055,299880,-3288,,
