date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債減少,備供出售金融資產減資退回股款,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款－關係人增加,其他應付款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加,其他金融負債增加（減少）,其他金融負債減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得避險之衍生金融資產,合併發行新股追溯調整,員工執行認股權,員工購買庫藏股,子公司發行特別股,存入保證金增加,存入保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分持有至到期日金融資產,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產證券化款項,附買回票券及債券負債增加,附買回票券及債券負債減少,除列避險之衍生金融負債,非控制權益變動,非金融資產減損損失
2013-05-13,1,2013,-1757360.0,,,,,,,,,,,793943,-647513,7483797,-239619,-157145,,,-693039,,1280932,,,-3777713,1002369,440967,,,-21253,,,-1024900,,-2032,,,,,,,,-46143.0,,,,,,,,,-899021.0,,,-8808317,13136.0,-1046332,389746,-108765,,,,,-45,15706,-943321.0,,3753528,,,2013年01月01日至2013年03月31日,10064721,10492063,427342,2034518,,1032707,-1593451,,,,,,,,0.0,2034518,,6698816,-8569425,-1870609,,1853,,0.0,-12650,,,,,-3627969,,10649208,-184049.0,-14353,505811,,,,,0.0,133769
2013-08-13,2,2013,-3527012,,,,,,,,,,,555217,-1837784,9311015,-828554,-164781,,,3505569,,910845,,,-7680830,2003656,-299878,,,-48221,,,-218501,,-283,,,,,,,,-110705,,,,-773487,,,,,,,,-17555718,23584,260342,769043,-105918,,,,,3088,31910,-2039531,,7665942,,,2013年01月01日至2013年06月30日,10064721,8065445,-1999276,4227757,,-1775608,-6205191,,,0,,,,,-184132,4227757,100,12621898,-19527834,-6905936,,502930,24417,-2966,35643,,,,,-10432948,,8230226,-1196828,21956,1080861,,,,,-184132,210527
2013-11-12,3,2013,-5569433.0,,,,,,,,,,,-383658,-762529,14787051,-1369561,-181485,,,1288945,,1596677,,,-11839974,2989112,345947,,,-83852,0.0,,-1234438,-112906.0,-283,,,,,,,,-161396.0,,,,-824034.0,,,,,,,,-22166667,33804.0,-973493,1133148,9290,,,,,1298,56811,-2967391.0,,12113232,32934.0,,2013年01月01日至2013年09月30日,10064721,7725512,-2339209,6284032,,283069,-7237479,,,-1810600.0,,,,,-1994732.0,6284032,-32834.0,14902108,-22854186,-7952078,,4826,31286.0,-2971.0,16258,,-26596.0,421874.0,,-13521511,,7906997,-1658227.0,58145,1741775,,,,,-184132.0,336395
2014-03-27,4,2013,-7351145.0,,,621.0,,,,,,,,-285513,-1179379,23060586,-791839,-84084,,,2507546,,-514222,,,-16109434,3985775,598624,,,-1709535,0.0,,-5076240,-127441.0,-2267,,,,,,,,203751.0,,,,575688.0,,,,,,,,-31825004,-13514.0,-4611188,1491409,-14114,,,,,2459,87491,-3945232.0,,16216739,33876.0,,2013年01月01日至2013年12月31日,10064721,7502137,-2562584,8576581,,3444712,-7050578,0.0,,-1810600.0,,,,,-1994732.0,8576581,-33876.0,25844793,-34120807,-8276014,,3910,60664.0,-2967.0,-30222,,-53627.0,2239100.0,,-15627159,,7586221,-1810093.0,81398,2802759,,,,,-184132.0,427690
2014-05-12,1,2014,-2087994.0,,,,,,,,,,,-480075,389395,9102523,-311326,-167753,,,-401693,,-491396,,,-4270123,1015436,147148,,,-49669,,,-2424886,,-11,,,,,,,,554792.0,,,,-1314867.0,,,,,,,,-8105615,1046.0,-2370869,334016,-167515,67500.0,,,,1543,16845,-950737.0,,4227044,,,2014年01月01日至2014年03月31日,7502137,7286636,-215501,2208784,,2008220,-1103941,,,,,,,,,2208784,,6906934,-8131665,-1224731,,17431,18766.0,,-15942,,-10246.0,,,-3312725,,7454389,-164146.0,26143,765687,,,,,,48647
2014-08-13,2,2014,-4034616.0,,,,,,,,,,,-14260,39737,13363090,-992773,-97525,,,1492,,-399578,,,-8643034,2051041,-118976,,,-77559,-3517.0,,-3018591,-20906.0,-11,,,,,,,,567373.0,,,,-1422728.0,,,,,,,,-14152279,5445.0,-2418915,660884,-116471,,,,,4371,34490,-2010293.0,,8332210,100.0,,2014年01月01日至2014年06月30日,7502137,7510159,8022,4652776,,2713593,-2502792,,,,,,,,-167680.0,4652776,-2853.0,11933039,-15053991,-3120952,,46559,56347.0,0.0,-17648,,-39881.0,598763.0,,-7155568,,7607684,-1105632.0,53008,1750336,,,,,-167680.0,114670
2014-11-12,3,2014,-6154764.0,,,,,,,,,,,83823,371992,26011874,-1302170,-113197,,,2011418,,4734888,,,-13236233,3158315,-141642,,,-138835,,,-5625075,-135255.0,-3461,,,,,,,,567441.0,-79281.0,,,-1181244.0,,,,,,,,-32197509,9959.0,-3741856,994477,82937,,,,,8845,52842,-3064038.0,,12919874,31426.0,,2014年01月01日至2014年09月30日,7502137,9542474,2040337,7327123,,8085460,365768,,,-1991661.0,,,,,-2161625.0,7327123,-31326.0,26935830,-27742421,-806591,,5389,56347.0,-583.0,-112639,,-39881.0,2178315.0,,-6961355,,9655671,-2167570.0,-36095,2891016,,,,,-169964.0,196498
2015-05-13,1,2015,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1304,224205,40254,-1314869,-5614,0.0,0.0,-258735,0.0,-1430546,0.0,0.0,-5031260,1203844,-74861,0.0,0.0,-40024,-48730.0,0.0,-984340,,-785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-182381.0,0.0,0.0,0.0,0.0,,0.0,0.0,-4097737,,1372437,382037,-61556,,0.0,0.0,,8272,33974,,,5044235,,-2399491.0,2015年01月01日至2015年03月31日,8330204,12867143,4536939,2387910,3929.0,3239363,-128369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2387910,,6563715,-6680503,-116788,0.0,13118,0.0,,-24784,0.0,0.0,2433198.0,0.0,-2516279,6959344.0,12872757,,-17578,993959,0.0,0.0,0.0,0.0,0.0,52045
2015-08-12,2,2015,,,,,,,,,,,,71168,40971,25116,-1689102,-20741,,,982784,,-1023310,,,-10051209,2387701,-142591,,,-65223,-184048.0,,-1911290,0.0,-8008,,,,,,,,0.0,,,,-182080.0,,,,,,,,-13812819,,786781,769113,-72927,,,,,8189,74349,-2419857.0,,10077688,9985.0,-4601619.0,2015年01月01日至2015年06月30日,8330204,10556820,2226616,4831650,8568.0,1803078,-4144664,,,,,,,,-220652.0,4831650,-9885.0,12182492,-16557187,-4374695,,1493,116889.0,44530.0,-16031,,-114600.0,2836968.0,,-8976314,11276936.0,10577561,-1720074.0,2923,2181046,,,,,-220652.0,122255
2015-11-12,3,2015,,,,,,,,,,,,-7488,155340,-168579,-2719082,0,,,2551867,,-839595,,,-15315987,3586386,45483,,,-106047,-192180.0,,-4333180,0.0,-9150,,,,,,,,0.0,0.0,,,479088.0,,,,,,,,-23661438,,-588307,1183369,89404,,,,,10106,113274,-3759250.0,-2732453.0,15326361,67518.0,-6843335.0,2015年01月01日至2015年09月30日,8330204,10488396,2158192,7261183,13138.0,5988825,-2913351,,,-3067157.0,,,,,-3287809.0,7261183,-67418.0,23644172,-26975371,-3331199,,3152,116889.0,64166.0,-7097,,-114600.0,3932209.0,,-10174534,20776146.0,10488396,,19203,3482603,,,,,-220652.0,202660
