date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加
2015-03-20,4,2014,27518,578,,0,-571,0,0,1736,-5257,,-407360,0,895,-7143,15306,89169,0,-9729,122,25295,35622,-67391,-9328,-416732,27601,,-19976,7143,,2014年度,945189,1474402,529213,1144557,851856,1162745,,0,4920,0,4920,1144557,38462,-47792,-9330,357,0,65,18188,526,1474402,-298056,,132,0
2015-07-30,2,2015,,27719,,,-675,,-1492,810,10536,,,,456,-3218,3435,-32242,,-8630,0,-49159,72357,-98215,,-10957,15550,,-3435,3218,16223,2015年01月01日至2015年06月30日,1474402,1937663,463261,683075,508959,661875,,,,-2499,-2499,683075,101527,-138950,-37423,,,,-21200,641,1937663,-152699,0,55,-2327
2015-11-10,3,2015,,85854,2329,,-1145,,,-391,2226,-731360,,,685,-4820,4799,35167,,-11973,0,-47795,105660,-90405,,-746024,23643,0,-4799,4820,24307,2015年01月01日至2015年09月30日,1474402,1654463,180061,1056867,889154,1140215,,,1764,,1764,1056867,196116,-137075,59041,,,,83348,2664,1654463,-251082,0,44,-2691
2016-03-01,4,2015,,18127,,,-1319,,,-132,5132,-1191040,,,916,-18170,6121,-37100,,-14254,276,22543,20942,-89578,,-1205294,31806,,-6121,18170,20949,2015年度,1474402,1179482,-294920,1403075,1064474,1401684,,-117000,0,,-117000,1403075,40865,-63205,-22340,0,,0,-1391,1928,1179482,-349259,0,17,
2016-05-10,1,2016,,-40298,2237,,39,,-746,2569,6603,,,,230,-15455,1313,-10758,,,-183,-96964,95726,-3873,,-557,8110,,-1313,1145,-5985,2016年01月01日至2016年03月31日,1179482,1405153,225671,368180,236986,326837,,,0,,0,368180,59582,-94940,-35358,,,,-41343,-652,1405153,-89683,,1,-557
2016-08-10,2,2016,,6814,,,473,,-1453,-339,959,,,,455,-24322,2615,-21881,,-155,-74,-102026,102897,-38648,,-1667,16025,,-2615,2046,-5301,2016年01月01日至2016年06月30日,1179482,1463604,284122,725904,487670,688982,,-180000,0,,-180000,725904,109059,-140680,-31621,,,,-36922,-313,1463604,-200743,,15,-1512
2016-11-10,3,2016,,61948,2112,,-636,,,2306,2648,,-147537,,671,-32643,3541,-104848,,-2086,,-102476,127238,-124334,,-153795,23437,,-3541,19345,-4994,2016年01月01日至2016年09月30日,1179482,2656885,1477403,1113558,804812,1078063,1111234,-180000,0,,931234,1113558,194275,-224776,-30501,,,,-35495,671,2656885,-289055,,22,-4172
