date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,避險之衍生金融負債增加（減少）,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少
2013-05-08,1,2013,97283.0,-31655,-13359,,9274,-403305,213,,,451,,,55081.0,,17774,,10001,126014,-139270,0.0,,-1598,-520,-18661,-225614,1112.0,418773,4561,8351.0,-82813,62337,1584.0,4119,2484,-6035.0,,8600,,2013年01月01日至2013年03月31日,1346693,1455260,108567,247125,3063,41126,,60226.0,0.0,62303,247125,-238319,-64963,-303282,346,,2628.0,1088,,-205999,,1455260,-40628,,0.0,,1626,,-54556
2013-08-12,2,2013,183952.0,12407,-2870,,8899,-625554,544,-2000.0,,36684,-1041.0,,136614.0,,38656,,17180,198652,-274576,,,-2570,4011,27971,-284157,1710.0,645601,5741,,-109282,126270,,7999,4981,-11987.0,,15438,,2013年01月01日至2013年06月30日,1346693,1547708,201015,432449,122972,348984,,,-73990.0,-11327,432449,-261638,-5779,-267417,622,28000.0,2628.0,2765,-17910.0,-83465,,1547708,-229463,,,,25979,0.0,-54668
2013-11-11,3,2013,297142.0,24339,-29422,,43699,-531162,504,-9067.0,,37182,,,176672.0,,31043,,26376,152597,-375969,,,-2477,8893,-44567,32211,,330613,6443,,-163160,192235,,11499,7321,-16568.0,,29336,,2013年01月01日至2013年09月30日,1346693,1417939,71246,587178,428089,708807,-420650.0,,11836.0,-346280,587178,100980,-276493,-175513,7986,28000.0,2628.0,19056,719.0,121629,-657.0,1417939,-293486,884.0,,,25352,0.0,669
2014-03-25,4,2013,394127.0,182945,-37427,,2290,-966027,414,-8254.0,,38210,,,,215528.0,74918,,36169,262887,-557236,,0.0,-3296,0,-244584,220070,4649.0,-16741,7329,,-305366,254628,,14419,9683,-22280.0,,74283,,2013年01月01日至2013年12月31日,1346693,1006366,-340327,949515,152279,498826,-420650.0,0.0,-114069.0,-450127,949515,418308,-1263124,-844816,8721,28000.0,2917.0,22142,797.0,-450689,7940.0,1006366,-398550,,,-18629.0,46382,0.0,2580
2014-05-08,1,2014,84921.0,-10757,-6800,,26321,820034,114,11967.0,0.0,2539,,,6129.0,,6559,,5763,81767,-80061,,,-1237,-152,-182609,-53653,-1655.0,278597,1325,,-59017,66603,,3334,2394,-16051.0,,5147,,2014年01月01日至2014年03月31日,1006366,1950532,944166,357020,1220248,1281688,,,-303584.0,-298832,357020,-36232,875979,839747,16103,,49.0,420,,924668,3398.0,1950532,-50536,,,,2213,,-46535
2014-08-08,2,2014,150934.0,104947,-79221,,3235,658114,62,11363.0,,2647,,-21130.0,,21677.0,-5537,,8482,-40449,-90413,,,-1096,4323,-171212,-144397,968.0,414079,1599,,-63526,133023,,5124,4861,-24299.0,,49447,,2014年01月01日至2014年06月30日,1006366,1941900,935534,653261,1293233,1519978,,,-258130.0,-253724,653261,-35938,751721,715783,6257,0.0,49.0,580,78.0,866717,-753.0,1941900,-251893,,,,1759,,-61871
2014-11-10,3,2014,218599.0,159672,-126918,-12319.0,-4382,20254,13,11363.0,,2634,,238489.0,,,-15858,,14644,65928,-247479,,,-3179,739,-104552,-101464,1782.0,196530,2659,,-255402,199993,,5168,7358,-29185.0,,72884,,2014年01月01日至2014年09月30日,1006366,1359404,353038,1060558,1156392,1551291,-327173.0,-291561.0,,-613880,1060558,62360,209774,272134,7526,0.0,49.0,6477,78.0,490733,6739.0,1359404,-438598,,,,2220,,-28051
2015-03-20,4,2014,329227,3162,-158447,,9366,21831,-66,11363,,9599,,211192,-58535,0,16422,,18685,305088,-626768,,,-5805,3869,-52456,-160477,1505,253563,-3490,,-670788,269380,,5171,10292,-32921,,23591,,2014年度,1006366,1395851,389485,1366453,1524231,1842408,-327173,,-467093,-769046,1366453,-140826,287554,146728,13159,0,7161,10042,-4634,475955,5684,1395851,-308847,,,,15621,,3998
2015-05-11,1,2015,,-18720,10612,,3273,7975,-33,0.0,,0,,-168343.0,-93830.0,,14583,-24498.0,3383,-78063,-87889,,,82,-495,-15475,-42230,-5032.0,195644,1710,,-181125,71981,,459,2638,-3291.0,,24468,69784.0,2015年01月01日至2015年03月31日,1395851,1671441,275590,224406,253165,254077,,281613.0,,281613,224406,-52448,12335,-40113,512,,0.0,1733,0.0,29671,10294.0,1671441,-22089,,,,0,,-19788
2015-11-11,3,2015,,157609,18692,,1262,5009,702,0.0,,3115,,-55123.0,-150139.0,,39962,-73257.0,10725,63323,-473304,,,-2301,-505,-103891,210898,-5578.0,-210682,-2196,,-597370,227631,,566,5462,-9561.0,,68880,216920.0,2015年01月01日至2015年09月30日,1395851,1529497,133646,786197,813584,951472,-514128.0,361580.0,,-145891,786197,375213,-426858,-51645,28374,,0.0,5599,737.0,165275,10320.0,1529497,-197207,,,,3542,,-78667
2016-03-18,4,2015,,31916,-46679,,28012,9037,651,0.0,,3191,,1099470.0,-300580.0,,57860,-86144.0,12988,-26372,-470323,,,-6914,327,-142569,139026,-3466.0,-248520,1498,,-739491,275848,,566,6649,,-13310.0,95262,286512.0,2015年度,1395851,2040810,644959,1090453,2093622,2257123,-514128.0,-175577.0,,-682800,1090453,219843,660315,880158,38326,,0.0,17681,737.0,1166670,23704.0,2040810,-245453,,,,3714,,-11922
2016-05-09,1,2016,,-65245,38975,,-26427,-5725,1388,,,11124,,200973.0,0.0,55769.0,15483,-9219.0,472,-110750,-136360,,,-1268,3455,-17877,-246820,-1688.0,414892,-627,,-60962,61334,,0,1340,-1383.0,,23617,72903.0,2016年01月01日至2016年03月31日,2040810,1993718,-47092,109479,457516,482761,,0.0,-353596.0,-332896,109479,-353861,654240,300379,20897,,,38,,373282,-15069.0,1993718,-47479,,,,9576,,23629
2016-08-08,2,2016,,17038,68881,,-23548,-11036,1274,0.0,,10366,,229466.0,0.0,119876.0,23817,-16323.0,786,-210381,-234367,,,-4563,5937,22458,-272305,-1583.0,368105,89,,-97194,140864,,0,2710,-1654.0,,27583,160858.0,2016年01月01日至2016年06月30日,2040810,2097875,57065,241658,654763,791340,,0.0,-310822.0,-290123,241658,-302394,691218,388824,21860,,,3067,0.0,549682,-23270.0,2097875,-162506,,,,10333,,13255
2016-11-09,3,2016,,104565,67122,,-19729,-13587,-266,,,17927,,320300.0,,132249.0,49550,-22566.0,2158,-421442,-338770,,,-8406,4803,-163150,17590,-503.0,-7698,-172,,-191826,205531,,0,4024,-2583.0,,41678,249828.0,2016年01月01日至2016年09月30日,2040810,2136532,95722,529394,874752,1066554,-420650.0,162903.0,,-165762,529394,91061,196271,287332,23101,,,6328,0.0,537160,-10596.0,2136532,-230897,,,,74058,,-6544
