date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-05-14,1,2013,170531.0,,-35679,-110884,-18584,-45068,-85931,138655,0.0,-624.0,,24784.0,,,-3673,22647,42949,-129304,,,6070,-36575,52275,24998,514,115840,19859,1668.0,-156227,142056,-22757,3673,,2013年01月01日至2013年03月31日,1471048,1701893,230845,221942,,331724,412847,,-86539,,12399,221942,37160,-16786,20374,110243,0,,6818,,,,190905,,1701893,-62039,-3387,,-11395,-51707.0
2013-08-14,2,2013,343915.0,,-140679,-57336,-20969,38477,-94729,118018,-1789.0,,,-7521.0,,,-9230,45601,37209,-376565,,,7789,-266461,252954,54996,333,-167152,4711,1629.0,-375820,283989,-46801,9230,,2013年01月01日至2013年06月30日,1471048,1916502,445454,595516,,550449,756734,0.0,101930,,233616,595516,353901,-536598,-182697,219158,8266,,5699,,,,161218,-174.0,1916502,-168714,5070,4997.0,8002,
2013-11-12,3,2013,515263.0,,-358016,33469,48752,10578,-121233,118292,3155.0,0.0,-6847.0,0.0,,,-15656,69653,16783,-528943,,,7352,-245599,177395,94972,333,-202327,30538,2427.0,-525468,433510,-71323,15656,,2013年01月01日至2013年09月30日,1471048,2122023,650975,996762,,1084761,1382031,-294305.0,308935,0.0,74899,996762,342320,-472314,-129994,320158,10322,,7197,,,,385269,-174.0,2122023,-241603,424,12783.0,17555,
2014-03-18,4,2013,729090.0,,-753026,65983,-12116,-40699,-18449,156894,30145.0,,,-21201.0,,,-22502,94047,36783,-829809,,,23,-339420,141989,29954,61,-57079,51017,-3851.0,-841271,577980,-96856,22502,,2013年01月01日至2013年12月31日,1471048,2520975,1049927,1328097,,1598127,2032273,-292896.0,542111,,256288,1328097,320203,-345117,-24914,700000,9739,0.0,20415,0.0,,,704176,-174.0,2520975,-359792,4127,55000.0,30930,
2014-05-12,1,2014,173022.0,,-163658,-249995,12573,-6576,-76098,31606,29789.0,0.0,-27184.0,0.0,,,-9058,26472,13309,-266685,,,1871,162973,72297,40009,0,129417,10644,76.0,-280625,155969,-28418,9058,,2014年01月01日至2014年03月31日,2520975,2865804,344829,310955,,416840,503869,,189165,0.0,195305,310955,-152592,172484,19892,100000,13244,,-171,,,,192914,,2865804,-67669,-3460,1399.0,-67025,
2014-08-14,2,2014,335513.0,,-819054,21488,4125,-14403,-70984,28711,,-2322.0,-4080.0,,,,-20080,54934,-30022,-525169,,,3376,145701,56407,90024,0,-104655,-18545,-438.0,-514012,298300,-54934,20080,,2014年01月01日至2014年06月30日,2520975,3463937,942962,768375,,639468,896091,,618246,,847528,768375,93590,-301387,-207797,960634,15237,,1161,,,,127716,1825.0,3463937,-221769,-3577,1399.0,-257029,
2014-11-11,3,2014,490165.0,30666.0,-3098653,68220,60349,2668,-108189,14036,4780.0,,-65412.0,,,,-31705,94313,45992,-1536284,,,7179,-69593,131352,194978,36,-344649,-64417,1747.0,-1486698,446126,-96403,31705,,2014年01月01日至2014年09月30日,2520975,3634945,1113970,1170577,,828125,1228190,-641179.0,1977468,,1726551,1170577,219884,-652436,-432552,3289157,40842,43490.0,1486,,-25930.0,,57613,1825.0,3634945,-335367,-2703,1399.0,-125937,
2015-03-20,4,2014,684159.0,30666.0,-2909591,45156,43122,6502,-45697,40181,0.0,-5624.0,-168987.0,,,,-47373,125961,232433,-2078746,,,368,-75207,17773,55043,1055,54112,-28353,3311.0,-2122980,609544,-124188,47373,,2014年度,2520975,4461887,1940912,1578603,,1707004,2224932,-641179.0,1460002,,2124455,1578603,115803,-153633,-37830,4165804,50597,43490.0,4392,,-25930.0,,646329,1825.0,4461887,-441113,-2803,20000.0,-101610,
2015-05-13,1,2015,,,-983942,-49827,29359,13084,-72986,24653,11896.0,,0.0,14577.0,,,-17750,37440,-5105,-231472,,,4471,64344,-34425,10006,-161,19839,-12035,,-211708,168610,-39164,17750,193809.0,2015年01月01日至2015年03月31日,4461887,4919276,457389,368199,-1852.0,466480,572827,,214856,,207722,368199,-48528,59347,10819,954906,5187,,1430,,,,204628,,4919276,-84933,-392,0.0,30826,
2015-08-13,2,2015,,,-1077527,48065,19127,27569,-2676,7392,40459.0,0.0,0.0,136474.0,,,-45545,76227,16396,-525181,,,-6207,124668,125315,10000,-280,-28918,-15450,,-380015,327994,-77951,45545,355159.0,2015年01月01日至2015年06月30日,4461887,5298974,837087,863648,-2706.0,1284324,1587785,,51607,,-83618,863648,205355,163623,368978,891843,8692,,2522,,,,724137,0.0,5298974,-271055,168,0.0,66872,
