date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款增加,預付款項（增加）減少
2013-04-26,1,2013,53387.0,0.0,-22692,-35116.0,6903.0,-16469.0,,,5957.0,,222.0,-210.0,,0.0,71223.0,62749.0,-2581.0,,-864.0,-3556.0,2857.0,42853,-88888,,-980.0,438.0,,,,,3555.0,,-406062.0,-1544.0,0.0,354095.0,-1854.0,1825.0,-20858,77212.0,-8203.0,,-1217,5096,,,2013年01月01日至2013年03月31日,1296033,1655132,-15758.0,359099,68866,-12005,-1578,,442689,-70888,349109,68866,2545.0,-436508,312677,-123831,368,,-368.0,,-70444,-6868.0,1655132,-14306,-916.0,,-91014.0
2013-07-31,2,2013,125919.0,,-38333,-22908.0,10454.0,-10510.0,,,1040.0,,450.0,-740.0,,0.0,60155.0,54828.0,-2659.0,,-1751.0,-7260.0,5348.0,113961,-136985,,-980.0,-790.0,,,,,116369.0,,-431236.0,6136.0,0.0,532417.0,-15032.0,1383.0,-181287,150547.0,-8175.0,,-5376,15842,,,2013年01月01日至2013年06月30日,1296033,1719800,-12693.0,423767,99649,414621,450216,,444890,-330085,76472,99649,4104.0,-442812,667460,224648,6982,,-2483.0,,350567,-6748.0,1719800,-46061,-928.0,-107800.0,-11255.0
2013-11-08,3,2013,195815.0,,-57498,-29007.0,4835.0,-57131.0,,,7076.0,,675.0,-926.0,,0.0,69866.0,-39928.0,-3514.0,0.0,-2643.0,-10374.0,7359.0,77670,-160352,-55717.0,-980.0,-792.0,,,,,69451.0,,-59453.0,34752.0,0.0,417276.0,-27529.0,2304.0,-193780,217903.0,-17643.0,,-6640,22971,44053.0,,2013年01月01日至2013年09月30日,1296033,1909433,-1550.0,613400,181533,658644,655675,-166480.0,675119,-380275,70866,181533,5090.0,-43468,321795,278327,7654,57063.0,745.0,-1346.0,474142,-2346.0,1909433,-57415,-934.0,-107800.0,-41722.0
2014-03-18,4,2013,247153.0,,-61666,,,,,,,,,,,,79866.0,,,,,,,107514,-282879,-55717.0,-98000.0,,,,-3511.0,,,-117053.0,,,,,,,-250840,,,,-9486,15511,44053.0,,2013年01月01日至2013年12月31日,1296033,1505828,,209795,247756,723454,781550,-166480.0,796785,-821919,-370333,247756,,-34385,321026,286641,8286,57062.0,,,533794,,1505828,-64121,,,
2014-04-30,1,2014,67819.0,,-4166,-20964.0,-457.0,8822.0,,,968.0,396.0,179.0,-379.0,0.0,,0.0,7035.0,-8700.0,,-911.0,-3813.0,1738.0,31021,-50895,,0.0,577.0,,,0.0,384.0,-54194.0,-213459.0,153006.0,25671.0,,-80507.0,-22757.0,-12397.0,-53572,82731.0,-3771.0,,-1334,3676,,,2014年01月01日至2014年03月31日,1505828,1568967,-6763.0,63139,137225,178959,189407,,200032,-75676,-93269,137225,1003.0,153198,-168835,-15637,5639,,-2972.0,,52182,-5205.0,1568967,-12790,0.0,,-14854.0
2014-07-31,2,2014,155356.0,,-79165,-47476.0,1824.0,-8375.0,,,3303.0,369.0,358.0,-577.0,,-8705.0,0.0,76148.0,-1939.0,,-1827.0,-8000.0,3867.0,-28594,-90894,,0.0,276.0,,,,,18485.0,-213459.0,130751.0,8814.0,0.0,-110111.0,27823.0,-56832.0,-94431,158030.0,-6171.0,,-3164,6270,,,2014年01月01日至2014年06月30日,1505828,1692588,10619.0,186760,258940,355252,398241,,322621,-75464,-45467,258940,1559.0,93432,-109487,-16055,7107,,-2997.0,,139301,-4142.0,1692588,-46095,0.0,0.0,-56417.0
2014-10-28,3,2014,235294.0,,-79166,439.0,1520.0,-18790.0,-6608.0,,-5648.0,567.0,537.0,-843.0,,-8770.0,0.0,158152.0,-1607.0,,-2708.0,-11594.0,5477.0,29344,-123579,0.0,0.0,905.0,1121.0,609.0,,,-1732.0,-213459.0,125995.0,43745.0,,-333596.0,61039.0,-47118.0,-133438,233652.0,-13435.0,,-4961,12711,0.0,,2014年01月01日至2014年09月30日,1505828,1711124,24037.0,205296,467205,594052,655150,-128733.0,470006,-335040,-284662,467205,1975.0,165596,-212945,-47349,7126,0.0,-3015.0,0.0,187945,-992.0,1711124,-68848,0.0,0.0,-30624.0
2015-03-18,4,2014,309579.0,,-79165,-7415.0,-354.0,-38082.0,,,-4315.0,235.0,-187.0,-1110.0,,,-17470.0,57637.0,,,-3635.0,-14892.0,7145.0,131921,-146858,0.0,0.0,-736.0,18477.0,,-119.0,,16278.0,-213459.0,318266.0,41932.0,,-467487.0,60477.0,-45892.0,-150692,316169.0,-15655.0,,-6944,15893,6608.0,,2014年度,1505828,1986042,21716.0,480214,658301,810688,881634,-128733.0,682839,-591662,-311703,658301,2502.0,351126,-437372,-86246,7147,0.0,-3035.0,0.0,223333,3199.0,1986042,-79895,0.0,,-19428.0
2015-04-28,1,2015,,,0,-31678.0,30.0,108750.0,,,-1197.0,-1596.0,159.0,-217.0,0.0,,8700.0,-220356.0,,,-946.0,-4245.0,1451.0,-35749,-29013,,,313.0,4005.0,,,4.0,-10851.0,0.0,-99978.0,-13002.0,,270173.0,-74729.0,-72382.0,-20242,81365.0,-2745.0,,-1331,3860,,73564.0,2015年01月01日至2015年03月31日,1986042,2203484,-2001.0,217442,171883,127576,153606,,220659,-78807,145857,171883,439.0,-148823,56982,-91841,67,,-67.0,,-18277,-3157.0,2203484,-28559,,,58190.0
2015-08-05,2,2015,,,0,-10386.0,-3837.0,118802.0,,-9178.0,22941.0,-3097.0,317.0,-422.0,,8700.0,,-251143.0,8.0,,-1873.0,-9722.0,3296.0,-72114,-141660,,,1184.0,4005.0,,,,-36832.0,0.0,43317.0,-11155.0,,126257.0,-136421.0,-84164.0,-132886,160671.0,-3622.0,,-3010,7956,,150817.0,2015年01月01日至2015年06月30日,1986042,2321679,363.0,335637,387399,271705,354850,,374014,-109087,268932,387399,586.0,39519,-222885,-183366,66,,-66.0,,-32549,-1678.0,2321679,-88091,,,53313.0
