date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付款項（增加）減少,預付設備款增加
2013-06-06,1,2013,19780.0,13417,20047,,1907,0.0,,,-1912,1393,29722,-18021,,-132,3889,-883,,-28678,106441,-3039,171,-94371,15264,-7872,-19036,10887,16003.0,1046,-1393,1912,,2013年01月01日至2013年03月31日,1418883,1680502,-2035,261619,198130,250933,262801,,,,198130,5688,118897,-74006,44891,,,31,,64671,1680502,-12387,,-212.0,1005,5601,
2013-08-09,2,2013,58493.0,49635,-1986,,11051,0.0,,,-4278,2726,40986,-25039,,-1982,4228,-1801,,-35082,49522,-1644,678,-70428,42910,748,-28822,22264,-243997.0,2162,-2726,4278,,2013年01月01日至2013年06月30日,1418883,1584959,9918,166076,361400,153912,233515,,,,361400,20910,109242,-295620,-186378,,,112,,-127885,1584959,-81155,,-542.0,993,12215,0.0
2013-11-08,3,2013,100703.0,22598,21079,,-19051,0.0,179.0,,-6449,3759,22914,-39618,,-2338,4973,-1496,,-16704,107292,-1370,2229,-159284,2129,-1482,-43162,33837,-56926.0,3296,-3759,6449,,2013年01月01日至2013年09月30日,1418883,1718603,24882,299720,550942,459471,573176,251430.0,-390933.0,-139503.0,550942,36300,111698,-190167,-78469,290.0,,-64,,22234,1718603,-116395,,-1096.0,1086,21021,0.0
2014-02-21,4,2013,111014.0,82272,33092,,-26327,0.0,,,-9679,5069,43849,-49380,,-3439,5934,-2343,,-32992,110168,364,2788,-181821,19381,-1630,-54875,45830,-196926.0,4381,-5069,9679,,2013年01月01日至2013年12月31日,1418883,1829906,7420,411023,752760,561552,695868,251430.0,-390933.0,-139503.0,752760,51691,169265,-337171,-167906,287.0,,-46,,-56892,1829906,-138926,,-1404.0,1818,23725,0.0
2014-05-09,1,2014,14807.0,-25617,-14335,,10457,,,,-3799,1376,22305,-17337,-14754.0,-640,604,-566,,-37570,104130,-350,-1628,-13508,1854,-3502,-33670,12604,0.0,1058,-1376,3799,,2014年01月01日至2014年03月31日,1829906,2933697,-10665,1103791,256209,269976,284757,845180.0,,845180.0,256209,12780,86992,-73251,13741,14.0,,16,,28548,2933697,-17204,,-493.0,1326,-6190,-387.0
2014-08-08,2,2014,38120.0,15749,21091,,8565,,,,-17166,2598,-14060,-36985,-14754.0,-2649,2447,-1381,190.0,-81705,249358,-652,-2403,-162162,5940,-7733,-55947,24784,59911.0,1920,-2598,17166,,2014年01月01日至2014年06月30日,1829906,3191974,2116,1362068,529839,586895,666282,845180.0,,845180.0,529839,21914,270617,-172294,98323,15.0,,81,,136443,3191974,-93955,,-912.0,338,-7636,-383.0
2014-11-06,3,2014,55952.0,5635,27047,,7791,,74.0,,-24200,3747,5811,-784503,-14755.0,-3549,1453,-2438,193.0,-94482,307930,6672,-610,-328315,-26279,-9347,-804469,38179,336095.0,2884,-3747,24200,,2014年01月01日至2014年09月30日,1829906,2902071,3540,1072165,885662,1025643,1156509,845180.0,0.0,845180.0,885662,31148,327418,-112523,214895,659.0,,-174,,270847,2902071,-151319,,-1283.0,584,-17242,-76.0
2015-03-13,4,2014,66617.0,80482,18967,,25911,,75.0,,-34041,4860,71177,-796310,-14755.0,-4569,3941,-4819,,-101272,193986,-2686,-1138,-251590,-56749,-9439,-804642,52378,336095.0,3853,-4860,30526,,2014年度,1829906,2796380,-4324,966474,1231694,1347290,1519494,845180.0,-492531.0,352649.0,1231694,40381,296555,-75372,221183,635.0,15251.0,-70,-496.0,287800,2796380,-197870,,-1283.0,1343,-11384,-75.0
2015-05-08,1,2015,,-32610,-33769,,3402,,,,-10300,1646,14828,-7034,0.0,-1980,-1816,-97,,-28587,33672,6532,-15,-48717,63440,-11634,-9111,14156,,987,-1646,9843,18108.0,2015年01月01日至2015年03月31日,2796380,3111228,3209,314848,367688,309131,337351,0.0,,0.0,367688,7895,10981,-59426,-48445,0.0,,37,,-30337,3111228,-36417,,0.0,2294,-159,0.0
2015-08-06,2,2015,,42914,-9644,,-9729,,,,-21335,3009,-21095,-25589,,-2405,-1709,-2962,0.0,-49674,164423,4777,-2509,-140875,63182,9398,-30956,27698,0.0,1920,-3009,21779,25625.0,2015年01月01日至2015年06月30日,2796380,3473156,-93,676776,779027,728827,862745,0.0,,0.0,779027,12989,199876,-141783,58093,0.0,,142,,83718,3473156,-152688,0.0,0.0,3004,-14170,0.0
2015-11-12,3,2015,,44196,-6518,,-8342,,0.0,,-31893,4265,94375,-52052,0.0,-2490,-1550,-4974,0.0,22558,127647,2831,-5423,-242408,46015,-20882,-59361,42050,0.0,2838,-4265,30632,56444.0,2015年01月01日至2015年09月30日,2796380,3956369,18042,1159989,1336316,1124975,1338128,0.0,,0.0,1336316,18941,160909,-215541,-54632,155.0,,97,,1812,3956369,-239520,,0.0,3654,-14306,0.0
2016-02-25,4,2015,,113459,-49267,,-3374,-162499.0,0.0,,-43060,5832,26791,-97989,0.0,-2638,-1125,-3366,,-5633,64654,2168,-3002,-119102,-9739,-11459,-103839,56825,0.0,3682,-5832,43050,52507.0,2015年度,2796380,3334051,-107,537671,1760671,1379828,1624410,0.0,-765109.0,-765109.0,1760671,24893,173905,-362673,-188768,154.0,0.0,2053,0.0,-136261,3334051,-281800,,0.0,3514,-4974,0.0
2016-05-06,1,2016,,-29083,14016,-10376.0,-14488,,,,-11627,2116,-59169,-48015,,0,1432,-127,,2279,15396,-3258,-2411,-36477,18031,-2108,-58518,14417,,835,-2116,8177,59646.0,2016年01月01日至2016年03月31日,3334051,3613978,48939,279927,411437,397614,417179,,,,411437,3224,-33844,-20060,-53904,,,139,,5742,3613978,-25626,,,171,-15801,
2016-08-08,2,2016,,66784,39924,,-3535,-39.0,,,-22211,3949,-80417,-97157,,-741,1687,-661,,-9299,101533,-5853,-2473,-131435,96013,1017,-98552,28572,,1621,-3949,22111,12997.0,2016年01月01日至2016年06月30日,3334051,3996241,-7061,662190,885599,841159,1034264,,,,885599,3224,156456,-20788,135668,7.0,,154,,148665,3996241,-211267,,,3062,-16969,
2016-11-07,3,2016,,6105,-7060,,-6887,95022.0,310.0,-185710.0,-30937,4884,-178805,-119688,,-741,2064,-1825,,-59354,234226,-7180,-2428,-365743,2602,1620,-310792,41701,,2329,-4884,30875,54528.0,2016年01月01日至2016年09月30日,3334051,3774662,13926,440611,1297568,930208,1225057,,,,1297568,17214,223836,-350875,-127039,450.0,,-25,,-72511,3774662,-320840,,,3062,-17962,-3278.0
