date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,1865.0,375,17,,,,,,,,-221,,3168,0.0,,-66617.0,,,,-90.0,,,-566,,5350.0,-5293,,,,-66617,1874,200,12,,124,,2013年01月01日至2013年03月31日,156344,89346,-66998,-1192,-3459,-3583,-90,-1192,216,-4472,-4256,,0.0,,-2391,89346,,-4005.0,,,,1370,,-1504
2013-08-12,2,2013,586.0,1755,-17,,36.0,,,-3422.0,,-3251.0,-269,,5317,-119.0,0.0,-93858.0,,0.0,,-84.0,0.0,,66352,-458.0,,21,0.0,,0.0,-97744,2680,1563,19,,217,,2013年01月01日至2013年06月30日,156344,149248,-7096,28421,85415,85814,-84,28421,-9201,66008,56807,279.0,-156.0,,57393,149248,-616.0,-8147.0,,,-624.0,-384,,-2351
2013-11-11,3,2013,1430.0,-530,43,,,,,-3383.0,,-3251.0,-706,,3933,-1158.0,,-98244.0,,459.0,,-85.0,,0.0,62350,3435.0,,32,,,,-101797,3476,2351,19,-616.0,411,,2013年01月01日至2013年09月30日,156344,133099,-23245,28331,74704,74909,-85,28331,-16756,61904,45148,1105.0,-918.0,,46578,133099,,-12082.0,,,,-521,-117.0,-7579
2014-03-10,4,2013,-3066.0,417,-63,,-463.0,,,0.0,590.0,-6788.0,-1110,,6160,-1338.0,0.0,-105276.0,-4950.0,7.0,,-1672.0,,0.0,177079,-3115.0,,57,-52.0,,-106.0,-109850,3864,1293,67,,831,,2013年01月01日至2013年12月31日,156344,413128,256784,212250,362146,361931,-1672,212250,-28240,180987,152747,1124.0,-920.0,,149681,413128,-616.0,-16397.0,521.0,,,4535,,-9145
2014-05-12,1,2014,-4618.0,-2544,89,,-71.0,,3430.0,,,,-640,,-75,0.0,,-10290.0,,,,0.0,,,4823,913.0,,9,-2467.0,,,-6860,302,647,144,,670,,2014年01月01日至2014年03月31日,413128,398543,-14585,4210,-7650,-8255,0,4210,-9369,1522,-7847,,0.0,,-12465,398543,-65.0,-4083.0,,-5071.0,,-861,,-3655
2014-08-11,2,2014,-4503.0,-2341,82,,-1.0,-163596.0,,0.0,,76.0,-1555,,-175,0.0,0.0,-10290.0,,0.0,,-150.0,0.0,,19349,1327.0,,24,158.0,,106.0,-173886,506,1253,288,,1285,,2014年01月01日至2014年06月30日,413128,248025,-165103,5406,9108,7950,-150,5406,-12808,19855,7047,0.0,0.0,,2544,248025,-127.0,-8018.0,,-5071.0,0.0,137,,-3776
2014-11-11,3,2014,-4208.0,-2831,82,,-52.0,-327580.0,,0.0,,76.0,-2831,,-311,-85.0,,-9921.0,,0.0,,-150.0,,0.0,19011,94.0,,185,-208.0,,106.0,-337586,691,2494,433,,2062,,2014年01月01日至2014年09月30日,413128,82871,-330257,9330,7790,5932,-150,9330,-18493,19303,810,0.0,0.0,,-3398,82871,-204.0,-12335.0,,-5071.0,,179,0.0,-3421
2015-03-19,4,2014,456.0,-2002,-27,,-96.0,-100716.0,,,0.0,486.0,-3960,,-21,-85.0,,-9921.0,,0.0,,-144.0,,,19132,176.0,,-301,-398.0,,106.0,-110722,875,7549,577,,3541,,2014年度,413128,318632,-94496,12180,16391,13202,-144,12180,-17971,18537,566,0.0,0.0,0.0,1022,318632,-352.0,-12730.0,0.0,-5071.0,,121,,-3415
2015-05-11,1,2015,,-1054,95,12.0,31.0,-104178.0,,,,,-999,,-58,,,0.0,,,,-6.0,,,594,-261.0,,15,403.0,-234.0,,-104178,178,1586,144,,1146,909.0,2015年01月01日至2015年03月31日,318632,205702,-112930,-9817,-8688,-9720,-6,-9817,-1693,881,-812,,,,97,205702,-114.0,,,0.0,,-23,,-390
2015-08-11,2,2015,,-1352,-5,27.0,31.0,-203086.0,,,,,-2013,,-160,,,0.0,,,,-6.0,,,220,-523.0,,354,537.0,-187.0,,-203086,351,3082,288,,1654,1708.0,2015年01月01日至2015年06月30日,318632,77408,-241224,-21851,-37972,-21399,-6,-21851,-2238,982,-1256,,,,452,77408,-18227.0,,,0.0,,32,,-390
