date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融負債增加（減少）,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-08-13,2,2013,55421.0,-25486,-10129.0,20590,,-2396,-19011,,,,24.0,,3813.0,-7215,9819,10995,-125810,,-12997,208.0,,,,-1087.0,-91120,,51332,-6828.0,-240546,597001,0.0,5719,-34.0,-224651,32190,-299.0,-4768,,1583,-10020,7215,,2013年01月01日至2013年06月30日,198094,315051,-946,116957,16477,,337841,356267,,,949627,-1019369,-7228,16477,,-208900,493269,284369,88000.0,219,-166,,,339790,,315051,-15621,-121,9420.0,,6836.0,-85000.0,-15142,,
2014-04-28,4,2013,335854.0,-49719,,-22105,2967.0,99484,2127,-17290.0,,,6635.0,,225413.0,-18879,24696,9874,-185790,,-14833,16779.0,,0.0,-2217.0,,-295304,-358373.0,173816,-65504.0,90289,163317,0.0,3477,-68.0,-581139,66292,-299.0,15017,,22621,-24202,18868,,2013年01月01日至2013年12月31日,198094,390299,-9079,192205,24388,,428239,455606,,-30649.0,2508503,-2428570,335231,24388,,294037,-198673,95364,335666.0,217,-146,,,431218,13609.0,390299,-22033,-1263,9420.0,,,-1230.0,-65202,-28515.0,
2014-08-12,2,2014,69555.0,-48939,,26667,,-61690,-39989,24.0,,,11.0,,,-8059,15462,-3863,-34806,-18380.0,-579,1033.0,,16.0,,-447.0,44334,,-142905,0.0,-202660,456325,,-3836,6.0,-112618,35102,0.0,5924,935.0,20562,-16397,8085,,2014年01月01日至2014年06月30日,390299,316489,3297,-73810,70011,,218950,235467,,,1134000,-1261356,-176279,70011,,-404893,500794,95901,0.0,51,-47,,,165456,-7579.0,316489,-8205,-204,0.0,,1474.0,0.0,11369,-58468.0,9911.0
2015-04-24,4,2014,117878.0,-85428,61522.0,19676,-11161.0,-5856,21,-11750.0,,,-335.0,,0.0,-18507,26920,15845,-286748,-18380.0,-2059,-1333.0,,70.0,,-766.0,-73674,0.0,-109743,0.0,277800,-1948,,-3229,0.0,-330649,67529,0.0,5924,1927.0,42972,-27348,18533,,2014年度,390299,378729,3297,-11570,346707,,575867,611639,,0.0,2449306,-2636581,-272633,346707,,217247,-70193,147054,0.0,432,494,447.0,21.0,264932,5274.0,378729,-26957,-5442,0.0,,,0.0,-16963,-12079.0,
2015-08-12,2,2015,,-43847,,17144,-404941.0,-112640,-259,0.0,2.0,,4421.0,,,-6723,9083,-73194,-115610,0.0,-27,2734.0,,122.0,,-2423.0,78829,,-44037,,-481804,579091,,5294,,-560102,32130,,5442,1120.0,22176,6769,-9853,68530.0,2015年01月01日至2015年06月30日,378729,497302,-877,118573,-12157,-31.0,122594,162000,330000.0,,1548000,-1205000,629275,-12157,,-615301,720928,105627,,7301,-222,,,174157,-2315.0,497302,-36322,7017,,,2092.0,-9946.0,35387,-38877.0,25524.0
2016-03-25,4,2015,,-322947,,19839,-246904.0,-49345,-1580,0.0,,,,4695.0,,-14586,25826,33030,-334342,-20132.0,-13598,-4074.0,25.0,,-1904.0,,103134,,-12531,,-241997,-749,,5370,,-617655,68695,,5442,4232.0,45099,-25775,14632,116926.0,2015年度,378729,530632,5542,151903,331147,40.0,220781,294538,330000.0,-156218.0,4508457,-4064750,515747,331147,,-306890,153355,-153535,219180.0,7368,2722,0.0,0.0,-36609,-3057.0,530632,-62614,-16530,,2000.0,,,21899,-12838.0,
2016-05-13,1,2016,,-14317,,5348,110461.0,-59803,-66,,,,56.0,,,-4344,5076,-21201,-7688,,-543,,,0.0,,-429.0,20083,,7608,,-217821,227211,,803,,102634,18028,,16530,1305.0,12023,-6240,4344,40184.0,2016年01月01日至2016年03月31日,530632,600355,4486,69723,103310,-4442.0,141139,150498,0.0,,688000,-826532,-152849,103310,,-278542,285546,7004,,204,182,,,47188,-4084.0,600355,-7463,3428,,,,,15637,573.0,
2016-08-09,2,2016,,-40484,,6727,,-57120,111,,0.0,-361386.0,-353.0,,,-9377,11836,-8353,-117557,,-2227,0.0,,54.0,,-512.0,25377,,-40235,,-212924,405691,,-1371,,-480797,36634,,16530,2107.0,23625,-13017,9377,68612.0,2016年01月01日至2016年06月30日,530632,745292,709,214660,157677,-4441.0,321166,378012,0.0,,1848000,-1477532,382644,157677,,-324074,475797,151723,52606.0,495,421,,,220335,-6663.0,745292,-53206,2657,,,,0.0,22732,743.0,-2691.0
2016-11-11,3,2016,,-61126,,2590,,-56510,-549,,,-852495.0,-231.0,,,-13649,19555,-57722,-137680,,-2071,0.0,,54.0,,-536.0,-77732,,134817,,-126769,245934,,-850,,-992850,58438,,16530,2107.0,34010,-20746,13649,114721.0,2016年01月01日至2016年09月30日,530632,611347,-1369,80715,182907,-4441.0,310253,417553,527166.0,-123021.0,3717200,-3291632,821034,182907,1460.0,-61338,181263,119925,52393.0,581,520,,,234646,-5872.0,611347,-100203,13649,,,,0.0,-4660,-418.0,-2563.0
