date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,0.0,29272.0,,-13883,,,,-552,,39,5,-1042,,,-16,5260,,-29198,,350.0,-450,,290.0,37382,,-65168,109,77612.0,-13884.0,75000.0,-74000.0,17877,246.0,-7403,0,39646,10324,-4998.0,-28103,23811,0.0,,-15,-5479,16,,,2013年01月01日至2013年03月31日,62379,74162,11783,-70960,,78635,84099,,557206,-660583,-38749,-70960,,37088,88699,125787,,,,,,805,235,,,155059,136,74162,-1.0,-3.0,,9711,0.0,628.0,102730
2013-08-13,2,2013,0.0,62481.0,,-829,,,,-652,,-106,10,-1162,,,-56,11336,,-39281,,575.0,-625,,1740.0,176563,,-66819,194,77612.0,-25993.0,74000.0,-74000.0,-24071,327.0,-19023,0,58525,11913,-9979.0,-36197,51052,3000.0,,-7,-11792,56,,,2013年01月01日至2013年06月30日,62379,63280,901,-189532,,96643,108886,,779525,-890639,-59545,-189532,,-42145,278082,235937,,0.0,0.0,0.0,,1344,132,0.0,,298418,267,63280,-507.0,24.0,,51308,0.0,-2400.0,58871
2013-11-12,3,2013,0.0,93949.0,,3378,40000.0,,,-1267,,276,0,-24283,,,-68,17561,,-43814,0.0,600.0,-700,,1741.0,142301,,-64973,727,77611.0,-35274.0,74000.0,-74000.0,-162341,-2499.0,426,0,56543,-7546,-14955.0,-40190,78441,3000.0,,-63,-17937,68,2036.0,,2013年01月01日至2013年09月30日,62379,62005,-374,-207893,,29089,45430,,729129,-800639,10727,-207893,-2036.0,-63283,222657,159374,,0.0,0.0,0.0,,1883,90,0.0,,253323,-94,62005,-508.0,24.0,,54413,0.0,-930.0,177198
2014-03-26,4,2013,0.0,127395.0,,1726,0.0,,,-289,,-44,-8,-28002,,,-129,23927,,-52258,,715.0,-860,,1740.0,307001,,-115666,275,77612.0,-44554.0,68000.0,-74000.0,-177382,37507.0,5037,-400,46669,21769,-19949.0,-47616,105702,3000.0,,32,-24459,129,2036.0,,2013年01月01日至2013年12月31日,62379,60680,-1699,-295151,,120254,143060,,777888,-879138,-74337,-295151,-2036.0,-104701,415517,310816,,0.0,0.0,0.0,,2902,-125,0.0,0.0,438211,-658,60680,-512.0,24.0,,60552,0.0,188.0,169490
2014-05-07,1,2014,0.0,32617.0,,-16749,,,,864,,404,26,29086,,,-12,5622,,-3385,,25.0,-65,,0.0,39258,,-23580,-38,0.0,-9281.0,68000.0,-68000.0,1710,-52.0,17756,400,25589,27013,-5019.0,-3385,27006,0.0,,1,-5803,12,,,2014年01月01日至2014年03月31日,60680,89904,29224,-48638,,78346,84138,,718356,-754772,-45737,-48638,,-40935,141094,100159,,,,,,0,0,,,132776,63,89904,-1.0,0.0,,137,0.0,965.0,2326
2014-08-13,2,2014,,74105.0,,-22367,4000.0,,,472,,132,26,8364,,,-36,11313,,-4936,,25.0,-40,,0.0,-31871,,-14173,-1,0.0,-18561.0,67000.0,-68000.0,20303,-160.0,20516,400,-9127,33650,-10105.0,13801,53826,0.0,,35,-11435,36,,,2014年01月01日至2014年06月30日,60680,62234,1554,-69537,,36918,48453,,794762,-828351,-49165,-69537,,24537,19348,43885,,,,,,18737,8967,,,117990,332,62234,-136.0,0.0,,-852,,-2230.0,50576
2014-11-13,3,2014,0.0,100651.0,,-24802,0.0,,,-607,,61,27,19480,,,-39,17274,,-5834,0.0,35.0,-40,,0.0,92931,,-72072,-298,0.0,-27842.0,67000.0,-68000.0,11634,-68.0,30460,400,114390,26513,-15344.0,12903,80052,0.0,,-92,-17425,39,5511.0,,2014年01月01日至2014年09月30日,60680,45719,-14961,-170131,,44306,56317,,1011359,-1054682,-72170,-170131,-5511.0,-156964,282761,125797,,0.0,0.0,0.0,,18737,8967,0.0,,226448,155,45719,-136.0,0.0,,235,0.0,-1068.0,-56230
2015-03-03,4,2014,0.0,128424.0,,-21239,0.0,,,869,,-185,26,13812,,,-93,23188,,-8446,,35.0,-40,,0.0,164414,,-92865,11278,99000.0,-111122.0,0.0,-68000.0,-6479,-372.0,17841,400,103537,26848,-20657.0,159549,106400,0.0,,-2,-23390,93,5511.0,,2014年度,60680,97418,36738,-245757,,14319,32244,,1114663,-1171666,-137130,-245757,-5511.0,-178883,328460,149577,,0.0,149258.0,0.0,,18737,8967,-4525.0,0.0,278001,204,97418,-139.0,0.0,,255,0.0,458.0,-48568
2015-05-12,1,2015,0.0,,-537.0,-18129,,,,-12273,,224,4,7957,,,-2,5639,,0,,0.0,-85,,430.0,-38398,,-88468,100625,63680.0,-9281.0,0.0,0.0,72901,0.0,27497,-19,-14528,20190,,13104,25904,0.0,,58,-5582,2,,24117.0,2015年01月01日至2015年03月31日,97418,27400,-70018,-29516,-138585.0,-104569,-98989,,329591,-343509,21447,-29516,,-83357,-10233,-93590,20000.0,,24.0,,,11935,-7392,-90.0,715.0,-69473,-3780,27400,0.0,0.0,-38412.0,-1487,0.0,824.0,-8145
2015-08-06,2,2015,,,-20000.0,-6052,0.0,,,-13,-71826.0,-60,-225,19875,,,-18,10804,,-8830,,0.0,-85,,430.0,23074,,-17032,50219,138000.0,-21161.0,0.0,0.0,13358,-4773.0,25876,0,-28378,20209,,231530,51815,0.0,,8518,-14155,18,,-45633.0,2015年01月01日至2015年06月30日,97418,33061,-64357,7441,-126282.0,-247326,-233187,195000.0,553831,-873364,-48561,7441,,-177182,-17813,-194995,20000.0,227256.0,24.0,-110827.0,,11935,-7392,1467.0,715.0,-240628,-4184,33061,-2.0,0.0,-40782.0,-3620,,-2785.0,-82376
