date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他項目,其他預付款項增加,其他預付款項減少,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付設備款增加
2013-05-03,1,2013,419514.0,,,-127478,-5626,-38387,-2389,,,-513,,,40768,43482,-1290162,-15000,-100000.0,,,0.0,,,2397,223.0,0.0,-18812,,-23732,,,207374,100000.0,-31262,-1012440,39714,-1454.0,-1722506,413753,3749,,-38564,,2013年01月01日至2013年03月31日,1506316,1905325,-8754,399009,443933,,-66703,4620,,,328363.0,0.0,2144736,443933,,136271,-995098,-858827,1843628,26488,0.0,-1262,0.0,,,,-439313,1905325,-32759,-18402,,-8473.0,,-319394
2013-08-09,2,2013,930862.0,0.0,,-526095,-6284,96938,-46431,,,-2754,,,87483,29773,-2280836,-15000,-100000.0,,,,,,312,1219.0,,-18916,,-243514,,,202758,50000.0,57306,-1299756,-22539,-767.0,-2277687,843700,5867,,-96326,,2013年01月01日至2013年06月30日,1506316,1956611,18374,450295,969066,,418566,649790,,-14657.0,925548.0,,2279643,969066,,356235,-1606373,-1250138,1843628,34652,100020.0,7002,-20.0,,,,-319276,1956611,-134898,-19210,,-4025.0,,8677
2013-11-08,3,2013,1385341.0,1293.0,,-644588,-8789,115697,-102266,0.0,,-4103,,,137212,19465,-3105759,-15000,-100000.0,,,,0.0,,-687,-68077.0,,-11250,,-270960,,,72104,280000.0,82258,-950116,-53810,-1424.0,-2934556,1292398,14008,,-144502,,2013年01月01日至2013年09月30日,1506316,2201406,-16648,695090,1393838,,1284416,1684670,,-793995.0,1707393.0,,2325765,1393838,,268635,-1363144,-1094509,1845032,68503,100020.0,6908,-20.0,,,,290832,2201406,-255752,-23107,,-6612.0,,136426
2014-03-28,4,2013,1888650.0,1293.0,,-2068797,-8721,259076,-192911,,,-4651,-43000.0,0.0,190970,61498,-4275962,-15000,-100000.0,0.0,,,-40000.0,,-679,,-67972.0,-9372,,-499997,,,-36829,-200000.0,23464,-174704,77583,-6278.0,-4242892,1740931,10056,,-201598,,2013年01月01日至2013年12月31日,1506316,2135083,-15268,628767,1357515,,2231085,2705625,,-779544.0,723147.0,,2579076,1357515,,239433,-779973,-540540,4986899,90567,100020.0,8974,-20.0,,,,1348110,2135083,-272942,-21034,-14657.0,-10573.0,,57283
2014-05-13,1,2014,521898.0,,,-1500000,-34,-144310,-53609,,,-222,,,56361,84609,-465796,0,0.0,,,,,,-3,0.0,,-9233,,-36496,,,319231,300000.0,15078,-1023142,29924,-1553.0,-530826,466662,-586,,-64884,,2014年01月01日至2014年03月31日,2135083,1978980,15086,-156103,270311,,-177318,-103254,,,934898.0,,467432,270311,,188446,-1083909,-895463,696210,51596,,-15728,,,,,-373565,1978980,-9180,-2879,36324.0,2621.0,,-107359
2014-08-12,2,2014,1017853.0,,,-1515094,-561,-54483,-207589,,36324.0,-609,,,117502,78250,-1967664,0,-12124.0,,-48539.0,,,,-136,0.0,,0,839.0,263033,,,409729,160000.0,-5581,-1533290,5255,-3181.0,-1956835,933430,25,,-101261,,2014年01月01日至2014年06月30日,2135083,2352615,-6930,217532,695551,,380001,587322,,,2353298.0,,1716116,695551,,346484,-1472566,-1126082,694309,70512,0.0,-16476,0.0,,40000.0,,-108229,2352615,-106060,-8194,-12721.0,-734.0,,-39298
2014-11-11,3,2014,1539934.0,0.0,-424500.0,-1515094,-1336,-59690,-288142,,36324.0,-1000,,,180145,18235,-2662895,0,-12124.0,,-48539.0,,,,-127,0.0,,0,1816.0,29423,,,304521,350000.0,39905,-859418,-104243,-4892.0,-3435899,1405098,8073,2796.0,-153764,,2014年01月01日至2014年09月30日,2135083,2445732,-15891,310649,1196792,,1478453,1802263,,-649620.0,3071162.0,,2249860,1196792,,279844,-1214307,-934463,1394309,84254,0.0,-14981,0.0,,40000.0,,605471,2445732,-170046,-18547,-12721.0,2441.0,0.0,-837075
2015-03-31,4,2014,2139895.0,0.0,-424500.0,-1530306,28886,98953,-345945,,36324.0,-1534,0.0,0.0,245236,87442,-3421031,0,-12124.0,0.0,-48539.0,,0.0,,2,,0.0,0,-253.0,146694,,,-87168,0.0,-11633,-173854,8753,-6519.0,-4388620,1882512,10393,5716.0,-215143,,2014年度,2135083,2065813,30547,-69270,1141184,,2494080,2920753,,-649620.0,2121622.0,,1737828,1141184,,-6367,-353959,-360326,2197029,149403,0.0,-15123,0.0,,40000.0,,1779569,2065813,-211530,-23803,-12721.0,16342.0,,-1124962
2015-05-08,1,2015,,,,-1661550,-81473,-155654,46794,,,-346,,,63536,-45428,-643367,-15000,0.0,,,,,,5,0.0,,-20808,,452063,,,-399343,0.0,-44345,-150914,32934,,-720807,483853,-6851,1575.0,-53438,471524.0,2015年01月01日至2015年03月31日,2065813,2274632,-76536,208819,319421,-1650.0,464273,563979,,,596443.0,,510781,319421,,-600992,374026,-226966,1500000,58603,,18215,,,,,244558,2274632,-46268,-2689,75888.0,-16089.0,,-18762
2015-08-11,2,2015,,,,-3614790,-33632,80786,82362,,167899.0,-884,,,122415,-27123,-1168980,-15000,0.0,,-30287.0,,,,1725,,,-2105,,360102,,,5788,0.0,2444,-1002567,-49954,,-1847595,973824,3759,4730.0,-101800,1040398.0,2015年01月01日至2015年06月30日,2065813,2363004,-94322,297191,840668,-3293.0,1086485,1360493,2595000.0,,450291.0,,1085424,840668,34000.0,85725,-606298,-520573,1500000,64565,,28481,,,,0.0,519825,2363004,-172208,-14430,-12976.0,,-15141.0,-662156
