date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-10,1,2013,10189.0,,-33659,3061,-12055,566,,-322,440,-937,-1214,0.0,36,,,-72,,-1223,0.0,-21218,-6.0,-474,-154366,23.0,129617.0,-468,-1286,3619,1467,-272,128,,2013年01月01日至2013年03月31日,295039,250441,11633,-44598,4025,-76201,-75988,,41579,-7753.0,33826,4025,-52296,-37906,-90202,,,3.0,,,,-80013,250441,-69,-371,,-6316
2013-08-13,2,2013,30539.0,0.0,-46433,-1337,-6411,598,0.0,-760,1091,-6550,-1588,0.0,248,,,-2036,,-55534,0.0,93714,-6.0,5412,-228029,23.0,128338.0,2354,-3624,7157,2424,-1177,1258,,2013年01月01日至2013年06月30日,295039,241578,25134,-53461,-19160,-96452,-95932,,53165,,53165,-19160,51350,-158661,-107311,,,3.0,,,,-76772,241578,-601,-566,,-4192
2013-11-12,3,2013,22178.0,0.0,-44463,-8598,11937,53,,-659,1953,4317,-3037,0.0,3261,,,-1983,,29950,0.0,-23994,-6.0,2357,-136012,23.0,128133.0,3261,-5020,10299,3591,-2039,902,,2013年01月01日至2013年09月30日,295039,296615,8102,1576,-39038,-57208,-54219,3261.0,56226,,59487,-39038,-74704,37345,-37359,,,4.0,,,,-15181,296615,-1852,-757,0.0,-3616
2014-03-26,4,2013,46416.0,0.0,-48891,-16334,20143,-624,0.0,-911,2506,4492,-3541,,3089,0.0,-7876.0,-2765,0.0,128130,0.0,-94150,-6.0,-575,-101849,23.0,144370.0,2654,-6257,13545,5072,-2673,682,,2013年01月01日至2013年12月31日,295039,330993,13130,35954,-71692,3760,7615,3261.0,38574,,33959,-71692,-159956,192847,32891,49.0,,-46.0,,,,79307,330993,-1864,253,9778.0,0
2014-05-12,1,2014,7492.0,,-12911,-4149,-41144,367,0.0,-370,369,3139,-530,,26,,,-1873,,-87189,,74044,0.0,-375,-26032,0.0,0.0,-263,-2403,3190,384,-417,765,,2014年01月01日至2014年03月31日,330993,235473,3540,-95520,-8030,-97842,-98190,,2133,-547.0,1586,-8030,56609,-154261,-97652,,,0.0,,,,-90160,235473,0,375,,-22
2014-08-12,2,2014,3607.0,,-22796,2078,-44561,909,0.0,-657,843,5354,-946,,820,,,-2333,,-100939,,29431,0.0,-26,6183,0.0,0.0,478,-2853,6222,768,-864,657,,2014年01月01日至2014年06月30日,330993,200153,-2188,-130840,-52360,-179068,-177996,,45727,,45727,-52360,8687,-137930,-129243,,426.0,0.0,,,-426.0,-125636,200153,-865,-1076,,-699
2014-11-12,3,2014,8030.0,,-21876,2427,-12510,793,,-929,1640,4016,-994,,823,,,-2733,,-30734,,14067,0.0,-26,-10278,0.0,0.0,569,-3285,9130,1152,-1688,748,,2014年01月01日至2014年09月30日,330993,221599,6207,-109394,-66941,-118711,-116479,0.0,8586,,8586,-66941,-5408,-52160,-57568,16.0,426.0,37.0,,-426.0,,-49538,221599,-1292,-912,,-8692
2015-03-24,4,2014,56032.0,,-22448,5250,-3539,1602,,-1271,1695,2177,-1323,,31524,,0.0,-1574,,50733,,-40002,0.0,251,44579,0.0,0.0,1032,-2454,11768,1536,-1696,1271,,2014年度,330993,267505,21359,-63488,-127883,-36524,-34393,0.0,-26687,,-26687,-127883,-56949,94407,37458,17.0,426.0,37.0,,,-426.0,93490,267505,-1706,-890,0.0,-9300
2015-05-06,1,2015,,,4962,13728,-18976,507,,-355,217,-631,-1041,,7,,,-1334,,-20417,,37006,,7,44240,,-3531.0,-223,-3167,2338,370,-98,424,-20223.0,2015年01月01日至2015年03月31日,267505,248787,-12229,-18718,-70173,-32835,-33093,,17915,,17915,-70173,55703,1600,57303,513.0,,,-1305.0,,,37080,248787,-68,-82,,-10489
2015-08-13,2,2015,,,11387,15814,-11486,560,,-597,472,-572,-1220,,626,,,-1461,,-15975,,2177,,-277,29057,,,103,-3962,4434,704,-453,779,-5928.0,2015年01月01日至2015年06月30日,267505,224059,-13292,-43446,-107172,-81667,-81740,,42755,,42755,-107172,29101,2259,31360,24.0,0.0,96.0,-1305.0,,0.0,25432,224059,-253,-26,,1655
