date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付設備款增加
2013-05-10,1,2013,447274.0,-95910.0,-741740,231997,-1657,157824.0,134880,68700,,-1039.0,,,,-11784,-53500,38725,122186,-159266,-59,,-31624,1203912.0,,50460,0.0,-5141.0,,2293.0,788089,-1328279,,,-211166,,-627151,50490,6342.0,1125345,240094,-172.0,,15881.0,-35894,60271,,,2013年01月01日至2013年03月31日,4158440,7052536,65171,2894096,1171690,,629363,748529,,1782066,1017202,1171690,,-1148734,278299,-870435,78966,11835,3957.0,3173,,-391.0,-423161,17492,7052536,-83272,-7425.0,,106870,-123798
2013-08-13,2,2013,614454.0,-95910.0,-777660,73160,-19176,105910.0,4338,32655,,16021.0,,,,-28125,-120285,75262,272504,-332140,-114,-120000.0,-34207,-671802.0,,225,0.0,-18083.0,-3681.0,0.0,135121,99994,-199170.0,,53100,0.0,1651975,32288,5085.0,-1154449,471218,-689.0,,31967.0,-73523,114346,,,2013年01月01日至2013年06月30日,4158440,7600928,-22759,3442488,2408366,,4624175,5100764,0.0,676505,-299742,2408366,,245770,1832174,2077944,98555,16915,3973.0,10140,,,2692398,10093,7600928,-403066,-17896.0,,214707,-233649
2013-11-08,3,2013,916897.0,-95910.0,-812442,339886,-83977,125182.0,33685,61269,,-859.0,,,,-28831,-182032,106479,220386,-437466,-180,-200000.0,-44095,-899446.0,,18087,0.0,-2983.0,-1059.0,0.0,666391,90028,-200000.0,,70749,,1523322,38761,4754.0,-1681220,685983,-478.0,,43274.0,-105968,191001,,,2013年01月01日至2013年09月30日,4158440,6969445,11620,2811005,3598068,,6420001,7263424,-2062855.0,929251,-2148162,3598068,,543171,2205288,2748459,97636,24345,3950.0,10464,,,3665356,4069,6969445,-737455,-4526.0,,256379,-443452
2014-03-26,4,2013,1185811.0,-95910.0,-940046,671923,-11008,148070.0,85185,142193,,12301.0,,-19817.0,,-40814,-250413,139220,152483,-875730,-242,-200000.0,-59311,-97730.0,,68908,,,,,309057,-908273,0.0,,-242295,,636473,13547,-54675.0,-1508614,984051,-479.0,,,-147301,256643,,,2013年01月01日至2013年12月31日,4158440,5447729,-45286,1289289,4505210,,5465747,6253001,-2062855.0,154358,-2820327,4505210,,-527803,1089783,561980,111825,27616,3908.0,27991,,,1747791,-79668,5447729,-896596,,0.0,302154,-435378
2014-08-08,2,2014,621344.0,0.0,-61390,7535,-183252,0.0,112538,-382474,,,-6847.0,1751.0,,-11218,-130554,67304,-170705,-465983,-124,0.0,-6002,-1625083.0,,31191,,,,,-159458,1365167,113.0,,321691,,-331734,25717,-5835.0,-2288941,523640,0.0,,,-65382,119257,,,2014年01月01日至2014年06月30日,5447729,6693310,75714,1245581,2934054,,3791916,4353814,,-33300,-86689,2934054,,1829617,-1031201,798416,14735,27996,0.0,11913,,,1419760,28521,6693310,-615773,212.0,,53142,-221496
2014-11-07,3,2014,765334.0,0.0,-90087,480855,-211703,0.0,62383,-272350,,,-10472.0,-712.0,,-20503,-203427,98360,-29623,-612833,-162187,0.0,-12843,-988538.0,,60744,,,,,-381281,1382029,30.0,,405648,,-822576,-3985,-8444.0,-2095510,791727,0.0,,,-82390,182117,1911.0,,2014年01月01日至2014年09月30日,5447729,7487102,-14302,2039373,4371913,,4881943,5810480,-2250388.0,1551524,-717437,4371913,,2365128,-1691895,673233,81956,27158,0.0,16725,,,1438567,42657,7487102,-1028264,-11996.0,,48006,-347466
2015-03-25,4,2014,832316.0,0.0,-141807,771949,-243126,0.0,3729,-275353,,-11925.0,,15410.0,,-17561,-280134,124133,161795,-633800,-162245,0.0,-20983,-230090.0,,83612,,,,,-1105458,494549,,,243285,,-1417459,37528,-2837.0,-1528632,1053733,0.0,,,-126871,263879,,,2014年度,5447729,6470505,-97362,1022776,5576704,,3898604,4961434,-2250388.0,814769,-1508991,5576704,,1556282,-3003868,-1447586,80360,14033,0.0,22221,,,-615270,45607,6470505,-1199838,,,-56326,-510957
2015-05-13,1,2015,,,-24611,356413,16638,,-113995,-92460,,-4125.0,,0.0,-24557.0,-4399,-57498,36866,91964,-279479,-56,,-683,,586490.0,28995,,,,,-336963,-287041,,,-177049,,-1061070,-21875,,137712,267163,,,,-37084,41217,,331820.0,2015年01月01日至2015年03月31日,6470505,7043281,55961,572776,1190774,-1851.0,-452444,-164706,,811035,795544,1190774,,-191570,-1495730,-1687300,13245,2835,,5478,,,-1355480,31953,7043281,-291871,-4527.0,,3781,-146838
2015-08-07,2,2015,,,-49118,111899,-44885,,-52798,11621,,,8530.0,-17969.0,,134057,-110250,71167,-45834,-396514,-90,,-4334,,-313684.0,9417,,-4310.0,,,-1303538,701970,,0.0,-79951,,-6452,-30736,,-1147550,520120,,,,-69246,109295,,673229.0,2015年01月01日至2015年06月30日,6470505,6999628,-28138,529123,2439835,-26657.0,1437113,2424970,,309364,285394,2439835,,685896,-1373990,-688094,20928,17720,203.0,20077,-40936.0,-57.0,-14865,31433,6999628,-1027906,-2302.0,,59138,-391946
2015-11-06,3,2015,,,-53760,852555,-217114,,5343,-128256,,,4917.0,-43650.0,,125839,-166474,106550,-69125,-712851,-14317,-44352.0,-4345,,342988.0,38536,,-3798.0,,,-959780,449303,0.0,,1379,,-588360,-110774,,-991498,786115,,,,-106189,147422,5363.0,1012802.0,2015年01月01日至2015年09月30日,6470505,6679719,-7338,209214,4123012,-29328.0,3161040,4430322,-2475427.0,615937,-1891203,4123012,-2250.0,1298792,-2004284,-705492,20928,24931,203.0,22811,-40936.0,,307310,19540,6679719,-1310515,-3323.0,,112336,-504532
2016-03-25,4,2015,,,-58329,941347,-271470,0.0,6607,-127633,,2989.0,,-108301.0,,-27421,-218718,139703,4080,-771576,-14317,-44352.0,-29192,,2141680.0,77192,,,,,-2129516,-316379,-399581.0,,-508407,,51275,-64244,,509777,1039825,,1094.0,,-141597,234259,3113.0,1293091.0,2015年度,6470505,7843889,9045,1373384,5082144,16158.0,2712653,4043798,-2475427.0,1056294,-1853126,5082144,,210151,-2541588,-2331437,20928,33671,203.0,31216,-40936.0,142541.0,-1038346,70825,7843889,-1423807,-3148.0,,101762,-660216
2016-05-11,1,2016,,,-4800,457641,-13114,,-124829,58942,0.0,-3828.0,,,16431.0,-4800,-32614,36261,94123,-203269,0,,-5176,,205650.0,22772,,,,,650734,-932389,,,681233,,-1126735,24704,,-126691,280327,,2724.0,,-35932,29335,,258280.0,2016年01月01日至2016年03月31日,7843889,8918639,-33649,1074750,1082656,-158248.0,594281,889782,,521665,513037,1082656,,-45685,-405469,-451154,0,1257,,3788,,,-192874,30907,8918639,-288904,6282.0,,-22811,-141584
2016-08-10,2,2016,,,-9816,-252899,-80234,,-67169,-14288,,,-1331.0,9845.0,,-10483,-67715,72461,84468,-326259,0,,-46791,,-376636.0,21740,,-4304.0,,,-9197,-68736,,,1273954,,-170781,29602,,-937158,561007,,,,-74127,59173,,599604.0,2016年01月01日至2016年06月30日,7843889,8665891,-13292,822002,2460913,-160582.0,2628745,3588838,,-938602,-954053,2460913,,773219,-244898,528321,0,2986,0.0,18130,0.0,0.0,1127925,48651,8665891,-945139,790.0,,16966,-200303
2016-11-11,3,2016,,,-15279,29265,-132550,,-12836,-137057,,,-2263.0,52354.0,,-17234,-170180,99780,114096,-458386,0,0.0,-21398,,-256761.0,33065,,-6615.0,,,-131079,-188349,199858.0,,1197567,,-567675,-4532,,-1162780,837622,,,,-102926,158142,4046.0,1031402.0,2016年01月01日至2016年09月30日,7843889,7305601,169649,-538288,3395017,-163024.0,3048607,4317440,-2325401.0,-388511,-2538211,3395017,-4046.0,863914,-972893,-108979,0,6014,0.0,22042,0.0,,922423,1291,7305601,-1324049,4429.0,,56275,-488649
