date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之付現類別合計,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,除列按攤銷後成本衡量金融資產淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-08-13,2,2013,36828,-29459,-1438,1956,0,-325,100618,-68,68,0,,-182,2385,911,-13548,,-44500,0,,-25179,,-69,,42516,44904,-12385,,-1912,0,-1238,,-47375,,851,699,,-1496,-201301,85890,-32176,0,,,,,2013年01月01日至2013年06月30日,64653,168021,103368,125186,,-173955,493216,268241,319261,,,61693,0,35517,125186,5138,864,26042,131205,157247,3283,0,,,0,,0,194075,168021,-48021,-48021,,1787,-1699,,31872,-143184,
2013-11-08,3,2013,82460,-47905,-28086,,0,-357,94554,-68,68,,,-308,3544,-195,-27417,0,-44500,-13,,-25179,,-80,,-29369,-48555,-11736,,-1888,-65,-2774,,66383,6270,1514,13309,,-908,-277009,129164,-34634,0,-5118,308,,,2013年01月01日至2013年09月30日,64653,138731,74078,155678,,,,246078,319331,,-51797,,204971,105204,155678,8921,864,-94372,175565,81193,0,0,,,0,,0,163653,138731,-68443,,,1787,-1699,,22836,-204999,
2014-03-27,4,2013,135954,-60884,-47467,,0,114,107456,-68,68,,-1699,-503,5160,464,-20550,0,-44500,-40,,-25179,,-69,,-56418,-108232,-12734,,6985,9919,-4554,,20141,5323,1945,16882,,-321,-290186,173651,-31044,0,-3651,503,,,2013年01月01日至2013年12月31日,64653,162236,97583,177404,,,,195105,266978,232000,-51797,,62962,192200,177404,12917,864,-166277,119897,-46380,,0,,,0,,0,89574,162236,-68725,,0,1787,,,24500,-225027,
2014-05-12,1,2014,50869,,-31594,,,-414,-3810,0,0,,,-183,1240,1529,-30371,,,-24,,,,15,0,77856,-14670,-2919,3727,,0,1948,,31348,7195,0,-348,,686,-44577,48011,-997,,-1244,183,,,2014年01月01日至2014年03月31日,162236,184234,21998,12907,,,,115879,117450,,,,-31841,-50833,12907,2798,,-43236,96910,53674,-18992,,,,,,,104543,184234,-510,,,0,0,,-15331,-14197,
2014-08-12,2,2014,54765,-25997,-18896,,,-69,-12331,0,0,,0,-474,2336,131,-54166,40150,0,-24,,-2756,,-74,,57894,50793,-5504,-5383,,1,3729,,-13386,5238,0,6387,,1374,-31903,95883,-14670,,-2332,474,,,2014年01月01日至2014年06月30日,162236,230708,68472,76960,,,,183081,199340,,,0,-56841,-82837,76960,6213,576,26044,41571,67615,0,188,,,-124,-32219,,122380,230708,-14401,,,0,,,-2231,-17977,
2014-11-10,3,2014,84108,-33014,-15891,,0,-1002,-5805,0,0,,,-660,3281,1418,-65450,50704,0,-24,,-2756,12030,1912,,139446,-28104,-7482,582,,2,1948,,-5339,2863,-267,-28033,,813,-36235,142941,-26845,0,-3315,660,,,2014年01月01日至2014年09月30日,162236,204885,42649,119823,,,,220129,247932,,-59840,,-61841,-142663,119823,7794,576,-49136,93137,44001,0,188,,,-124,-40941,0,128109,204885,-25148,,,0,842,,-9728,-23565,
2015-03-24,4,2014,165651,-19192,1200,,0,1641,-8634,0,0,,,-902,4179,4273,-73786,,0,0,,444,12230,1847,,27093,16441,-3440,4584,,6,3836,,-15371,379,-37045,-23708,-40800,-3630,-86570,189181,5901,0,-3992,902,2181,,2014年度,162236,139261,-22975,171973,,,,192323,218561,0,-59840,,-46841,-133001,171973,9549,-1605,20632,-139695,-119063,-19364,197,52171,,-108,-42044,0,46588,139261,-25329,,0,0,1056,,-41609,-66999,
2015-05-11,1,2015,,-4798,-1931,,,-2843,-2926,,,,,-176,848,-814,-11782,,,0,,3092,,-23,,3716,49640,3176,-13120,,,-1833,0,20335,5816,-34575,13778,40800,,-34052,45959,-12279,,-807,176,,38168,2015年01月01日至2015年03月31日,139261,241180,101919,40335,-7,,,201573,202205,10,,,-60000,-64788,40335,1717,,33082,90620,123702,0,,363,,,-272,,161870,241180,-1,,,,-721,,43676,-22610,
2015-08-10,2,2015,,-9596,8685,,,-603,12469,,,,,-433,1254,-1836,-23902,,,0,,-433,10,6,,37998,27321,778,-7161,,1,-3562,,-57150,-1015,-33625,26665,40800,,-78456,91871,-19094,,-1633,433,0,80875,2015年01月01日至2015年06月30日,139261,314108,174847,100644,-1034,,,259724,275727,,,,5000,-4585,100644,3714,,24424,69784,94208,,11,363,,-11,,-272,175083,314108,-14803,,,,4279,,43642,-54934,
2015-11-09,3,2015,,-14394,70140,,,-2430,-5120,,-54387,,,-588,1622,2844,-37671,,,0,,-433,5680,-194,,33501,67608,4684,-8901,,4,-1783,,-132914,3431,4160,38222,40800,,-171273,137181,-17516,,-2561,588,3019,123772,2015年01月01日至2015年09月30日,139261,269191,129930,173560,-6208,,,364526,388118,,-62457,,5000,-66167,173560,4359,-1605,123110,-32324,90786,,11,4720,,-11,,-3516,214558,269191,-24638,,,,4279,,39983,-138139,
