date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-03,1,2013,22138.0,,,-115983,32395.0,0,-12217,,-4582.0,,,,8.0,-836,15634,57031,-2451,,-5498,30.0,,-248.0,,205878,113707,62816,-8197,4348,3179.0,2984,-10627,836,,2013年01月01日至2013年03月31日,1766384,2548936,782552,150912,507723,518246,,,,,225965.0,225995,150912,,-19075,364271,345196,,0.0,,0.0,367334,2548936,-732,,,60003.0
2013-08-12,2,2013,46164.0,,,-45120,32357.0,-1090,-17339,,,0.0,31.0,,3525.0,-1922,30846,74321,-8744,,-6093,,,0.0,655.0,-249135,25131,-279465,-15272,8873,2546.0,4842,-24655,1914,,2013年01月01日至2013年06月30日,1766384,2263301,496917,315730,-182927,-121710,,,,620764.0,,620795,315730,,-37328,-446276,-483604,,0.0,,0.0,-437440,2263301,-38476,,,47421.0
2013-11-08,3,2013,63026.0,,,7596,-38796.0,-695,-67045,,,0.0,31.0,,-7437.0,-2837,49366,40400,-18215,,-6254,,,0.0,51.0,-837252,148978,-531395,-25113,14845,8328.0,9089,-38155,2835,,2013年01月01日至2013年09月30日,1766384,2290680,524296,502760,-769062,-691248,,-365908.0,,1643948.0,,1278071,502760,,89529,-1346563,-1257034,,0.0,,0.0,-1194008,2290680,-42494,,0.0,52552.0
2014-03-26,4,2013,113908.0,,,42894,,3306,4203,-17688.0,-15834.0,0.0,30.0,-26305.0,,-3999,70952,71707,-20199,,-12503,,,-2358.0,0.0,-1190416,866004,-1565027,-31754,19909,-54588.0,12046,-51846,3997,,2013年01月01日至2013年12月31日,1766384,2066043,299659,658621,-1336610,-1184228,,-365908.0,,1962194.0,,1596316,658621,,897267,-2854024,-1956757,,0.0,,0.0,-1842849,2066043,-104533,,15000.0,
2014-05-07,1,2014,28293,,,-78991,,1317,8181,16717,231,,,2998,0,-625,22566,46866,-1129,,-2353,0,,-1997,,-270927,-82068,-389322,-4162,4808,56076,1544,-21948,627,,2014年01月01日至2014年03月31日,2066043,1894863,-171180,166860,-563515,-541952,,,,,349631,349631,166860,,-152647,-584458,-737105,,,,,-708812,1894863,-242,,,
2014-08-13,2,2014,59652.0,,,94131,-83571.0,-7309,-17505,,,0.0,0.0,,323.0,-1529,45942,-848,-1520,,-2694,,,0.0,-4583.0,-404932,-606058,-184327,-16106,11947,60748.0,2969,-45373,1492,,2014年01月01日至2014年06月30日,2066043,1501035,-565008,348978,-832640,-730500,,,,284586.0,,284586,348978,,-529432,-609698,-1139130,,0.0,,0.0,-1079478,1501035,-58259,,,2384.0
2014-11-13,3,2014,110826.0,,,83800,-149569.0,-479,-32057,,,,0.0,,6675.0,-2058,88302,44023,-3991,,-4108,,,0.0,2187.0,-1277655,-9322,-106810,-6391,13481,57595.0,4426,-83102,2060,,2014年01月01日至2014年09月30日,2066043,2293139,227096,517990,-1069790,-881954,,-522197.0,,1781451.0,,1259254,517990,,42421,-1553191,-1510770,,0.0,,0.0,-1399944,2293139,-106794,,0.0,-76752.0
2015-03-27,4,2014,154197.0,,,171325,,1218,-42940,61564.0,6481.0,0.0,0.0,-135837.0,,-3129,122168,144959,-19784,,-4110,,,-6501.0,0.0,-850269,-450190,-332875,-29177,17182,63945.0,5976,-115633,3130,,2014年度,2066043,2113314,47271,656750,-944902,-697849,,-522197.0,,1398588.0,,876391,656750,,-315324,-1193472,-1508796,,0.0,,0.0,-1354599,2113314,-134550,,12000.0,
2015-05-05,1,2015,,,,-148379,,4,6318,-17780.0,-285.0,,,-14462.0,0.0,-978,31769,-34213,-5013,,-2288,0.0,,2456.0,,350525,-324051,1193659,-4841,4385,0.0,2114,-34270,977,39992.0,2015年01月01日至2015年03月31日,2113314,2195447,82133,159142,1206216,1244679,,,,,-1085029.0,-1085029,159142,,-466397,1511942,1045545,,,,,1085537,2195447,-5170,2702.0,,
2015-08-14,2,2015,,,,-106207,51804.0,-1287,-15142,,-552.0,,,,,-2272,58377,-58911,-8609,-20000.0,-2305,,,5422.0,0.0,172396,21179,1258079,-26779,8780,-5000.0,4210,-58258,2273,69553.0,2015年01月01日至2015年06月30日,2113314,2689585,576271,304025,1637981,1741538,,,,0.0,-976020.0,-976020,304025,,-100722,1468682,1367960,,,,,1437513,2689585,-47572,458.0,,-8597.0
2015-11-10,3,2015,,,-8512.0,-78154,-35080.0,-1857,-9179,,-3830.0,,,,,-4954,89306,92921,-9289,-20000.0,-4925,,,,3447.0,-137128,464180,210970,-32624,13353,3614.0,6375,-89463,4955,110996.0,2015年01月01日至2015年09月30日,2113314,2594098,480784,459542,786242,963925,,-540514.0,,183271.0,,-365755,459542,,373017,20370,393387,,,,,504383,2594098,-93175,6916.0,,-22006.0
2016-03-28,4,2015,,,-8512.0,-45092,,1601,-8051,-104903.0,-1379.0,,,-10174.0,,-6051,126786,85100,-14404,-20000.0,-5079,,,0.0,4678.0,-2225,-62494,175876,-33204,18045,10434.0,8607,-122585,6052,154655.0,2015年度,2113314,2403776,290462,608023,454715,714670,,-540514.0,,332877.0,,-216149,608023,,-117016,69008,-48008,,,,,106647,2403776,-143422,-159.0,7427.0,
