date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少
2013-05-13,1,2013,33357.0,-12463,-2332,-606,2560,,88,7788,0.0,160.0,5300,,4990,-1836,-89293,,973,268,,22.0,24608,-26470,33.0,,,865,7102,0.0,178,-89111,20520,943,-4882,,,2013年01月01日至2013年03月31日,133567,135779,2212,61788,98185,103067,,,,-97931,-5026,61788,421.0,-28422,36344,7922,105100,0.0,0.0,41279,,135779,,210,-5892
2013-08-07,2,2013,65931.0,-41973,-11462,-8532,1325,,177,5428,,849.0,10492,,9902,-1106,-178185,,1203,2306,,2493.0,43838,-30625,-957.0,,-40000.0,-59,65161,0.0,179,-174843,41803,1722,-10751,,,2013年01月01日至2013年06月30日,133567,187077,53510,85303,206296,217185,,,291734.0,-344004,23163,85303,841.0,-51458,117409,65951,155100,0.0,0.0,131882,0.0,187077,-138.0,-32,1478
2013-11-08,3,2013,93436.0,-88101,-17297,-9750,1108,,266,10871,,,8003,-95.0,14621,-1397,-228450,-6629.0,1203,3250,0.0,2493.0,51139,-39677,-844.0,,-80000.0,453,99665,0.0,-301,-232586,65695,2686,-14418,95.0,,2013年01月01日至2013年09月30日,133567,207948,74381,100355,271373,285834,,-41513.0,140000.0,-287255,36991,100355,1262.0,-66849,158892,92043,390610,0.0,0.0,185479,0.0,207948,-138.0,61,-3590
2014-03-12,4,2013,136904.0,-142114,-3804,-4370,2754,,427,5992,,,19956,-216.0,20216,-1219,-260480,-7949.0,1203,3552,-2493.0,,41339,-34461,-800.0,0.0,-80000.0,-297,88887,0.0,146,-270922,91383,3571,-20154,216.0,,2013年01月01日至2013年12月31日,133567,148726,15159,139346,344020,364096,,-41513.0,1291419.0,-1478674,-56720,139346,794.0,-43764,131610,87846,390610,0.0,6.0,224750,-459.0,148726,-138.0,-9,-7508
2014-05-07,1,2014,39974.0,-206854,2222,436,-197,,15,14769,,0.0,6054,-21.0,5118,-248,-40913,-1023.0,679,0,7.0,,18337,14185,-170.0,60000.0,,-2699,-100165,,33,-41929,26784,922,-5173,21.0,,2014年01月01日至2014年03月31日,148726,116242,-32484,74463,56747,61899,,,72000.0,-52000,-47054,74463,194.0,13989,-66527,-52538,79800,,,-12564,,116242,,244,696
2014-08-12,2,2014,71925.0,-351731,5890,3559,-1222,,-33,9258,-1000.0,0.0,6481,,9660,-1539,-81226,,18,4484,-198.0,0.0,-6181,39553,-170.0,60000.0,0.0,-1818,-57884,,-118,-82424,53329,1940,-9957,,,2014年01月01日至2014年06月30日,148726,142255,-6471,120052,166939,181163,,,122000.0,-92000,-89447,120052,389.0,46981,-57795,-10814,167800,,38.0,61111,,142255,-4267.0,70,-1648
2014-11-10,3,2014,117774.0,-439716,22836,3009,-884,,-358,10411,-1000.0,,19418,-141.0,13882,-61,-130476,0.0,18,4906,-198.0,0.0,-59985,64221,-146.0,60000.0,-60000.0,-1644,-84812,,33,-131674,80665,2902,-14203,141.0,,2014年01月01日至2014年09月30日,148726,114014,-34712,-32976,215877,234267,,-41844.0,372000.0,-332000,-118854,-32976,389.0,286860,-137391,149469,317800,,38.0,267243,198942.0,114014,-4328.0,603,-2154
2015-03-13,4,2014,148400.0,-554343,87348,4130,-776,,151692,-411,-4270.0,,1204,-230.0,18260,-1844,-165095,-2115.0,19,6646,-198.0,,-88958,68318,-170.0,120000.0,-70000.0,90316,-96647,,-2920,-171678,108210,3888,-18501,230.0,,2014年度,148726,106051,-42675,-16489,269793,292392,,-41844.0,472000.0,-472000,-138946,-16489,16260.0,347311,-186830,160481,400595,,38.0,308881,-54323.0,106051,-4328.0,751,2882
2015-05-12,1,2015,,-524751,-8332,-11197,-206,,13,607,,,470,-5.0,3344,297,-52315,48.0,177,844,,191.0,-5443,-40743,0.0,60000.0,-50000.0,-91213,-11430,,2590,-51483,29963,1033,-3733,5.0,34219.0,2015年01月01日至2015年03月31日,106051,111905,5854,55981,-78053,-74308,350000.0,,407346.0,-327346,135093,55981,0.0,-151472,-13036,-164508,219000,593.0,35.0,-130289,,111905,-17.0,-798,846
2015-08-04,2,2015,,-669551,-191,-3701,820,,-44,17028,0.0,,3948,-32.0,6060,-4791,-124829,-2278.0,176,844,-239.0,,8506,-47621,0.0,60000.0,-50000.0,-89721,-7308,-1412.0,2953,-124835,59911,2633,-6450,32.0,72361.0,2015年01月01日至2015年06月30日,106051,133126,27075,114321,36408,61943,350000.0,,732346.0,-642346,120293,114321,0.0,-141278,16539,-124739,339000,2511.0,346.0,-52378,,133126,-19117.0,-681,-4048
