date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-15,1,2013,97963.0,,-6708,-25252,7000.0,,-23791.0,,0.0,-29155,3176,-536,,,0.0,,-676,16162,2616,-30874,-1657.0,0.0,,,0.0,6100,,230,0.0,,-370142,,,621649,2931438,-2882000.0,23689,-1695159,,89149,97.0,-17156,120467,,41850.0,-8716,19799,-2965,664,,,2013年01月01日至2013年03月31日,289712,933500,-55003,643788,414004,,-903184,-900321,10125000,-8613448.0,1561512,414004,,,597970,-2010258,-1412288,,1472,-707,,0.0,0.0,-1314325,6942,933500,-562,-3463,,,4000.0,0.0,-12955,-27947.0,
2013-08-12,2,2013,180975.0,,-188811,13004,41798.0,,-37913.0,,0.0,7780,-32111,-9073,,,0.0,,-1793,31986,914,-175077,-28057.0,0.0,,,0.0,6500,0.0,801,0.0,,-748786,-43454.0,12338.0,161021,48757,,-13445,-1349768,,14095,158.0,-211737,242466,,41850.0,-17291,39930,-29483,1788,2586.0,,2013年01月01日至2013年06月30日,289712,379016,-29124,89304,658037,,-1203401,-1176074,1588645,,1503528,658037,0.0,-913.0,187909,-2202995,-2015086,0.0,14742,-13977,0.0,,0.0,-1834111,19391,379016,-2218,-73978,,,0.0,-2831.0,-39439,-21741.0,
2013-11-13,3,2013,243566.0,0.0,-150645,11363,65789.0,,-23954.0,0.0,,-3273,-77187,-8391,,,0.0,,-2886,47816,-310,-453846,-28057.0,0.0,,,0.0,2810,0.0,-402,0.0,,-527661,-43454.0,12338.0,132215,150000,,-109533,-1098724,,115695,-419.0,-496329,365000,,41850.0,-44467,62932,-45926,2849,127830.0,,2013年01月01日至2013年09月30日,289712,582086,25725,292374,960414,,-334858,-417029,1046791,,1123871,960414,0.0,-103073.0,54695,-1675704,-1621009,0.0,16558,-15001,0.0,,0.0,-1377443,24342,582086,-2582,-96605,,,1315.0,0.0,-55482,-29380.0,
2014-03-24,4,2013,282312.0,0.0,-464999,2577,125415.0,,20384.0,,,32149,-118804,3813,,,0.0,67623.0,-9380,65568,27034,-471218,-28057.0,,-43454.0,,,2870,0.0,203,,4.0,185096,,250753.0,184986,155000,,-92866,-1238995,0.0,38115,-430.0,-587487,489628,-30000.0,41850.0,-68165,19295,-63048,9380,127830.0,,2013年01月01日至2013年12月31日,289712,558884,-78736,269172,1225861,,458664,387579,248043,,370961,1225861,0.0,-103122.0,140027,-1260621,-1120594,100000.0,16560,-15002,0.0,,,-838282,13611,558884,-3077,-96007,,,7740.0,0.0,-120230,-146626.0,
2014-05-13,1,2014,232636.0,,-410869,3005,23995.0,,402.0,,,46288,-60955,-73047,-2163370.0,,,19066.0,-5726,16373,3310,-44244,0.0,,,,,-2260,,11,,,-1248478,,,638583,0,,9797,388893,,-116892,30.0,-2204612,124912,2510.0,0.0,-4240,3345,-13833,4178,,,2014年01月01日至2014年03月31日,558884,431779,85055,-127105,276044,,82069,92222,2278991,,1992128,276044,,,696289,-1112747,-416458,100000.0,28847,-12969,-1093.0,,,-183822,-1414,431779,-498,11173,,,0.0,-1000.0,-5180,-25845.0,
2014-08-13,2,2014,351560.0,,-446452,-780,-67415.0,,-35037.0,,,94694,19692,1079,-2199065.0,,,36836.0,-17721,35206,9580,-241474,-22112.0,,,-16000.0,,-573,5865.0,1,,,-467695,0.0,0.0,-396063,180000,,3292,143209,,-74327,37.0,-2683537,250654,30396.0,0.0,-39482,5456,-32497,13891,3578.0,,2014年01月01日至2014年06月30日,558884,462906,68383,-95978,213572,,-197529,-113386,3003509,,2775508,213572,4947.0,-1856.0,-304566,-373952,-678518,100000.0,28961,-13221,-1214.0,,,-326958,-5746,462906,-69115,-12738,27883.0,,9000.0,0.0,8731,-233847.0,
2014-11-11,3,2014,379025.0,198.0,-199785,-2773,-86415.0,,2172.0,,,128694,-54202,5483,-2132840.0,,,51231.0,-29620,53354,-5698,-603993,-22112.0,,,-16000.0,,-4893,5865.0,9,,,-416195,0.0,0.0,-541545,120000,,105759,977530,,-52802,58.0,-3037932,376461,30394.0,0.0,-82018,8488,-52570,25073,33494.0,,2014年01月01日至2014年09月30日,558884,1322569,3132,763685,445198,,890132,994553,3077509,,2917183,445198,4947.0,-6043.0,-312967,483297,170330,,29099,-13222,-1198.0,,,549355,-3160,1322569,-110418,-12889,27883.0,,3412.0,,-9083,-292284.0,
2015-03-23,4,2014,750172.0,198.0,-235369,-17288,24976.0,,,,,7978,1008,542,11770.0,172522.0,,67440.0,-39242,67030,-23007,-730868,-22132.0,,0.0,-105250.0,-5293.0,-3979,5865.0,-139,,-108.0,-61449,,0.0,-525140,-170000,,-4092,1168776,,-102695,-8994.0,-1402594,503464,-97651.0,0.0,-91262,10906,-67787,38148,33494.0,,2014年度,558884,761186,7418,202302,413017,,1568061,1675546,434509,,59842,413017,4947.0,-6043.0,-550632,1062989,512357,,30067,-12096,-1196.0,,,1262529,-3096,761186,-111340,-6710,27883.0,,221612.0,,-18064,-580978.0,
2015-04-28,1,2015,,,0,9806,13000.0,,,-213000.0,,-47732,-23489,388,-1331887.0,6926.0,,15517.0,-6537,10348,8494,-364596,,,,,-455.0,-2360,,183,,61.0,100114,,,148604,518000,,3047,377336,,65623,,-2038761,127984,-29783.0,,-4431,2284,-9243,6455,,75255.0,2015年01月01日至2015年03月31日,761186,2114634,73257,1353448,-136219,-12.0,533976,537248,2171889,,2849739,-136219,,,109376,488836,598212,146667.0,398,5602,0.0,,,673467,-4337,2114634,-484,10889,,,,-157298.0,-8279,-129282.0,
2015-08-13,2,2015,,316.0,-88916,-43908,,-56457.0,-238779.0,,,61646,-22200,527,-617200.0,-828.0,,30854.0,-17688,28354,-20490,-778764,-11269.0,,,0.0,-2626.0,-807,0.0,286,,63.0,138821,,,253463,358000,,83213,-50597,,28693,,-1405937,270476,-105139.0,,-17041,4708,-27266,17621,1833.0,270302.0,2015年01月01日至2015年06月30日,761186,3193473,97463,2432287,29728,-28.0,323679,385523,2822122,,3535035,29728,0.0,-60.0,350207,-264714,85493,500000.0,944,5195,-2.0,,,355795,-4179,3193473,-54032,25871,0.0,,0.0,-157021.0,-15212,,2599.0
