date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款－關係人增加（減少）,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預收款項增加（減少）
2013-05-07,1,2013,200510,,,,,-204951,,265,16370,88,-10851,,118212,,,52811,-33377,,,,,4513,,,0,-6233,64885,0,54806,,,124639,-1335,-48663,70829,,,-3857,9900,-1831,,3061,-17640,,2013年01月01日至2013年03月31日,2761411,3049665,288254,-82337,,47696,119779,,236322,0,236410,-82337,858,,-204288,205894,1606,0,,0,202,,1533,202116,3049665,-55673,-147,,,,-52808
2013-08-13,2,2013,403092.0,5850.0,,,,-163427.0,-3276.0,,-89349,,-72240,,258067,-9775.0,4505.0,62806,-182397,,,,,16476,99.0,,-3167.0,,391607,0.0,485246,,,-522966,-1989.0,-250195,144544,,,2362,21216,-4493,-17640.0,7595,39700.0,,2013年01月01日至2013年06月30日,2761411,3061366,299955,-80052,,285945,354165,,201300,,201399,-80052,1715.0,-39700.0,251833,-220708,31125,2118.0,,0.0,8426,0.0,2917.0,434217,3061366,-93382,-4744,,,,-67997.0
2013-11-12,3,2013,552206.0,7866.0,,,,-225949.0,-2302.0,0.0,-145767,,-59736,,240612,-12562.0,7299.0,48871,-322326,,0.0,0.0,,41856,96.0,,-522.0,0.0,89433,0.0,1068131,,,-981695,-3698.0,-372017,213803,-5486.0,3787.0,373,68069,-6741,-17640.0,11834,41777.0,,2013年01月01日至2013年09月30日,2761411,3075927,314516,147702,,252207,343959,0.0,385359,,385455,147702,2573.0,-41777.0,678293,-1034242,-355949,2086.0,,0.0,22977,0.0,2917.0,196257,3075927,-120982,7601,1382.0,,,-154705.0
2014-03-11,4,2013,539558.0,7866.0,,,,-173637.0,0.0,9781.0,-163304,,-30747,,201425,-18791.0,11515.0,62741,-457207,,0.0,0.0,-77671.0,29112,75.0,0.0,,769.0,556313,0.0,1189057,,,-1193255,-25833.0,-444027,286074,,,27581,44500,-11133,,16290,41715.0,,2013年01月01日至2013年12月31日,2761411,3614085,852674,464342,,1154268,1193241,-17640.0,97257,,79692,464342,3249.0,-41715.0,989587,-800246,189341,4357.0,34785.0,60883.0,25034,-56643.0,3157.0,728899,3614085,-85845,28217,,0.0,0.0,
2014-05-13,1,2014,127558.0,,,,,-116866.0,,-9974.0,36476,,-7490,,34123,-5154.0,4084.0,10398,-32229,-15145.0,,,,30677,64.0,,,2934.0,-561424,,-214835,,,465015,-1258.0,-61904,54426,,-23888.0,2353,17166,-4130,,6124,,,2014年01月01日至2014年03月31日,3614085,3636834,22749,84559,,-250556,-208193,0.0,324747,,324811,84559,311.0,,-336489,-83821,-420310,,,,80,,0.0,-292752,3636834,-44357,-10508,,,,-3530.0
2014-08-12,2,2014,246190.0,2321.0,,,,32432.0,0.0,314268.0,68453,,-10547,,38328,-11454.0,8130.0,-2135,-152644,-15145.0,,-25000.0,,89227,60.0,,-3617.0,,-846527,,534306,,,-879199,-2478.0,109639,110952,,-24374.0,-3266,30066,-8603,0.0,12812,0.0,,2014年01月01日至2014年06月30日,3614085,3082642,-531443,396806,,-525537,-461335,,0,-113470.0,-113410,396806,622.0,0.0,577316,-1681647,-1104331,3.0,,,103,,0.0,-858141,3082642,-68411,-16518,,,,13056.0
2014-11-11,3,2014,366005.0,5479.0,,,,239832.0,0.0,289740.0,-39366,,-17287,,91050,-13465.0,12604.0,-16630,-230757,-44995.0,,-25000.0,,95729,6.0,,0.0,1210.0,-1111089,,587248,150000.0,,-1641869,-3671.0,-21594,167814,,-14549.0,-7258,42244,-12862,-143181.0,15801,0.0,,2014年01月01日至2014年09月30日,3614085,2925863,-688222,439763,,-1460436,-1247678,,660432,,810438,439763,934.0,0.0,753427,-2806873,-2053446,16.0,,,168,,0.0,-1687441,2925863,-72516,-23815,0.0,,,-69982.0
2015-03-17,4,2014,621679.0,5478.0,10573.0,,,363797.0,,289509.0,44694,,-30874,,168610,-18739.0,16806.0,9114,-357921,-44995.0,,-25000.0,0.0,118861,0.0,-16.0,-9054.0,0.0,-1405118,,724818,150000.0,,-1214106,-5079.0,-132020,229585,,-9452.0,70943,54258,-16939,-143181.0,22786,0.0,,2014年度,3614085,3213678,-400407,387043,,-710950,-481151,0.0,283465,,433449,387043,1141.0,0.0,1094109,-2583982,-1489873,16.0,0.0,40821.0,258,6153.0,0.0,-868194,3213678,-92465,-29250,3053.0,,,
2015-05-12,1,2015,,,-10573,,,-156539,-7798,,17735,,0,2930,66422,-3189,6270,-154385,-37907,0,,-29850,,5005,58,,,7325,-272693,,-23541,,,907098,,-64025,60559,,10165,-2465,10473,-6221,,3198,,171464,2015年01月01日至2015年03月31日,3213678,3807287,593609,-460477,-1094,328526,348234,0,483435,,483493,-460477,0,,-25058,662305,637247,1275,,,-151,,0,808711,3807287,-16685,-2293,30833,,,166689
2015-08-11,2,2015,,0.0,-1732.0,,,-119834.0,-7535.0,0.0,-95437,,-15581,,155369,-8588.0,12887.0,-143888,-92693,0.0,,-32958.0,-50215.0,69950,0.0,-2172.0,0.0,6078.0,-243253,-174117.0,-49556,,,-32576,,-153936,120706,,931.0,7221,21696,-12693,,6330,,395042.0,2015年01月01日至2015年06月30日,3213678,2527031,-686647,-679956,-1793.0,-842695,-787530,,630161,0.0,453872,-679956,0.0,,-132281,-370335,-502616,1628.0,37340.0,,-177,-13959.0,,-107574,2527031,-48802,-896,30833.0,,,40634.0
