date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融負債增加（減少）,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預收款項增加（減少）
2013-05-13,1,2013,88.0,95.0,,18827,-5074,187319.0,-32828,,,-96,,,-7.0,2,51,0,,,,0,,,0.0,,,2875,,213605,,0.0,-45781,13479,0.0,6075.0,-4.0,-100441,681,,0.0,182,-2,7.0,,,2013年01月01日至2013年03月31日,402090,859976,-897.0,457886,366504,,329804,329799,,,,228472,,228472,366504,,,-21320,-15473,-36793,0.0,,,,,127.0,758.0,0.0,,-36705,859976,,-101198.0,,-395286
2013-08-06,2,2013,1847.0,95.0,,66610,-47922,62744.0,227430,,,-214222,,,,0,-18,-529,-101198.0,,,0,,,0.0,,-126.0,8550,243.0,115158,,0.0,-33253,17372,0.0,5960.0,-6.0,-313882,1472,,0.0,368,-28504,,,,2013年01月01日至2013年06月30日,402090,1093228,,691138,690511,,749041,798225,,,694563.0,-438566,,255997,690511,,,-105523,211390,105867,,,1021.0,0.0,758.0,111.0,0.0,76.0,,107714,1093228,-20680.0,,-104.0,-316776
2013-11-11,3,2013,-1681.0,95.0,,59739,-9769,27186.0,150459,,,-213596,,,-1091.0,0,-865,-553,-101198.0,-740000.0,,0,,,0.0,,-126.0,792067,243.0,272281,,0.0,50605,46621,0.0,5525.0,-33.0,-801248,2395,,0.0,744,-36939,1091.0,,,2013年01月01日至2013年09月30日,402090,1408086,,1005996,1370067,,1947023,2015213,,-133538.0,694563.0,166920,-866859.0,-138914,1370067,,,-338076,984903,646827,0.0,,253053.0,0.0,758.0,84.0,0.0,76.0,,645146,1408086,-32342.0,,-3813.0,-747854
2014-03-04,4,2013,4887.0,0.0,,14372,-10238,-17012.0,-18175,-600.0,,-496,0.0,,-2633.0,267,-865,-50195,-101198.0,-740000.0,-8250.0,0,-91680.0,,0.0,,-96.0,-1913690,,204230,,0.0,3250,54024,0.0,6075.0,-33.0,-247610,3027,,,642,-39034,2633.0,,,2013年01月01日至2013年12月31日,402090,555571,,153481,1425427,,-565483,-496586,,-133538.0,694563.0,407014,,967439,1425427,,,-44896,-1882004,-1926900,0.0,95.0,743452.0,,758.0,7935.0,0.0,,,-1922013,555571,-32496.0,,-4351.0,-249703
2014-05-14,1,2014,1980.0,0.0,,-7181,4112,-54403.0,-56083,,,-1920,,,-134.0,1,0,-20242,0.0,,,-42,-29776.0,,,,,-459078,,31826,,,18697,133,,,0.0,-51980,989,,,156,-19496,134.0,,,2014年01月01日至2014年03月31日,555571,675061,0.0,119490,21136,,-233516,-214143,,,,404986,,404986,21136,,,273657,-510916,-237259,,,,,,0.0,0.0,,,-235279,675061,-11.0,,968.0,284718
2014-08-12,2,2014,3651.0,0.0,,347,-73168,-48123.0,-101537,,,-1605,,,-990.0,1,-2,-50696,0.0,-80000.0,,-41,-72329.0,,,,,-1039869,0.0,15888,,,23977,-429,,,0.0,-123703,1833,-1156.0,,310,-37704,990.0,,,2014年01月01日至2014年06月30日,555571,547943,,-7628,24784,,-697651,-588263,14602.0,,0.0,799126,,813728,24784,,,599461,-1216159,-616698,927.0,,80041.0,,0.0,-41.0,,0.0,,-613047,547943,-72674.0,,2538.0,607372
2014-11-11,3,2014,8856.0,0.0,,11605,6774,-41375.0,-185890,,,-1651,,,-2150.0,1,3,-64098,0.0,-80000.0,,-42,-101700.0,,0.0,,0.0,-1442278,0.0,-47145,0.0,,12945,-468,0.0,0.0,0.0,-166046,2656,-1180.0,0.0,436,-60710,2150.0,,,2014年01月01日至2014年09月30日,555571,500115,,-55456,15202,,-878259,-716477,483000.0,-269904.0,0.0,775750,,988846,15202,,,882507,-1623042,-740535,1404.0,,80041.0,243.0,0.0,-41.0,0.0,0.0,,-731679,500115,-103222.0,,7711.0,946477
2014-11-11,3,2015,,0.0,,44230,1588,103707.0,180975,,,-4609,317.0,-158880.0,-3220.0,4639,10,-655,-5645.0,-561465.0,,-54,,0.0,0.0,-162.0,0.0,132855,0.0,69726,0.0,,-30267,434,0.0,0.0,,-679160,1956,0.0,0.0,132,-53337,3220.0,2347.0,-5298.0,2015年01月01日至2015年09月30日,592992,669459,,76467,632880,0.0,755300,858981,0.0,-86473.0,0.0,86790,,317,632880,,-2347.0,-84453,315852,231399,4.0,,42443.0,-4.0,0.0,-443.0,0.0,,9863.0,226101,669459,-55911.0,,-6328.0,-271849
2015-03-25,4,2014,9449.0,0.0,,33898,7264,-73666.0,-262335,0.0,,-1697,0.0,,-3825.0,1815,16,-74240,0.0,-80000.0,0.0,-42,-196750.0,,0.0,,,-914446,,-111962,0.0,,53132,-203,0.0,,0.0,-271285,3459,-1300.0,,508,-80548,3825.0,,,2014年度,555571,592992,,37421,438317,,-306656,-117265,483000.0,-269904.0,0.0,402250,,615346,438317,1194.0,,605989,-1171020,-565031,1403.0,0.0,80041.0,244.0,0.0,-41.0,0.0,,,-555582,592992,-112668.0,,6095.0,704587
2015-03-25,4,2015,,,,67879,3878,114806.0,253993,,,-233,885.0,-158880.0,-4699.0,6018,8,-13472,-5645.0,-675018.0,,-102,,0.0,,,,-101455,,39582,0.0,,-62262,-4022,0.0,,,-723705,2732,0.0,,140,-80419,4699.0,2347.0,3533.0,2015年度,592992,886469,,293477,754540,,751421,883396,315000.0,-86473.0,,37226,,265753,754540,8100.0,-2347.0,-27071,152394,125323,532.0,,107569.0,-399.0,,-569.0,,,19197.0,128856,886469,-56255.0,,-6328.0,-187076
