date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,預付設備款增加,預付設備款減少
2013-05-03,1,2013,20058.0,0.0,-30000,36022,12552,-2797,-754,,0.0,,-4181,5350,667,-22145,,-1113,-33,,-53900,10033,-16996,140260,6250,-20798,36438,522,-1988,4058,,2013年01月01日至2013年03月31日,3291039,3858207,,567168,464895,,,617299,615623,,,,-30000,464895,26262,104408,130670,0.0,1380,-55,150728,,3858207,-394,-17565.0,662.0,,
2013-08-06,2,2013,55401.0,0.0,-30000,67565,12455,3935,21517,,-1983.0,,-9147,10196,1071,-24223,,-318,-33,,-34208,-263,-22012,91550,4503,-42398,73506,1095,-4532,9246,,2013年01月01日至2013年06月30日,3291039,4095393,,804354,868806,,,905681,1069249,,0.0,-30000.0,-60000,868806,49225,95817,145042,0.0,1465,43,200443,,4095393,-168282,-22426.0,2452.0,-17624.0,
2013-11-06,3,2013,91203.0,0.0,-60000,101159,13679,8033,21822,,-2509.0,,-12833,13018,-51579,-72275,,-1926,2947,,-29586,8308,-25593,249381,4924,-67386,110040,1750,-6311,12945,,2013年01月01日至2013年09月30日,3291039,3945234,,654195,1216401,,,1424142,1659731,-560982.0,0.0,-30000.0,-650982,1216401,91907,260220,352127,0.0,1620,36,443330,,3945234,-242223,-20441.0,1559.0,,2831.0
2014-03-06,4,2013,126986.0,0.0,-60000,145172,14913,6822,16339,,-2509.0,,-16346,15162,-88673,-89687,,-729,2966,,10045,-2616,-14593,156030,-3264,-81718,145973,2435,-8034,15591,,2013年01月01日至2013年12月31日,3291039,4360812,,1069773,1673617,,1891146.0,1891146,2129451,-560982.0,0.0,-30000.0,-650982,1673617,134785,194063,328848,0.0,1620,36,455834,,4360812,-245862,-19545.0,,,5892.0
2014-05-07,1,2014,34349.0,0.0,-30000,-59628,-971,-3396,1187,,,,-6556,1659,-74159,-27328,,772,-877,,-7601,9197,4679,26992,8520,-19678,35105,684,-1618,6507,,2014年01月01日至2014年03月31日,4360812,4794428,,433616,539860,,,557453,553188,,,,-30000,539860,-49148,28127,-21021,0.0,16,-16,13328,,4794428,-624,143.0,2558.0,,8511.0
2014-08-07,2,2014,61498.0,,-30000,-30210,-3757,-18995,4232,14185.0,-140.0,,-13471,3257,-209,-58217,,956,-50,,29897,-3976,31086,-50621,5315,-58217,68968,1242,-3234,13228,,2014年01月01日至2014年06月30日,4360812,5042276,,681464,917642,,,769890,956296,,,0.0,-30000,917642,-7910,-14934,-22844,,190,-190,38654,,5042276,-196400,143.0,593.0,,
2014-11-06,3,2014,16046.0,,-60000,20706,-4091,-10665,1120,16160.0,-140.0,,-20446,4746,291,-89189,,-5776,-121,,24001,11164,23128,13672,4699,-89260,103169,1540,-4759,18935,,2014年01月01日至2014年09月30日,4360812,4763406,-70093.0,402594,1427511,,,1266291,1543451,-714728.0,,0.0,-774728,1427511,60493,39401,99894,,190,-190,115940,,4763406,-291336,143.0,2953.0,,
2015-03-06,4,2014,-63629.0,,-60000,79509,-13769,-13412,8860,,-645.0,1773.0,-29170,6233,1823,-90094,,-4951,-24,0.0,-8478,17220,31867,-31854,2622,-90566,138343,1858,-6229,28149,,2014年度,4360812,5396781,-178932.0,1035969,2160824,,1899440.0,1899440,2169760,-714728.0,,0.0,-774728,2160824,115184,-42619,72565,,197,-197,8936,,5396781,-292240,143.0,1271.0,,
2015-05-06,1,2015,,,-350000,-100719,4044,11189,1424,,-952.0,2695.0,-6982,65,-259,-26722,,2640,2,,-35085,2696,1439,116477,4318,-27666,36055,393,-502,7252,-38650.0,2015年01月01日至2015年03月31日,5396781,5453692,-74351.0,56911,475240,76.0,,434836,442449,,,,-350000,475240,-85319,91178,5859,,6,-6,-32791,,5453692,-14363,0.0,841.0,,
2015-08-06,2,2015,,,-350000,-72431,3703,5464,1792,,-1064.0,2272.0,-13723,65,-382,-35415,,3503,0,22.0,-22509,-11179,-7527,113796,1257,-36389,68518,815,-502,14071,63868.0,2015年01月01日至2015年06月30日,5396781,5796361,,399580,952376,230.0,,786351,1028840,,,,-350000,952376,-85443,98039,12596,,68,10,76464,,5796361,-256058,0.0,2408.0,,
2015-11-06,3,2015,,,-350000,-1340,5201,2071,-260,,-1064.0,3112.0,-20427,65,762,-65328,,786,-10,,16975,-12141,-17319,32836,-467,-66066,100563,1167,-502,20527,86925.0,2015年01月01日至2015年09月30日,5396781,5723461,,326680,1842631,316.0,,1599658,1955428,-857674.0,,,-1207674,1842631,-28413,54285,25872,,336,-42,112797,,5723461,-375795,0.0,1701.0,,
2016-02-26,4,2015,,,-350000,48302,7942,-7234,-7264,,,2498.0,-27452,65,-162,-78127,-3152.0,7887,-9,,53970,-21620,-9329,25258,-730,-80952,132533,1609,-502,27168,117031.0,2015年度,5396781,6343635,,946854,2378248,404.0,2235642.0,2235642,2584978,-857674.0,,,-1207674,2378248,10523,79176,89699,,336,-42,206730,,6343635,-376002,0.0,-67.0,,
