date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,庫藏股票處分,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-04-26,1,2013,97383,,0,23781,,11904,-2135,,,-4355,,,-4265,3903,22873,-19810,,-270000,,-301106,,3068,,,,-490,-338,,23256,,,-395509,,203290,0,,84962,276124,-38234,16681,4344,-593756,78131,102,-99,-6624,720,-4434,4797,0,,2013年01月01日至2013年03月31日,1693309,1408127,18914,,-285182,260721,,553351,601197,,,,-253545,-267650,260721,,0,172672,70421,243093,2421,463,,89830,31,-7725,-30,,,340476,1408127,-47846,,-11602,11260,-81600,-205172,-11637,0,239798
2013-08-07,2,2013,150050.0,0.0,-1913,157038,,14054,7934,,,1493.0,,,-7957,4243,32457,-59377,,-310000,0.0,-518395.0,,6909,,68219.0,,-489.0,-554,,19461,,,-97369,,225156.0,10000.0,0.0,84402,-70714,-250593,33988,-1074.0,-467457,156894,0,-655,-27578,1943,-4796,8431,0.0,,2013年01月01日至2013年06月30日,1693309,1602925,33844,,-90384,762312,,815625,923299,,,0.0,-463120.0,-471009,762312,,-22249.0,343995,-333058,10937,911.0,5826,,337286,26,-12698,-30.0,,,160987,1602925,-107674,,-11602.0,16703,0.0,-72479,-386.0,,-38212
2013-10-28,3,2013,208353.0,0.0,-2908,102455,,43403,-11531,,,6379.0,,,-12140,6595,21111,-119742,0.0,-520000,0.0,-558731.0,,11564,,68219.0,,-492.0,-2112,,-58205,,,-171406,,-3119.0,80000.0,0.0,5099,-385876,-18447,23390,-907.0,-1387035,233932,0,-1573,-42987,3164,-5092,12485,43340.0,,2013年01月01日至2013年09月30日,1693309,1168116,30871,,-525193,1070728,,565448,751740,-749669.0,,863000.0,-598867.0,275283,1070728,8319.0,-23410.0,-45881,-481460,-527341,700913.0,10586,0.0,784071,4659,-41629,-30.0,,,-318988,1168116,-186292,,-11602.0,29445,0.0,-29218,-1111530.0,,-21406
2014-02-25,4,2013,226817,0,-3288,162307,0,-5323,31104,,,,18142,,-23335,14219,41842,-125854,0,-540000,0,-439600,,19792,,68219,,-490,-1602,,9463,,,-495650,,-46495,80000,0,10750,-186795,28414,26169,-6060,-1201926,309547,0,-1780,-51095,4387,-13923,21553,43720,,2013年01月01日至2013年12月31日,1693309,1619532,14632,,-73777,1417036,,940297,1134292,-749669,,144071,,146010,1417036,16639,-23790,-409586,-99975,-509561,700911,82455,0,854695,-21286,-83079,-30,,,-282744,1619532,-193995,2000,-11602,48216,-2767,-6550,-1180887,,-29115
2014-04-30,1,2014,56949.0,,-1073,-84900,,78510,-8275,,,-2760.0,,,-5632,3228,41842,-30039,,-50000,,0.0,,3996,,,4.0,0.0,-4940,,-3875,,,-53200,-11671.0,,20000.0,,-35499,143177,-17634,3640,-718.0,-15703,70392,0,-828,-13983,1223,-3669,7352,,,2014年01月01日至2014年03月31日,1619532,1976727,-20894,,357195,197005,,303050,312364,,,12744.0,0.0,28006,197005,8319.0,,-49838,108248,58410,0.0,5426,,1579,-263,-1411,0.0,75450.0,,115359,1976727,-9314,2410.0,0.0,9564,-30000.0,-7957,12229.0,,57640
2014-08-05,2,2014,111660,,-2127,10049,,61153,-21866,,,-1844,,,-11215,8635,-14437,-76931,-30000,-2100000,,0,,11073,,0,,-438,-4336,,-291914,,741,529310,18303,,0,-64000,19595,-89182,-92020,-837,-1699,-1929703,143426,-1989,-2893,-41428,2444,-9150,12969,6373,,2014年01月01日至2014年06月30日,1619532,1875675,2083,,256143,588400,,824517,916285,,1994680,,-543940,1375766,588400,16948,-30726,741846,-525621,216225,0,14125,,174752,-1127,-12269,0,75189,,327885,1875675,-91768,2410,0,21406,,-26909,,,107124
2014-10-31,3,2014,195906.0,,-3302,-34247,,55394,-32895,,,-3474.0,,,-16557,18376,8018,-95689,-30000.0,-2201975,,0.0,,23636,,0.0,,-434.0,-25454,,-318212,,741.0,381986,5101.0,,136000.0,,49673,-587568,-94774,-18120,-2563.0,-1526089,218314,-2493,-2795,-68308,3426,-18113,18976,62664.0,,2014年01月01日至2014年09月30日,1619532,1811896,3228,,192364,1154638,,681860,830407,-937111.0,1994680.0,0.0,-143886.0,1028575,1154638,25575.0,-32805.0,582423,-1102560,-520137,0.0,14593,,540865,-1057,-15458,0.0,193405.0,,-324231,1811896,-148547,2410.0,0.0,35126,,-48196,0.0,,129572
2015-02-12,4,2014,332229.0,,-4970,61901,,14707,-30267,,,,6428.0,,-24192,31300,47150,-97019,-30000.0,-2351975,,0.0,,18699,,0.0,,-426.0,-14149,,-253889,,741.0,82408,-9358.0,,0.0,-64000.0,-14797,-271946,-52055,-14760,-3533.0,-1635003,297188,-3933,38398,-82578,3928,-26186,26080,64184.0,,2014年度,1619532,1847648,30233,,228116,1521374,,1227657,1442544,-937111.0,1994680.0,-374416.0,,588312,1521374,34203.0,-34325.0,163988,-575047,-411059,0.0,18731,,747261,-2852,-17325,0.0,49607.0,,-78830,1847648,-214887,15500.0,0.0,62450,-33000.0,9472,-21151.0,,36593
2015-04-30,1,2015,,,-1123,-89447,,-824,10120,,,-3683.0,,,-5200,10368,-20034,-30099,,-100000,,,-42499.0,-6040,,,0.0,,-2950,,-23647,,,-200227,285662.0,,0.0,,81424,528643,24102,1132,,-272265,79950,371,-595,-9587,503,-10799,6308,,100370.0,2015年01月01日至2015年03月31日,1847648,2180014,17577,,332366,143366,-1295.0,806587,831190,,,0.0,-170000.0,-181922,143366,8627.0,,81033,506421,587454,,2375,,6074,-1066,-11,,,0.0,687824,2180014,-24603,0.0,,5249,0.0,-33334,-107791.0,,5369
2015-07-31,2,2015,,,-2451,-30005,,1632,-7495,,,-9497.0,,,-12721,20920,-43759,-159074,0.0,-300000,,,-1746.0,-9310,,10897.0,,0.0,-2627,,-32705,,0.0,-84048,15586.0,,,0.0,194514,410748,-102778,-24223,,-443852,159792,3152,-1513,-41393,1005,-21353,11285,0.0,176401.0,2015年01月01日至2015年06月30日,1847648,2573727,24944,202.0,726079,588669,-2848.0,1365953,1533138,,0.0,,-157859.0,-152263,588669,17257.0,0.0,578187,189881,768068,,4177,,7078,-1315,-14,,,0.0,944469,2573727,-167185,0.0,29400.0,17034,,-52153,-4345.0,,480204
2015-10-30,3,2015,,11750.0,-3450,-127361,,20583,-27088,,,-5497.0,,,-20920,31535,46718,-327201,0.0,-300000,,,-189425.0,13592,12166.0,10897.0,,0.0,-1752,,-115291,,0.0,85697,99356.0,,0.0,-16000.0,36301,153695,-170133,-35274,,-716971,244638,4821,-542,-67951,1507,-31643,19261,68453.0,188502.0,2015年01月01日至2015年09月30日,1847648,1949853,-34891,246.0,102205,1165886,-4246.0,1276630,1546770,-982439.0,0.0,446000.0,0.0,-504172,1165886,21784.0,-27973.0,432533,-240151,192382,41794.0,5605,,7078,-1591,-14,,,0.0,380884,1949853,-270140,0.0,29400.0,28540,-16140.0,-45518,,,317382
2016-02-23,4,2015,,11750.0,-6659,-48725,,-3569,3417,,,,941.0,,-28503,38994,23249,-960436,-16140.0,-300000,,,-160965.0,86551,19141.0,10897.0,,0.0,0,4647.0,-160642,,0.0,66726,251422.0,,,-16000.0,-36841,676838,-79918,-47705,,-1167705,329582,556,-234,-76166,2009,-24064,23588,76100.0,334931.0,2015年度,1847648,2489289,-58015,264.0,641641,1482672,-5379.0,2268553,2552064,-982439.0,0.0,,-84000.0,-482456,1482672,25768.0,-35620.0,369824,364637,734461,582165.0,14893,,127020,-3605,-381,,,0.0,1069392,2489289,-283511,14674.0,29400.0,39379,0.0,-27119,,,145634
2016-04-29,1,2016,,,-2557,-29230,,6361,-6723,,,0.0,7097.0,,-5037,8832,-19083,-45827,,-600000,-82821.0,,0.0,1421,11727.0,,3.0,,0,3416.0,-175326,-368.0,,215216,64417.0,,,,39863,39097,-70714,42949,,-630631,86183,-1497,-903,-7016,503,-7225,7303,181.0,124720.0,2016年01月01日至2016年03月31日,2489289,2230963,20255,,-258326,372266,-1256.0,390852,409912,-2298.0,,886.0,0.0,536,372266,4430.0,-181.0,86764,-173838,-87074,,3009,,0,1952,0,,,137570.0,37646,2230963,-19060,,,13746,-60559.0,-2218,,,-207110
2016-07-28,2,2016,,9587.0,-6758,81433,,-3421,-18902,-24113.0,,0.0,11015.0,,-10322,20441,-37304,-95333,,-600000,-82821.0,,0.0,3373,17614.0,-56249.0,3.0,,0,6045.0,-428027,-312.0,,320877,-7895.0,,100000.0,,113660,-202934,-68785,10214,,-503811,169572,-1551,-2519,-21884,1005,-16906,11587,18246.0,216390.0,2016年01月01日至2016年06月30日,2489289,2667857,28856,0.0,178568,916332,-3190.0,593518,736242,-2298.0,,,-18715.0,126165,916332,20841.0,-18246.0,325654,-722134,-396480,,10370,,100114,1727,-114,,,163628.0,-180090,2691970,-142724,,53225.0,21453,,-11181,,,-174259
2016-11-07,3,2016,,9587.0,-11252,54005,,32817,-22521,,31000.0,15029.0,,12502.0,-13845,30610,-84239,-1013670,,-650000,-82821.0,,0.0,8996,63631.0,-56249.0,2.0,,0,1476.0,-302128,-266.0,,323352,-22219.0,,,0.0,90517,-681748,-806,-29278,,-1359027,253550,-1483,-3105,-29403,2067,-26311,16370,107212.0,367107.0,2016年01月01日至2016年09月30日,2489289,2273006,60609,0.0,-216283,1600451,-5308.0,978469,1263696,-907953.0,,276172.0,,248514,1600451,54608.0,-48409.0,335646,-1039508,-703862,770000.0,27398,1521.0,100114,1305,-1635,,,165006.0,-336755,2273006,-285227,,53225.0,36418,0.0,78,,,-136035
