date,season,year,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加
2015-05-11,1,2015,-7700,160,,242,584,-2420,28,28,,-1,,-54,,,-1737,81,-903,,-3676,94,,188,11474,,-3678,,245,-4558,-3545,-4204,3718,,22,5555,1777,7684,2015年01月01日至2015年03月31日,503007,498531,-4476,728,-353,-1952,,,728,-13553,3189,-10364,0,32,-2680,498531,-178,,-982,0
2015-08-13,2,2015,-4522,-57,,154,641,-2010,289,-8,,-9260,,-54,,,-3032,-154,-2722,,-6145,420,-222,,2705,-48409,-2238,,1008,-10456,-3344,-88267,7367,,33,10959,3212,15685,2015年01月01日至2015年06月30日,503007,388771,-114236,32067,22594,27781,,-48409,32067,-7762,-12209,-19971,95,-62,-4286,388771,-8399,,-1979,-70113
2015-11-12,3,2015,-3693,323,-7,,636,-1819,466,6,,-171964,,-369,,,-3612,908,-140743,,-9690,189,-226,,6810,-48409,-7193,,142,-9416,-1119,-328215,11008,,162,16288,3820,23732,2015年01月01日至2015年09月30日,503007,106085,-396922,42871,38341,51791,-59547,-107956,42871,-12563,-2249,-14812,334,-303,8920,106085,-17270,,45,-5550
2016-03-29,4,2015,-959,42,,37,644,-1097,343,-520,,-195451,,-2992,,,-4342,431,-142995,,-14748,780,-216,,4636,-48409,78,,1285,-3623,-2990,-366393,14490,-738,171,21697,4534,33044,2015年度,503007,102517,-400490,55447,73428,86228,-59547,-107956,55447,-693,-1570,-2263,521,-490,30781,102517,-17334,738,636,-10549
2016-05-12,1,2016,-4492,61,,-37,-173,-1474,-914,0,,-6609,,,2463,,-651,-318,-1412,-4945,-6006,146,,16,5292,,-6666,,-1002,-6479,3172,-21433,3317,,11,5497,668,8192,2016年01月01日至2016年03月31日,102517,91151,-11366,17226,10385,11174,,,17226,-13634,-610,-14244,128,-128,-6052,91151,-1457,,-1569,-5031
2016-08-11,2,2016,501,-190,-1,,2,-1591,73,-974,,,45562,,2463,0,-1191,-651,-4003,-4945,-13280,1037,,20,11567,0,-6528,,-950,-7860,2807,19416,6494,,13,11193,1237,17418,2016年01月01日至2016年06月30日,102517,150752,48235,26551,29470,38790,,0,26551,-8568,3389,-5179,128,-128,12239,150752,-10557,0,-2036,-6528
2016-11-11,3,2016,4266,-401,,-62,-176,3152,373,0,-27862,,107536,,2463,,-1161,-1435,-28866,-4945,-16606,2769,-233,,14026,0,-7686,81,-1331,-7502,2889,56741,9539,,129,16826,1690,27815,2016年01月01日至2016年09月30日,102517,179807,77290,35466,60991,69858,-11145,-39007,35466,-1518,8095,6577,287,-287,34392,179807,-10557,,-1114,-2833
