date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債減少,其他金融資產減少,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付設備款增加,預付設備款減少
2013-05-10,1,2013,,84382.0,-45239,64704,0.0,-24548,-5202,-53179,17550,,,,0.0,,10715,23847,-305975,0.0,,-1217,-1475,0.0,-185010,-13408,,-10454.0,,-945,-119675,485.0,-713,-423830,79720,,,,0.0,805,-7489,,,,2013年01月01日至2013年03月31日,274244,240911,-33333,138063,-115786,-107005,,,,335149,0.0,482436,138063,,53190,-382640,-329450,193487,0,,1672,,,,-245068,240911,-1292,-8348.0,-16.0,1035.0,-116380.0,
2013-08-09,2,2013,,187142.0,-73779,30037,,-134387,-236,-21894,2163,,,,0.0,-574.0,23685,46798,-961056,0.0,,194,-1231,,-32859,-114172,,-10955.0,,-3199,-322513,647.0,207,-981942,163696,,,,0.0,1619,-22063,574.0,,,2013年01月01日至2013年06月30日,274244,278350,4106,180072,-274996,-236748,,,,914608,0.0,1214246,180072,,-93163,-510799,-603962,377350,22,,2917,,,,-416820,278350,-16759,-5436.0,-734.0,1041.0,-19677.0,
2013-11-08,3,2013,,293991.0,-103991,54418,,-122483,792,-6885,2791,,,,0.0,-683.0,38570,54543,-1591411,0.0,-4230.0,638,-754,,228517,-427706,,-8859.0,293785.0,-5912,-314929,650.0,265,-1578345,245610,,,,0.0,2606,-34493,683.0,,,2013年01月01日至2013年09月30日,274244,234566,-39678,319100,-43850,19662,,-278848.0,,1242474,,1527974,319100,,-378564,-214865,-593429,381200,195,,2798,,,,-299438,234566,-29702,3428.0,-734.0,1024.0,0.0,17855.0
2014-03-25,4,2013,,393349.0,-135657,5708,0.0,-128586,-506,-3605,1277,0.0,,0.0,,-1160.0,56685,76804,-1993216,0.0,-4268.0,-987,-453,,482126,-449754,6179.0,-10117.0,316662.0,-37739,-250678,610.0,7589,-1967299,331787,-6888.0,-4132.0,0.0,,3578,-57589,1160.0,,,2013年01月01日至2013年12月31日,274244,167746,-106498,391139,346484,433711,,-278848.0,0.0,858432,0.0,1437513,391139,,-454101,103324,-350777,715397,582,,2436,,0.0,,42572,167746,-30798,,-734.0,1010.0,0.0,30056.0
2014-05-12,1,2014,849.0,137860.0,-36400,54103,,-23494,3279,-2436,1552,,,,,-123.0,27623,-87191,-345233,,,1964,-280,,-190772,491466,-2254.0,-964.0,,-6843,-53637,40.0,0,-348523,105998,-334.0,4132.0,,,1188,-26086,123.0,,,2014年01月01日至2014年03月31日,167746,235136,67390,117227,509609,535768,,,,25640,,-6505,117227,,546848,-266167,280681,11098,159,,361,,,,418541,235136,-196,,,0.0,-3169.0,
2014-08-11,2,2014,849.0,287936.0,-96791,69688,,-37045,-6088,-8415,2502,,,,,-483.0,54216,-56781,-615494,0.0,-1848.0,5694,1145,,-203789,530827,-4274.0,-964.0,0.0,-26479,-187105,40.0,0,-628355,224878,-1140.0,4132.0,,0.0,2850,-52911,483.0,,,2014年01月01日至2014年06月30日,167746,278033,110287,221006,598991,667311,,,,306322,,196432,221006,-511.0,590551,-432182,158369,14322,159,,431,12.0,,,446305,278033,-15892,,-942.0,0.0,-12317.0,
2014-11-11,3,2014,851.0,442073.0,-328722,122846,,-56322,-3351,-18477,3987,,,,,-618.0,79202,-24081,-823019,0.0,-14189.0,7060,1129,,-211319,642185,-5382.0,-964.0,0.0,-36681,-579147,40.0,0,-847532,350352,-1442.0,4132.0,,0.0,5184,-77256,618.0,,,2014年01月01日至2014年09月30日,167746,626760,459014,397040,622949,735899,529223.0,-179545.0,645973.0,-47834,,707678,397040,-511.0,757879,-861093,-103214,126206,170,,541,,,12.0,338859,626760,-36312,0.0,-942.0,0.0,-11623.0,
2015-03-16,4,2014,854.0,597335.0,-419946,73022,,-60321,-3310,-9018,9647,,,,,-1305.0,102520,-9817,-1010774,0.0,-14241.0,8249,-1071,,-166421,611068,-6179.0,-964.0,0.0,-59714,-418061,40.0,-9063,-994551,479341,-2397.0,2211.0,,0.0,7500,-100523,1305.0,514.0,,2014年度,167746,754492,586746,463139,945364,1080728,529223.0,-179545.0,645973.0,-79319,,645750,463139,-514.0,680887,-660633,20254,210020,171,48283.0,677,,,13.0,617589,754492,-36660,,-942.0,0.0,-16919.0,0.0
2015-05-12,1,2015,0.0,,-55998,50654,,-24959,2122,-9732,1966,,0.0,,,-175.0,22553,-23657,-265419,,-417.0,-365,2026,,-407148,248925,0.0,0.0,,-16683,212601,0.0,9063,-289178,133706,3591.0,1921.0,,,1872,-19348,175.0,,157670.0,2015年01月01日至2015年03月31日,754492,469934,-284558,77629,304996,324303,,,,-376106,,-276719,77629,,307258,-218254,89004,172068,0,,79,,,,246674,469934,-134,,,,-25368.0,
2015-08-11,2,2015,0.0,,-133502,58255,,-49384,-3721,-24198,2776,,0.0,,,-786.0,44771,374987,-698801,,-71.0,202,2287,,-417541,307116,0.0,0.0,,-40369,-272030,0.0,9063,-691729,267869,-550.0,-9451.0,,,3749,-39123,786.0,,319885.0,2015年01月01日至2015年06月30日,754492,282005,-472487,170948,29215,91168,,,,-294834,,-184960,170948,0.0,363876,-763541,-399665,283745,0,,121,,,0.0,-79780,282005,-23616,,0.0,3959.0,4856.0,
