date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-15,1,2013,3881.0,,-116151,-85349,0.0,,,,10912,2295.0,101839.0,-9834.0,-1675,1818,1319,-46646,,-11269.0,-41913.0,-106,,,,25,,,0.0,520.0,-176948,5673.0,-39686.0,-39110,120000,-74651,65634,-12669,885.0,-259056,102852,4375,-98667,21624,-2015,1795,,,2013年01月01日至2013年03月31日,568588,767059,-5010,101,198471,196834,,-6105,-5715,,540000,462313,196834,,-187313,-19117,-206430,0.0,8089,,,-2135,,,-202549,,767059,-170,-7255,,-41850.0,2037.0,0,-3643,-173404.0
2013-08-12,2,2013,-13844.0,,-352303,-158850,0.0,-142404.0,,16202.0,88148,,122216.0,-9834.0,-3424,4430,1101,-22943,0.0,-23682.0,-41913.0,-553,,,,1824,,-7.0,-765.0,,-131380,-21220.0,-39686.0,-9549,400000,-4694,-208210,35856,1791.0,-325802,208615,33210,-174026,43913,-3994,3481,2160.0,,2013年01月01日至2013年06月30日,568588,662074,-4902,52,93486,364905,,-33449,-31397,,490000,451636,364905,0.0,-73512,-308946,-382458,0.0,2311,,,-2311,,,-396302,9642.0,662074,-3699,-66438,,-46368.0,0.0,-11743,-18234,-233239.0
2013-11-13,3,2013,-26211.0,654.0,-458454,-127203,0.0,-79317.0,,92211.0,17356,,57.0,-9834.0,-5142,8981,-3594,-100253,0.0,-31409.0,-41913.0,-553,,,,-3984,,-4.0,1620.0,,-27034,-21220.0,-39686.0,-14337,530000,-369126,110132,90341,2654.0,-206149,325018,31444,-301231,65481,-9656,4685,31244.0,,2013年01月01日至2013年09月30日,568588,775621,6769,5066,207033,662953,,252138,235603,-540850.0,620000,164638,662953,-5674.0,-489513,88374,-401139,100000.0,246847,,,-17461,-1571.0,,-427350,1143.0,775621,-9738,-90368,,-46368.0,,-2261,-37249,-352133.0
2014-03-24,4,2013,43902.0,119.0,-514606,-87712,0.0,10888.0,,-67415.0,18129,,57.0,-9834.0,-7975,15304,11946,-171972,,-31409.0,-41914.0,-1795,0.0,,,-5266,,602.0,3908.0,,156844,-21220.0,-39686.0,-168151,150000,-369572,112099,102706,3442.0,-517654,443789,-27811,-348307,87711,-16441,8024,31778.0,,2013年01月01日至2013年12月31日,568588,469977,-16569,616,-98611,722841,,488005,472457,-540850.0,510000,-80908,722841,-6258.0,-603864,309578,-294286,400000.0,247522,,231181.0,-18134,-26755.0,,-250384,0.0,469977,-7813,-80679,,-46368.0,11484.0,4775,-45205,-664659.0
2014-05-05,1,2014,82215.0,,-106751,-14326,,,-23995.0,,-13624,29017.0,3119.0,0.0,-2883,5608,-3174,-71863,,0.0,0.0,0,,,,790,,-142.0,,62.0,-143227,0.0,0.0,31479,400000,-3294,-45799,6157,1001.0,-217726,115871,60013,-60692,19912,-5543,1963,,,2014年01月01日至2014年03月31日,469977,1179734,2268,-63,709757,118360,,97550,101309,,540000,833107,118360,,1236,-100502,-99266,,38,,,-38,-13.0,,-17051,,1179734,-179,2003,,0.0,0.0,-548,-9782,-121968.0
2014-08-13,2,2014,194713.0,0.0,-163502,-10876,,,67415.0,,25575,33214.0,-116649.0,0.0,-7904,12820,-16735,-121811,,0.0,-20000.0,-1150,,,,6382,19450.0,418.0,,-52.0,17115,0.0,0.0,23675,350000,22989,-172751,-44368,2022.0,-309973,231964,60013,-83334,39247,-12687,7117,2473.0,,2014年01月01日至2014年06月30日,469977,1903988,22971,-430,1434011,113857,,90353,109055,,1464000,1670366,113857,-248.0,63385,-262900,-199515,,695,,,-555,-13.0,,-4802,0.0,1903988,-15605,-18483,284.0,0.0,,-7988,-39474,-235070.0
2014-11-11,3,2014,189972.0,197.0,-270254,-5668,,,86415.0,,-1200,39628.0,12907.0,0.0,-15213,20663,20152,-427466,-49941.0,0.0,-20000.0,-1410,,,,397,19450.0,390.0,,-265.0,185914,0.0,0.0,121347,730000,10352,-20517,-13981,3021.0,-433532,341409,13413,-180530,57434,-20669,13248,33368.0,,2014年01月01日至2014年09月30日,469977,2361054,-23547,-323,1891077,202415,,691871,683663,0.0,1133000,1612586,202415,-5050.0,127852,163424,291276,0.0,134182,,,-5291,-13.0,,481248,0.0,2361054,-17739,-14166,284.0,0.0,,13918,-53940,-155244.0
2015-03-23,4,2014,401105.0,197.0,-295188,-12565,,25810.0,-24976.0,,-2992,53433.0,0.0,0.0,-22224,27791,2293,-714274,-50091.0,0.0,-20000.0,-3771,-29366.0,,,506,19450.0,57.0,,852.0,214791,0.0,0.0,-62681,350000,12638,72984,-16099,3980.0,-756486,460938,-14342,-181032,73800,-27798,20513,33367.0,,2014年度,469977,1189545,-8754,-89,719568,286527,,915192,907822,0.0,395000,558569,286527,-5050.0,-61620,281810,220190,0.0,134458,,0.0,-5568,187.0,,621295,,1189545,-18712,-16143,284.0,89250.0,3041.0,73418,-54767,-49515.0
2015-04-28,1,2015,,,-157933,-3220,213000.0,,-13000.0,,11598,-1660.0,-18087.0,,-5447,6107,-22825,-227542,,,,-304,,,,-1518,,-546.0,,-895.0,103046,,,65660,36000,-26532,17009,-2088,,-139677,122439,-90040,23646,14059,-6086,4560,,151087.0,2015年01月01日至2015年03月31日,1189545,1670807,31520,168,481262,118087,1115.0,313243,315274,,240000,330521,118087,,48621,-2521,46100,,380,,,-380,-67.0,,197187,,1670807,-505,8841,,,,-48281,-10701,101684.0
2015-08-13,2,2015,,316.0,-211267,-18042,,,56457.0,,11711,-7858.0,-623495.0,,-14493,14093,-4594,-328263,-1000.0,,0.0,-2138,,,,-2209,20128.0,55.0,,-1531.0,-144446,,,-99921,240000,-13800,77061,28969,,-180766,247949,-78322,-28513,28267,-14370,12911,2353.0,260830.0,2015年01月01日至2015年06月30日,1189545,1967103,12756,96,777558,225366,2210.0,-465998,-409454,,1380000,1428916,225366,-61.0,-117842,-777808,-895650,,2432,,,-2432,-1215.0,,-634820,,1967103,-57438,33001,0.0,,,-26409,-29717,92961.0
