date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產重分類淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付費用（增加）減少
2013-05-03,1,2013,122891.0,,,-223,-280423,61463,-3086,,1953,-25025.0,,,,-11374,2947,69822,-19088,-564,-7801,0.0,-10022.0,,580578,0.0,-33120,-57,220341,2858,-958.0,-25182,145748,-62496,-434,2334,-2539,9992,,2013年01月01日至2013年03月31日,8341153,10060210,-12701,1719057,580171,,1195173,1204039,,487268.0,,479244,580171,-315631,816608,500977,,3928,2156.0,,,,,623868,60,10060210,-16319,-5221,,,,38889.0,
2013-08-08,2,2013,256785.0,,-707000.0,-767,-110304,114987,72972,,1845,-23148.0,,,,-27371,5556,129941,-40075,-19135,31029,,-12685.0,,-918059,0.0,-360310,-79,388376,-2191,-2186.0,-45974,290414,-83500,155,4725,-5477,26508,,2013年01月01日至2013年06月30日,8341153,8180896,-2080,-160257,1174765,,544225,607168,,0.0,-111711.0,-788449,1174765,-379948,-444434,-824382,,6786,3670.0,,,,,-567597,18114,8180896,-83974,851,,,,79101.0,
2013-11-07,3,2013,472194.0,,-707000.0,-1888,-34618,166282,153124,,4674,-20220.0,-675885.0,,,-41849,9368,95872,-73285,47734,28664,,-6965.0,,-1336367,0.0,1196089,-214,-85170,4341,-3291.0,-73042,430472,-93418,795,7128,-8200,40369,,2013年01月01日至2013年09月30日,8341153,10124797,17713,1783644,1976603,,2377536,2442092,-253456.0,997643.0,0.0,-616722,1976603,1349714,-1356419,-6705,,7208,4305.0,,,,,465489,33950,10124797,-96725,-3472,,,-4800.0,8133.0,
2014-03-24,4,2013,493587.0,,-707000.0,-2504,350055,183812,253222,,1982,-12636.0,-675885.0,-1013.0,0.0,-63025,14344,203657,-211364,-7762,30431,,-3893.0,0.0,-1389445,0.0,2590571,3281,-1880937,4340,-4394.0,-206270,568189,38836,1658,9581,-13134,64374,,2013年01月01日至2013年12月31日,8341153,10328590,-22093,1987437,2730303,,3480809,3521780,-253456.0,122455.0,0.0,-1490759,2730303,3253776,-2955886,297890,,10000,3949.0,,,,,791477,59059,10328590,-92211,-11254,,,-4800.0,100144.0,
2014-05-05,1,2014,149302.0,,,-329,123035,-10834,-183607,,770,6594.0,,-61.0,0.0,-24673,5533,30539,-245649,15730,54170,0.0,4584.0,,-1570100,0.0,1798168,-3505,237292,1,-1043.0,-241058,140145,-26870,155,2458,-3077,14451,,2014年01月01日至2014年03月31日,10328590,13381147,8960,3052557,1152404,,1653948,1691127,,1555287.0,,1609128,1152404,1737010,-1347589,389421,,68,5619.0,,,,,538723,3192,13381147,-48553,-4625,,,,16328.0,
2014-08-11,2,2014,265864.0,,0.0,-1624,116948,23289,-121450,,21828,2027.0,,,,-56879,14214,-97661,-306986,-14498,52163,,5628.0,,-2572177,0.0,-9266,-2963,167434,-4910,-2065.0,-301286,281198,0,-1091,4852,-10607,48507,,2014年01月01日至2014年06月30日,10328590,10909101,36723,580511,2082457,,-439277,-149558,,1368196.0,0.0,1418735,2082457,-6275,-2491604,-2497879,,72,6392.0,,,,,-2232015,-9307,10909101,-327619,-5047,,,,-107267.0,
2014-11-07,3,2014,274509.0,,0.0,-2437,224117,-84025,-218709,,379,10951.0,0.0,,,-86279,23053,10873,-409056,-71150,88546,,0.0,667.0,-2936167,0.0,542162,-2509,-783869,-85,-3104.0,-396887,408864,0,-1695,7258,-23161,85783,,2014年01月01日至2014年09月30日,10328590,7304653,13945,-3023937,2928587,,-505788,-50359,-1689712.0,0.0,-528532.0,-2132135,2928587,537195,-3790650,-3253455,,11502,-4766.0,,,,,-2978946,-5141,7304653,-518051,-14721,,,0.0,2545.0,
2015-03-20,4,2014,421057.0,,0.0,-3277,544320,-22236,42455,,-10334,9624.0,0.0,0.0,0.0,-137549,47156,124342,-913871,-68958,91734,,-867.0,0.0,-4100149,0.0,1469101,-3497,-407162,-8371,8460.0,-901525,532397,0,-46,9742,-46649,137636,,2014年度,10328590,10002083,71248,-326507,3577170,,1113470,1566821,-1689712.0,938461.0,0.0,-662794,3577170,2053511,-4484917,-2431406,,13213,-2516.0,,,,,-2010349,3006,10002083,-544338,-40417,10000.0,,0.0,43377.0,
2015-04-30,1,2015,,,,-1077,-396462,-45744,-218339,,28025,3413.0,,3824.0,0.0,-25089,7453,-31007,-57336,15654,17531,0.0,1946.0,,1356894,0.0,-4038949,-8,1315962,4777,,-51560,138736,-50511,884,2502,-7049,23094,107583.0,2015年01月01日至2015年03月31日,10002083,9778481,-45224,-223602,1132883,-1080.0,-800396,-793394,,642907.0,,659361,1132883,-4621701,2587841,-2033860,,6,48.0,,,,,-1926277,5112,9778481,-23047,12619,,,,3050.0,
2015-08-06,2,2015,,,0.0,-2188,-449599,25031,-344497,,38277,7946.0,,,,-49280,12771,-84995,-94979,52827,33039,,,3450.0,3561595,0.0,-5215912,959,1228787,6540,,-90536,270491,-36095,479,4905,-14229,48133,302646.0,2015年01月01日至2015年06月30日,10002083,9126946,-38964,-875137,1694842,-2211.0,630657,877410,,-1361114.0,0.0,-1330263,1694842,-5979054,4858976,-1120078,,993,130.0,,,,,-817432,-6071,9126946,-280657,49287,,,,65172.0,
