date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得待出售非流動資產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2012-05-13,1,2013,-3.0,42485.0,-89841,0.0,,20035,8675,-4888,,,-9876,32,6107,-12133,,-47698.0,0.0,,,-14796,-52372.0,,,,,,,-3698.0,8116,,,-152414.0,,0.0,238088,,-130888,12578,,-1571,29546,-32,10455,,,2013年01月01日至2013年03月31日,1963440,1873270,-362,-90170,-40565,34611,24451,,,-40565,12033,,-232951,255482,22531,13,0.0,2,,,0.0,,,,65016,629,1873270,-263,,106,0.0,,,,-5869.0,-204.0,
2013-08-13,2,2013,-3.0,-812479.0,-124143,0.0,,22353,6084,-38,,,-23512,48,5360,-26379,0.0,-47698.0,0.0,,-10186.0,-48115,-1137922.0,,,,,-6731.0,,-3815.0,-46936,,,-68805.0,,0.0,242000,,429537,25074,,-31,59884,-48,22026,,,2013年01月01日至2013年06月30日,1963440,2381463,-1182,418023,912335,-10143,110977,,-6731.0,912335,24066,,-186830,197951,11121,1703652,0.0,-896943,,,0.0,,,,-801358,34,2381463,-143098,,120,,,,,-19428.0,,
2013-11-11,3,2013,-3.0,-766891.0,-185318,0.0,,22851,2620,-833,,,-36699,64,5102,-34904,0.0,-47698.0,0.0,,-10071.0,-57906,-994616.0,,,,-6731.0,,-3910.0,,44683,,,-187044.0,,0.0,108472,,552785,36924,-5238.0,-582,88340,-64,37283,91.0,,2013年01月01日至2013年09月30日,1963440,1743180,-632,-220260,907953,-176363,-65984,-595053.0,-601784.0,907953,38511,-91.0,-368915,161869,-207046,13,0.0,-896899,1703639.0,,0.0,,,,-973937,827,1743180,-147689,,4176,,,,,-8066.0,-1762.0,
2014-03-17,4,2013,,-721239.0,1409,,0.0,-30213,18795,-533,,,-54189,80,17075,-46357,0.0,-47698.0,,,-10250.0,-98143,-1439536.0,,,,,-6731.0,-4094.0,,117044,0.0,,-151039.0,0.0,0.0,9583,-4.0,57574,46665,-4173.0,-282,120290,-80,53708,91.0,,2013年01月01日至2013年12月31日,1963440,1577367,-1492,-386073,1003654,141062,236925,-595053.0,-601784.0,1003654,55411,-91.0,-128990,83500,-45490,13,0.0,1875,1703639.0,-897111.0,0.0,,0.0,,-766729,1845,1577367,-149582,,6465,,1140.0,,,-8204.0,,
2014-05-13,1,2014,0.0,56346.0,-90643,,,-248016,5364,4007,,10.0,-15385,16,-173,-10944,,,,,,-3302,-1003136.0,,645.0,,,,,-15.0,-50358,,,61482.0,,,358523,4.0,-1017428,11611,-6272.0,0,31676,-16,17789,,,2014年01月01日至2014年03月31日,1577367,760597,190,-816770,92991,200831,184297,,,92991,16868,,-22928,57888,34960,20,,45,,,,,,,91306,869,760597,-1239,0.0,4010,,,,6660.0,,,-51.0
2014-08-14,2,2014,0.0,100413.0,-116273,,,-204686,-5572,-18348,,,-32056,24,-4027,-14675,,-9927.0,,,0.0,-10376,-185419.0,,643.0,,,0.0,63.0,,-188325,,,-6003.0,,,392239,4.0,-220365,22834,-16917.0,0,60130,-24,31269,,,2014年01月01日至2014年06月30日,1577367,1401599,3176,-175768,141581,48624,84906,,0.0,141581,33737,,-121055,-36033,-157088,20,,520,,,,,,,-56675,6793,1401599,-67527,,-2647,,,,14052.0,,,-51.0
2014-11-12,3,2014,0.0,205554.0,-108883,,,-498834,-10041,-34693,112408.0,,-46579,26,4532,-18675,,-19728.0,,,0.0,-16190,-323436.0,,521.0,,,0.0,66.0,,-161438,,,,,,308020,4.0,-374481,34009,-24290.0,0,87079,-26,45210,50.0,,2014年01月01日至2014年09月30日,1577367,525368,1013,-1051999,275721,6860,64920,-688910.0,-688910.0,275721,68228,-50.0,-117532,-298823,-416355,23,3459.0,637,0.0,,-1690.0,,,,-210801,1392,525368,-103294,,-2179,,25965.0,,38574.0,,0.0,
2015-03-17,4,2014,,265385.0,-92691,,,-371728,11329,-84580,,,-61703,42,11460,-29339,,-20083.0,,-45862.0,0.0,-124719,-403134.0,,97.0,,,1126.0,-414.0,,-168741,,,18690.0,,,433405,4.0,-620564,45369,-146016.0,0,118657,-42,63441,50.0,,2014年度,1577367,418878,-2426,-1158489,312656,138399,183149,-688910.0,-687784.0,312656,93694,-50.0,-57236,-337656,-394892,185,3485.0,1512,0.0,0.0,-1702.0,,,,-129507,5436,418878,-108199,,-2515,,25965.0,5269.0,43176.0,,-683.0,
2015-05-14,1,2015,0.0,,-41778,,,81041,-7361,49734,,0.0,-15196,21,-10051,-6281,,-8241.0,,,,-35303,,0.0,0.0,,,,0.0,444.0,8463,,,-58333.0,,,-20105,0.0,166704,11787,54043.0,0,33378,-21,18057,,72992.0,2015年01月01日至2015年03月31日,418878,736799,1472,317921,5560,161268,147315,,,5560,26867,,-104413,173176,68763,10,7172.0,29,,,-2991.0,,,208271.0,141755,3059,736799,-4083,,134,,,,17491.0,,0.0,632.0
2015-07-30,2,2015,0.0,,-91336,,,124517,-25944,49377,,2867.0,-29626,87,-10321,-8884,,-8178.0,,,0.0,-36132,,0.0,0.0,,,0.0,0.0,153.0,-30484,,,-186673.0,,,-510,0.0,381987,24027,-40990.0,0,65318,-87,30253,,155908.0,2015年01月01日至2015年06月30日,418878,593425,1046,174547,-151044,-197119,-191930,,0.0,-151044,54611,,-298704,101910,-196794,43,7117.0,220,,,-2968.0,507.0,,427148.0,-40886,5249,593425,-35355,,799,,,39527.0,0.0,,,213.0
