date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他非流動資產增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票處分,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,14287.0,0.0,-1850.0,-27530,,-15355,,,,496,-113,-5.0,,-244,1271,1206,-5121,,,-379,4253,1,0.0,0.0,11484.0,-15281,,,,-65240,22698,,-19145.0,2885,,-263233,23442,-8034,-32874,,-3214.0,5396,7463,1129,1302,-1494,277,,,2013年01月01日至2013年03月31日,352415,235072,,-117343,31594,,-371393,-371388,,,844459,-593668,247448,31594,,-98861,-318408,-417269,,21.0,-21,,,,,-402982,578,235072,-5,-866,-20.0,,-6955,-886.0,0.0,,-10369
2013-08-13,2,2013,32888.0,0.0,,-1028,,-4756,,,,886,-74,,,-631,3584,1545,-18600,,,-599,7169,1,0.0,0.0,7811.0,48257,,,,-177965,58455,,-22224.0,12559,-19.0,-498385,14295,-20824,-8167,0.0,-6495.0,-10835,15021,4875,2602,-3660,532,,,2013年01月01日至2013年06月30日,352415,199739,,-152676,60491,,-541186,-520926,,,2011555,-1606396,397800,60491,,-150178,-464127,-614305,-3700.0,21.0,-18,0.0,0.0,,,-581417,-636,199739,-20260,286,200.0,,5538,0.0,,-11.0,-13911
2013-11-12,3,2013,32991.0,0.0,-5550.0,-2715,,-1901,,,,958,76,0.0,,-985,5817,1273,-21302,,,-1649,3631,1,0.0,-5361.0,,156994,0.0,,,-394616,58480,,52039.0,4511,,-322754,13161,13370,-33339,0.0,-9649.0,-21324,22623,-2115,3913,-6026,853,4000.0,,2013年01月01日至2013年09月30日,352415,322789,273.0,-29626,65695,,-319937,-299550,,-97102.0,3680600,-3261561,310362,65695,,-228921,-169315,-398236,,3035.0,-1176,0.0,0.0,,,-365245,-137,322789,-20387,1010,,,5094,-900.0,,-16.0,62208
2014-03-27,4,2013,64585.0,0.0,-7400.0,-9341,,22682,,,,101,276,38.0,-26501.0,-1429,8154,1700,-25706,,-5942.0,-2871,11167,1,0.0,,5955.0,220703,0.0,,,-436323,40644,,10159.0,-3780,,-68824,21790,1396,-48078,,-12770.0,-44638,29905,12710,5148,-8106,3006,4000.0,,2013年01月01日至2013年12月31日,352415,406274,-67.0,53859,66095,,-157875,-137474,-6942.0,-97104.0,4936014,-4561791,254672,66095,,-401913,133759,-268154,,3338.0,-1063,0.0,0.0,271.0,83.0,-203569,-794,406274,-20401,-211,,0.0,-16203,,0.0,-21.0,10191
2014-05-13,1,2014,1365.0,,-1850.0,-20214,,-52,,,,507,142,-9.0,,-456,2019,-15,-4854,-1748.0,,-535,2897,0,-127.0,-396.0,0.0,-199316,,0.0,53759.0,124104,2413,-33245.0,,-4116,,144532,911,-35190,46533,,-3140.0,-7443,7341,-9333,1116,-2162,465,,,2014年01月01日至2014年03月31日,406274,413511,,7237,19852,,51467,51470,,,1348121,-1434513,-36772,19852,,72854,-42601,30253,,9.0,8,,,,,31618,-317,413511,-3,-2227,,,-152,-384.0,,,6862
2014-08-12,2,2014,11278.0,,,-13305,,8798,,,-74.0,626,12,,,-925,3927,-522,-11497,-1747.0,,-1024,3849,-127,,,4408.0,-50708,,,53761.0,88418,29853,-5953.0,,4758,0.0,110990,-13318,-35821,39007,,-6268.0,3440,14829,-11609,2220,-4230,1018,,,2014年01月01日至2014年06月30日,406274,493307,123.0,87033,11223,,172507,175537,,,2488500,-2622596,-88392,11223,,90929,62107,153036,-3700.0,24.0,10,,101.0,-1763.0,13016.0,164314,-436,493307,-3030,516,,,3238,-758.0,,-17.0,-6764
2014-11-12,3,2014,22053.0,,-5550.0,-11143,,8768,,,-141.0,848,-16,,,-1520,5857,92,-18859,-3180.0,,-1764,7263,160,,5414.0,,-174920,,,53761.0,173643,-19579,-32009.0,,33064,,-77600,-25830,-11564,81739,,-18009.0,3521,22154,-13112,3199,-5996,1627,8000.0,,2014年01月01日至2014年09月30日,406274,333277,314.0,-72997,49112,,-22089,-16838,,-59611.0,3847968,-3885253,-54521,49112,,114423,-202426,-88003,,24.0,8,,101.0,-1763.0,13016.0,-65950,358,333277,-5251,-448,,,-2836,-757.0,,-26.0,-12750
2015-03-25,4,2014,23073.0,,-7400.0,15459,,-68502,,,32.0,-261,184,0.0,-2002.0,-2166,8107,951,-27362,-4346.0,0.0,-4461,13018,317,,,3624.0,8790,,,53761.0,302596,-42813,-21029.0,,9764,,-236204,-61734,-44961,75841,,-21031.0,27417,29727,-15158,4182,-8264,2058,16272.0,,2014年度,406274,307474,3180.0,-98800,115865,,28406,33825,0.0,-59611.0,4965332,-5099709,-155574,115865,-8272.0,236031,-341144,-105113,,24.0,68,,101.0,-8593.0,43610.0,-82040,-2611,307474,-5419,-1121,,,-14555,,,-35.0,-4043
2015-05-12,1,2015,,,-1850.0,-35845,,27147,,342.0,6.0,467,-127,-12.0,,-525,1798,-383,-5069,-694.0,,-1558,-3699,81,0.0,0.0,905.0,-1485,,-3180.0,0.0,-118815,41912,-9152.0,,-5226,,-115778,-220,88129,-19185,,,-5547,7894,-11069,1045,-1735,527,,-6771.0,2015年01月01日至2015年03月31日,369359,394443,,25084,22148,-3230.0,-145023,-144860,,,1254798,-1075257,176037,22148,,-138974,-21263,-160237,,0.0,0,,,,,-167008,1409,394443,-163,965,,,262,0.0,,,-10494
2015-08-12,2,2015,,,,-28883,,27951,,679.0,0.0,382,-416,-23.0,,-1117,3895,-1027,-11887,-326.0,,-3212,-215,154,,,1658.0,17157,,,0.0,-92876,143727,20783.0,,-10119,,-164192,36636,-270,-16872,,,-11504,15857,-21039,2001,-4012,1326,1200.0,-1846.0,2015年01月01日至2015年06月30日,369359,405454,-2965.0,36095,51749,-6522.0,-21286,-21105,,,2759535,-2682065,69912,51749,,31730,-102738,-71008,-3700.0,0.0,29,,0.0,0.0,0.0,-72854,2070,405454,-181,1708,,,-2709,-942.0,,,3168
2015-11-12,3,2015,,,-4300.0,-7633,,37624,-1161.0,,-3.0,542,-603,,,-1874,5882,3277,-20787,-326.0,,-8297,5788,157,,3422.0,,-176318,,,0.0,130435,66572,12010.0,,38577,,-282916,45108,-63082,25685,,,-8264,23793,-33821,3144,-5909,2080,17428.0,-3784.0,2015年01月01日至2015年09月30日,369359,411464,-3010.0,42105,129740,-9813.0,-8045,-7779,,-89834.0,3989538,-3834515,55137,129740,-4228.0,311668,-445403,-133735,,0.0,29,,0.0,0.0,0.0,-137519,1982,411464,-266,513,,,-30863,-623.0,,-35.0,78996
2016-03-29,4,2015,,,-4300.0,-3296,,33209,0.0,28503.0,-5.0,614,-1190,,,-2492,8134,-720,-21640,-326.0,,-9566,8313,157,,,-2393.0,-248952,,,0.0,64889,10946,10191.0,,26505,,161251,50993,-1530,-32686,,,12048,31710,-30198,4438,-8089,2723,17427.0,12709.0,2015年度,325559,530565,-3128.0,205006,133841,-13113.0,219836,220262,,-89834.0,5770679,-5694771,-26158,133841,-4227.0,133229,-59517,73712,,0.0,35,,0.0,60.0,0.0,86421,2220,530565,-426,64,,,-20561,-2680.0,,-46.0,34273
2016-05-11,1,2016,,,0.0,-44306,,623,,0.0,-8.0,-698,1154,-4.0,,-220,2014,23,-5174,0.0,,-10362,1784,0,-1.0,,4646.0,113429,,-29.0,,-181853,38276,2000.0,,-6669,,-268293,1482,-46499,10293,,,-13344,7894,-11392,1487,-1939,224,,4122.0,2016年01月01日至2016年03月31日,530565,290546,,-240019,92634,-3574.0,-326254,-326244,,,1502302,-1400806,99556,92634,,-241051,-181949,-423000,,,52,,,,,-418878,1660,290546,-10,2532,,,5874,-2678.0,,,-45887
