date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得待出售非流動資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,員工執行認股權,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少
2013-05-14,1,2013,506344.0,0.0,0.0,-698256,853991,,,100567,-146001,-87,60731,108281,,-1046,58644,15097,-30417,,,,,,,-53880.0,,528.0,122456,644454,399101.0,0.0,1724,-798839,26814,377.0,376071,570919,2320,863,-57554,762,,2013年01月01日至2013年03月31日,1763615,2357557,593942,-680060,,577328,576633,5145479,-5322628,-374554,-680060,1415714,-665365,750349,144371,,2393.0,360357.0,134,,,,,-115304.0,97618.0,,1256693,438,0.0,2357557,-67,0.0,-1317.0,14405.0,-8869.0,,0.0,-224557
2013-08-13,2,2013,1061856.0,,0.0,-1495271,746969,,,294638,-182634,-13993,13413,265769,,-2593,137939,13889,-42139,,,,,-111782.0,,-126066.0,,528.0,-69697,1314624,399187.0,0.0,-57965,-982735,95233,190.0,296320,1144479,23956,1717,-137853,2631,,2013年01月01日至2013年06月30日,1763615,2516981,753366,-1300595,,1060221,1035104,11129970,-10971004,-617064,-1300595,1835365,-561522,1273843,144371,,3590.0,360357.0,134,,,,,-115400.0,212360.0,,2335699,768,0.0,2516981,22486,0.0,-1976.0,313008.0,,-126400.0,0.0,-150737
2013-11-12,3,2013,1724632.0,,0.0,-2393146,861140,,,261591,-223424,-805,-47963,578494,,-3712,213072,-28137,-77350,-3409.0,,,,-109723.0,-371.0,-491825.0,,528.0,42117,1732362,598696.0,,-56718,-525544,72566,198.0,-83736,1748298,21895,2534,-212046,3636,,2013年01月01日至2013年09月30日,1794050,2059877,265827,-1738409,,2301995,2292157,16034651,-16623826,-1924295,-1738409,2267637,38297,2305934,144370,,19616.0,360357.0,174,,,,,-124827.0,218969.0,,4030566,2042,0.0,2059877,6202,0.0,-5371.0,526478.0,,-127431.0,0.0,-390122
2014-03-27,4,2013,2614976.0,,0.0,-3514419,565977,,,345369,-315674,-3764,-67762,747660,,-5239,282091,-3535,-110608,-3409.0,,,-109784.0,0.0,-1411.0,-390435.0,,528.0,272857,2014925,548442.0,0.0,-57965,-734925,61036,170.0,-79059,2332628,29985,3350,-287188,5388,,2013年01月01日至2013年12月31日,1794050,1704992,-89058,-2408784,,2596795,2583328,22765797,-23475047,-2603259,-2408784,2142426,234710,2377136,378591,0.0,64999.0,397369.0,403,,,,,-164830.0,74220.0,,4992112,2755,0.0,1704992,8079,0.0,-14442.0,980037.0,278461.0,-127431.0,0.0,-453523
2014-05-08,1,2014,465740.0,,,-286122,-306911,,,-3397,-60642,-549,-25734,182676,,-397,57028,9726,-67617,,-392.0,,,,-49.0,-20675.0,,0.0,-38176,-490107,0.0,-448663.0,3742,249246,-15037,-15.0,778214,427110,-273,886,-57286,388,,2014年01月01日至2014年03月31日,1704992,1935323,230331,-111902,,-380538,-350310,4291771,-4428145,-177071,-111902,-878713,174565,-704148,751374,,0.0,17353.0,0,477438.0,,121730.0,-10602.0,-8012.0,285426.0,,-238408,954,,1935323,-30616,,0.0,,,0.0,-35000.0,-200198
2014-08-06,2,2014,954238.0,,,0,-155948,,,-426423,-98783,-21785,-49430,179227,0.0,-5902,117183,5897,-86204,-35000.0,-392.0,138457.0,,,-992.0,-58494.0,,0.0,-887206,-210093,0.0,-548442.0,2495,-130771,-4636,11.0,304492,856638,-287,1757,-115309,5201,,2014年01月01日至2014年06月30日,1704992,1140873,-564119,-349429,,-1517635,-1460748,9541263,-9465409,643127,-349429,-509619,-1555938,-2065557,616422,7000.0,0.0,17353.0,3622,,468708.0,121730.0,-10602.0,-8012.0,339491.0,,-1111319,2129,,1140873,-62088,,0.0,7437.0,,-159.0,,-264344
2014-11-10,3,2014,1464582.0,,,-1131758,26570,,,-539199,-130238,-50722,-29526,149964,,-11059,194257,-9699,-114432,-35000.0,-392.0,138457.0,,0.0,-2627.0,-146613.0,,0.0,-1007923,-39080,0.0,-548442.0,22102,-539417,14954,137.0,211761,1289711,4866,2771,-189170,10208,,2014年01月01日至2014年09月30日,1704992,1002807,-702185,-1009502,,-1963506,-1920460,13576904,-12810864,1059259,-1009502,-146474,-2229066,-2375540,1531743,7002.0,0.0,17353.0,3639,,468708.0,121730.0,-10602.0,-8012.0,364740.0,,-910958,3561,,1002807,-53254,,0.0,23681.0,,-989.0,,-256723
2015-03-25,4,2014,2352792,,0,-1630065,-1509,,,-398951,-164372,-3346,-13567,410047,,-15960,288061,27726,-136104,-35392,,138457,0,,-4922,-212180,,0,-675978,54077,1197043,-1745485,23527,-744173,15563,1344,165898,1712084,5833,3839,-261500,15068,,2014年度,1704992,953867,-751125,-2156087,,-1760165,-1747435,17572832,-16798699,815416,-2156087,-95860,-1848280,-1944140,1851100,7003,,17353,3640,,468708,121730,-10602,-8012,408410,,408652,4640,0,953867,-27798,0,0,23025,374898,-989,,-451442
2015-05-13,1,2015,,,,-461450,258882,,,-7161,-1263,1376,6229,-13452,,-5702,78938,-96081,-14074,,0.0,,,,-796.0,,-218156.0,0.0,150460,99481,,0.0,-7944,857724,-7371,,-109888,427416,4448,1017,-76785,5786,504757.0,2015年01月01日至2015年03月31日,953867,1145012,191145,-429555,87.0,1640229,1633840,4092663,-4800957,-1243115,-429555,360981,1197657,1558638,1750,750.0,0.0,0.0,85,,0.0,0.0,0.0,0.0,,122388.0,2063395,5509,,1145012,603,,,1664.0,,-1445.0,0.0,216081
2015-08-07,2,2015,,,,-1305610,279552,,,283521,-51071,1238,11056,136299,0.0,-7035,145177,-17626,-76596,0.0,0.0,200000.0,,,-1123.0,,-268579.0,,301124,46563,0.0,0.0,-19184,1441705,-71293,,-141820,846866,2130,2096,-145620,7923,1017156.0,2015年01月01日至2015年06月30日,953867,907870,-45997,-1041795,111.0,2489725,2495493,7816173,-9009633,-2376276,-1041795,267901,2252231,2520132,66750,802.0,,0.0,48,,0.0,0.0,0.0,0.0,,203676.0,3537288,874,,907870,-13691,,,1664.0,29319.0,-1445.0,,159637
