date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無形資產,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,遞延貸項增加（減少）,金融資產減損損失,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,預付投資款增加
2013-05-13,1,2013,365603.0,,,70570,8903.0,-106914.0,42335,-15479.0,-82021.0,,,,21236.0,-34180,,,-31020.0,0,-947,42707,-47930,-404789,,,,-14260,,0.0,-183.0,0.0,10034,-86837,,,-7031.0,141188,-32087,25412,,132916,,-383592,89979,14839,,-998.0,-403217,336218,,,,-20342,8349,-42501,,947,,,2013年01月01日至2013年03月31日,1250577,1438416,,187839,151497,,217673,267104,,177513.0,,421313,151497,,189481,-439477,-249996,134425,6679,,-382,,,,115607,1438416,-7877,285.0,,,,,91177.0,,
2013-08-09,2,2013,701112.0,,,-136160,,185042.0,-116645,,-1464.0,,2880.0,,2514.0,4522,8073.0,,,20253,-3036,85091,102487,-873062,0.0,,,-27484,,0.0,-211.0,,13628,-241241,,,-7031.0,401995,-21957,99912,,-38911,27486.0,-433729,147384,-100222,-1850.0,-868.0,-856631,646996,,,,-44888,16288,-89846,,3036,392.0,,2013年01月01日至2013年06月30日,1250577,1258409,,7832,296276,,562759,674851,0.0,49639.0,,199217,296276,-392.0,420708,-743245,-322537,48835,7128,,1053,,,,378575,1258409,-25282,1201.0,,,,,,,
2013-11-08,3,2013,1067935.0,,0.0,76945,,201816.0,-122715,8502.0,-6421.0,0.0,-1724.0,-2889.0,,-65887,6785.0,,,107253,-4371,127904,114218,-1433419,0.0,,,-33285,,,-86.0,,16907,-417869,,-107454.0,-7031.0,198801,146489,159727,,140284,-148595.0,-331631,98676,3526,-3472.0,-708.0,-1331817,993730,,,,-71474,25078,-135881,,4371,,,2013年01月01日至2013年09月30日,1250577,1529706,103332.0,279129,288628,,979166,1132580,0.0,180289.0,,517562,288628,-1591.0,621810,-845793,-223983,126027,12025,,2781,,,,843952,1529706,-21904,,,,,,51851.0,,
2014-03-28,4,2013,1574800.0,,-297438.0,170247,,149459.0,2965,-6895.0,,,,-3025.0,,-166779,2669.0,,,48855,-8326,170869,113887,-1980396,0.0,,0.0,-42813,,,-61.0,0.0,16863,-236006,,-107997.0,-7031.0,236145,167466,174653,0.0,32092,-148595.0,-479759,71944,24933,-2165.0,-1058.0,-2244829,1355889,-502.0,442.0,,23245,33748,-177768,0.0,8326,2766.0,,2013年01月01日至2013年12月31日,1250577,1148746,99360.0,-101831,309471,,1504890,1698205,0.0,94664.0,,524221,309471,-2766.0,598359,-784425,-186066,517189,17488,,10778,,,,1388734,1148746,-23873,,,,,,39576.0,0.0,-304567.0
2014-05-13,1,2014,265740.0,,-40477.0,-436378,,48663.0,-37536,,,,,,122.0,-228644,,2306.0,0.0,8199,-788,48907,2012,-438827,,,,-3502,,48.0,0.0,,625,365412,391854.0,-99867.0,0.0,-72334,-53564,0,-174592.0,73902,0.0,-126023,-12770,-48153,-1565.0,642.0,6362,357673,2132.0,-497.0,,-12119,8759,-54076,,788,3315.0,,2014年01月01日至2014年03月31日,1148746,1229719,18.0,80973,284105,,-42747,23132,,328061.0,,115346,284105,,-436937,-89776,-526713,0,1470,43106.0,118,-36961.0,,,-260973,1229719,-12591,,,,,,,,
2014-08-11,2,2014,585423.0,,-2450692.0,-356929,,1934.0,-180078,,,,,,112.0,88927,-5078.0,0.0,,9267,-4337,96719,-15763,-961313,,,,-20571,,,-300.0,,15,355253,391751.0,-100403.0,0.0,58032,2258,0,-134814.0,126358,0.0,23353,1667,-155310,76.0,68412.0,-388997,718343,-2202.0,-2462.0,,-23935,20549,-104648,,4337,3315.0,,2014年01月01日至2014年06月30日,1148746,1065954,0.0,-82792,499078,,955115,1113790,,0.0,-322263.0,-633147,499078,0.0,-102137,131426,29289,2280000,116745,71682.0,-75237,-46276.0,,,614712,1065954,-58364,,,,,,,,
2014-11-07,3,2014,1012001.0,1681.0,-2518042.0,-342686,,,108986,129443.0,,,,0.0,6108.0,-203519,0.0,-2188.0,-8878.0,0,-5724,142345,-9534,-1483793,,,,-31091,,120.0,0.0,-22162.0,0,-8400,391751.0,-100917.0,0.0,-90219,-44475,0,-24580.0,100951,1900.0,106583,-25890,-128219,2258.0,2755.0,-913278,1100809,4660.0,-1127.0,26836.0,-31282,30741,-150813,,5724,14293.0,,2014年01月01日至2014年09月30日,1148746,1199970,0.0,51224,702670,,1111490,1327672,,0.0,-73047.0,-137454,702670,-709.0,-237671,-149328,-386999,2440000,117463,74514.0,-74971,-48291.0,,,625002,1199970,-71093,,,,,,40283.0,,
2015-03-25,4,2014,1449182.0,1681.0,-2551713.0,-277228,,150634.0,-79424,,,,,0.0,14137.0,62214,-1273.0,0.0,-30609.0,0,-10513,188595,30169,-2171600,,,,-38577,,,-19.0,-23440.0,0,-406212,391751.0,-101416.0,0.0,415934,-66295,0,-454250.0,46346,0.0,-298173,-22948,-94774,2901.0,-3846.0,-1621216,1487627,8668.0,-4274.0,26836.0,-29952,40216,-198887,,10513,15468.0,,2014年度,1148746,1173693,0.0,24947,1003836,,1647009,1886541,0.0,170357.0,,-31015,1003836,-1884.0,274213,-840690,-566477,2765600,118618,74519.0,-75195,-48296.0,,,882705,1173693,-51158,,,,,,40283.0,,0.0
2015-05-13,1,2015,,,-35543.0,-187860,,32022.0,-19073,,,,,,,-5195,4252.0,,0.0,4701,-402,25739,-51606,-481567,,,,-2943,0.0,,,,670,107513,0.0,391.0,,-97201,-23006,225069,0.0,60160,,49792,-23728,-2550,-82.0,,-476675,319065,-10870.0,-1121.0,,-55339,9895,-29026,,402,0.0,298747.0,2015年01月01日至2015年03月31日,717703,698828,-916.0,-18875,210474,1243.0,394575,389265,,0.0,-125947.0,114831,210474,,-225512,105556,-119956,47000,2459,0.0,314,0.0,,5.0,178791,698828,33934,,,,,,,,
2015-08-10,2,2015,,,-94127.0,-146279,,103274.0,61322,,,,,,,-21295,6216.0,0.0,0.0,6731,-2035,51737,-54795,-1010063,,,-4058.0,-7902,0.0,,,,797,-8172,0.0,-1327.0,,40745,-7860,342674,0.0,33027,,-36503,-24139,-9068,991.0,,-966501,641084,-10828.0,2347.0,,-104806,17728,-59117,,2035,0.0,604222.0,2015年01月01日至2015年06月30日,717703,654538,271.0,-63165,438342,1203.0,861451,1021329,,-421924.0,,96680,438342,,13282,-34517,-21235,263841,21139,0.0,1570,0.0,,26855.0,582987,654538,-102796,,,,,,,,
