date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得持有至到期日金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,持有至到期日金融資產到期還本,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付設備款減少
2013-05-03,1,2013,19356.0,-8122,1706,-1076,-628,,0.0,,0.0,-1366,35,-4386,,,,,,,,2929,5574,-3493,1971,5200,214.0,-15410,20306,,,-35,1366,,,2013年01月01日至2013年03月31日,617197,646983,,29786,20372,45196,44003,,,,0.0,0.0,20372,,-6903,11178,4275,0.0,-11024.0,381,,,,23631,646983,-138,0.0,,
2013-08-05,2,2013,38932.0,5030,1520,-2335,-1576,,0.0,,0.0,-2499,70,-9553,,-11024.0,,,,0.0,,-318,8556,-726,-1037,-4603,-489.0,-20577,40358,,,-70,2499,,,2013年01月01日至2013年06月30日,617197,682058,,64861,51917,92530,94871,,,,0.0,-7092.0,51917,,10036,-6014,4022,0.0,0.0,1003,0.0,,,42954,682058,-4770,0.0,-7092.0,
2013-11-12,3,2013,58222.0,-3113,158,-937,-726,,0.0,,0.0,-3966,105,-12979,,-10844.0,-4242.0,,,-373.0,,-628,3172,-1652,-2017,777,141.0,-28065,60582,,,-105,3966,,,2013年01月01日至2013年09月30日,617197,608776,,-8421,85517,134736,138914,,-108000.0,,0.0,-115092.0,85517,,-2389,-2436,-4825,0.0,0.0,1782,92.0,,,53397,608776,-8039,0.0,-7092.0,
2014-03-21,4,2013,76301.0,-4408,1900,385,-400,,0.0,0.0,,-5176,189,-30840,,-10845.0,-4200.0,-105290.0,,-178.0,,604,6642,-1635,-9789,5615,-151.0,-151175,81024,0.0,,-189,5176,1859.0,,2013年01月01日至2013年12月31日,509797,429076,,-80721,113204,185546,188268,,-108000.0,,0.0,-115092.0,113204,-1859.0,833,-2070,-1237,0.0,0.0,2209,92.0,,,75064,429076,-9568,0.0,-7092.0,
2014-05-10,1,2014,18603.0,-317,-162,-669,-414,,,,,-1281,35,-17904,,0.0,,-25810.0,,16.0,,-3951,295,372,8840,-4518,-259.0,-43714,19880,,,-35,1281,,,2014年01月01日至2014年03月31日,429076,423937,-94.0,-5139,19412,38575,37232,,,0.0,,0.0,19412,,-578,-205,-783,,,47,,,,17820,423937,97,,,
2014-07-30,2,2014,37362.0,9943,-273,-2118,50,,,,,-2526,70,-40345,,0.0,,-29420.0,,16.0,,-13470,12392,3829,-10520,-10612,-2780.0,-68215,39690,,,-70,2526,341.0,,2014年01月01日至2014年06月30日,429076,429302,-9.0,226,51890,72697,75693,,,,,-4256.0,51890,-341.0,21266,-34825,-13559,117.0,1433.0,384,78.0,,,23803,429302,-5793,,-4256.0,
2014-11-12,3,2014,52620.0,2713,-59,-1023,-398,,,-3.0,,-5634,105,-44196,,0.0,,20807.0,,127.0,,-11559,-2041,1494,-11214,-16508,-2249.0,-21441,58747,,0.0,-105,5634,1506.0,,2014年01月01日至2014年09月30日,429076,429553,-87.0,477,100219,107174,111995,,-81000.0,,,-85256.0,100219,-1506.0,-1106,-39738,-40844,518.0,1433.0,790,78.0,,,11776,429553,-11856,,-4256.0,
2015-03-18,4,2014,69484.0,5549,-418,-2454,-188,-4239.0,,-3.0,,-6745,140,-51042,,0.0,,32687.0,,94.0,,-4156,-8052,-1581,564,-5616,,-16407,76576,,0.0,-140,6745,1683.0,,2014年度,429076,327989,-260.0,-101087,135361,180576,184254,-180000.0,-81000.0,,,-265256.0,135361,-1683.0,-10777,-9814,-20591,518.0,1433.0,1284,78.0,,,48893,327989,-11966,,-4256.0,
2015-05-07,1,2015,,-8713,441,716,494,463.0,,,,-1819,35,-13940,,,,,52203.0,0.0,,1515,5655,713,-2274,9524,,38263,15048,,,-35,1819,,13313.0,2015年01月01日至2015年03月31日,327989,418823,49.0,90834,29115,52571,50962,,,,,,29115,,-1166,9700,8534,,,0,,,,21847,418823,-175,,,
2015-08-12,2,2015,,1105,292,22,-2279,1095.0,,,,-3316,70,-27297,,2182.0,,,156.0,0.0,,-3453,17812,2363,-9834,-11938,,-20417,30353,,,-70,3316,350.0,26705.0,2015年01月01日至2015年06月30日,327989,394730,,66741,77287,87158,99177,,,,,,77287,-350.0,22397,-27212,-4815,150.0,,56,-375.0,4392.0,,21890,394730,-15615,267.0,,
