date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,金融資產重分類淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-10,1,2013,176210.0,,-200000.0,-325273,-3592,34187,-182,14214,-12824,0.0,688.0,,,25544.0,-25723,,-2103,8262,32779,-59370,0,,0.0,-18079.0,,5816,-68392,0.0,-57005,-48745,,-66.0,,-199955.0,-10604,-46718,-10280,-19026,25595,-538,6640.0,-30601,131551,-15607,247,13950,6655,-8142,315,,,2013年01月01日至2013年03月31日,1319429,1364737,45308,369148,,-34215,7457,,275612,77345,369148,,-439970,-97931,-537901,200000.0,6283,,3093,252,,,-93,,37651.0,-361691,68,1364737,-33845,12632,,,,1000,-712.0,
2013-08-07,2,2013,321154.0,,-200000.0,-142888,2138,-2023,-1591,144569,-86591,,358.0,,,11342.0,-80636,0.0,-6668,17014,93539,-146273,0,,0.0,-69256.0,,13481,-244825,0.0,188576,26398,,-66.0,,-199955.0,18186,-415532,-28275,111722,-23810,-627,-11310.0,-215707,264584,-34619,265,3698,13790,-17225,6586,7516.0,,2013年01月01日至2013年06月30日,1319429,1433831,114402,704299,,401186,578157,,49293,-164616,704299,-7516.0,243991,-691287,-447296,200000.0,8827,8899.0,6223,1540,0.0,,-111,,37651.0,-126142,53007,1433831,-166332,22054,,,,-14312,-712.0,
2013-11-12,3,2013,409536.0,,-200000.0,-29642,8537,2305,-5157,116060,9984,,1117.0,,,36719.0,-33322,0.0,-11074,26514,48866,-382413,0,,-80000.0,17704.0,,17830,-309448,0.0,462515,-3393,,40697.0,-199955.0,,56654,-1206964,-1810,80363,96459,-538,-11373.0,-341918,393904,-33023,-98,-26617,21415,-25142,11378,37690.0,,2013年01月01日至2013年09月30日,1319429,1749845,430416,1168078,,630804,878365,-520972.0,671011,92664,1168078,-41265.0,635655,-1334904,-699249,200000.0,42751,12799.0,6154,7094,0.0,159055.0,689,0.0,,-289713,28623,1749845,-233797,20458,,1300.0,,-17592,0.0,-712.0
2014-03-28,4,2013,-33611.0,,-200000.0,150992,11669,14303,-568,17548,136279,,1742.0,,-28227.0,0.0,-85864,-1227322.0,-15982,41395,55591,-526568,-756010,,-80000.0,2534.0,,100930,42527,0.0,750192,-39361,,3434.0,-199955.0,,138391,-1146354,-65668,150580,82550,-538,17956.0,-796359,514934,-34811,301,-67347,28118,-40162,16334,63655.0,,2013年01月01日至2013年12月31日,1319429,1855404,535975,1543821,,1733566,2048464,-520972.0,126336,-456823,1543821,-41013.0,1324842,-786588,538254,200000.0,45830,16984.0,551307,-748,0.0,159055.0,459999,0.0,,504643,275185,1855404,-291070,24789,33647.0,149348.0,,-23029,0.0,-712.0
2014-05-09,1,2014,89331.0,,0.0,-252573,-15823,12499,-6710,213884,-5003,,0.0,-1039.0,,11885.0,-67872,,-4069,10782,30657,-93460,-470000,,,1930.0,,-5569,-260925,,-284693,-41074,-3207.0,,,0.0,-55487,9691,52078,-14089,55389,612,-11023.0,15333,131511,-2543,1200,-48776,7077,-10653,4052,,,2014年01月01日至2014年03月31日,1855404,1883895,28491,444772,,-174744,-74583,,158584,157245,444772,,-453428,-155258,-608686,0.0,1154,1561.0,630135,-216,,,-135,,,-519355,-1147,1883895,-93560,-1274,258.0,,,-300,,0.0
2014-08-07,2,2014,154118.0,13771.0,0.0,-124257,-7726,-4315,-1328,88224,-47268,,0.0,-366.0,,8714.0,-108238,809.0,-9990,21540,-10137,-270720,-1015000,,,-180193.0,,-4993,-152877,,4412,-19937,-3207.0,,,0.0,-79932,155764,28925,-50398,-36722,370,-20123.0,-349793,259799,-2543,1578,-98080,13344,-21342,9890,29277.0,,2014年01月01日至2014年06月30日,1855404,1819611,-35793,837377,,578113,729637,,-239870,-253976,837377,-25229.0,-155587,-106271,-261858,0.0,2846,1561.0,1175344,-44,-7155.0,,-1277,,,-107740,10079,1819611,-140072,-1761,-577.0,,,-13740,,0.0
2014-10-31,3,2014,174863.0,13771.0,0.0,-186462,-7851,20116,-2980,188031,-74082,,0.0,-966.0,-29777.0,0.0,-93880,809.0,-16059,33108,33850,-465944,-1565000,,-80000.0,-27209.0,,-31843,-466530,,-80426,67627,-2755.0,,,0.0,-74880,111300,44308,-111006,30665,292,-31368.0,-490372,389088,-1199,0,-187238,19366,-32718,15908,33371.0,,2014年01月01日至2014年09月30日,1855404,1547888,-307516,1303335,,627563,851281,-729361.0,281014,-478557,1303335,-36022.0,-179000,-447917,-626917,0.0,4433,1561.0,1725457,1174,-7155.0,0.0,-1390,,,-452054,-49197,1547888,-206908,1173,-520.0,0.0,,-29244,2697.0,0.0
2015-03-13,4,2014,300714.0,16290.0,0.0,12798,-2053,1779,-2127,231376,-25653,,0.0,-1085.0,-52254.0,,-164298,809.0,-23775,40801,133008,-659072,-1765000,,-80000.0,-184264.0,,-6431,-340226,,-162860,-28192,11483.0,,0.0,,-58981,-203480,25244,-96062,-11155,858,-70502.0,-848185,523688,-6126,0,-241302,27519,-40820,23705,95167.0,,2014年度,1855404,1424028,-431376,1657562,,966200,1232272,-729361.0,77291,-682399,1657562,-33593.0,-75182,-650822,-726004,0.0,8973,1620.0,1941808,6816,-7155.0,0.0,-4461,,,-425290,-1427,1424028,-248957,5817,-698.0,953.0,0.0,-29244,3873.0,0.0
2015-05-13,1,2015,,,,-211887,-21946,7793,-1147,-135503,-19902,,,-705.0,,48805.0,-50034,,-4786,9873,-38595,-92076,-140000,,,,-8426.0,-34308,-124541,,-130963,-36817,32901.0,,,,-18831,-34833,10774,-5559,158724,0,,-97992,137093,-2095,0,-52877,7481,-8715,4749,,62795.0,2015年01月01日至2015年03月31日,1424028,1630038,206010,477297,-12718.0,-35062,-10042,,379844,377659,477297,,-541443,-8691,-550134,,3517,165.0,140057,475,,,-222,,,-487339,-3402,1630038,-21054,66,-182.0,,,-1480,,
2015-08-06,2,2015,,9410.0,,-75250,-16591,17317,-2524,32658,-73850,,1972.0,0.0,,45928.0,-77696,0.0,-10669,20365,-70749,-204257,-140000,-379.0,-103.0,,-62059.0,-66966,105046,,-258557,10813,2033.0,,,,-64912,58334,-5424,-35969,3917,-626,,-230503,276489,-2080,152,-123228,15812,-19837,10468,29948.0,80913.0,2015年01月01日至2015年06月30日,1424028,1798072,374044,858663,-20797.0,414205,603171,,275118,261091,858663,-14710.0,-402778,66373,-336405,,27919,350.0,140057,-14183,0.0,,-1773,,,-255492,-9724,1798072,-179597,-224,-371.0,,,-15620,,
2015-11-06,3,2015,,12778.0,,-39718,-15026,14634,-410,-78801,-65860,,3464.0,0.0,0.0,45969.0,-115433,0.0,-16641,31635,-4517,-297382,-140000,-379.0,-80103.0,,27285.0,-53924,-180716,,49154,46826,-10132.0,,399881.0,,-21128,-138574,-4317,-112025,-26673,-488,,-330525,417677,-2234,1404,-220910,23058,-31368,16375,39365.0,130797.0,2015年01月01日至2015年09月30日,1424028,1556538,132510,1242041,-43698.0,421457,731141,-781458.0,451772,46095,1242041,-30336.0,-128672,-513025,-641697,,32034,4905.0,140057,-14355,0.0,,-4195,,,-510900,-13362,1556538,-294691,-1528,-553.0,316.0,,-27185,0.0,
2016-03-11,4,2015,,12778.0,,58725,-6340,9983,-1345,-133297,-42878,,10275.0,0.0,0.0,47151.0,-127964,0.0,-21546,42052,-51487,-491353,-140000,-379.0,-80103.0,,48285.0,34360,77393,,-46210,-26747,-10608.0,,199852.0,,65301,-209377,5619,-149455,67429,-549,,-423561,562470,-2234,1559,-298647,29249,-42697,21361,126763.0,300341.0,2015年度,1424028,1468269,44241,1626173,-45307.0,1186070,1521141,-781458.0,-67886,-666781,1626173,-30336.0,-163752,-241621,-405373,,35920,4905.0,140057,-11423,0.0,,-4195,,,-105032,-31231,1468269,-313735,-1959,14196.0,316.0,,-27185,0.0,
2016-05-11,1,2016,,,,-230617,-16522,7954,3739,19311,-11503,,157.0,0.0,-10193.0,0.0,-44587,,-2865,9424,-55383,-71436,0,,,,54788.0,-13276,-96992,,145767,10824,-832.0,,110.0,,-26184,7200,5513,-300089,60548,61,,-67642,142569,2617,-1944,-82805,7043,-8806,2933,181.0,60368.0,2016年01月01日至2016年03月31日,1468269,1686600,218331,493653,-45220.0,-18163,1205,,359252,359519,493653,-181.0,-227303,-325513,-552816,,3605,0.0,0,568,,,0,,,-492448,-86185,1686600,-13495,-109,-262.0,,,0,,
2016-08-05,2,2016,,0.0,,-57159,-10831,-1517,1052,52434,-14987,,0.0,-524.0,-19188.0,0.0,-90152,,-5635,19211,-82063,-194233,0,0.0,-80000.0,,-13313.0,-6269,-142477,,687189,19991,7732.0,,299979.0,,-113898,-155737,5427,-601538,-91255,549,,-350489,285283,2693,2625,-141548,14108,-19245,5298,32994.0,158137.0,2016年01月01日至2016年06月30日,1468269,1781348,313079,934268,-868806.0,-380011,-226930,,840327,1125642,934268,-4451.0,-321477,-997858,-1319335,,13403,0.0,0,852,,,0,,,-1161198,-40304,1781348,-139134,-3414,-518.0,,,-14140,,
2016-11-11,3,2016,,2407.0,,-11823,-8728,12564,1258,101283,-48991,,230.0,,-25958.0,0.0,-120313,,-11068,31649,-184291,-332575,0,0.0,-80000.0,,108048.0,-11871,-286454,,789063,16237,25837.0,,299839.0,,-106005,-964,-6384,-598248,-158107,-17,,-394372,429387,0,4614,-248463,20779,-32094,10809,43334.0,186519.0,2016年01月01日至2016年09月30日,1468269,2191669,723400,1394193,-897663.0,187271,363181,-781458.0,1625806,1114792,1394193,-21805.0,-136802,-1080729,-1217531,,10685,0.0,0,2396,,,0,,,-1031012,-60035,2191669,-154625,-4889,15032.0,404.0,,-29625,,
