date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,90731.0,-8187,-78798,,,-21553,-3401.0,7417,8442,,,49479,,-4493,47037,43767,-21898,,-163054,8024,0,-1708.0,-1202,-445899,,,150088,-1629,27177,-2079,207590,,-55306,-139884,18866,,16479,-44688,-165.0,3686,,2013年01月01日至2013年03月31日,1242197,1517824,275627,-58457,-353495,-285036,,,,737213,725239,-58457,,23912,-341222,-317310,,192,10,,,-226579,4417.0,,1517824,-27292,3379,1429.0,0.0,,-34496,,-84760
2013-08-12,2,2013,189885.0,-14137,164567,9723.0,,-73535,,5621,6643,,,-46919,,-18788,104969,-1419,-53026,,-440755,6016,-6833,,-1218,-873048,0.0,,-328503,-5656,-14165,-3449,928625,,15217,-539449,38200,-5928.0,40582,-99475,,39341,,2013年01月01日至2013年06月30日,1242197,1778950,536753,-91517,-368810,-295241,648879.0,,400000.0,412248,1446431,-91517,1471.0,-392341,-1268,-393609,0.0,2469,129,,1424.0,-203724,-128399.0,,1778950,-13435,-5458,,21340.0,,758,,-85806
2013-11-12,3,2013,271467.0,-14015,207622,9772.0,,-30711,,5751,7643,,,206446,-482.0,-30631,166975,21184,-85331,,-591609,24421,-12994,,-8402,-728706,0.0,,-199875,-3903,15107,-2663,565289,,-32154,-475610,57683,29092.0,59670,-167083,,34700,,2013年01月01日至2013年09月30日,1242197,2164318,922121,115776,-196253,23907,648879.0,,390199.0,553622,1572800,115776,1471.0,-66612,-296724,-363336,0.0,3286,1941,,1447.0,-91869,-128986.0,,2164318,-87777,-34846,,23818.0,,-107177,,37672
2014-03-26,4,2013,395468,-70321,18011,206,,-29007,,5892,8143,,,5368,-475,-39535,213625,23677,-116726,,-815750,39056,-12155,,-3041,-389072,0,-1942,-109876,-1032,16675,-1139,-257110,,-67616,-924495,76882,127456,71575,-210043,,43789,,2013年01月01日至2013年12月31日,1242197,1177689,-64508,422156,-262872,68778,648879,-144790,323918,354584,1099182,422156,2118,58504,-807350,-748846,,9843,384,0,2065,-353378,-720,,1177689,-165396,-35212,,66927,,-200144,-4189,129554
2014-05-13,1,2014,150333.0,-5291,149628,,,8208,0.0,27,229,,,219820,,-10767,52654,-62883,-19033,,-231449,31782,268,,463,-581235,,,370442,-4779,76893,-673,204084,,-39887,-33486,18884,-4438.0,22746,-47275,0.0,10188,,2014年01月01日至2014年03月31日,1177689,1809129,631440,155862,440449,524522,,,,293056,287360,155862,8321.0,558745,-340418,218327,,10,234,,,368660,,,1809129,-46986,-9552,,36031.0,,72621,-3297.0,-33466
2014-08-14,2,2014,388690.0,-56440,158746,-209.0,,-12858,,1976,-1189,0.0,,67015,14682.0,-18882,125211,-84289,-52506,,-413505,87132,1564,,-451,-960761,,,398567,7050,358101,1811,470259,,35786,-421400,40086,-1933.0,47176,-115934,,16652,,2014年01月01日至2014年06月30日,1177689,1668993,491304,380642,1023458,1226790,0.0,,0.0,26809,-26465,380642,16735.0,804831,-347373,457458,,432,20,715.0,0.0,846148,0.0,,1668993,-104050,-13187,89717.0,,,123323,-23100.0,-119609
2014-11-14,3,2014,437516.0,-61687,241730,-209.0,,-4097,,496,-1813,0.0,,-1056453,15418.0,-33337,185522,-82585,-95204,,-566524,47667,1956,,1474,-955221,,,384321,-1912,396352,326,471215,,43830,-1736946,61937,-52219.0,71006,-164463,,21948,,2014年01月01日至2014年09月30日,1177689,1659343,481654,312269,951284,1291858,0.0,,0.0,1409515,1349901,312269,25241.0,899734,-357661,542073,,2104,3775,738.0,0.0,979589,0.0,,1659343,-198059,-18942,79229.0,,,140644,-23081.0,-121253
2015-03-25,4,2014,529261.0,2883178,174195,-210.0,,-45181,,-1540,-394,0.0,,-710297,13990.0,-63878,278197,43099,-121397,,-744853,63122,-260,,1796,-451271,,,242479,9493,292412,1168,-370415,-154.0,-15366,-1609917,84942,-5629.0,100379,-233283,,63490,,2014年度,1177689,3316934,2139245,601112,471453,954025,0.0,-76619.0,0.0,427353,3234610,601112,33747.0,542214,-718562,-176348,,3628,4422,,0.0,352913,899.0,,3316934,-312779,-10113,0.0,24453.0,,169848,-38794.0,-175724
2015-05-12,1,2015,,0,57313,,3610.0,9965,,-810,-43,0.0,,106593,505.0,-32765,76980,-132917,-13725,,-175686,25057,-1251,,-503,-239919,-88047.0,,56529,-8254,111997,-695,302219,161.0,-48255,-282732,23873,-539.0,31012,-66314,,31104,147115.0,2015年01月01日至2015年03月31日,3316934,2817351,-499583,-366495,-178739,-94564,543134.0,-175.0,,-446208,94805,-366495,23985.0,226879,-102063,124816,,854,1138,,,271931,,,2817351,-48965,-29750,,27080.0,-104080.0,-125652,-8138.0,6494
2015-08-12,2,2015,,-44406,148695,0.0,5036.0,18304,-17856.0,-779,-711,0.0,-306999.0,106691,998.0,-72205,151772,-160930,-27361,,-379382,68096,-1236,,131,-279411,-88047.0,,18580,-12327,-81075,-1348,620405,159.0,27323,-529317,47291,681.0,61381,-130110,,48185,287270.0,2015年01月01日至2015年06月30日,3316934,2852517,-464417,-247657,349098,473557,543134.0,-174.0,,-312239,-123268,-247657,39454.0,91113,342831,433944,,1098,1764,0.0,,721214,,15018.0,2852517,-42534,-26809,510.0,,-102766.0,-43919,-21825.0,12983
