date,season,year,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,27546.0,,-1235,-8545,10000.0,0.0,,-9979,0.0,,79,-64,-4358,0,,,,,-1058,,-97,601,-1229,-8103,,8890,1290.0,,,0,157351,-11414,-930,-1282,3668,47850,-15008,600.0,102781,-26693,472.0,-10319,19655,,0,1250,-1179,,117,,,2013年01月01日至2013年03月31日,201833,403277,201444,32738,,217661,218723,,120504,-135205,-4669,32738,,-10525,168964,158439,,0,0,185985,1165,403277,,-2753,-23.0,-82704,-2028,270.0,-212,6262
2013-08-09,2,2013,46981.0,,-2477,748,29500.0,0.0,,-38609,0.0,0.0,365,-934,-10234,0,,,,,-2004,,-273,1690,-186,-12538,,6708,1299.0,,,0,145663,-23402,-1029,-1021,2929,9972,8920,900.0,26545,-2217,959.0,-22273,38434,0.0,0,2388,-2134,,294,,,2013年01月01日至2013年06月30日,201833,128565,-73268,25433,,25618,27888,-973.0,100886,-204662,-76427,25433,,1789,-46315,-44526,,0,0,2455,359,128565,-430.0,-1966,,-185076,-8631,0.0,-345,21881
2013-11-11,3,2013,64216.0,,-3947,-7428,29500.0,0.0,,-39380,0.0,,178,-542,-8561,0,,,,,-6781,,-399,2085,-85,-26620,-200.0,4801,1299.0,,-1491.0,0,259090,-38428,2173,-1841,0,-25646,1359,1200.0,45889,3267,1431.0,-40618,57147,0.0,0,3540,-2668,,419,2079.0,,2013年01月01日至2013年09月30日,201833,334103,132270,74923,,303638,304236,-71805.0,39047,-134759,-130665,74923,-2079.0,-48466,213563,165097,10000.0,0,0,229313,-719,334103,-428.0,-879,,-19664,-6726,,-2249,-3832
2014-03-24,4,2013,89307.0,0.0,-5759,-7965,44500.0,0.0,,-63145,-1.0,,77,-303,-3976,0,0.0,,,,-6781,,-610,3483,827,-39561,-200.0,6207,1299.0,,-2998.0,0,249139,-56144,-191,-422,0,-32549,1404,1390.0,50015,2742,-2998.0,-56125,78553,0.0,0,4825,-3306,,608,2079.0,,2013年01月01日至2013年12月31日,201833,471418,269585,48254,,249041,251353,-71805.0,329376,-241769,75842,48254,-2079.0,-33535,147327,113792,20000.0,171,226,203099,1603,471418,-1693.0,-1298,,-55360,-8416,270.0,-639,32505
2014-05-08,1,2014,19834.0,,-1933,-9619,4464.0,,,-1494,1.0,,56,-4666,-11719,0,,,,-15032.0,-464,,-218,1868,-1047,-8812,,1245,0.0,,,2157,-21583,-31100,-546,-508,2481,137090,-4264,0.0,78717,5651,-4338.0,-19200,18841,,-200000,1445,-1475,,240,,,2014年01月01日至2014年03月31日,471418,495389,23971,28038,,-1329,-94,,252843,-209827,45547,28038,,-41059,-6907,-47966,,167,48,-28132,-641,495389,,-3395,0.0,30037,-12248,0.0,355,3156
2014-08-08,2,2014,44776.0,,-3875,10171,4464.0,,,44577,,,224,-1881,-12446,0,,,,-14569.0,-1651,,-627,2871,-307,-16233,-17.0,2096,0.0,,-5902.0,2991,-96228,-3481,665,2681,3142,56105,-7782,0.0,33335,4048,-4356.0,-45749,37547,96.0,-210090,2943,-2830,0.0,649,0.0,,2014年01月01日至2014年06月30日,471418,242146,-229272,46249,,-63135,-58222,-2085.0,230527,-349112,-120081,46249,,5586,-154833,-149247,,300,-35,-104471,-1349,242146,,-19,,48907,-25237,,1191,-2207
2014-11-12,3,2014,55629.0,,-5614,2847,0.0,4464.0,,41984,,,150,-1986,-11331,0,,,,0.0,-2135,,-1035,3344,-553,-20705,-289.0,1038,0.0,,-5902.0,3276,-28870,22045,1842,-1747,3972,10885,6802,0.0,-2697,2667,-4634.0,-52447,56250,96.0,-160090,4506,-3712,,1057,4265.0,,2014年01月01日至2014年09月30日,471418,323501,-147917,58980,,16898,18049,-64063.0,453520,-495658,-111815,58980,-4265.0,26743,-123303,-96560,0.0,471,64,-40931,-1845,323501,-2761.0,-4273,,17501,-27163,,1832,-447
2015-03-20,4,2014,63696.0,,-6296,13945,0.0,5009.0,,52258,1.0,,214,-163,5122,0,,-13000.0,,-10234.0,-2619,,-1804,5831,-3253,-27775,-289.0,-7866,0.0,,-5903.0,4946,-33387,32647,16119,-2090,0,10077,2595,0.0,-54474,-11961,-5309.0,-72852,72844,0.0,-150000,6058,-5200,,1801,4265.0,,2014年度,471418,411893,-59525,52170,,-67245,-64829,-64063.0,435776,-281592,83825,52170,-4265.0,58917,-239612,-180695,0.0,605,388,-116999,-402,411893,-3282.0,-7490,,-16768,-28817,0.0,-32678,-1216
2015-05-11,1,2015,,,-685,-10131,0.0,-545.0,,-4941,0.0,,-24,-5092,-9995,0,,-10083.0,2000.0,2000.0,0,,-173,641,-559,-14569,-10.0,7379,30.0,,-13890.0,2669,-49148,-26216,-16580,-1049,3597,125680,-1154,,98263,18011,,-37156,14918,44.0,0,1833,-1974,,199,,28474.0,2015年01月01日至2015年03月31日,420127,417231,-2896,-4898,234.0,241920,243695,,215382,-421828,-207101,-4898,,-50754,270873,220119,,45,55,248593,-650,417231,,3821,,65720,-3318,,31529,566
2015-08-11,2,2015,,,-1374,25274,-545.0,,,11158,,,7,-1439,-9846,0,,,3000.0,10234.0,-94,,-428,2846,329,-25006,-506.0,7959,30.0,,0.0,2669,60668,-23819,-12662,2953,0,95052,3208,,101525,15907,,-20248,29960,428.0,-518,3216,-3881,,453,,50665.0,2015年01月01日至2015年06月30日,411893,451568,39675,19333,-4907.0,285255,299648,-2504.0,439177,-660445,-225661,19333,,-42326,271976,229650,,97,3,280315,-1110,451568,-10965.0,7109,,-43798,-408,,29825,-28490
