date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動負債減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,4640.0,-70322.0,,247,2027,-255.0,-7513.0,,,,255820.0,,64000.0,,,-2185,,1641.0,59,-1058,0.0,,-237,,,,,,799,1052,1013,-10520,-4184,,62877,4109,,107,,,,,2013年01月01日至2013年03月31日,467890,721895,254005,19639,,5571,5879,,,,,185498.0,19639,,,-5201,-13199,-18400,,190,0.0,,-190,0.0,-13760,1395.0,721895,-308,0.0,,,-1321,,
2013-08-12,2,2013,10848.0,-70322.0,,5287,650,1557.0,-7583.0,,,,0.0,,-331154.0,,,-2275,,3282.0,287,-2756,0.0,,98,,,,,,1481,1562,-138,-21127,-7949,,-332163,8350,,188,,,,,2013年01月01日至2013年06月30日,467890,87189,-380701,45254,,21497,26319,,,,,-70322.0,45254,,,-872,-28911,-29783,,190,0.0,,-190,0.0,-18935,1395.0,87189,-4822,0.0,,,-1966,,
2013-11-12,3,2013,20403.0,-70322.0,,-1511,6287,331.0,-5073.0,,,,0.0,-329005.0,1000.0,,-261.0,-832,,6329.0,144,-4929,0.0,0.0,578,,50.0,,,,4925,-1983,306,-8980,-3054,,-332674,12633,,526,0.0,,,,2013年01月01日至2013年09月30日,467890,109494,-358396,62810,,74862,79783,,-30456.0,0.0,,-100728.0,62810,,,1075,-4505,-3430,,190,0.0,,-190,0.0,16973,1359.0,109494,-4921,0.0,,,-3683,,9336.0
2014-03-17,4,2013,26404.0,-68600.0,,28232,6448,,-5884.0,0.0,-463.0,,0.0,,82645.0,,,-2360,,6212.0,316,-5128,0.0,-208.0,-548,,50.0,,,661.0,4277,340,294,2331,5807,,72960,17066,0.0,689,0.0,,,,2013年01月01日至2013年12月31日,467890,542531,74641,36857,,100371,105555,,-30456.0,,,-99006.0,36857,,,27489,14805,42294,,190,0.0,,-190,0.0,68698,1395.0,542531,-5184,,,4140.0,-3595,-5200.0,4507.0
2014-05-08,1,2014,13793.0,-431400.0,-71358.0,-10234,346,,0.0,,9197.0,,0.0,0.0,529994.0,-104500.0,,-1515,,0.0,-30,-2351,0.0,-1145.0,103,4647.0,4.0,,,7775.0,-7451,747,-25647,-17374,4227,69.0,536546,15288,,83,-18506.0,,,,2014年01月01日至2014年03月31日,542531,384455,-158076,-3944,,-67338,-48832,,,,-20000.0,-627254.0,-3944,,,-48038,-10643,-58681,,166,0.0,,-166,0.0,-44888,0.0,384455,0,0.0,,,412,-2540.0,-12973.0
2014-08-12,2,2014,47700.0,-431400.0,,5320,1142,,0.0,,2631.0,0.0,0.0,530769.0,0.0,-104500.0,,637,,0.0,-188,-3256,0.0,-1445.0,120,4647.0,,-2.0,,7801.0,-4796,1972,-21402,-19000,-2727,319.0,526066,32420,,14558,-21872.0,,,,2014年01月01日至2014年06月30日,542531,351187,-191344,-27843,,-57909,-28686,,,,-40000.0,-659313.0,-27843,,,-32891,-15652,-48543,-83411.0,166,0.0,,-35,0.0,-843,0.0,351187,-7351,0.0,,,7098,-12616.0,-19100.0
2014-11-10,3,2014,88007.0,-431400.0,-100728.0,-6188,1334,,0.0,,3762.0,,8013.0,586344.0,0.0,-104500.0,329.0,1168,,8385.0,17,-16314,0.0,-1445.0,273,4647.0,-2.0,,,7799.0,17428,-2211,-2119,-18345,3393,402.0,573242,50563,,25426,-24778.0,,,,2014年01月01日至2014年09月30日,542531,418478,-124053,-72707,,-28695,3460,,0.0,,-40000.0,-668617.0,-72707,,,-25316,13476,-11840,,166,0.0,,2192,0.0,76167,0.0,418478,-7377,0.0,,,5904,-8284.0,-15200.0
2015-03-26,4,2014,375270.0,-431400.0,,-5646,900,,0.0,,2468.0,,0.0,606012.0,0.0,-104500.0,,30522,,10094.0,301,-25250,0.0,-1801.0,566,-693303.0,2.0,,7584.0,,17178,6476,-37615,191,2214,-1690.0,-115157,67890,,36327,-26487.0,,510.0,,2014年度,542531,315335,-227196,-381031,,-61996,-28338,1117199.0,0.0,-62600.0,,-50344.0,-381031,,-510.0,-48649,26072,-22577,-569045.0,405,0.0,35057.0,121116,0.0,352693,0.0,315335,-7681,0.0,74208.0,,3121,-8804.0,-10174.0
2015-05-12,1,2015,,0.0,,-11944,351,,0.0,,-662.0,,0.0,-69300.0,0.0,0.0,,1080,,0.0,-83,-7402,0.0,-155.0,824,0.0,0.0,,-1012.0,,2519,-5000,2240,-21331,1442,,-77839,12979,,10867,0.0,,,26119.0,2015年01月01日至2015年03月31日,315335,203160,-112175,-24502,0.0,-34253,-34253,,,0.0,,0.0,-24502,,,-15645,-20225,-35870,0.0,30,0.0,,369,0.0,-9751,0.0,203160,0,0.0,,,-2544,0.0,-941.0
2015-08-10,2,2015,,0.0,0.0,-5746,-280,,0.0,,-1061.0,,0.0,-142246.0,0.0,0.0,,901,-546.0,0.0,-447,-13386,0.0,-4727.0,664,0.0,0.0,,-1345.0,,7178,6275,-12170,-21114,1094,,-161976,25886,,21889,0.0,546.0,,49244.0,2015年01月01日至2015年06月30日,315335,127769,-187566,-45216,0.0,-25143,-25881,,,0.0,,0.0,-45216,,,-19388,-10521,-29909,,663,0.0,,450,0.0,19335,0.0,127769,192,0.0,,,3662,-935.0,-7747.0
