date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付公司債匯率影響數,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,預付款項（增加）減少
2013-05-03,1,2013,212.0,-2235671.0,,,0,3106652,908157.0,,0.0,-282268,0.0,3875184,-195932,3327,,,,1484.0,0.0,58394.0,128334.0,-209310,384384,-743441,-1616731,,,-2935794.0,-92794.0,52,,-4685.0,-2185552,5265.0,-1391113,1157252,1801187.0,,-44598,-957544,150689,10704.0,-708102,2076425,-4655861,160111,-235220,208974,0.0,,2013年01月01日至2013年03月31日,10205819,9793310,-115305,-412509,5647404,,1818497,1907398,-1426,,-3488865.0,,-779463,5647404,2886822,-4391157,-1504335,,8324,,-8046,,,,,,,-3740006,9793310,-62655,-1932.0,,-875952.0
2013-08-12,2,2013,249.0,-2309057.0,,-6000000.0,-4974683,-12917,169031.0,,0.0,84692,0.0,8114425,-500438,4501241,-878139.0,,19301.0,0.0,-682580.0,,14227.0,-382493,726671,223160,-4393518,,,-11371671.0,-8993.0,336,-9242.0,,1454359,,-2117366,442584,,-1100975.0,-497856,-1325010,45053,7508.0,-8332364,4145043,-7014522,321589,-719300,406512,1417515.0,,2013年01月01日至2013年06月30日,10205819,11504189,-91353,1298370,9815839,,9645132,8710493,-3549,11470660.0,0.0,-2874543.0,-237558,9815839,2821050,-1617339,1203711,3057200.0,19215,,-17662,0.0,0.0,,,,,-1105346,11504189,-170088,-3884.0,-7258.0,
2013-11-12,3,2013,249.0,-5307857.0,0.0,-6000000.0,-3444943,-34271,1159685.0,,0.0,-211090,0.0,10169453,-810513,3714056,-1002542.0,,10890.0,,-523791.0,,22111.0,-533633,1101852,122999,-9231238,,,-13017413.0,-91159.0,340,-10194.0,0.0,-369555,,-2041988,953426,,-1699673.0,-37579,48725,124253,-85784.0,-12031494,6212383,-12520492,466704,-951686,535996,2165949.0,,2013年01月01日至2013年09月30日,10205819,9681259,89156,-524560,16780004,,13259584,11719285,-7418468,11470660.0,0.0,-1593900.0,-1875649,16780004,2505439,-2258301,247138,5640100.0,672848,,-133403,0.0,0.0,,,,,-5060719,9681259,-209960,-5866.0,-7258.0,
2014-03-24,4,2013,249.0,-7210215.0,,-9000000.0,-7431665,-62914,0.0,384599.0,-196159.0,-368611,0.0,11168093,-2086840,1743076,-967995.0,0.0,18721.0,,0.0,229241.0,30290.0,-668751,1482832,306220,-13148670,,0.0,-13017413.0,-92791.0,1237,-33145.0,0.0,-399689,,591611,2902833,0.0,-5098562.0,-1646254,-448548,-215896,-235957.0,-14221156,8247224,-16639868,615585,-1477995,677593,2165949.0,,2013年01月01日至2013年12月31日,10205819,7672877,-132330,-2532942,23164498,,16268260,15143698,-7336651,19947570.0,0.0,-4067001.0,-4886266,23164498,5323248,-6133833,-810585,8277481.0,673529,,-133559,0.0,0.0,,,,,-8020800,7672877,-240985,-5866.0,-7258.0,
2014-05-13,1,2014,854.0,-4687263.0,,,-633514,106705,11816.0,-20731.0,,431482,,874231,-153168,1651007,-412895.0,0.0,49538.0,,-601172.0,,,-128835,379665,-32336,-2739134,,-965.0,0.0,,-1126,,,-3305058,8265.0,-2373657,-998624,0.0,-3099844.0,1231295,-261867,85096,-37234.0,1326589,1903069,-4211868,144037,-164290,87913,,,2014年01月01日至2014年03月31日,7672877,8608789,-137243,935912,8003246,,-953163,-741666,-2576,,,-1094348.0,594822,8003246,-1672534,-2385115,-4057649,5363750.0,16701,,-16456,,,,3776928.0,-2627625.0,,-8744912,8608789,-135120,0.0,,
2014-08-11,2,2014,854.0,-6028668.0,,-6000000.0,-12038326,97265,311976.0,18583.0,,322043,,2176051,-1666728,2680734,-298888.0,0.0,87877.0,,,-540800.0,,-242264,773965,14411,-4906455,,-2400965.0,-1162877.0,0.0,-306,,,-1010883,,-2138493,-678924,,-3099844.0,534177,-995160,-66505,-244084.0,-3037729,3787254,-8015556,292396,-912447,257926,1447123.0,,2014年01月01日至2014年06月30日,7672877,6365181,37279,-1307696,12798714,,3415492,3323183,-3450,5984010.0,,-3620299.0,-1699870,12798714,-264919,-3181944,-3446863,16678186.0,20389,,-18607,,,,3776928.0,-2627625.0,,-9475531,6365181,-700293,0.0,-16058.0,
2014-11-11,3,2014,854.0,-8053691.0,,-6000000.0,-16306859,59525,-61879.0,17068.0,,649913,,-6075942,-3032615,2495632,-854396.0,,-30028.0,,,-696419.0,,-364582,1168415,4818,-6701506,-21600.0,-2400965.0,-1177877.0,0.0,-1732,,,-584461,,-2458286,-4165250,,-3099844.0,2053126,-449954,-240281,-289552.0,-10871389,5669158,-12071089,427832,-931189,331729,8371120.0,,2014年01月01日至2014年09月30日,7672877,6904850,-214963,-768027,20856731,,13067488,6003509,-12097798,5984010.0,,4621856.0,-2968944,20856731,-4340863,-2458668,-6799531,24021598.0,24090,2401902.0,-21999,,,-1902.0,3776928.0,-2627625.0,,-14853222,6904850,-707681,0.0,-16058.0,
2015-03-24,4,2014,854.0,-3533541.0,,-6000000.0,-16950306,103961,36721.0,17974.0,0.0,495932,-122671.0,0,-7440132,847516,-155806.0,,50136.0,,,1594673.0,,-500464,1565536,-114289,-8074296,-21600.0,-2400965.0,-1177877.0,,-1248,,,-1160199,,976877,-5495120,,-3099844.0,1579701,405951,32736,-407398.0,-3973961,7555974,-9232820,544066,-1641691,544287,8415528.0,,2014年度,7672877,5392825,-784395,-2280052,20551553,,13438399,6820005,-12093820,5984010.0,,-3756752.0,-11630201,20551553,-3956190,-6241817,-10198007,24199654.0,50875,2401902.0,-35459,,,-1902.0,3776928.0,-2627625.0,-930.0,-13731548,5392825,-699730,0.0,-16058.0,
2015-05-08,1,2015,0.0,,,,-4737464,1149840,0.0,76908.0,-6712.0,13185,,932255,-143039,2846849,149892.0,,26336.0,,-475463.0,,,-80637,361212,102070,-865048,-25000.0,0.0,,,197,,,3892369,,-3903561,1760949,,0.0,181302,-179472,38830,,-117151,1895668,-1902405,241165,-184061,82055,120300.0,-31738.0,2015年01月01日至2015年03月31日,5392825,11115984,-381420,5723159,4451984,-112597.0,10201263,10191701,-3712,,22562214.0,-25403685.0,-4463023,4451984,1818388,3953067,5771455,3100000.0,7398,308707.0,-5705,,,-159813.0,0.0,0.0,,5739717,11115984,-8732,,,
2015-08-11,2,2015,0.0,,,-3000000.0,-7009985,634187,0.0,43428.0,-172019.0,136159,,5260901,1728923,3435442,-693813.0,,0.0,-27611.0,0.0,278797.0,,-159748,694731,224579,-1802766,-25000.0,0.0,-2349150.0,,-454,,,3709139,,-3769272,1469145,,0.0,931464,-32823,-405241,,1700677,3790677,-10968625,353008,-726733,144922,1586895.0,-6722236.0,2015年01月01日至2015年06月30日,5392825,16417567,-262295,11024742,16681264,-280484.0,17833262,16865282,-5975,0.0,55184184.0,-57702370.0,-8733776,16681264,1532446,5373808,6906254,4000000.0,29188,308707.0,-9717,,,-159813.0,0.0,0.0,,184018,16417567,-37104,,0.0,
