date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,非金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-04-29,1,2013,152412.0,,21321,1684,7330,71208.0,,,-136391,,-3885,12164,43980,-19065,,144,,,-526.0,,5091.0,63551,195563,-317.0,-99744.0,-59927.0,465.0,,-150365,117874,-5439,20.0,19117,-13739,3876,,,2013年01月01日至2013年03月31日,1493696,1696114,202418,246250,,542517,564480,,,-233188.0,-233714,246250,,224362,-58544,165818,,0.0,,0,,,,318230,1696114,-12100,6978,,,-29877.0,
2013-08-13,2,2013,296556.0,,58138,-133,-10201,32008.0,,,-31682,0.0,-7612,26362,64157,-227714,,-82,,,-543.0,-564.0,,-22600,167532,-632.0,,-149015.0,909.0,,-259960,232285,-22591,32.0,39617,-27359,7509,,,2013年01月01日至2013年06月30日,1493696,1873359,379663,519899,,758149,851293,,-182140.0,,-182683,519899,,215746,-180908,34838,0.0,0.0,,180,0.0,,,331394,1873359,-73294,7905,,-2131.0,-18577.0,
2013-11-13,3,2013,442927.0,,60880,-24698,-3103,,-30222.0,,-38001,10000.0,-11619,37045,18265,-294500,-679.0,-10624,,-1505.0,,468.0,,94905,-39129,-842.0,-98972.0,-230224.0,1302.0,,-362838,345700,-32238,-73.0,67450,-38889,11241,,,2013年01月01日至2013年09月30日,1493696,1924900,431204,729822,,743702,902730,-40317.0,73897.0,,32075,729822,,19108,-289127,-270019,0.0,96.0,,204,0.0,,,172908,1924900,-131380,6425,,-1581.0,2100.0,
2014-03-24,4,2013,584364.0,,47276,-721,-11497,,-60253.0,,-42980,10000.0,-17204,48757,365,-376905,-679.0,-10365,,,-1497.0,1509.0,,129494,-36272,,-240848.0,,2365.0,,-478513,451006,-53214,-60.0,95028,-47798,15398,,,2013年01月01日至2013年12月31日,1493696,1804159,310463,813976,,1059267,1240031,-40317.0,-228842.0,,-270656,813976,,1872,-160181,-158309,0.0,795.0,,996,0.0,,,426055,1804159,-148364,6590,,-384.0,5108.0,
2014-04-30,1,2014,140990.0,-421584.0,-13975,3763,14880,,4811.0,,-11070,,-5056,9090,8384,-133129,-589.0,-5368,,,-21.0,-1600.0,,68688,84,5189.0,-140339.0,22845.0,1396.0,,-141577,107971,-30901,6.0,34889,-10077,6018,,,2014年01月01日至2014年03月31日,1804159,1424418,-379741,204131,,241309,257695,,,-66252.0,-487857,204131,,7574,-95000,-87426,,,,734,,,,53564,1424418,-12327,808,,-2084.0,-19056.0,
2014-08-07,2,2014,305303.0,-841584.0,-12327,1658,7756,,70464.0,,-42770,,-9967,20087,-13998,-211943,-589.0,-5981,,,-21.0,-676.0,,-43514,11295,0.0,-137180.0,186720.0,787.0,,-183513,217000,-44993,7.0,74020,-19796,12258,,,2014年01月01日至2014年06月30日,1804159,1596985,-207174,360282,,517969,587995,,313973.0,,-527632,360282,,7511,-85101,-77590,,2001.0,,369,,,9997.0,227713,1596985,-62488,-1642,1413.0,,-47792.0,
2014-11-13,3,2014,468735.0,-1264514.0,-162,-25987,20406,,104634.0,,-51809,,-13218,29328,-302,-335570,-589.0,-5492,,,-30.0,-2704.0,,-184851,-12323,0.0,26513.0,309958.0,1188.0,,-281716,327764,-75232,7.0,110787,-26462,15092,,,2014年01月01日至2014年09月30日,1804159,1168757,-635402,454499,,789069,926221,-84664.0,206755.0,,-1142453,454499,,9109,-6122,2987,,593.0,3729.0,2973,,-2333.0,9997.0,471722,1168757,-125782,1311,,7611.0,,-56523.0
2015-03-19,4,2014,638910.0,-1264514.0,1602,3174,7362,,130826.0,,-63882,,-15449,36304,20289,-511028,-589.0,-3440,,,-41.0,,390.0,46985,-117101,,203420.0,-291.0,1602.0,,-440014,442173,51048,7.0,152382,-35983,17156,,,2014年度,1804159,1088483,-715676,566309,,1095675,1258093,-84664.0,-116290.0,,-1391626,566309,,-106535,159409,52874,73883.0,540.0,3729.0,3064,,-2333.0,9997.0,691784,1088483,-143591,4958,,11247.0,-144927.0,
2015-05-04,1,2015,,-527.0,-14034,-30127,9071,,322.0,,-6964,,-2435,7892,-25329,-107345,0.0,2667,,-42.0,,-254.0,,88548,50120,,-134497.0,,,,-113624,118109,-10757,0.0,42301,-9725,2566,,168099.0,2015年01月01日至2015年03月31日,1088483,1277722,189239,115152,364.0,225693,246952,,77840.0,,102499,115152,,45521,-81820,-36299,25228.0,617.0,,2,,,,131800,1277722,-14100,-437,,,,5013.0
2015-08-13,2,2015,,-1234.0,2110,122,8971,,326.0,,-249916,,-5237,15982,-26940,-181398,0.0,-4058,,,-52.0,-597.0,,-3090,56786,,-84918.0,,,,-431372,238043,-88907,0.0,75211,-17408,5391,,319557.0,2015年01月01日至2015年06月30日,1088483,1459308,370825,296638,680.0,419659,480568,,,292404.0,409478,296638,,68547,-204174,-135627,118360.0,213.0,,-13,,,0.0,183930,1459308,-48892,-371,,,-27381.0,
