date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-03,1,2013,16654.0,,,,-2677,-40975,676,10556,,-178,5443,-32454,7357,,,0,601.0,-2311,10946,3004,-2365,,0.0,-16140,,,,,,,15405,-36750,,77498,,40169.0,,-12013,66389,0,-47355,-7742.0,-4088,22302,48373,-14323,103,-10588,2407,,,2013年01月01日至2013年03月31日,272478,279257,6779,101206,,139788,150809,,,-174915.0,-131925,101206,,27326,5623,32949,,114,,,154,,-11997,,,,49603,279257,-2840,7713,4067.0,5498,0.0,-3136,-1525.0,,-2918
2013-08-12,2,2013,66396.0,2596.0,,,-5176,-13764,1384,9131,-31200.0,474,4562,-34205,-3880,0.0,,-6207,,-4543,21557,3347,-10346,,0.0,-16140,0.0,,,,0.0,,28817,-54146,0.0,28758,,90204.0,,58586,49475,0,-52946,-924.0,-4137,46886,15779,-40767,207,-21671,4865,,,2013年01月01日至2013年06月30日,272478,275460,2982,153848,,161400,192531,,,-242266.0,-157628,153848,31200.0,73711,-101424,-27713,,407,,,544,,-12707,,,,38683,275460,-14325,19952,4067.0,-390,,-3312,-3738.0,,-1011
2013-11-11,3,2013,65228.0,2596.0,,0.0,-8534,13253,1949,12594,,529,79,-1616,1665,0.0,,-4377,,-5920,31683,2138,-23249,,0.0,-16140,0.0,,,,0.0,,8139,37522,0.0,78662,627.0,0.0,-27.0,-28114,-28164,0,-83235,-1320.0,-41508,71275,91594,-54040,311,-32945,6078,47105.0,,2013年01月01日至2013年09月30日,272478,334346,61868,207472,,367188,358175,-52507.0,,-175362.0,-265950,207472,-15905.0,64530,20945,85475,,407,,,544,,-14113,,,,150703,334346,-11225,1358,50035.0,-29520,,-7750,-9413.0,0.0,-2271
2014-03-28,4,2013,113815.0,2596.0,0.0,0.0,-11425,33714,2596,9458,,739,3760,6600,-5174,,65525.0,-28309,,-7268,41616,19050,-29915,,0.0,-195828,0.0,,,,,,10191,17891,0.0,50878,,0.0,-99819.0,1992,52487,-17780,-75075,-1799.0,328525,95772,96547,-57656,9563,-42596,7300,50418.0,,2013年01月01日至2013年12月31日,272478,251183,-21295,241639,,525394,523316,-52507.0,,-706376.0,-894264,241639,-19218.0,83061,84801,167862,,407,,0.0,544,0.0,-18623,574352.0,-55398.0,,281677,251183,-13044,2206,18169.0,-24137,38583.0,-5327,-5708.0,0.0,-2906
2014-05-09,1,2014,101104.0,,,,-2509,-33024,-1857,3471,,-275,1391,14872,3,,77397.0,-13289,0.0,-1410,7711,13880,-5831,,,0,,,,,,-2976.0,0,-37784,,19568,839.0,0.0,-49966.0,12490,-80246,-14998,8754,349.0,-21827,24545,-40150,-13294,2710,-7850,1283,,,2014年01月01日至2014年03月31日,251183,237754,-13429,-14794,,-115893,-100086,,157468.0,0.0,110411,-14794,,-85,-186311,-186396,,0,,567.0,0,,-533,,,,-85292,237754,-9240,3978,0.0,5418,,-40230,-23.0,,156
2014-08-11,2,2014,125584.0,0.0,,,-5969,-284,909,-61096,-28080.0,-259,-692,21615,2,,101599.0,-7343,,-2894,14938,-652,-25973,,,0,,-10000.0,,,,,873,-245143,-40984.0,58484,2023.0,49973.0,,122646,-197578,-17989,79889,622.0,-36402,49326,4874,-29498,5570,-14980,2936,7446.0,,2014年01月01日至2014年06月30日,251183,324857,73674,214806,,40996,80874,,52509.0,0.0,69732,214806,-7446.0,184013,-443529,-259516,,157,,567.0,358,,3303,,,,-133932,324857,-35280,-14046,4374.0,14203,,-21,0.0,5576.0,303
2014-11-10,3,2014,90957.0,0.0,,,0,-19826,-630,-81311,,-26,-226,14512,993,,101599.0,-18765,,-5005,22327,11800,-31192,,,0,,-20000.0,,,,,9429,-348740,-46551.0,44591,0.0,149831.0,0.0,119918,26445,-33069,123648,-14032.0,-55959,74527,-64546,-97642,8801,-22369,4475,49616.0,,2014年01月01日至2014年09月30日,251183,411096,159913,318063,,153437,173165,-131267.0,59144.0,0.0,50635,318063,-21536.0,130762,-366617,-235855,77.0,157,,567.0,358,,-1191,,,,-144898,411096,-51450,4345,4374.0,19401,,-3556,0.0,3871.0,-26
2015-03-24,4,2014,101556.0,0.0,,,-2990,52654,-540,-101850,-1758.0,459,14455,19412,-892,,100911.0,-47860,,-6469,31589,39032,-36860,,,-35557,,-25000.0,,,,,13269,-324960,-46551.0,56922,,149834.0,0.0,137144,9417,-33704,83768,-13704.0,-54504,99997,-26686,-107749,12390,-31646,5919,49616.0,,2014年度,251183,351935,100752,322061,,261523,295695,-131267.0,,-143596.0,-145299,322061,-21536.0,245799,-373721,-127922,,157,,567.0,1046,74015.0,-1239,0.0,0.0,,-26366,351935,-58061,-11232,3848.0,29271,0.0,2640,0.0,2306.0,-240
2015-05-12,1,2015,,,,,-3326,-42706,-23,13236,1758.0,206,-147,-4297,590,,0.0,0,4261.0,-2030,7462,-12853,-14535,,,-65763,,,,13650.0,,0.0,14345,-62702,,-35546,0.0,,-49903.0,-81032,49391,16967,34003,,25793,21747,61826,-14324,3609,-7521,1871,377.0,28939.0,2015年01月01日至2015年03月31日,366935,414991,48056,18131,-19746.0,-35514,-21377,,131057.0,,70630,18131,-377.0,-177020,108573,-68447,,936,,2592.0,546,,-2191,82829.0,,,-39508,414991,-8864,847,,-7198,,-1609,0.0,922.0,1590
2015-08-12,2,2015,,,,,-3326,-44133,-46,42945,-39107.0,515,-155,-7432,0,,3306.0,0,9565.0,-4342,14456,-19507,-19199,,,-71147,,,0.0,46811.0,,,28439,56341,0.0,-42310,0.0,0.0,-99965.0,-113997,70755,36246,-2677,,34259,41410,635,-21988,7148,-14618,3971,8951.0,87466.0,2015年01月01日至2015年06月30日,366935,447982,81047,55353,-19479.0,59353,82926,,119703.0,,6942,55353,-8771.0,-216223,156330,-59893,,945,394.0,2592.0,671,,-2718,79245.0,,,27573,447982,-21877,11483,0.0,-9470,,-1376,,2910.0,3897
