date,season,year,不影響現金流量之收益費損項目合計,交割結算基金減少,以成本衡量之金融資產（增加）減少,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,償還金融債券,償還長期借款,其他借款減少,其他各項負債準備淨變動,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他資產增加,其他資產減少,其他金融負債增加（減少）,其他金融負債減少,其他金融資產（增加）減少,其他項目,出售及攤銷不良債權之損失,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工執行認股權,員工福利負債準備增加（減少）,員工購買庫藏股,因合併產生之現金流入,央行及同業融資增加,央行及同業融資減少,央行及銀行同業存款增加（減少）,存入保證金增加,存出保證金增加,存放央行及拆借銀行同業（增加）減少,存款及匯款增加（減少）,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,已收現之出售不良債權,庫藏股票買回成本,應付佣金增加（減少）,應付公司債匯率影響數,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應付短期票券增加,應付短期票券減少,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債券投資（增加）減少,營業保證金減少,營業外金融商品按公允價值衡量之損失（利益）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發行金融債券,短期借款增加,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分承受擔保品,處分承受擔保品提存損失（利益）,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,貼現及放款（增加）減少,資產證券化損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,金融資產重分類淨損失（利益）,附買回票券及債券負債增加（減少）,附買回票券及債券負債減少,附賣回票券及債券投資（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,-1454411.0,0.0,0.0,,0.0,,,0.0,,,-780336,-98503,0.0,0.0,0.0,0.0,0.0,328170,-2653.0,0.0,-228148,0.0,,-2327191,911557,0.0,0.0,-980838,,-2946205,,,,,-24118,,282075,,25646,,,648630.0,0.0,698291,39428,-14489,-651207,9436227,-405483,,0.0,,0.0,0.0,,,,-201637,,,-525142,-141296,173885,1205840,0.0,-4540,6109,-782302,,2330030,0,,2013年01月01日至2013年03月31日,12161342,11304120,-159628,0.0,-857222,1385393,0.0,0.0,,-2108999,-3639357,,513641,0,0,1393073,1385393,,,9222437,-12792776,-3570339,191374,29487,,2241342,,-22442,,,,,19515.0,15104.0,,,,5209,,0.0,,,-5024750,0.0,-877190,,11304120,-17370.0,-171889,-6024019,-108892,-191038,0.0,218788,0.0,-4363781.0,0.0,-34619.0,,380697,0.0
2013-08-14,2,2013,-2448667.0,,,,0.0,-2561664.0,-52664.0,,,,-218641,-152073,,,,,,581525,-4931.0,,-246078,,,-4781551,1855215,0.0,,-1833209,,-3626470,,-76910.0,,,-42524,,787204,,-8420,,,,-387600.0,4749435,64442,131162,-1087382,22714963,-373249,,,,0.0,,,30000.0,,214908,,,-1427639,3933754,352679,50000,,52966,10852,-1775497,,4709478,287,,2013年01月01日至2013年06月30日,67764159,69947138,28280,,2182979,2344018,,,,-2564062,-5179778,2500000.0,1220773,54317532,4380862,813287,2344018,,,27130550,-32205679,-5075129,0,83810,1090.0,2843525,,-33121,,,,,19515.0,15104.0,,,,4639,5802240.0,0.0,,,-7523796,,-22326877,,11248744,-318552.0,-315530,-6916537,-41564,-664751,,-1234,,0.0,,0.0,-34619.0,324156,
2013-11-11,3,2013,-3775144.0,,,,0.0,-2561664.0,-2046954.0,,,,106286,-137398,,,,,,1089002,-7209.0,,-56663,,,-7326612,2822583,,,-3307060,-68880.0,-3545627,,-77029.0,,,-49502,,1018743,,-8761,,,182300.0,0.0,7762147,108439,131251,-1464571,29937928,46772,,,,0.0,,,34900.0,,-5015743,,,-1201303,3478020,528440,550000,,174474,18268,-2664778,,7321027,42640,,2013年01月01日至2013年09月30日,67764159,68560341,-76403,,796182,3372069,,,0.0,-4703316,-8761963,2500000.0,382670,55960108,5027475,2021478,3372069,,-43727.0,32455108,-40813996,-8358888,3629812,46808,1090.0,2841805,,-4086,,,0.0,0.0,19993.0,,17014.0,43929.0,-43929.0,4639,5802240.0,0.0,0.0,,-12134032,,-33145919,,7572758,-640242.0,-309543,-5194412,-135643,-691898,0.0,-9997,,,-208025.0,,-37007.0,339498,
2014-03-24,4,2013,-5061050.0,,,,,-2561664.0,-897738.0,,,,-178738,-124823,43.0,,,,,1060241,-9603.0,,-90137,,,-9950721,3821363,,,-3504127,-68880.0,-3545627,,-77029.0,0.0,,-65424,,1864173,,-28768,,,198400.0,0.0,3189960,159814,152731,-1999449,44199475,253175,311.0,,,0.0,,,104136.0,,-4671278,,,-1628082,3457769,704809,550000,,-175476,26469,-3655365,,9945136,73331,,2013年01月01日至2013年12月31日,67764159,74533610,-194186,,6769451,3738538,,,,-2498954,-8381914,5500000.0,375837,62296753,4550801,5810636,3738538,,-44745.0,42159156,-49218558,-7059402,3104018,57848,1090.0,2842748,,-2584,105437.0,0.0,0.0,0.0,102281.0,,80660.0,43929.0,-43929.0,4640,5802240.0,0.0,0.0,,-12120452,,-40633827,,7686056,-480142.0,-436659,-5079143,-266804,-701778,,94724,,,-172167.0,,-182941.0,83728,
2014-05-12,1,2014,-1395652.0,,,,,,-1106973.0,,1300.0,-3518402.0,2088,-12777,0.0,,0.0,,,28241,-1514.0,,51569,,-68712.0,-2682294,1032914,,,-1130174,,-254254,,-35074.0,,,-29697,,608509,,2714,,,0.0,-1172020.0,5483519,21631,-38227,-2381839,6748691,-892365,,,343494.0,,,,300000.0,0.0,467888,,,-786030,-1447502,196613,0,,19924,12809,-868186,,2678579,9,,2014年01月01日至2014年03月31日,74533610,71332213,-53548,,-3201397,1132594,,,,-2392294,-4170193,,1078761,57628811,5175963,638399,1132594,,-9.0,12577321,-16484456,-3907135,1517000,8034,757.0,712400,,-7751,,,,,0.0,0.0,,0.0,0.0,43,2465400.0,,,,-5302787,,-1992997,,8527439,-32503.0,-28184,-10370156,8630,-464080,,-97881,,,,0.0,,-99861,
2014-08-13,2,2014,-2802484.0,,,,,-49900.0,0.0,,800.0,-298176.0,129975,-41102,,,,,,28336,-3673.0,,28124,,-68712.0,-5423847,2088489,,,-1349029,,-1710504,,-35074.0,,-5000.0,-30508,,764183,,4144,,,,-1936665.0,3266401,61571,-85641,-2777099,7077543,-964594,,,343494.0,,,,399487.0,,1032233,,,-1722389,54975,437990,0,,48557,35422,-2038820,,5359004,449,,2014年01月01日至2014年06月30日,74533610,71499661,-32243,,-3033949,2026491,,,,-4083730,-7142997,0.0,1797354,62006678,1654260,994806,2026491,,-449.0,11368202,-17735206,-6367004,722959,11179,757.0,718933,,-7769,,,,,808.0,1435.0,,0.0,0.0,43,2465400.0,,,,-9169488,,-11979389,,7838723,-261366.0,-37145,-162655,-189184,-454956,,-101276,,,,-2243.0,,-116102,
2014-11-10,3,2014,-4983337.0,,,,,-49900.0,,,800.0,-267887.0,379913,-46044,,,,,,-150072,-5479.0,,51961,,-68712.0,-8270709,3139902,,,-1145027,-3000.0,-2138142,,-37153.0,,-5000.0,-48019,,833447,,8199,,,,-2086000.0,-759908,65352,-71782,-3381134,11816639,-495025,,,343494.0,,,,195257.0,,642676,,,-1825513,516440,679729,300000,,4924,58382,-3111649,,8270709,59147,,2014年01月01日至2014年09月30日,74533610,69775238,-149992,,-4758372,3753892,,,,-5206630,-9701437,299717.0,520631,60264020,485815,-68182,3753892,,-59147.0,11989037,-20461029,-8471992,986761,12252,12435.0,718933,,-7927,,,529200.0,-528781.0,808.0,1435.0,,0.0,0.0,2358,2465400.0,,,,-13455329,,-16536773,,9025403,-723400.0,3081,1840370,-109056,-507747,,-96084,,,,-2243.0,,-68871,
2015-03-26,4,2014,-6323747.0,,,,,-49900.0,-546138.0,,800.0,0.0,384315,-222851,-5985.0,,,,,27852,,,50577,,-68712.0,-11157662,4188195,,,-3450795,-3000.0,-2148465,,-37897.0,-812943.0,-1756732.0,-76332,0.0,1982970,,205806,,,,-2086000.0,2355879,78297,-93950,-1736108,26220500,324174,0.0,,343494.0,-7365.0,,,234540.0,,2932381,,,-2880977,-2276911,900811,300000,,-181762,81577,-4133992,0.0,11797411,94963,,2014年度,74533610,80704189,-49604,,6170579,4615276,,,,9135415,2033721,299847.0,387344,67378018,1545361,-687925,4615276,,-94963.0,32058603,-28316411,3742192,1396830,1801681,12435.0,674733,,-1052627,0.0,,,,808.0,1435.0,,0.0,0.0,2358,2942200.0,,,,-2581555,,-23605307,,11780810,-656688.0,50903,-607497,-139964,-1024043,,-85196,,,-395380.0,287444.0,0.0,361578,
2015-05-11,1,2015,,,,0.0,,,-665784.0,,0.0,-52913.0,187649,-35182,,,,,,-161187,-292.0,,30001,,-2742.0,-2888401,1073386,,,-4105370,,-536146,,0.0,,,-13832,,68014,0.0,2591,27041.0,,,0.0,5995131,-19069,-47136,-94900,420877,-244341,,,84921.0,,,,414.0,,-2917339,,,358868,-6556646,210338,250000,,-23634,23567,-912736,0.0,2890061,9,-1661501.0,2015年01月01日至2015年03月31日,80704189,79087390,47627,,-1616799,1460089,,,,4721594,2768981,,175351,64445856,3449995,218253,1460089,3900.0,-9.0,4433620,-1463227,2970393,700000,725,0.0,0,,-8943,,,,,,,,,,0,0.0,,,-1975708.0,1308892,,7578972,,11191539,-24721.0,54531,-8932411,-143001,-21603,,690472,,,300.0,,,-124234,
2015-08-10,2,2015,,,,,,0.0,-898351.0,,0.0,533489.0,-5007,-63942,,,,,,484,4198.0,,0,,-2742.0,-5764932,2158461,,,-4530372,,-546050,-54155.0,-39.0,,0.0,-32070,,69696,27041.0,5275,,,,0.0,5166378,-57837,-26487,-1356175,7318273,-766934,,,84921.0,,,0.0,-39762.0,,-2842408,,7.0,1093796,-5492500,419398,250000,,31374,48207,-2116738,,5844816,398,-3385476.0,2015年01月01日至2015年06月30日,80704189,80727772,12064,,23583,2879551,,,,5071039,1766656,,217585,64984294,4279554,445044,2879551,3900.0,-398.0,10554702,-8282121,2272581,1250216,831,0.0,1522380,0.0,-15309,,300.0,,,0.0,,,,,-7795,0.0,,,-2749587.0,-1112895,,2413028,0.0,11463924,-424093.0,158853,-9528217,-315797,-21603,,749140,,,,0.0,,-73677,
